,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,broadcast,attendance,home_pk,away_pk
0,1994/03/12,1,1,14:33,広島ビ,広島,2,0,名古屋,,11503,,
1,1994/03/12,1,2,14:59,日本平,清水,1,0,横浜Ｆ,,10071,,
2,1994/03/12,1,3,15:00,市原,市原,5,1,Ｇ大阪,,10044,,
3,1994/03/12,1,4,15:02,三ツ沢,横浜M,2,0,浦和,,13991,,
4,1994/03/12,1,5,15:04,カシマ,鹿島,1,0,磐田,,13990,,
5,1994/03/12,1,6,19:04,国立,Ｖ川崎,5,1,平塚,,50843,,
0,1994/03/16,2,1,19:00,駒場,浦和,0,2,清水,,9290,,
1,1994/03/16,2,2,19:00,万博,Ｇ大阪,1,2,広島,,18737,,
2,1994/03/16,2,3,19:01,磐田,磐田,1,0,名古屋,,13529,,
3,1994/03/16,2,4,19:02,平塚,平塚,1,0,横浜M,,16131,,
4,1994/03/16,2,5,19:04,カシマ,鹿島,2,1,Ｖ川崎,,14181,,
5,1994/03/16,2,6,19:04,三ツ沢,横浜Ｆ,4,1,市原,,13028,,
0,1994/03/19,3,1,15:01,市原,市原,3,2,浦和,,9837,,
1,1994/03/19,3,2,15:01,三ツ沢,横浜M,0,1,鹿島,,14055,,
2,1994/03/19,3,3,15:02,日本平,清水,4,1,平塚,,10285,,
3,1994/03/19,3,4,15:02,瑞穂球,名古屋,0,2,Ｇ大阪,,11519,,
4,1994/03/19,3,5,15:02,広島ス,広島,2,1,横浜Ｆ,,11387,,
5,1994/03/19,3,6,19:03,国立,Ｖ川崎,3,2,磐田,,54657,,
0,1994/03/23,4,1,18:59,草薙陸,磐田,0,2,Ｇ大阪,,12177,,
1,1994/03/23,4,2,19:02,駒場,浦和,0,1,広島,,7854,,
2,1994/03/23,4,3,19:03,カシマ,鹿島,3,2,清水,,13808,,
3,1994/03/23,4,4,19:03,三ツ沢,横浜Ｆ,1,0,名古屋,,10624,,
4,1994/03/23,4,5,19:03,平塚,平塚,2,3,市原,,10797,,
5,1994/03/23,4,6,19:05,国立,Ｖ川崎,1,2,横浜M,,54405,,
0,1994/03/26,5,1,15:01,三ツ沢,横浜M,2,3,磐田,,14215,,
1,1994/03/26,5,2,15:03,国立,市原,2,3,鹿島,,52612,,
2,1994/03/26,5,3,15:03,瑞穂球,名古屋,7,2,浦和,,11488,,
3,1994/03/26,5,4,15:03,広島ビ,広島,4,2,平塚,,12041,,
4,1994/03/26,5,5,16:04,万博,Ｇ大阪,1,3,横浜Ｆ,,20854,,
5,1994/03/26,5,6,19:04,草薙陸,清水,2,1,Ｖ川崎,,18239,,
0,1994/04/02,6,1,14:00,磐田,磐田,1,2,横浜Ｆ,,15268,,
1,1994/04/02,6,2,15:01,駒場,浦和,2,1,Ｇ大阪,,9157,,
2,1994/04/02,6,3,15:01,博多陸,Ｖ川崎,3,0,市原,,27475,,
3,1994/04/02,6,4,15:02,カシマ,鹿島,0,2,広島,,14128,,
4,1994/04/02,6,5,15:02,国立,平塚,2,0,名古屋,,48640,,
5,1994/04/02,6,6,19:06,三ツ沢,横浜M,0,1,清水,,14337,,
0,1994/04/06,7,1,18:59,瑞穂球,名古屋,2,1,鹿島,,11981,,
1,1994/04/06,7,2,19:02,国立,市原,3,2,横浜M,,51291,,
2,1994/04/06,7,3,19:03,鴨池,横浜Ｆ,2,1,浦和,,10130,,
3,1994/04/06,7,4,19:03,万博,Ｇ大阪,3,2,平塚,,19798,,
4,1994/04/06,7,5,19:03,広島ビ,広島,0,5,Ｖ川崎,,27052,,
5,1994/04/06,7,6,19:05,草薙陸,清水,1,0,磐田,,17806,,
0,1994/04/09,8,1,14:00,愛媛陸,清水,3,0,市原,,15198,,
1,1994/04/09,8,2,14:00,磐田,磐田,1,0,浦和,,13842,,
2,1994/04/09,8,3,15:01,カシマ,鹿島,3,2,Ｇ大阪,,13734,,
3,1994/04/09,8,4,15:01,瑞穂球,名古屋,1,0,Ｖ川崎,,12214,,
4,1994/04/09,8,5,15:03,平塚,平塚,1,4,横浜Ｆ,,13971,,
5,1994/04/09,8,6,19:03,三ツ沢,横浜M,0,2,広島,,13739,,
0,1994/04/13,9,1,19:02,駒場,浦和,4,1,平塚,,9408,,
1,1994/04/13,9,2,19:02,三ツ沢,横浜M,3,2,名古屋,,13142,,
2,1994/04/13,9,3,19:03,市原,市原,0,2,磐田,,9597,,
