,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,home_pk_score,away_pk_score
71,2026/05/06,15,2,14:00,いちご,宮崎,,,琉球,ＶＳ,,
72,2026/05/06,15,3,14:00,ハトスタ,滋賀,,,山口,ＶＳ,,
73,2026/05/06,15,4,14:00,未定,鳥栖,,,鳥取,ＶＳ,,
74,2026/05/06,15,5,14:00,白波スタ,鹿児島,,,大分,ＶＳ,,
75,2026/05/09,16,1,14:00,みらスタ,山口,,,宮崎,ＶＳ,,
76,2026/05/10,16,2,14:00,クラド,大分,,,鳥栖,ＶＳ,,
77,2026/05/10,16,3,14:00,ハトスタ,滋賀,,,鹿児島,ＶＳ,,
78,2026/05/10,16,4,14:00,えがおＳ,熊本,,,琉球,ＶＳ,,
79,2026/05/10,16,5,14:00,Ａｘｉｓ,鳥取,,,北九州,ＶＳ,,
80,2026/05/16,17,1,14:00,駅スタ,鳥栖,,,山口,ＶＳ,,
81,2026/05/17,17,2,14:00,クラド,大分,,,宮崎,ＶＳ,,
82,2026/05/17,17,3,未定,ハトスタ,滋賀,,,北九州,ＶＳ,,
83,2026/05/17,17,4,18:00,沖縄県陸,琉球,,,鳥取,ＶＳ,,
84,2026/05/17,17,5,14:00,白波スタ,鹿児島,,,熊本,ＶＳ,,
85,2026/05/23,18,1,14:00,みらスタ,山口,,,熊本,ＶＳ,,
86,2026/05/23,18,2,14:00,駅スタ,鳥栖,,,琉球,ＶＳ,,
87,2026/05/24,18,3,14:00,ミクスタ,北九州,,,鹿児島,ＶＳ,,
88,2026/05/24,18,4,14:00,いちご,宮崎,,,滋賀,ＶＳ,,
89,2026/05/24,18,5,14:00,Ａｘｉｓ,鳥取,,,大分,ＶＳ,,
