,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,broadcast,attendance,home_pk,away_pk
0,1997/04/12,1,1,15:00,三ツ沢,横浜Ｆ,3,1,福岡,,8019,,
1,1997/04/12,1,2,15:01,万博,Ｇ大阪,4,1,平塚,,6205,,
2,1997/04/12,1,3,15:03,瑞穂陸,名古屋,2,3,Ｃ大阪,,17480,,
3,1997/04/12,1,4,15:04,国立,柏,0,1,清水,,25027,,
4,1997/04/12,1,5,15:05,カシマ,鹿島,5,2,神戸,,16255,,
5,1997/04/12,1,6,15:34,磐田,磐田,2,1,広島,,9545,,
6,1997/04/12,1,7,17:03,駒場,浦和,2,3,横浜M,,20098,,
7,1997/04/12,1,8,19:04,等々力,Ｖ川崎,0,2,市原,,12169,,
0,1997/04/16,2,1,19:00,長居,Ｃ大阪,0,2,横浜Ｆ,,8056,,
1,1997/04/16,2,2,19:00,広島ビ,広島,2,3,柏,,4156,,
2,1997/04/16,2,3,19:00,博多球,福岡,0,1,磐田,,7119,,
3,1997/04/16,2,4,19:01,三ツ沢,横浜M,0,4,Ｇ大阪,,6503,,
4,1997/04/16,2,5,19:03,市原,市原,2,4,京都,,3057,,
5,1997/04/16,2,6,19:03,平塚,平塚,0,2,Ｖ川崎,,7503,,
6,1997/04/16,2,7,19:03,日本平,清水,0,1,浦和,,7118,,
7,1997/04/16,2,8,19:05,神戸ユ,神戸,2,1,名古屋,,5959,,
0,1997/04/19,3,1,14:00,万博,Ｇ大阪,4,1,清水,,6604,,
1,1997/04/19,3,2,14:03,磐田,磐田,1,2,Ｃ大阪,,7186,,
2,1997/04/19,3,3,15:02,西京極,京都,0,2,平塚,,7193,,
3,1997/04/19,3,4,15:03,国立,浦和,0,1,広島,,38707,,
4,1997/04/19,3,5,15:03,等々力,Ｖ川崎,2,2,横浜M,,13568,3,4
5,1997/04/19,3,6,16:04,柏,柏,2,1,福岡,,5194,,
6,1997/04/19,3,7,19:03,瑞穂陸,名古屋,0,2,鹿島,,20425,,
7,1997/04/19,3,8,19:04,三ツ沢,横浜Ｆ,3,1,神戸,,7251,,
0,1997/04/23,4,1,19:00,カシマ,鹿島,1,0,横浜Ｆ,,15336,,
1,1997/04/23,4,2,19:00,神戸ユ,神戸,1,2,磐田,,3670,,
2,1997/04/23,4,3,19:00,博多球,福岡,0,3,浦和,,5317,,
3,1997/04/23,4,4,19:01,長居,Ｃ大阪,2,2,柏,,6526,5,4
4,1997/04/23,4,5,19:03,広島ビ,広島,2,0,Ｇ大阪,,5576,,
5,1997/04/23,4,6,19:04,三ツ沢,横浜M,3,1,京都,,4541,,
6,1997/04/23,4,7,19:04,日本平,清水,2,1,Ｖ川崎,,9253,,
7,1997/04/23,4,8,19:05,平塚,平塚,1,0,市原,,4875,,
0,1997/04/26,5,1,14:03,磐田,磐田,1,2,鹿島,,13754,,
1,1997/04/26,5,2,15:00,等々力,Ｖ川崎,1,2,広島,,8573,,
2,1997/04/26,5,3,15:00,万博,Ｇ大阪,0,1,福岡,,5187,,
3,1997/04/26,5,4,15:01,市原,市原,1,2,横浜M,,7048,,
4,1997/04/26,5,5,15:03,駒場,浦和,1,2,Ｃ大阪,,18902,,
5,1997/04/26,5,6,15:03,柏,柏,3,1,神戸,,5554,,
6,1997/04/26,5,7,16:05,西京極,京都,1,3,清水,,6284,,
7,1997/04/26,5,8,19:04,三ツ沢,横浜Ｆ,2,0,名古屋,,10910,,
0,1997/05/03,6,1,14:04,国立,鹿島,0,4,柏,,31083,,
1,1997/05/03,6,2,15:00,神戸ユ,神戸,0,2,浦和,,8542,,
2,1997/05/03,6,3,15:00,広島ビ,広島,1,0,京都,,8848,,
3,1997/05/03,6,4,15:04,長良川,名古屋,0,2,磐田,,13451,,
4,1997/05/03,6,5,15:05,日本平,清水,2,1,市原,,9218,,
5,1997/05/03,6,6,15:33,長居,Ｃ大阪,0,2,Ｇ大阪,,27734,,
6,1997/05/03,6,7,16:04,博多球,福岡,1,2,Ｖ川崎,,14021,,
7,1997/05/03,6,8,19:04,三ツ沢,横浜M,2,4,平塚,,12754,,
0,1997/05/07,7,1,18:59,万博,Ｇ大阪,2,3,神戸,,5318,,
1,1997/05/07,7,2,19:00,市原,市原,3,2,広島,,2245,,
2,1997/05/07,7,3,19:00,柏,柏,1,0,名古屋,,6816,,
3,1997/05/07,7,4,19:02,磐田,磐田,3,1,横浜Ｆ,,7274,,
4,1997/05/07,7,5,19:03,駒場,浦和,1,3,鹿島,,18741,,
5,1997/05/07,7,6,19:03,等々力,Ｖ川崎,0,2,Ｃ大阪,,6784,,
6,1997/05/07,7,7,19:04,国立,平塚,1,2,清水,,19167,,
7,1997/05/07,7,8,19:04,西京極,京都,1,0,福岡,,4061,,
0,1997/05/10,8,1,14:03,瑞穂陸,名古屋,3,1,浦和,,18281,,
1,1997/05/10,8,2,15:00,カシマ,鹿島,1,2,Ｇ大阪,,16233,,
2,1997/05/10,8,3,15:00,広島ビ,広島,0,1,平塚,,7548,,
3,1997/05/10,8,4,16:04,日本平,清水,1,2,横浜M,,15105,,
4,1997/05/10,8,5,16:04,長崎,福岡,2,1,市原,,6584,,
5,1997/05/10,8,6,18:34,鳥取,Ｃ大阪,1,2,京都,,6983,,
6,1997/05/10,8,7,19:00,神戸ユ,神戸,2,4,Ｖ川崎,,13253,,
7,1997/05/10,8,8,19:04,国立,横浜Ｆ,2,0,柏,,23903,,
0,1997/05/17,9,1,14:05,平塚,平塚,2,1,福岡,,7117,,
1,1997/05/17,9,2,15:00,市原,市原,3,0,Ｃ大阪,,4573,,
2,1997/05/17,9,3,15:01,三ツ沢,横浜M,4,2,広島,,7126,,
3,1997/05/17,9,4,15:02,柏,柏,2,1,磐田,,8030,,
4,1997/05/17,9,5,16:03,国立,Ｖ川崎,1,1,鹿島,,30211,2,3
5,1997/05/17,9,6,16:04,万博,Ｇ大阪,0,1,名古屋,,8090,,
6,1997/05/17,9,7,18:34,金沢,京都,0,2,神戸,,6757,,
7,1997/07/02,9,8,19:03,駒場,浦和,1,3,横浜Ｆ,,14937,,
0,1997/05/24,10,1,14:01,福井,Ｃ大阪,0,2,平塚,,4130,,
1,1997/05/24,10,2,14:04,長良川,名古屋,1,0,Ｖ川崎,,18871,,
2,1997/05/24,10,3,15:00,神戸ユ,神戸,2,3,市原,,4536,,
