,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,broadcast,attendance,home_pk,away_pk
0,1995/08/12,1,1,12:00,札幌,市原,2,1,Ｇ大阪,,9518,,
1,1995/08/12,1,2,19:01,日本平,清水,0,1,広島,,20117,,
2,1995/08/12,1,3,19:02,カシマ,鹿島,0,2,横浜M,,16162,,
3,1995/08/12,1,4,19:03,長崎,横浜Ｆ,0,6,浦和,,11954,,
4,1995/08/12,1,5,19:03,瑞穂陸,名古屋,4,0,磐田,,22573,,
5,1995/08/12,1,6,19:03,長居２,Ｃ大阪,2,1,柏,,9297,,
6,1995/08/12,1,7,19:04,等々力,Ｖ川崎,3,1,平塚,,13931,,
0,1995/08/16,2,1,19:00,万博,Ｇ大阪,3,4,柏,,10078,,
1,1995/08/16,2,2,19:01,広島ビ,広島,1,0,Ｃ大阪,,15523,,
2,1995/08/16,2,3,19:02,市原,市原,2,3,名古屋,,12584,,
3,1995/08/16,2,4,19:02,磐田,磐田,0,2,鹿島,,18251,,
4,1995/08/16,2,5,19:03,国立,横浜M,0,1,Ｖ川崎,,52699,,
5,1995/08/16,2,6,19:03,平塚,平塚,1,2,横浜Ｆ,,13189,,
6,1995/08/16,2,7,19:07,駒場,浦和,1,2,清水,,21559,,
0,1995/08/19,3,1,18:00,カシマ,鹿島,5,1,市原,,15783,,
1,1995/08/19,3,2,18:59,柏,柏,1,0,広島,,12429,,
2,1995/08/19,3,3,19:00,長居２,Ｃ大阪,0,1,浦和,,12091,,
3,1995/08/19,3,4,19:03,等々力,Ｖ川崎,1,0,磐田,,15757,,
4,1995/08/19,3,5,19:03,国立,清水,2,0,平塚,,32663,,
5,1995/08/19,3,6,19:03,長良川,名古屋,3,1,Ｇ大阪,,21734,,
6,1995/08/19,3,7,19:04,三ツ沢,横浜Ｆ,2,1,横浜M,,14104,,
0,1995/08/23,4,1,19:00,平塚,平塚,1,0,Ｃ大阪,,11426,,
1,1995/08/23,4,2,19:00,磐田,磐田,1,2,横浜Ｆ,,16832,,
2,1995/08/23,4,3,19:00,瑞穂陸,名古屋,2,1,鹿島,,22028,,
3,1995/08/23,4,4,19:02,万博,Ｇ大阪,5,2,広島,,9440,,
4,1995/08/23,4,5,19:03,国立,浦和,0,2,柏,,51580,,
5,1995/08/23,4,6,19:03,三ツ沢,横浜M,0,1,清水,,12764,,
6,1995/08/23,4,7,19:04,市原,市原,3,1,Ｖ川崎,,15234,,
0,1995/08/26,5,1,18:04,カシマ,鹿島,4,0,Ｇ大阪,,16110,,
1,1995/08/26,5,2,18:30,広島ビ,広島,0,1,浦和,,14545,,
2,1995/08/26,5,3,19:00,長居２,Ｃ大阪,0,2,横浜M,,12848,,
3,1995/08/26,5,4,19:01,三ツ沢,横浜Ｆ,0,1,市原,,12421,,
4,1995/08/26,5,5,19:01,日本平,清水,0,2,磐田,,20295,,
5,1995/08/26,5,6,19:03,柏,柏,3,0,平塚,,15865,,
6,1995/08/26,5,7,19:03,等々力,Ｖ川崎,3,2,名古屋,,15503,,
0,1995/09/02,6,1,18:30,長良川,名古屋,2,1,横浜Ｆ,,22024,,
1,1995/09/02,6,2,19:00,三ツ沢,横浜M,2,3,柏,,12123,,
2,1995/09/02,6,3,19:00,磐田,磐田,2,1,Ｃ大阪,,16506,,
3,1995/09/02,6,4,19:00,万博,Ｇ大阪,1,4,浦和,,15181,,
4,1995/09/02,6,5,19:03,平塚,平塚,4,0,広島,,12354,,
5,1995/09/02,6,6,19:05,カシマ,鹿島,1,5,Ｖ川崎,,16628,,
6,1995/09/02,6,7,19:05,国立,市原,0,1,清水,,35040,,
0,1995/09/06,7,1,19:00,柏,柏,2,4,磐田,,11846,,
1,1995/09/06,7,2,19:01,駒場,浦和,3,2,平塚,,20417,,
2,1995/09/06,7,3,19:02,日本平,清水,2,0,名古屋,,17005,,
3,1995/09/06,7,4,19:03,等々力,Ｖ川崎,2,0,Ｇ大阪,,16455,,
4,1995/09/06,7,5,19:03,広島ス,広島,0,0,横浜M,,8171,1,4
5,1995/09/06,7,6,19:04,国立,横浜Ｆ,1,2,鹿島,,41239,,
6,1995/09/06,7,7,19:05,長居２,Ｃ大阪,3,4,市原,,8347,,
0,1995/09/09,8,1,18:33,駒場,浦和,1,0,磐田,,22150,,
1,1995/09/09,8,2,19:00,大分,Ｃ大阪,1,0,鹿島,,9056,,
2,1995/09/09,8,3,19:03,柏,柏,1,2,名古屋,,14152,,
3,1995/09/09,8,4,19:03,三ツ沢,横浜Ｆ,2,1,Ｇ大阪,,11188,,
4,1995/09/09,8,5,19:03,広島ビ,広島,0,2,市原,,11227,,
5,1995/09/09,8,6,19:04,平塚,平塚,2,3,横浜M,,15118,,
6,1995/09/09,8,7,19:05,国立,清水,1,1,Ｖ川崎,,43502,9,8
0,1995/09/13,9,1,19:00,国立,Ｖ川崎,4,1,横浜Ｆ,,43279,,
