,match_date,section_no,start_time,stadium,home_team,away_team,status,match_number,round,home_goal,away_goal,home_pk_score,away_pk_score,match_index_in_section,home_score_ex,away_score_ex,group
0,2018/05/26,-7,13:00,いわきGF,いわき,ソニー仙台ＦＣ,試合終了,1,１回戦,1,2,,,1,,,
1,2018/05/27,-7,13:00,札幌厚別,北海道教育大学岩見沢校,韮崎アストロス,試合終了,2,１回戦,1,1,5,4,11,,,
2,2018/05/27,-7,13:00,福山,SRC広島,松江シティFC,試合終了,3,１回戦,0,4,,,12,,,
3,2018/05/26,-7,13:00,香川サ,多度津フットボールクラブ,東海大学熊本,試合終了,4,１回戦,2,2,4,2,2,,,
4,2018/05/27,-7,13:00,レベスタ,福岡大学,FC徳島,試合終了,5,１回戦,1,0,,,13,,,
5,2018/05/26,-7,13:00,栃木グ,作新学院大学,ラインメール青森,試合終了,6,１回戦,3,3,8,9,3,,,
6,2018/05/27,-7,13:00,秋田陸,秋田,ＶＯＮＤＳ市原ＦＣ,試合終了,7,１回戦,0,1,,,14,,,
7,2018/05/27,-7,13:00,カシマ,流経大ドラゴンズ龍ケ崎,山形大学,試合終了,8,１回戦,2,0,,,15,,,
8,2018/05/26,-7,13:00,春野陸,高知ユナイテッドＳＣ,三菱水島FC,試合終了,9,１回戦,2,0,,,4,,,
9,2018/05/26,-7,14:00,金鳥スタ,ＦＣ大阪,徳山大学,試合終了,10,１回戦,3,0,,,5,,,
10,2018/05/27,-7,13:00,群馬サ,ザスパクサツ群馬,駒澤大学,試合終了,11,１回戦,2,1,,,16,,,
11,2018/05/26,-7,13:00,長野U,ＡＣ長野パルセイロ,新潟医療福祉大学,試合終了,12,１回戦,3,2,,,6,,,
12,2018/05/26,-7,13:00,紀三井寺,アルテリーヴォ和歌山,Ｈｏｎｄａ ＦＣ,試合終了,13,１回戦,2,3,,,7,1,2,
13,2018/05/27,-7,13:00,とりスタ,ガイナーレ鳥取,ヴェルスパ大分,試合終了,14,１回戦,1,1,4,2,17,,,
14,2018/05/26,-7,13:00,ならでん,奈良クラブ,金沢星稜大学,試合終了,15,１回戦,2,0,,,8,,,
15,2018/05/27,-7,13:00,BMWス,Ｙ.Ｓ.Ｃ.Ｃ.横浜,東京国際大学FC,試合終了,16,１回戦,3,2,,,18,,,
16,2018/05/27,-7,13:00,上野競,鈴鹿アンリミテッドＦＣ,関西学院大学,試合終了,17,１回戦,0,1,,,19,,,
17,2018/05/27,-7,13:00,高岡,富山,おこしやす京都AC,試合終了,18,１回戦,1,0,,,20,,,
18,2018/05/27,-7,13:00,佐賀陸,佐賀LIXIL FC,テゲバジャーロ宮崎,試合終了,19,１回戦,0,3,,,21,,,
19,2018/05/26,-7,19:00,沖縄県陸,ＦＣ琉球,今治,試合終了,20,１回戦,1,1,5,6,9,,,
20,2018/05/27,-7,13:00,いわスタ,グルージャ盛岡,流通経済大学,試合終了,21,１回戦,1,2,,,22,,,
21,2018/05/26,-7,13:00,福井テクノ,サウルコス福井,中京大学,試合終了,22,１回戦,2,3,,,10,2,3,
22,2018/05/27,-7,13:00,長良川球,ＮＫ可児,ＭＩＯびわこ滋賀,試合終了,23,１回戦,0,3,,,23,,,
23,2018/05/27,-7,13:00,白波スタ,鹿児島ユナイテッドＦＣ,長崎総合科学大学,試合終了,24,１回戦,3,0,,,24,,,
24,2018/06/06,-6,19:00,等々力,川崎Ｆ,ソニー仙台ＦＣ,試合終了,25,２回戦,3,2,,,1,,,
25,2018/06/06,-6,19:00,Ksスタ,水戸,愛媛FC,試合終了,26,２回戦,2,0,,,2,,,
26,2018/06/06,-6,19:00,BMWス,湘南,北海道教育大学岩見沢校,試合終了,27,２回戦,1,0,,,3,,,
27,2018/06/06,-6,19:00,長崎市,V・ファーレン長崎,松江シティFC,試合終了,28,２回戦,2,1,,,4,2,1,
28,2018/06/06,-6,19:00,ベアスタ,鳥栖,多度津フットボールクラブ,試合終了,29,２回戦,7,0,,,5,,,
29,2018/06/06,-6,19:00,鳴門大塚,徳島,栃木,試合終了,30,２回戦,1,0,,,6,,,
30,2018/06/06,-6,19:00,ノエスタ,神戸,福岡大学,試合終了,31,２回戦,3,0,,,7,,,
31,2018/06/06,-6,19:00,フクアリ,千葉,ラインメール青森,試合終了,32,２回戦,2,2,5,4,8,,,
32,2018/06/06,-6,19:00,三協F柏,柏,ＶＯＮＤＳ市原ＦＣ,試合終了,33,２回戦,6,0,,,9,,,
33,2018/06/06,-6,19:00,NDスタ,山形,岐阜,試合終了,34,２回戦,2,2,4,2,10,,,
34,2018/06/06,-6,19:00,味スタ,FC東京,流経大ドラゴンズ龍ケ崎,試合終了,35,２回戦,4,2,,,11,,,
35,2018/06/06,-6,19:00,デンカS,新潟,高知ユナイテッドＳＣ,試合終了,36,２回戦,0,0,5,3,12,,,
36,2018/06/06,-6,19:00,ニッパツ,横浜FM,ＦＣ大阪,試合終了,37,２回戦,4,3,,,13,,,
37,2018/06/06,-6,19:00,ピカスタ,横浜FC,讃岐,試合終了,38,２回戦,2,0,,,14,,,
38,2018/06/06,-6,19:00,ユアスタ,仙台,ザスパクサツ群馬,試合終了,39,２回戦,4,0,,,15,,,
39,2018/06/06,-6,19:00,NACK,大宮アルディージャ,ＡＣ長野パルセイロ,試合終了,40,２回戦,1,0,,,16,,,
40,2018/06/06,-6,19:00,カシマ,鹿島,Ｈｏｎｄａ ＦＣ,試合終了,41,２回戦,6,1,,,17,,,
41,2018/06/06,-6,19:00,Cスタ,岡山,FC町田ゼルビア,試合終了,42,２回戦,0,1,,,18,0,1,
42,2018/06/06,-6,18:30,福山,広島,ガイナーレ鳥取,試合終了,43,２回戦,2,0,,,19,,,
43,2018/06/06,-6,19:00,パロ瑞穂,名古屋,奈良クラブ,試合終了,44,２回戦,1,1,7,6,20,,,
44,2018/06/06,-6,19:00,浦和駒場,浦和,Ｙ.Ｓ.Ｃ.Ｃ.横浜,試合終了,45,２回戦,3,0,,,21,,,
45,2018/06/06,-6,19:00,松本,松本,熊本,試合終了,46,２回戦,1,1,5,4,22,,,
46,2018/06/06,-6,19:00,吹田S,Ｇ大阪,関西学院大学,試合終了,47,２回戦,1,2,,,23,0,1,
47,2018/06/06,-6,19:00,味フィ西,東京Ｖ,富山,試合終了,48,２回戦,3,2,,,24,,,
48,2018/06/06,-6,19:00,金鳥スタ,Ｃ大阪,テゲバジャーロ宮崎,試合終了,49,２回戦,1,0,,,25,,,
49,2018/06/06,-6,19:00,西京極,京都サンガF.C.,金沢,試合終了,50,２回戦,1,3,,,26,0,2,
50,2018/06/06,-6,19:00,アイスタ,清水,今治,試合終了,51,２回戦,1,0,,,27,,,
51,2018/06/06,-6,19:00,中銀スタ,甲府,流通経済大学,試合終了,52,２回戦,3,1,,,28,,,
52,2018/06/06,-6,19:00,ヤマハ,磐田,中京大学,試合終了,53,２回戦,3,2,,,29,1,0,
53,2018/06/06,-6,19:00,みらスタ,大分,レノファ山口FC,試合終了,54,２回戦,1,2,,,30,,,
54,2018/06/06,-6,19:00,札幌厚別,札幌,ＭＩＯびわこ滋賀,試合終了,55,２回戦,2,1,,,31,,,
55,2018/06/06,-6,19:00,レベスタ,福岡,鹿児島ユナイテッドＦＣ,試合終了,56,２回戦,1,0,,,32,,,
56,2018/07/11,-5,19:00,Ksスタ,川崎Ｆ,水戸,試合終了,57,３回戦,1,1,4,2,1,,,
57,2018/07/11,-5,19:00,BMWス,湘南,V・ファーレン長崎,試合終了,58,３回戦,1,1,4,3,2,,,
58,2018/07/11,-5,19:00,鳴門大塚,鳥栖,徳島,試合終了,59,３回戦,3,1,,,3,,,
59,2018/07/11,-5,19:00,フクアリ,神戸,千葉,試合終了,60,３回戦,6,1,,,4,,,
60,2018/07/11,-5,19:00,NDスタ,柏,山形,試合終了,61,３回戦,1,2,,,5,,,
61,2018/07/11,-5,19:00,デンカS,FC東京,新潟,試合終了,62,３回戦,3,1,,,6,,,
62,2018/07/11,-5,19:00,ニッパツ,横浜FM,横浜FC,試合終了,63,３回戦,2,1,,,7,1,0,
63,2018/07/11,-5,19:00,NACK,仙台,大宮アルディージャ,試合終了,64,３回戦,1,0,,,8,,,
64,2018/07/11,-5,18:30,町田,鹿島,FC町田ゼルビア,試合終了,65,３回戦,5,1,,,9,,,
