,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,broadcast,attendance,home_score_ex,away_score_ex
3,1999/05/23,13,4,14:00,山形県,山形,1,2,Ｆ東京,試合終了,,3392,,
4,1999/05/23,13,5,14:01,等々力,川崎Ｆ,3,1,甲府,試合終了,,3727,,
0,1999/05/29,14,1,14:00,大宮,大宮,1,0,新潟,試合終了,テレビ埼玉（録）,2437,,
1,1999/05/29,14,2,14:04,札幌,札幌,1,1,川崎Ｆ,試合終了,北海道放送,11274,0,0
2,1999/05/29,14,3,15:00,小瀬,甲府,2,1,山形,試合終了,,1084,,
3,1999/05/29,14,4,15:03,西が丘,Ｆ東京,1,0,大分,試合終了,東京メトロポリタンテレビ,2468,1,0
4,1999/05/29,14,5,19:00,仙台,仙台,1,2,鳥栖,試合終了,,7025,,
0,1999/06/26,15,1,15:01,大分,大分,2,0,仙台,試合終了,,1431,,
1,1999/06/27,15,2,14:05,山形県,山形,1,1,札幌,試合終了,山形テレビ,2350,0,0
2,1999/06/27,15,3,16:03,江戸川,Ｆ東京,1,0,甲府,試合終了,東京メトロポリタンテレビ,1645,,
3,1999/06/27,15,4,18:01,等々力,川崎Ｆ,2,1,大宮,試合終了,,2425,1,0
4,1999/06/28,15,5,18:01,新潟,新潟,5,2,鳥栖,試合終了,,2147,,
0,1999/07/03,16,1,18:05,大宮,大宮,1,0,山形,試合終了,,1296,1,0
1,1999/07/03,16,2,19:00,小瀬,甲府,1,2,大分,試合終了,,1193,,
2,1999/07/04,16,3,13:01,鳥栖,鳥栖,2,4,川崎Ｆ,試合終了,,3934,,
3,1999/07/04,16,4,13:05,札幌,札幌,0,1,Ｆ東京,試合終了,ＮＨＫ札幌,11783,,
4,1999/07/04,16,5,14:00,仙台,仙台,0,3,新潟,試合終了,,8813,,
0,1999/07/09,17,1,19:00,小瀬,甲府,1,1,札幌,試合終了,,3807,0,0
1,1999/07/10,17,2,16:03,江戸川,Ｆ東京,2,0,大宮,試合終了,東京メトロポリタンテレビ,2491,,
2,1999/07/11,17,3,14:01,鶴岡,山形,3,2,鳥栖,試合終了,,2603,,
3,1999/07/11,17,4,18:00,等々力,川崎Ｆ,5,1,仙台,試合終了,,2759,,
4,1999/07/11,17,5,18:00,新潟,新潟,0,2,大分,試合終了,,4805,,
0,1999/07/15,18,1,19:00,新潟,新潟,0,2,川崎Ｆ,試合終了,,2045,,
1,1999/07/17,18,2,14:01,札幌,札幌,1,0,大分,試合終了,北海道テレビ,10259,1,0
2,1999/07/17,18,3,18:00,山形県,山形,2,1,仙台,試合終了,,5836,,
3,1999/07/17,18,4,18:01,鴻巣,大宮,1,1,甲府,試合終了,,1723,0,0
4,1999/07/17,18,5,19:01,鳥栖,鳥栖,0,1,Ｆ東京,試合終了,,3690,,
0,1999/07/30,19,1,19:01,横浜国,川崎Ｆ,2,1,大宮,試合終了,,5585,1,0
1,1999/08/01,19,2,14:00,札幌,札幌,2,0,仙台,試合終了,北海道テレビ,11717,,
2,1999/08/01,19,3,16:03,江戸川,Ｆ東京,0,2,新潟,試合終了,東京メトロポリタンテレビ,3183,,
3,1999/08/01,19,4,17:01,小瀬,甲府,5,0,鳥栖,試合終了,,1704,,
4,1999/08/01,19,5,18:00,山形県,山形,1,0,大分,試合終了,,3524,,
0,1999/08/07,20,1,18:00,新潟,新潟,1,1,札幌,試合終了,,5637,0,0
1,1999/08/07,20,2,18:00,大分,大分,2,4,Ｆ東京,試合終了,,2895,,
2,1999/08/07,20,3,19:00,仙台,仙台,0,3,川崎Ｆ,試合終了,,8259,,
3,1999/08/08,20,4,18:00,鳥栖,鳥栖,3,0,山形,試合終了,サガテレビ（録）,3212,,
4,1999/08/08,20,5,18:01,大宮,大宮,2,0,甲府,試合終了,,2305,,
0,1999/08/15,21,1,12:02,札幌,札幌,3,2,大分,試合終了,札幌テレビ放送,12820,1,0
1,1999/08/15,21,2,16:02,江戸川,Ｆ東京,1,0,山形,試合終了,東京メトロポリタンテレビ,2670,1,0
2,1999/08/15,21,3,17:00,小瀬,甲府,1,2,仙台,試合終了,,1527,,
3,1999/08/15,21,4,18:00,等々力,川崎Ｆ,0,1,新潟,試合終了,,3881,,
4,1999/08/15,21,5,18:05,大宮,大宮,0,1,鳥栖,試合終了,テレビ埼玉,1672,,
0,1999/08/19,22,1,18:59,新潟,新潟,1,1,甲府,試合終了,,3308,0,0
1,1999/08/21,22,2,18:00,仙台,仙台,2,1,大宮,試合終了,,6401,,
2,1999/08/21,22,3,18:00,大分,大分,0,1,川崎Ｆ,試合終了,,3648,,
3,1999/08/22,22,4,18:02,鳥栖,鳥栖,1,2,Ｆ東京,試合終了,,4595,,
4,1999/08/23,22,5,19:05,山形県,山形,1,4,札幌,試合終了,,3940,,
0,1999/08/28,23,1,19:00,仙台,仙台,1,2,鳥栖,試合終了,,7077,,
1,1999/08/29,23,2,13:03,札幌,札幌,4,1,Ｆ東京,試合終了,テレビ北海道,17427,,
2,1999/08/29,23,3,18:00,等々力,川崎Ｆ,1,0,山形,試合終了,,3709,,
3,1999/08/29,23,4,18:01,大宮,大宮,3,1,新潟,試合終了,,2562,,
4,1999/08/31,23,5,19:00,小瀬,甲府,0,4,大分,試合終了,,1517,,
0,1999/09/04,24,1,19:00,新潟,新潟,0,1,仙台,試合終了,,3933,0,1
1,1999/09/05,24,2,16:03,西が丘,Ｆ東京,0,0,川崎Ｆ,試合終了,東京メトロポリタンテレビ,4844,0,0
2,1999/09/05,24,3,17:59,山形県,山形,3,0,甲府,試合終了,,2558,,
3,1999/09/05,24,4,18:00,鳥栖,鳥栖,0,1,札幌,試合終了,サガテレビ（録）,4834,,
4,1999/09/05,24,5,18:00,大分,大分,5,0,大宮,試合終了,,4318,,
0,1999/09/10,25,1,14:00,韮崎中央,甲府,3,5,Ｆ東京,試合終了,,619,,
1,1999/09/10,25,2,19:00,等々力,川崎Ｆ,2,0,札幌,試合終了,,13168,,
2,1999/09/11,25,3,12:33,新潟,新潟,1,0,鳥栖,試合終了,ＢＳＮ新潟放送,2651,,
