,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,round,home_pk_score,away_pk_score,leg,match_number
0,2006/03/29,-12,1,18:59,三ツ沢,横浜FM,1,0,福岡,試合終了,第1日,,,,9119
1,2006/03/29,-12,2,19:01,駒場,浦和,2,0,Ｆ東京,試合終了,第1日,,,,9118
2,2006/03/29,-12,3,19:00,カシマ,鹿島,4,1,大分,試合終了,第1日,,,,9130
3,2006/03/29,-12,4,19:00,西京極,京都,3,4,川崎Ｆ,試合終了,第1日,,,,9131
4,2006/03/29,-12,5,19:00,フクアリ,千葉,2,1,広島,試合終了,第1日,,,,9142
5,2006/03/29,-12,6,19:00,新潟ス,新潟,3,3,清水,試合終了,第1日,,,,9143
6,2006/03/29,-12,7,19:00,長居,Ｃ大阪,1,0,磐田,試合終了,第1日,,,,9155
7,2006/03/29,-12,8,19:01,瑞穂陸,名古屋,1,3,甲府,試合終了,第1日,,,,9154
0,2006/04/05,-11,1,19:00,ヤマハ,磐田,2,1,大宮,試合終了,第2日,,,,9156
1,2006/04/12,-11,2,19:00,駒場,浦和,3,1,福岡,試合終了,第2日,,,,9121
2,2006/04/12,-11,3,19:00,三ツ沢,横浜FM,2,0,Ｆ東京,試合終了,第2日,,,,9120
3,2006/04/12,-11,4,19:00,カシマ,鹿島,3,1,川崎Ｆ,試合終了,第2日,,,,9132
4,2006/04/12,-11,5,19:00,九石ド,大分,2,1,京都,試合終了,第2日,,,,9133
5,2006/04/12,-11,6,19:00,フクアリ,千葉,3,2,新潟,試合終了,第2日,,,,9144
6,2006/04/12,-11,7,19:00,日本平,清水,2,2,広島,試合終了,第2日,,,,9145
0,2006/04/12,-10,1,19:00,小瀬,甲府,2,2,磐田,試合終了,第3日,,,,9157
1,2006/04/12,-10,2,19:00,長居,Ｃ大阪,1,1,名古屋,試合終了,第3日,,,,9158
2,2006/04/26,-10,3,19:00,味スタ,Ｆ東京,1,2,横浜FM,試合終了,第3日,,,,9122
3,2006/04/26,-10,4,19:00,博多球,福岡,1,3,浦和,試合終了,第3日,,,,9123
4,2006/04/26,-10,5,19:00,等々力,川崎Ｆ,4,1,京都,試合終了,第3日,,,,9134
5,2006/04/26,-10,6,19:00,九石ド,大分,1,0,鹿島,試合終了,第3日,,,,9135
6,2006/04/26,-10,7,19:00,日本平,清水,1,2,新潟,試合終了,第3日,,,,9146
7,2006/04/26,-10,8,19:00,広島ス,広島,3,4,千葉,試合終了,第3日,,,,9147
