,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,home_pk_score,away_pk_score
73,2026/05/06,15,4,14:00,デンカＳ,新潟,,,徳島,ＶＳ,,
74,2026/05/06,15,5,14:00,ゴースタ,金沢,,,愛媛,ＶＳ,,
75,2026/05/09,16,1,14:00,花園,FC大阪,,,今治,ＶＳ,,
76,2026/05/10,16,2,14:00,鳴門大塚,徳島,,,奈良,ＶＳ,,
77,2026/05/10,16,3,15:00,ニンスタ,愛媛,,,富山,ＶＳ,,
78,2026/05/10,16,4,14:00,メグスタ,讃岐,,,高知,ＶＳ,,
79,2026/05/10,16,5,13:30,ゴースタ,金沢,,,新潟,ＶＳ,,
80,2026/05/16,17,1,14:00,デンカＳ,新潟,,,奈良,ＶＳ,,
81,2026/05/17,17,2,14:00,花園,FC大阪,,,金沢,ＶＳ,,
82,2026/05/17,17,3,14:00,アシさと,今治,,,讃岐,ＶＳ,,
83,2026/05/17,17,4,14:00,富山,富山,,,徳島,ＶＳ,,
84,2026/05/17,17,5,14:00,ギケンス,高知,,,愛媛,ＶＳ,,
85,2026/05/23,18,1,14:00,ロートＦ,奈良,,,富山,ＶＳ,,
86,2026/05/23,18,2,14:00,デンカＳ,新潟,,,愛媛,ＶＳ,,
87,2026/05/24,18,3,14:00,鳴門大塚,徳島,,,今治,ＶＳ,,
88,2026/05/24,18,4,14:00,メグスタ,讃岐,,,FC大阪,ＶＳ,,
89,2026/05/24,18,5,14:00,ゴースタ,金沢,,,高知,ＶＳ,,
