,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status
0,2021/09/12,1,1,10:01,ノエビアスタジアム神戸,I神戸,5,0,大宮V,試合終了
1,2021/09/12,1,2,13:30,味の素フィールド西が丘,東京NB,1,2,浦和,試合終了
2,2021/09/12,1,3,16:01,ユアテックスタジアム仙台,マイ仙台,0,0,N相模原,試合終了
3,2021/09/12,1,4,17:00,熊谷スポーツ文化公園陸上競技場,EL埼玉,0,3,S広島R,試合終了
4,2021/09/12,1,5,17:03,デンカビッグスワンスタジアム,新潟L,1,3,AC長野,試合終了
5,2021/09/18,2,1,17:01,長野Uスタジアム,AC長野,0,0,東京NB,試合終了
6,2021/09/18,2,2,18:00,サンフレッチェビレッジ 広島第一球技場,S広島R,0,2,マイ仙台,試合終了
7,2021/09/20,2,3,14:03,NACK5スタジアム大宮,大宮V,1,1,新潟L,試合終了
8,2021/09/20,2,4,15:00,フクダ電子アリーナ,千葉L,1,1,EL埼玉,試合終了
9,2021/09/20,2,5,17:00,浦和駒場スタジアム,浦和,2,0,N相模原,試合終了
10,2021/09/25,3,1,16:03,味の素フィールド西が丘,東京NB,2,0,S広島R,試合終了
11,2021/09/26,3,2,13:03,J-GREEN堺S1メインフィールド,I神戸,2,0,千葉L,試合終了
12,2021/09/26,3,3,13:33,ユアテックスタジアム仙台,マイ仙台,0,0,大宮V,試合終了
13,2021/09/26,3,4,14:03,デンカビッグスワンスタジアム,新潟L,2,1,EL埼玉,試合終了
14,2021/09/26,3,5,15:03,相模原ギオンスタジアム,N相模原,0,0,AC長野,試合終了
15,2021/10/02,4,1,13:03,フクダ電子アリーナ,千葉L,0,3,東京NB,試合終了
16,2021/10/02,4,2,14:03,NACK5スタジアム大宮,大宮V,1,4,浦和,試合終了
17,2021/10/02,4,3,14:03,熊谷スポーツ文化公園陸上競技場,EL埼玉,0,3,マイ仙台,試合終了
18,2021/10/02,4,4,14:03,サンフレッチェビレッジ 広島第一球技場,S広島R,1,1,新潟L,試合終了
19,2021/10/02,4,5,15:03,長野Uスタジアム,AC長野,0,2,I神戸,試合終了
20,2021/10/09,5,1,13:03,ユアテックスタジアム仙台,マイ仙台,1,1,千葉L,試合終了
21,2021/10/10,5,2,13:03,ノエビアスタジアム神戸,I神戸,1,0,東京NB,試合終了
22,2021/10/10,5,3,14:03,浦和駒場スタジアム,浦和,2,0,AC長野,試合終了
23,2021/10/10,5,4,14:03,NACK5スタジアム大宮,大宮V,4,1,S広島R,試合終了
24,2021/10/10,5,5,15:03,相模原ギオンスタジアム,N相模原,1,0,EL埼玉,試合終了
25,2021/10/16,6,1,11:03,浦和駒場スタジアム,浦和,1,2,S広島R,試合終了
26,2021/10/16,6,2,13:03,長野Uスタジアム,AC長野,0,2,千葉L,試合終了
27,2021/10/16,6,3,14:03,味の素フィールド西が丘,東京NB,4,1,EL埼玉,試合終了
28,2021/10/17,6,4,13:03,ノエビアスタジアム神戸,I神戸,1,0,N相模原,試合終了
29,2021/10/17,6,5,14:03,デンカビッグスワンスタジアム,新潟L,0,3,マイ仙台,試合終了
30,2021/10/30,7,1,14:05,熊谷スポーツ文化公園陸上競技場,EL埼玉,0,1,I神戸,試合終了
31,2021/10/31,7,2,13:03,フクダ電子アリーナ,千葉L,2,1,浦和,試合終了
32,2021/10/31,7,3,13:03,サンフレッチェビレッジ 広島第一球技場,S広島R,0,0,N相模原,試合終了
33,2021/10/31,7,4,14:03,NACK5スタジアム大宮,大宮V,1,3,AC長野,試合終了
34,2021/10/31,7,5,14:03,味の素フィールド西が丘,東京NB,2,0,新潟L,試合終了
35,2021/11/06,8,1,13:03,キューアンドエースタジアムみやぎ,マイ仙台,1,0,東京NB,試合終了
36,2021/11/06,8,2,14:03,相模原ギオンスタジアム,N相模原,0,1,大宮V,試合終了
37,2021/11/06,8,3,14:03,新潟市陸上競技場,新潟L,0,1,千葉L,試合終了
38,2021/11/07,8,4,14:03,浦和駒場スタジアム,浦和,0,2,I神戸,試合終了
39,2021/11/07,8,5,14:03,熊谷スポーツ文化公園陸上競技場,EL埼玉,1,0,AC長野,試合終了
40,2021/11/13,9,1,13:03,埼玉スタジアム2002,浦和,3,1,マイ仙台,試合終了
41,2021/11/13,9,2,14:03,NACK5スタジアム大宮,大宮V,0,0,EL埼玉,試合終了
42,2021/11/14,9,3,13:03,フクダ電子アリーナ,千葉L,2,0,N相模原,試合終了
43,2021/11/14,9,4,13:03,ノエビアスタジアム神戸,I神戸,1,0,新潟L,試合終了
44,2021/11/14,9,5,14:03,長野Uスタジアム,AC長野,2,1,S広島R,試合終了
45,2021/11/20,10,1,13:03,相模原ギオンスタジアム,N相模原,2,4,新潟L,試合終了
46,2021/11/20,10,2,13:03,サンフレッチェビレッジ 広島第一球技場,S広島R,1,1,千葉L,試合終了
47,2021/11/20,10,3,14:03,味の素フィールド西が丘,東京NB,0,0,大宮V,試合終了
48,2021/11/20,10,4,15:03,熊谷スポーツ文化公園陸上競技場,EL埼玉,1,1,浦和,試合終了
49,2021/11/21,10,5,13:03,ユアテックスタジアム仙台,マイ仙台,1,1,I神戸,試合終了
50,2021/12/18,11,1,13:03,フクダ電子アリーナ,千葉L,1,1,大宮V,試合終了
51,2022/03/05,12,1,12:03,神戸総合運動公園ユニバー記念競技場,I神戸,1,1,EL埼玉,試合終了
52,2022/03/05,12,2,13:03,ユアテックスタジアム仙台,マイ仙台,4,0,S広島R,試合終了
