,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,round,home_pk_score,away_pk_score,home_score_ex,away_score_ex,leg,match_number
0,2018/03/07,1,1,19:03,ユアスタ,仙台,1,1,新潟,試合終了,第1節第1日,,,,,,21051
1,2018/03/07,1,2,19:34,ニッパツ,横浜FM,1,0,FC東京,試合終了,第1節第1日,,,,,,21052
2,2018/03/07,1,3,19:03,中銀スタ,甲府,3,0,札幌,試合終了,第1節第1日,,,,,,21064
3,2018/03/07,1,4,19:03,アイスタ,清水,1,0,磐田,試合終了,第1節第1日,,,,,,21063
4,2018/03/07,1,5,19:03,パロ瑞穂,名古屋,1,4,浦和,試合終了,第1節第1日,,,,,,21075
5,2018/03/07,1,6,19:03,吹田Ｓ,Ｇ大阪,0,4,広島,試合終了,第1節第1日,,,,,,21076
6,2018/03/07,1,7,19:03,ＢＭＷス,湘南,1,0,鳥栖,試合終了,第1節第1日,,,,,,21087
7,2018/03/07,1,8,19:03,ノエスタ,神戸,2,2,長崎,試合終了,第1節第1日,,,,,,21088
0,2018/03/14,2,1,19:03,味スタ,FC東京,1,0,新潟,試合終了,第2節第1日,,,,,,21053
1,2018/03/14,2,2,19:33,ニッパツ,横浜FM,0,0,仙台,試合終了,第2節第1日,,,,,,21054
2,2018/03/14,2,3,19:03,札幌ド,札幌,0,1,磐田,試合終了,第2節第1日,,,,,,21065
3,2018/03/14,2,4,19:03,中銀スタ,甲府,1,0,清水,試合終了,第2節第1日,,,,,,21066
4,2018/03/14,2,5,19:33,Ｅスタ,広島,2,1,名古屋,試合終了,第2節第1日,,,,,,21078
5,2018/03/14,2,6,19:34,埼玉,浦和,1,4,Ｇ大阪,試合終了,第2節第1日,,,,,,21077
6,2018/03/14,2,7,19:03,トラスタ,長崎,2,1,湘南,試合終了,第2節第1日,,,,,,21089
7,2018/03/14,2,8,20:03,ベアスタ,鳥栖,0,2,神戸,試合終了,第2節第1日,,,,,,21090
0,2018/04/04,3,1,19:03,ユアスタ,仙台,3,0,FC東京,試合終了,第3節第1日,,,,,,21055
1,2018/04/04,3,2,19:03,デンカＳ,新潟,1,3,横浜FM,試合終了,第3節第1日,,,,,,21056
2,2018/04/04,3,3,19:03,ヤマハ,磐田,3,2,甲府,試合終了,第3節第1日,,,,,,21068
3,2018/04/04,3,4,19:03,アイスタ,清水,2,1,札幌,試合終了,第3節第1日,,,,,,21067
4,2018/04/04,3,5,19:03,パロ瑞穂,名古屋,1,4,Ｇ大阪,試合終了,第3節第1日,,,,,,21079
5,2018/04/04,3,6,19:03,Ｅスタ,広島,0,0,浦和,試合終了,第3節第1日,,,,,,21080
6,2018/04/04,3,7,19:03,ＢＭＷス,湘南,0,3,神戸,試合終了,第3節第1日,,,,,,21091
7,2018/04/04,3,8,19:03,トラスタ,長崎,3,2,鳥栖,試合終了,第3節第1日,,,,,,21092
0,2018/04/18,4,1,19:03,デンカＳ,新潟,3,1,仙台,試合終了,第4節第1日,,,,,,21058
1,2018/04/18,4,2,19:04,味スタ,FC東京,2,2,横浜FM,試合終了,第4節第1日,,,,,,21057
2,2018/04/18,4,3,19:03,ヤマハ,磐田,2,3,札幌,試合終了,第4節第1日,,,,,,21070
3,2018/04/18,4,4,19:03,アイスタ,清水,1,1,甲府,試合終了,第4節第1日,,,,,,21069
4,2018/04/18,4,5,19:03,吹田Ｓ,Ｇ大阪,0,1,浦和,試合終了,第4節第1日,,,,,,21082
5,2018/04/18,4,6,19:03,パロ瑞穂,名古屋,2,1,広島,試合終了,第4節第1日,,,,,,21081
6,2018/04/18,4,7,19:03,トラスタ,長崎,1,2,神戸,試合終了,第4節第1日,,,,,,21093
7,2018/04/18,4,8,20:03,ベアスタ,鳥栖,0,0,湘南,試合終了,第4節第1日,,,,,,21094
0,2018/05/09,5,1,19:03,デンカＳ,新潟,3,2,FC東京,試合終了,第5節第1日,,,,,,21060
1,2018/05/09,5,2,19:03,ユアスタ,仙台,4,2,横浜FM,試合終了,第5節第1日,,,,,,21059
2,2018/05/09,5,3,19:03,ヤマハ,磐田,2,1,清水,試合終了,第5節第1日,,,,,,21072
3,2018/05/09,5,4,19:03,札幌厚別,札幌,0,3,甲府,試合終了,第5節第1日,,,,,,21071
4,2018/05/09,5,5,19:04,Ｅスタ,広島,2,3,Ｇ大阪,試合終了,第5節第1日,,,,,,21083
5,2018/05/09,5,6,19:34,埼玉,浦和,2,0,名古屋,試合終了,第5節第1日,,,,,,21084
6,2018/05/09,5,7,19:03,ノエスタ,神戸,3,4,湘南,試合終了,第5節第1日,,,,,,21095
7,2018/05/09,5,8,20:03,ベアスタ,鳥栖,2,1,長崎,試合終了,第5節第1日,,,,,,21096
0,2018/05/16,6,1,19:03,味スタ,FC東京,0,1,仙台,試合終了,第6節第1日,,,,,,21061
1,2018/05/16,6,2,19:03,ニッパツ,横浜FM,2,1,新潟,試合終了,第6節第1日,,,,,,21062
2,2018/05/16,6,3,19:03,札幌厚別,札幌,0,3,清水,試合終了,第6節第1日,,,,,,21073
3,2018/05/16,6,4,19:03,中銀スタ,甲府,0,1,磐田,試合終了,第6節第1日,,,,,,21074
4,2018/05/16,6,5,19:03,吹田Ｓ,Ｇ大阪,1,4,名古屋,試合終了,第6節第1日,,,,,,21086
5,2018/05/16,6,6,19:04,埼玉,浦和,1,0,広島,試合終了,第6節第1日,,,,,,21085
6,2018/05/16,6,7,19:03,ＢＭＷス,湘南,2,0,長崎,試合終了,第6節第1日,,,,,,21097
7,2018/05/16,6,8,19:03,ノエスタ,神戸,1,1,鳥栖,試合終了,第6節第1日,,,,,,21098
0,2018/06/02,-4,1,14:03,ニッパツ,横浜FM,4,2,神戸,試合終了,プレーオフラウンド,,,,,1,21386
1,2018/06/02,-4,2,15:03,中銀スタ,甲府,2,0,浦和,試合終了,プレーオフラウンド,,,,,1,21384
2,2018/06/02,-4,3,16:03,吹田Ｓ,Ｇ大阪,1,0,磐田,試合終了,プレーオフラウンド,,,,,1,21382
3,2018/06/02,-4,4,19:03,ＢＭＷス,湘南,3,0,仙台,試合終了,プレーオフラウンド,,,,,1,21381
0,2018/06/09,-4,1,14:03,ノエスタ,神戸,1,1,横浜FM,試合終了,プレーオフラウンド,,,,,2,21388
1,2018/06/09,-4,4,15:03,ユアスタ,仙台,3,1,湘南,試合終了,プレーオフラウンド,,,,,2,21383
2,2018/06/09,-4,3,16:03,ヤマハ,磐田,2,3,Ｇ大阪,試合終了,プレーオフラウンド,,,,,2,21385
3,2018/06/09,-4,2,16:03,埼玉,浦和,2,1,甲府,試合終了,プレーオフラウンド,,,,,2,21387
0,2018/09/05,-3,1,19:03,ＢＭＷス,湘南,3,0,Ｃ大阪,試合終了,準々決勝,,,,,1,21393
1,2018/09/05,-3,2,19:03,中銀スタ,甲府,2,2,柏,試合終了,準々決勝,,,,,1,21394
2,2018/09/05,-3,3,19:03,吹田Ｓ,Ｇ大阪,0,4,横浜FM,試合終了,準々決勝,,,,,1,21395
3,2018/09/05,-3,4,19:04,カシマ,鹿島,1,1,川崎Ｆ,試合終了,準々決勝,,,,,1,21396
0,2018/09/09,-3,4,19:03,味スタ,川崎Ｆ,1,3,鹿島,試合終了,準々決勝,,,,,2,21400
1,2018/09/09,-3,1,19:03,ヤンマー,Ｃ大阪,2,2,湘南,試合終了,準々決勝,,,,,2,21397
2,2018/09/09,-3,3,19:03,日産ス,横浜FM,3,1,Ｇ大阪,試合終了,準々決勝,,,,,2,21399
3,2018/09/09,-3,2,19:03,三協Ｆ柏,柏,1,1,甲府,試合終了,準々決勝,,,,,2,21398
0,2018/10/10,-2,1,19:03,カシマ,鹿島,1,2,横浜FM,試合終了,準決勝,,,,,1,21436
1,2018/10/10,-2,2,19:04,三協Ｆ柏,柏,1,1,湘南,試合終了,準決勝,,,,,1,21437
0,2018/10/14,-2,1,14:04,ニッパツ,横浜FM,2,2,鹿島,試合終了,準決勝,,,,,2,21438
1,2018/10/14,-2,2,16:03,ＢＭＷス,湘南,2,2,柏,試合終了,準決勝,5,4,1,1,2,21439
0,2018/10/27,-1,1,13:10,埼玉,湘南,1,0,横浜FM,試合終了,決勝,,,,,,21446
