,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,round,home_pk_score,away_pk_score,home_score_ex,away_score_ex,leg,match_number
0,2002/04/27,1,1,14:00,鴨池,磐田,5,1,仙台,試合終了,第1節,,,,,,6299
1,2002/04/27,1,2,15:01,柏の葉,柏,1,0,札幌,試合終了,第1節,,,,,,6300
2,2002/04/27,1,3,13:00,駒沢,Ｆ東京,3,0,清水,試合終了,第1節,,,,,,6311
3,2002/04/27,1,4,15:00,神戸ウイ,神戸,1,1,東京Ｖ,試合終了,第1節,,,,,,6312
4,2002/04/27,1,5,15:00,市原,市原,2,0,横浜FM,試合終了,第1節,,,,,,6323
5,2002/04/27,1,6,15:00,万博,Ｇ大阪,2,2,京都,試合終了,第1節,,,,,,6324
6,2002/04/27,1,7,14:00,瑞穂陸,名古屋,0,2,浦和,試合終了,第1節,,,,,,6335
7,2002/04/27,1,8,15:00,ひたちな,鹿島,1,0,広島,試合終了,第1節,,,,,,6336
0,2002/04/30,2,1,19:00,仙台,仙台,1,1,柏,試合終了,第2節,,,,,,6302
1,2002/04/30,2,2,19:01,札幌厚別,札幌,0,0,磐田,試合終了,第2節,,,,,,6301
2,2002/04/30,2,3,19:00,東京,東京Ｖ,0,1,Ｆ東京,試合終了,第2節,,,,,,6313
3,2002/04/30,2,4,19:00,草薙陸,清水,2,1,神戸,試合終了,第2節,,,,,,6314
4,2002/04/30,2,5,19:00,西京極,京都,1,1,市原,試合終了,第2節,,,,,,6325
5,2002/04/30,2,6,19:01,万博,Ｇ大阪,0,1,横浜FM,試合終了,第2節,,,,,,6326
6,2002/04/30,2,7,19:00,広島ス,広島,1,1,名古屋,試合終了,第2節,,,,,,6338
7,2002/04/30,2,8,19:04,駒場,浦和,3,2,鹿島,試合終了,第2節,,,,,,6337
0,2002/05/03,3,1,13:00,仙台,仙台,1,0,札幌,試合終了,第3節,,,,,,6303
1,2002/05/03,3,2,14:00,磐田,磐田,0,0,柏,試合終了,第3節,,,,,,6304
2,2002/05/03,3,3,15:00,東京,東京Ｖ,2,0,清水,試合終了,第3節,,,,,,6315
3,2002/05/03,3,4,15:00,神戸ユ,神戸,0,0,Ｆ東京,試合終了,第3節,,,,,,6316
4,2002/05/03,3,5,15:00,市原,市原,4,4,Ｇ大阪,試合終了,第3節,,,,,,6327
5,2002/05/03,3,6,15:00,横浜国,横浜FM,0,0,京都,試合終了,第3節,,,,,,6328
6,2002/05/03,3,7,15:00,ひたちな,鹿島,3,1,名古屋,試合終了,第3節,,,,,,6339
7,2002/05/03,3,8,15:00,広島ビ,広島,0,0,浦和,試合終了,第3節,,,,,,6340
0,2002/05/06,4,1,13:00,函館,札幌,1,1,仙台,試合終了,第4節,,,,,,6305
