,match_date,section_no,start_time,stadium,home_team,away_team,status,match_number,home_goal,away_goal,match_index_in_section,group
51,2025/03/25,8,,AMMAN INTERNATIONAL STADIUM (AMMAN),パレスチナ,イラク,試合終了,22,2,1,1,B
52,2025/03/25,8,,SUWON WORLD CUP STADIUM (SUWON),韓国,ヨルダン,試合終了,23,1,1,2,B
53,2025/03/25,8,,JABER AL-AHMAD INTERNATIONAL STADIUM (ARDHIYAH),クウェート,オマーン,試合終了,24,0,1,3,B
54,2025/06/05,9,,JABER AL-AHMAD INTERNATIONAL STADIUM (ARDHIYAH),クウェート,パレスチナ,試合終了,25,0,2,1,B
55,2025/06/05,9,,SULTAN QABOOS SPORT COMPLEX (MUSCAT),オマーン,ヨルダン,試合終了,26,0,3,2,B
56,2025/06/05,9,,BASRA INTERNATIONAL STADIUM (BASRA),イラク,韓国,試合終了,27,0,2,3,B
57,2025/06/10,10,,SEOUL WORLD CUP STADIUM (SEOUL),韓国,クウェート,試合終了,28,4,0,1,B
58,2025/06/10,10,,AMMAN INTERNATIONAL STADIUM (AMMAN),ヨルダン,イラク,試合終了,29,0,1,2,B
59,2025/06/10,10,,KING ABDULLAH II STADIUM (AMMAN),パレスチナ,オマーン,試合終了,30,1,1,3,B
60,2024/09/05,1,20:10,ゴールドコースト(オーストラリア)／Cbus Super Stadium,オーストラリア,バーレーン,試合終了,1,0,1,1,C
61,2024/09/05,1,19:35,埼玉／埼玉スタジアム2002,日本,中国,試合終了,2,7,0,2,C
62,2024/09/05,1,21:00,ジッダ(サウジアラビア)／King Abdullah Sports City Stadium,サウジアラビア,インドネシア,試合終了,3,1,1,3,C
63,2024/09/10,2,19:00,ジャカルタ(インドネシア)／Gelora Bung Karno Stadium,インドネシア,オーストラリア,試合終了,4,0,0,1,C
64,2024/09/10,2,20:00,大連(中国)／Dalian Suoyuwan Football Stadium,中国,サウジアラビア,試合終了,5,1,2,2,C
65,2024/09/10,2,19:00,リファー(バーレーン)／Bahrain National Stadium,バーレーン,日本,試合終了,6,0,5,3,C
66,2024/10/10,3,19:10,アデレード(オーストラリア)／Adelaide Oval,オーストラリア,中国,試合終了,7,3,1,1,C
67,2024/10/10,3,19:00,リファー(バーレーン)／Bahrain National Stadium,バーレーン,インドネシア,試合終了,8,2,2,2,C
68,2024/10/10,3,21:00,ジッダ(サウジアラビア)／King Abdullah Sports City Stadium,サウジアラビア,日本,試合終了,9,0,2,3,C
69,2024/10/15,4,19:35,埼玉／埼玉スタジアム2002,日本,オーストラリア,試合終了,10,1,1,1,C
70,2024/10/15,4,20:00,青島(中国)／Qingdao Youth Football Stadium,中国,インドネシア,試合終了,11,2,1,2,C
71,2024/10/15,4,21:00,ジッダ(サウジアラビア)／King Abdullah Sports City Stadium,サウジアラビア,バーレーン,試合終了,12,0,0,3,C
72,2024/11/14,5,17:00,リファー(バーレーン)／Bahrain National Stadium,バーレーン,中国,試合終了,13,0,1,1,C
73,2024/11/14,5,19:10,メルボルン(オーストラリア)／Melbourne Rectangular Stadium,オーストラリア,サウジアラビア,試合終了,14,0,0,2,C
74,2024/11/15,5,19:00,ジャカルタ(インドネシア)／Gelora Bung Karno Stadium,インドネシア,日本,試合終了,15,0,4,3,C
75,2024/11/19,6,19:00,ジャカルタ(インドネシア)／Gelora Bung Karno Stadium,インドネシア,サウジアラビア,試合終了,16,2,0,1,C
76,2024/11/19,6,21:15,リファー(バーレーン)／Bahrain National Stadium,バーレーン,オーストラリア,試合終了,17,2,2,2,C
77,2024/11/19,6,20:00,廈門(中国)／Xiamen Egret Stadium,中国,日本,試合終了,18,1,3,3,C
78,2025/03/20,7,19:35,埼玉／埼玉スタジアム2002,日本,バーレーン,試合終了,19,2,0,1,C
79,2025/03/20,7,21:15,リヤド(サウジアラビア)／King Saud University Stadium,サウジアラビア,中国,試合終了,20,1,0,2,C
80,2025/03/20,7,20:10,シドニー(オーストラリア)／Sydney Football Stadium,オーストラリア,インドネシア,試合終了,21,5,1,3,C
81,2025/03/25,8,19:00,杭州(中国)／Hangzhou Olympic Sports Centre Stadium,中国,オーストラリア,試合終了,22,0,2,1,C
82,2025/03/25,8,19:35,埼玉／埼玉スタジアム2002,日本,サウジアラビア,試合終了,23,0,0,2,C
83,2025/03/25,8,20:45,ジャカルタ(インドネシア)／Gelora Bung Karno Stadium,インドネシア,バーレーン,試合終了,24,1,0,3,C
84,2025/06/05,9,20:45,ジャカルタ(インドネシア)／Gelora Bung Karno Stadium,インドネシア,中国,試合終了,25,1,0,1,C
85,2025/06/05,9,19:00,リファー(バーレーン)／Bahrain National Stadium,バーレーン,サウジアラビア,試合終了,26,0,2,2,C
86,2025/06/05,9,19:10,パース(オーストラリア)／Perth Stadium,オーストラリア,日本,試合終了,27,1,0,3,C
87,2025/06/10,10,19:00,重慶(中国)／Chongqing Longxing Football Stadium,中国,バーレーン,試合終了,28,1,0,1,C
88,2025/06/10,10,19:35,大阪／市立吹田サッカースタジアム,日本,インドネシア,試合終了,29,6,0,2,C
89,2025/06/10,10,21:15,ジッダ(サウジアラビア)／King Abdullah Sports City Stadium,サウジアラビア,オーストラリア,試合終了,30,1,2,3,C
