,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,group
76,2023-11-07,4,1,21:00:00,リサール記念スポーツコンプレックス (マニラ),カヤ・イロイロ,1,2,横浜F・マリノス,試合終了,G
77,2023-11-08,4,1,19:00:00,メルボルン・レクタンギュラー・スタジアム (メルボルン),メルボルン・シティ,0,1,ブリーラム・ユナイテッド,試合終了,H
78,2023-11-07,4,1,21:00:00,スルタン・イブラヒム・スタジアム (ジョホール),ジョホール・ダルル・タクジム,2,1,蔚山現代,試合終了,I
79,2023-11-08,4,1,21:00:00,ミーディン国立競技場 (ハノイ),ハノイ,2,1,武漢三鎮,試合終了,J
80,2023-11-28,5,0,01:00:00,ハッザーア・ビン・ザーイド・スタジアム (アル・アイン),アル・アイン,1,3,パフタコール,試合終了,A
81,2023-11-27,5,0,23:00:00,シャールジャ・スタジアム (シャールジャ),シャールジャ,0,2,アル・サッド,試合終了,B
82,2023-11-27,5,0,01:00:00,OKMKスポーツコンプレックス (アルマリク),AGMK,1,2,アル・イテハド,試合終了,C
83,2023-11-28,5,0,23:00:00,マルカジイ・スタジアム (ナマンガン),ナフバホール,0,2,アル・ヒラル,試合終了,D
84,2023-11-27,5,0,03:00:00,アル＝アウワル・パーク (リヤド),アル・ナスル,0,0,ペルセポリス,試合終了,E
85,2023-11-29,5,0,19:00:00,香港スタジアム (香港),傑志,1,2,全北現代モータース,試合終了,F
86,2023-11-28,5,0,19:00:00,仁川サッカー競技場 (仁川),仁川ユナイテッド,2,1,横浜F・マリノス,試合終了,G
87,2023-11-29,5,0,21:00:00,湖州オリンピックスポーツセンター (湖州),浙江,3,2,ブリーラム・ユナイテッド,試合終了,H
88,2023-11-28,5,0,19:00:00,パトゥムターニースタジアム (バンコク),BGパトゥム・ユナイテッド,1,3,蔚山現代,試合終了,I
89,2023-11-29,5,0,19:00:00,埼玉スタジアム2002 (さいたま),浦和レッズ,2,1,武漢三鎮,試合終了,J
90,2023-11-28,5,1,01:00:00,プリンス・ファイサル・ビン・ファハド・スタジアム (リヤド),アル・フェイハ,3,1,FKアハル,試合終了,A
91,2023-11-27,5,1,23:00:00,マルカジイ・スタジアム (カルシ),ナサフ,3,1,アル・ファイサリー,試合終了,B
92,2023-11-27,5,1,03:00:00,アザディ・スタジアム (テヘラン),セパハン,1,0,アル・クウワ・アル・ジャウウィーヤ,試合終了,C
93,2023-11-28,5,1,01:00:00,アザディ・スタジアム (テヘラン),ナッサジ,2,0,ムンバイ・シティ,試合終了,D
94,2023-11-27,5,1,23:00:00,アブドゥッラー・ビン・ハリーファ・スタジアム (ドーハ),アル・ドゥハイル,2,0,イスティクロル,試合終了,E
95,2023-11-29,5,1,23:00:00,タンマサート・スタジアム (ランシット),バンコク・ユナイテッド,1,0,ライオン・シティ・セーラーズ,試合終了,F
96,2023-11-28,5,1,19:00:00,済南オリンピック・スポーツセンター (済南),山東泰山,6,1,カヤ・イロイロ,試合終了,G
97,2023-11-29,5,1,19:00:00,国立競技場 (東京),ヴァンフォーレ甲府,3,3,メルボルン・シティ,試合終了,H
98,2023-11-28,5,1,19:00:00,等々力陸上競技場 (川崎),川崎フロンターレ,5,0,ジョホール・ダルル・タクジム,試合終了,I
99,2023-11-29,5,1,21:00:00,浦項スティールヤード (浦項),浦項スティーラース,2,0,ハノイ,試合終了,J
100,2023-12-05,6,0,23:00:00,ブニョドコル・スタジアム (タシュケント),パフタコール,1,4,アル・フェイハ,試合終了,A
101,2023-12-04,6,0,01:00:00,ジャシム・ビン・ハマド・スタジアム (ドーハ),アル・サッド,2,2,ナサフ,試合終了,B
102,2023-12-04,6,0,03:00:00,キング・アブドゥッラー・スポーツシティ (ジッダ),アル・イテハド,2,1,セパハン,試合終了,C
103,2023-12-04,6,0,01:00:00,プリンス・ファイサル・ビン・ファハド・スタジアム (リヤド),アル・ヒラル,2,1,ナッサジ,試合終了,D
104,2023-12-05,6,0,01:00:00,アザディ・スタジアム (テヘラン),ペルセポリス,1,2,アル・ドゥハイル,試合終了,E
105,2023-12-13,6,0,19:00:00,全州ワールドカップ競技場 (全州),全北現代モータース,3,2,バンコク・ユナイテッド,試合終了,F
106,2023-12-13,6,0,17:00:00,横浜国際総合競技場 (横浜),横浜F・マリノス,3,0,山東泰山,試合終了,G
107,2023-12-12,6,0,19:00:00,ブリーラム・スタジアム (ブリーラム),ブリーラム・ユナイテッド,2,3,ヴァンフォーレ甲府,試合終了,H
108,2023-12-12,6,0,19:00:00,蔚山文殊サッカー競技場 (蔚山),蔚山現代,2,2,川崎フロンターレ,試合終了,I
109,2023-12-06,6,0,21:00:00,武漢体育中心 (武漢),武漢三鎮,1,1,浦項スティーラース,試合終了,J
110,2023-12-05,6,1,23:00:00,アシガバート・スタジアム (アシガバート),FKアハル,1,2,アル・アイン,試合終了,A
111,2023-12-04,6,1,23:00:00,アンマン国際スタジアム (アンマン),アル・ファイサリー,2,1,シャールジャ,試合終了,B
112,2023-12-04,6,1,21:00:00,フランソ・ハリーリー・スタジアム (アルビール),アル・クウワ・アル・ジャウウィーヤ,3,2,AGMK,試合終了,C
113,2023-12-04,6,1,01:00:00,シュリー・シヴ・チャトラパティ・スポーツコンプレックス (プネー),ムンバイ・シティ,1,2,ナフバホール,試合終了,D
114,2023-12-05,6,1,01:00:00,セントラル・スタジアム (ドゥシャンベ),イスティクロル,1,1,アル・ナスル,試合終了,E
115,2023-12-13,6,1,19:00:00,ジャラン・ベサール・スタジアム (シンガポール),ライオン・シティ・セーラーズ,0,2,傑志,試合終了,F
116,2023-12-13,6,1,17:00:00,リサール記念スポーツコンプレックス (マニラ),カヤ・イロイロ,1,3,仁川ユナイテッド,試合終了,G
117,2023-12-12,6,1,19:00:00,プリンセス・パーク・スタジアム (メルボルン),メルボルン・シティ,1,1,浙江,試合終了,H
118,2023-12-12,6,1,19:00:00,スルタン・イブラヒム・スタジアム (ジョホール),ジョホール・ダルル・タクジム,4,1,BGパトゥム・ユナイテッド,試合終了,I
119,2023-12-06,6,1,21:00:00,ミーディン国立競技場 (ハノイ),ハノイ,2,1,浦和レッズ,試合終了,J
