,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,broadcast,attendance
3,2014/05/18,12,4,13:03,町田,町田,1,1,盛岡,試合終了,スカパー！プレミアムサービス,3049
4,2014/05/18,12,5,15:00,沖縄市陸,琉球,1,0,金沢,試合終了,,575
5,2014/05/18,12,6,15:30,佐久,長野,3,0,福島,試合終了,,2508
0,2014/05/24,13,1,13:03,石川西部,金沢,0,1,町田,試合終了,北陸放送,2516
1,2014/05/25,13,2,13:00,秋田球,秋田,1,0,相模原,試合終了,,1645
2,2014/05/25,13,3,13:00,藤枝サ,藤枝,2,1,YS横浜,試合終了,,887
3,2014/05/25,13,4,13:00,とりスタ,鳥取,1,0,J-22,試合終了,,2338
4,2014/05/25,13,5,13:05,盛岡南,盛岡,1,2,福島,試合終了,ＮＨＫ盛岡／ＮＨＫ福島,1351
5,2014/05/25,13,6,15:00,沖縄市陸,琉球,0,2,長野,試合終了,,864
0,2014/06/01,14,1,13:00,盛岡南,盛岡,3,0,秋田,試合終了,,1430
1,2014/06/01,14,2,13:00,ギオンス,相模原,4,0,琉球,試合終了,,2755
2,2014/06/01,14,3,13:00,ニッパ球,YS横浜,0,1,町田,試合終了,,1741
3,2014/06/01,14,4,14:00,とうスタ,福島,2,0,鳥取,試合終了,,1152
4,2014/06/01,14,5,15:00,佐久,長野,4,0,J-22,試合終了,,2325
5,2014/06/01,14,6,15:01,石川西部,金沢,3,1,藤枝,試合終了,,8115
0,2014/06/08,15,1,13:00,秋田球,秋田,0,1,福島,試合終了,,1173
1,2014/06/08,15,2,13:00,草薙陸,藤枝,0,1,長野,試合終了,,734
2,2014/06/08,15,3,13:00,とりスタ,鳥取,0,0,YS横浜,試合終了,,2396
3,2014/06/08,15,4,13:00,盛岡南,盛岡,0,1,金沢,試合終了,,1078
4,2014/06/08,15,5,15:00,町田,町田,2,1,相模原,試合終了,,3519
5,2014/06/08,15,6,15:00,沖縄市陸,琉球,0,6,J-22,試合終了,,4362
0,2014/06/14,16,1,13:00,石川西部,金沢,0,0,J-22,試合終了,,1788
1,2014/06/15,16,2,13:00,秋田球,秋田,3,4,YS横浜,試合終了,,842
2,2014/06/15,16,3,13:03,ギオンス,相模原,0,1,鳥取,試合終了,スカパー！プレミアムサービス,2171
3,2014/06/15,16,4,15:00,藤枝サ,藤枝,1,0,琉球,試合終了,,612
4,2014/06/15,16,5,15:00,とうスタ,福島,0,2,町田,試合終了,,1485
5,2014/06/15,16,6,15:00,佐久,長野,3,2,盛岡,試合終了,,2308
0,2014/06/21,17,1,17:04,石川西部,金沢,2,1,相模原,試合終了,,3023
1,2014/06/22,17,2,15:00,盛岡南,盛岡,3,1,J-22,試合終了,,1933
2,2014/06/22,17,3,15:00,チュスタ,鳥取,0,0,藤枝,試合終了,,2018
3,2014/06/22,17,4,15:00,沖縄市陸,琉球,2,0,秋田,試合終了,,732
4,2014/06/22,17,5,17:00,町田,町田,1,0,長野,試合終了,,3513
5,2014/06/25,17,6,19:00,ニッパ球,YS横浜,0,0,福島,試合終了,,737
0,2014/07/19,18,1,15:00,秋田球,秋田,1,4,町田,試合終了,,1849
1,2014/07/20,18,2,15:00,ギオンス,相模原,2,3,J-22,試合終了,,4021
2,2014/07/20,18,3,15:00,あいづ,福島,2,2,琉球,試合終了,,1518
3,2014/07/20,18,4,16:03,佐久,長野,1,1,鳥取,試合終了,スカパー！プレミアムサービス,2268
4,2014/07/20,18,5,17:00,ニッパ球,YS横浜,0,3,金沢,試合終了,,842
5,2014/07/20,18,6,17:00,藤枝サ,藤枝,0,1,盛岡,試合終了,,3302
0,2014/07/27,19,1,15:00,盛岡南,盛岡,1,1,YS横浜,試合終了,,1055
1,2014/07/27,19,2,15:00,沖縄市陸,琉球,0,3,鳥取,試合終了,,851
2,2014/07/27,19,3,15:03,長野,長野,2,0,秋田,試合終了,信越放送,4329
3,2014/07/27,19,4,16:01,ギオンス,相模原,2,2,藤枝,試合終了,,2524
4,2014/07/27,19,5,17:00,町田,町田,1,1,J-22,試合終了,,2593
5,2014/07/27,19,6,17:00,石川西部,金沢,2,2,福島,試合終了,,2742
0,2014/08/02,20,1,15:00,三ツ沢陸,YS横浜,1,1,長野,試合終了,,903
1,2014/08/03,20,2,15:00,とうスタ,福島,2,2,相模原,試合終了,,4163
2,2014/08/03,20,3,15:00,盛岡南,盛岡,2,1,琉球,試合終了,,741
3,2014/08/03,20,4,16:00,秋田球,秋田,4,0,J-22,試合終了,,1145
4,2014/08/03,20,5,17:00,藤枝サ,藤枝,1,2,町田,試合終了,,1523
5,2014/08/03,20,6,17:00,とりスタ,鳥取,4,2,金沢,試合終了,,5892
0,2014/08/10,21,1,15:00,ギオンス,相模原,0,0,盛岡,試合終了,,1231
1,2014/08/10,21,2,15:00,沖縄市陸,琉球,1,1,YS横浜,試合終了,,1318
2,2014/08/10,21,3,15:30,とうスタ,福島,0,0,J-22,試合終了,,628
3,2014/08/10,21,4,16:00,秋田球,秋田,2,2,藤枝,試合終了,,1266
4,2014/08/10,21,5,16:00,長野,長野,1,2,金沢,試合終了,,3038
5,2014/08/10,21,6,17:00,町田,町田,1,1,鳥取,試合終了,,2231
0,2014/08/24,22,1,15:00,ギオンス,相模原,0,1,長野,試合終了,,2354
1,2014/08/24,22,2,15:01,チュスタ,鳥取,1,0,盛岡,試合終了,,5063
2,2014/08/24,22,3,17:00,ニッパ球,YS横浜,2,1,J-22,試合終了,,815
3,2014/08/24,22,4,17:00,町田,町田,0,1,琉球,試合終了,,2553
4,2014/08/24,22,5,17:00,石川西部,金沢,1,0,秋田,試合終了,,6851
5,2014/10/26,22,6,13:00,とうスタ,福島,2,3,藤枝,試合終了,,730
0,2014/08/30,23,1,17:00,ニッパ球,YS横浜,2,4,相模原,試合終了,,1037
1,2014/08/31,23,2,15:00,盛岡南,盛岡,0,2,金沢,試合終了,,1526
2,2014/08/31,23,3,16:00,秋田球,秋田,0,1,琉球,試合終了,,1082
3,2014/08/31,23,4,16:03,長野,長野,2,0,町田,試合終了,スカパー！プレミアムサービス,6334
4,2014/08/31,23,5,17:00,藤枝サ,藤枝,2,1,J-22,試合終了,,785
5,2014/08/31,23,6,17:00,とりスタ,鳥取,2,0,福島,試合終了,,4147
0,2014/09/05,24,1,19:00,三ツ沢陸,YS横浜,0,0,盛岡,試合終了,,512
