,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,broadcast,attendance,home_pk_score,away_pk_score,home_score_ex,away_score_ex
0,1994/08/10,1,1,19:01,等々力,Ｖ川崎,1,2,平塚,試合終了,,10630,,,,
1,1994/08/10,1,2,19:01,三ツ沢,横浜M,3,0,浦和,試合終了,,13639,,,,
2,1994/08/10,1,3,19:02,市原,市原,5,2,Ｇ大阪,試合終了,,10563,,,,
3,1994/08/10,1,4,19:03,カシマ,鹿島,2,2,磐田,試合終了,,16153,2,4,0,0
4,1994/08/10,1,5,19:03,広島ス,広島,4,0,名古屋,試合終了,,11796,,,,
5,1994/08/10,1,6,19:05,草薙陸,清水,0,3,横浜Ｆ,試合終了,,18478,,,,
0,1994/08/13,2,1,18:30,大宮,浦和,2,0,清水,試合終了,,9488,,,,
1,1994/08/13,2,2,18:32,平塚,平塚,0,4,横浜M,試合終了,,15592,,,,
2,1994/08/13,2,3,18:34,長崎,横浜Ｆ,1,2,市原,試合終了,,14702,,,,
3,1994/08/13,2,4,19:00,万博,Ｇ大阪,1,1,広島,試合終了,,19209,3,4,0,0
4,1994/08/13,2,5,19:02,磐田,磐田,2,3,名古屋,試合終了,,14592,,,0,1
5,1994/08/13,2,6,19:04,カシマ,鹿島,2,2,Ｖ川崎,試合終了,,16041,4,5,0,0
0,1994/08/17,3,1,14:03,札幌,清水,1,0,平塚,試合終了,,18214,,,,
1,1994/08/17,3,2,19:00,国立,名古屋,2,3,Ｇ大阪,試合終了,,50375,,,0,1
2,1994/08/17,3,3,19:02,市原,市原,3,4,浦和,試合終了,,10502,,,,
3,1994/08/17,3,4,19:03,等々力,Ｖ川崎,4,1,磐田,試合終了,,10629,,,,
4,1994/08/17,3,5,19:03,三ツ沢,横浜M,2,2,鹿島,試合終了,,13836,4,3,0,0
5,1994/08/17,3,6,19:03,広島ス,広島,4,1,横浜Ｆ,試合終了,,11782,,,,
0,1994/08/20,4,1,18:00,国立,鹿島,1,2,清水,試合終了,,50724,,,,
1,1994/08/20,4,2,18:30,大宮,浦和,0,2,広島,試合終了,,9367,,,,
2,1994/08/20,4,3,18:33,平塚,平塚,3,1,市原,試合終了,,15334,,,,
3,1994/08/20,4,4,18:59,磐田,磐田,2,2,Ｇ大阪,試合終了,,14441,5,4,0,0
4,1994/08/20,4,5,19:02,三ツ沢,横浜Ｆ,1,2,名古屋,試合終了,,13319,,,0,1
5,1994/08/20,4,6,19:03,等々力,Ｖ川崎,1,0,横浜M,試合終了,,10701,,,,
0,1994/08/27,5,1,18:00,栃木,市原,1,4,鹿島,試合終了,,18023,,,,
1,1994/08/27,5,2,18:01,長良川,名古屋,4,2,浦和,試合終了,,25096,,,,
2,1994/08/27,5,3,18:33,広島ス,広島,1,6,平塚,試合終了,,12771,,,,
3,1994/08/27,5,4,19:01,神戸ユ,Ｇ大阪,1,3,横浜Ｆ,試合終了,,36270,,,,
4,1994/08/27,5,5,19:03,博多陸,横浜M,2,1,磐田,試合終了,,23369,,,,
5,1994/08/27,5,6,19:05,草薙陸,清水,1,2,Ｖ川崎,試合終了,,19034,,,,
0,1994/08/31,6,1,19:00,大宮,浦和,1,0,Ｇ大阪,試合終了,,9611,,,,
1,1994/08/31,6,2,19:01,磐田,磐田,0,2,横浜Ｆ,試合終了,,14736,,,,
2,1994/08/31,6,3,19:02,等々力,Ｖ川崎,3,1,市原,試合終了,,10617,,,,
3,1994/08/31,6,4,19:03,カシマ,鹿島,1,0,広島,試合終了,,15947,,,1,0
4,1994/08/31,6,5,19:03,平塚,平塚,2,0,名古屋,試合終了,,15486,,,,
5,1994/08/31,6,6,19:04,国立,横浜M,0,1,清水,試合終了,,51390,,,,
0,1994/09/03,7,1,15:30,三ツ沢,横浜Ｆ,0,1,浦和,試合終了,,14083,,,,
