,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,home_pk_score,away_pk_score
70,2026/05/06,15,1,14:00,ユアスタ,仙台,,,栃木SC,ＶＳ,,
71,2026/05/06,15,2,14:00,プラスタ,八戸,,,湘南,ＶＳ,,
72,2026/05/06,15,3,14:00,ＮＤスタ,山形,,,群馬,ＶＳ,,
73,2026/05/06,15,4,14:00,ＣＦＳ,栃木Ｃ,,,横浜FC,ＶＳ,,
74,2026/05/06,15,5,15:00,ソユスタ,秋田,,,相模原,ＶＳ,,
75,2026/05/09,16,1,14:00,正田スタ,群馬,,,栃木Ｃ,ＶＳ,,
76,2026/05/10,16,2,14:00,プラスタ,八戸,,,仙台,ＶＳ,,
77,2026/05/10,16,3,14:00,ＮＤスタ,山形,,,相模原,ＶＳ,,
78,2026/05/10,16,4,14:00,カンセキ,栃木SC,,,秋田,ＶＳ,,
79,2026/05/10,16,5,14:00,レモンＳ,湘南,,,横浜FC,ＶＳ,,
80,2026/05/16,17,1,14:00,ＣＦＳ,栃木Ｃ,,,山形,ＶＳ,,
81,2026/05/16,17,2,14:00,レモンＳ,湘南,,,仙台,ＶＳ,,
82,2026/05/16,17,3,14:00,ギオンス,相模原,,,八戸,ＶＳ,,
83,2026/05/17,17,4,14:00,ニッパツ,横浜FC,,,栃木SC,ＶＳ,,
84,2026/05/17,17,5,14:00,ソユスタ,秋田,,,群馬,ＶＳ,,
85,2026/05/23,18,1,14:00,ユアスタ,仙台,,,横浜FC,ＶＳ,,
86,2026/05/23,18,2,14:00,正田スタ,群馬,,,相模原,ＶＳ,,
87,2026/05/24,18,3,13:00,プラスタ,八戸,,,栃木SC,ＶＳ,,
88,2026/05/24,18,4,14:00,ＮＤスタ,山形,,,湘南,ＶＳ,,
89,2026/05/24,18,5,14:00,ソユスタ,秋田,,,栃木Ｃ,ＶＳ,,
