,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team
89,2022-04-29,10,9,19:00,国立,Ｇ大阪,,,FC東京
90,2022-05-03,11,1,14:00,豊田ス,京都,,,名古屋
91,2022-05-03,11,2,14:00,Ｅスタ,柏,,,広島
92,2022-05-03,11,3,15:00,カシマ,磐田,,,鹿島
93,2022-05-03,11,4,15:00,レモンＳ,清水,,,湘南
94,2022-05-03,11,5,15:00,駅スタ,Ｃ大阪,,,鳥栖
95,2022-05-03,11,6,17:00,ベススタ,FC東京,,,福岡
96,2022-05-04,11,7,14:00,パナスタ,札幌,,,Ｇ大阪
97,2022-05-18,11,8,19:00,ノエスタ,川崎Ｆ,,,神戸
98,2022-05-18,11,9,19:30,埼玉,横浜FM,,,浦和
99,2022-05-06,12,1,19:00,ヨドコウ,磐田,,,Ｃ大阪
100,2022-05-07,12,2,14:00,アイスタ,川崎Ｆ,,,清水
101,2022-05-07,12,3,14:00,Ｅスタ,鹿島,,,広島
102,2022-05-07,12,4,15:00,日産ス,名古屋,,,横浜FM
103,2022-05-07,12,5,16:00,札幌ド,京都,,,札幌
104,2022-05-07,12,6,17:00,ベススタ,湘南,,,福岡
105,2022-05-08,12,7,14:00,パナスタ,神戸,,,Ｇ大阪
106,2022-05-08,12,8,15:00,味スタ,鳥栖,,,FC東京
107,2022-05-08,12,9,16:00,三協Ｆ柏,浦和,,,柏
108,2022-05-13,13,1,19:30,埼玉,広島,,,浦和
109,2022-05-14,13,2,14:00,ヤマハ,FC東京,,,磐田
110,2022-05-14,13,3,14:00,豊田ス,Ｃ大阪,,,名古屋
111,2022-05-14,13,4,14:00,サンガＳ,清水,,,京都
112,2022-05-14,13,5,15:00,カシマ,札幌,,,鹿島
113,2022-05-14,13,6,15:00,ノエスタ,鳥栖,,,神戸
114,2022-05-14,13,7,16:00,等々力,福岡,,,川崎Ｆ
115,2022-05-14,13,8,16:00,レモンＳ,横浜FM,,,湘南
116,2022-05-14,13,9,19:00,三協Ｆ柏,Ｇ大阪,,,柏
117,2022-05-21,14,1,13:00,Ｅスタ,京都,,,広島
118,2022-05-21,14,2,14:00,アイスタ,名古屋,,,清水
119,2022-05-21,14,3,14:00,ヨドコウ,Ｇ大阪,,,Ｃ大阪
120,2022-05-21,14,4,15:00,味スタ,柏,,,FC東京
121,2022-05-21,14,5,15:00,レモンＳ,神戸,,,湘南
122,2022-05-21,14,6,17:00,埼玉,鹿島,,,浦和
123,2022-05-21,14,7,17:00,駅スタ,川崎Ｆ,,,鳥栖
124,2022-05-21,14,8,19:00,ベススタ,横浜FM,,,福岡
125,2022-05-22,14,9,15:00,ヤマハ,札幌,,,磐田
126,2022-05-25,15,1,19:00,カシマ,鳥栖,,,鹿島
127,2022-05-25,15,2,19:00,パナスタ,広島,,,Ｇ大阪
128,2022-05-25,15,3,19:00,ヨドコウ,浦和,,,Ｃ大阪
129,2022-05-25,15,4,19:00,札幌ド,柏,,,札幌
130,2022-05-25,15,5,19:00,等々力,湘南,,,川崎Ｆ
131,2022-05-25,15,6,19:00,ニッパツ,京都,,,横浜FM
132,2022-05-25,15,7,19:00,アイスタ,FC東京,,,清水
133,2022-05-25,15,8,19:00,ノエスタ,磐田,,,神戸
134,2022-05-25,15,9,19:30,豊田ス,福岡,,,名古屋
135,2022-05-28,16,1,14:00,Ｅスタ,名古屋,,,広島
136,2022-05-28,16,2,17:00,ベススタ,浦和,,,福岡
137,2022-05-29,16,3,未定,サンガＳ,川崎Ｆ,,,京都
138,2022-05-29,16,4,13:05,ノエスタ,札幌,,,神戸
139,2022-05-29,16,5,15:00,味スタ,鹿島,,,FC東京
140,2022-05-29,16,6,15:00,レモンＳ,Ｃ大阪,,,湘南
141,2022-05-29,16,7,16:00,三協Ｆ柏,清水,,,柏
142,2022-05-29,16,8,16:00,ヤマハ,横浜FM,,,磐田
143,2022-05-29,16,9,17:00,駅スタ,Ｇ大阪,,,鳥栖
144,2022-06-18,17,1,18:00,カシマ,京都,,,鹿島
145,2022-06-18,17,2,18:00,レモンＳ,FC東京,,,湘南
146,2022-06-18,17,3,18:00,アイスタ,福岡,,,清水
147,2022-06-18,17,4,18:00,ヤマハ,鳥栖,,,磐田
148,2022-06-18,17,5,19:00,埼玉,名古屋,,,浦和
149,2022-06-18,17,6,19:00,三協Ｆ柏,神戸,,,柏
150,2022-06-18,17,7,19:00,等々力,札幌,,,川崎Ｆ
151,2022-06-18,17,8,19:00,パナスタ,横浜FM,,,Ｇ大阪
152,2022-06-18,17,9,19:00,Ｅスタ,Ｃ大阪,,,広島
153,2022-06-25,18,1,16:00,日産ス,柏,,,横浜FM
154,2022-06-25,18,2,18:30,ベススタ,広島,,,福岡
155,2022-06-25,18,3,19:00,等々力,磐田,,,川崎Ｆ
156,2022-06-26,18,4,14:00,札幌ド,Ｇ大阪,,,札幌
157,2022-06-26,18,5,18:00,豊田ス,鹿島,,,名古屋
158,2022-06-26,18,6,18:00,ヨドコウ,清水,,,Ｃ大阪
159,2022-06-26,18,7,18:00,ノエスタ,浦和,,,神戸
160,2022-06-26,18,8,18:30,サンガＳ,湘南,,,京都
161,2022-06-26,18,9,19:00,駅スタ,FC東京,,,鳥栖
162,2022-07-02,19,1,18:00,味スタ,福岡,,,FC東京
163,2022-07-02,19,2,18:30,三協Ｆ柏,鹿島,,,柏
164,2022-07-02,19,3,18:30,Ｅスタ,磐田,,,広島
165,2022-07-02,19,4,18:30,サンガＳ,札幌,,,京都
166,2022-07-02,19,5,19:00,国立,横浜FM,,,清水
167,2022-07-02,19,6,19:00,パナスタ,浦和,,,Ｇ大阪
168,2022-07-02,19,7,19:00,ヨドコウ,川崎Ｆ,,,Ｃ大阪
169,2022-07-02,19,8,19:00,レモンＳ,名古屋,,,湘南
170,2022-07-02,19,9,19:30,駅スタ,神戸,,,鳥栖
171,2022-07-06,20,1,19:00,カシマ,Ｃ大阪,,,鹿島
172,2022-07-06,20,2,19:00,三協Ｆ柏,名古屋,,,柏
173,2022-07-06,20,3,19:00,味スタ,札幌,,,FC東京
174,2022-07-06,20,4,19:00,等々力,鳥栖,,,川崎Ｆ
175,2022-07-06,20,5,19:00,日産ス,広島,,,横浜FM
176,2022-07-06,20,6,19:00,ヤマハ,福岡,,,磐田
177,2022-07-06,20,7,19:00,レモンＳ,Ｇ大阪,,,湘南
178,2022-07-06,20,8,19:00,ノエスタ,清水,,,神戸
179,2022-07-06,20,9,19:30,埼玉,京都,,,浦和
180,2022-07-09,21,1,19:00,等々力,Ｇ大阪,,,川崎Ｆ
181,2022-07-09,21,2,19:00,ヤマハ,神戸,,,磐田
182,2022-07-10,21,3,14:00,札幌ド,鹿島,,,札幌
183,2022-07-10,21,4,18:00,豊田ス,清水,,,名古屋
184,2022-07-10,21,5,18:00,Ｅスタ,湘南,,,広島
