,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,round,home_pk_score,away_pk_score,leg,match_number
0,2009/03/25,1,1,19:00,ＮＡＣＫ,大宮,2,1,新潟,試合終了,第1節,,,,11554
1,2009/03/25,1,2,19:00,ヤマハ,磐田,0,0,横浜FM,試合終了,第1節,,,,11555
2,2009/03/25,1,3,19:02,広島ビ,広島,1,0,浦和,試合終了,第1節,,,,11556
3,2009/03/25,1,4,19:00,柏,柏,3,1,Ｆ東京,試合終了,第1節,,,,11576
4,2009/03/25,1,5,19:04,ＮＤスタ,山形,3,1,京都,試合終了,第1節,,,,11575
5,2009/03/25,1,6,19:04,ホムスタ,神戸,1,1,千葉,試合終了,第1節,,,,11577
0,2009/03/29,2,1,14:00,東北電ス,新潟,0,0,磐田,試合終了,第2節,,,,11557
1,2009/03/29,2,2,14:05,九石ド,大分,0,0,大宮,試合終了,第2節,,,,11558
2,2009/03/29,2,3,15:00,日産ス,横浜FM,0,1,浦和,試合終了,第2節,,,,11559
3,2009/03/29,2,4,13:00,アウスタ,清水,2,0,京都,試合終了,第2節,,,,11578
4,2009/03/29,2,5,14:04,味スタ,Ｆ東京,1,0,神戸,試合終了,第2節,,,,11579
5,2009/03/29,2,6,16:00,フクアリ,千葉,1,1,柏,試合終了,第2節,,,,11580
0,2009/05/20,3,1,19:00,ＮＡＣＫ,大宮,1,0,磐田,試合終了,第3節,,,,11560
1,2009/05/20,3,2,19:30,日産ス,横浜FM,3,1,広島,試合終了,第3節,,,,11561
2,2009/05/20,3,3,19:35,九石ド,大分,1,1,浦和,試合終了,第3節,,,,11562
3,2009/05/20,3,4,19:00,フクアリ,千葉,0,1,Ｆ東京,試合終了,第3節,,,,11581
4,2009/05/20,3,5,19:00,アウスタ,清水,0,1,山形,試合終了,第3節,,,,11582
5,2009/05/20,3,6,19:00,西京極,京都,0,1,神戸,試合終了,第3節,,,,11583
0,2009/05/30,4,1,14:00,広島ビ,広島,7,0,大宮,試合終了,第4節,,,,11563
1,2009/05/30,4,2,15:00,ニッパ球,横浜FM,3,3,大分,試合終了,第4節,,,,11565
2,2009/05/30,4,3,15:01,埼玉,浦和,2,0,新潟,試合終了,第4節,,,,11564
3,2009/05/30,4,4,14:00,ＮＤスタ,山形,0,1,千葉,試合終了,第4節,,,,11584
4,2009/05/30,4,5,14:00,西京極,京都,1,1,Ｆ東京,試合終了,第4節,,,,11585
5,2009/05/30,4,6,15:00,柏,柏,1,2,清水,試合終了,第4節,,,,11586
0,2009/06/03,5,1,19:00,駒場,浦和,1,0,磐田,試合終了,第5節,,,,11566
1,2009/06/03,5,2,19:00,東北電ス,新潟,0,3,横浜FM,試合終了,第5節,,,,11567
2,2009/06/03,5,3,19:30,九石ド,大分,2,2,広島,試合終了,第5節,,,,11568
3,2009/06/03,5,4,19:00,柏,柏,3,0,神戸,試合終了,第5節,,,,11587
4,2009/06/03,5,5,19:00,アウスタ,清水,2,1,千葉,試合終了,第5節,,,,11588
5,2009/06/03,5,6,19:34,国立,Ｆ東京,3,1,山形,試合終了,第5節,,,,11589
0,2009/06/07,6,1,13:00,広島ビ,広島,5,1,新潟,試合終了,第6節,,,,11569
1,2009/06/07,6,2,14:00,ＮＡＣＫ,大宮,1,3,横浜FM,試合終了,第6節,,,,11570
2,2009/06/07,6,3,15:00,ヤマハ,磐田,2,2,大分,試合終了,第6節,,,,11571
3,2009/06/07,6,4,13:04,ＮＤスタ,山形,1,1,柏,試合終了,第6節,,,,11590
4,2009/06/07,6,5,16:04,ホムスタ,神戸,1,2,清水,試合終了,第6節,,,,11591
5,2009/06/07,6,6,18:00,フクアリ,千葉,2,1,京都,試合終了,第6節,,,,11592
0,2009/06/13,7,1,14:00,埼玉,浦和,6,2,大宮,試合終了,第7節,,,,11572
1,2009/06/13,7,2,14:00,東北電ス,新潟,1,2,大分,試合終了,第7節,,,,11573
2,2009/06/13,7,3,14:01,鴨池,磐田,2,1,広島,試合終了,第7節,,,,11574
3,2009/06/13,7,4,14:00,西京極,京都,0,3,柏,試合終了,第7節,,,,11594
4,2009/06/13,7,5,14:00,ホムスタ,神戸,1,0,山形,試合終了,第7節,,,,11595
5,2009/06/13,7,6,14:04,駒沢,Ｆ東京,3,1,清水,試合終了,第7節,,,,11593
0,2009/07/15,-3,1,19:00,カシマ,鹿島,1,0,川崎Ｆ,試合終了,準々決勝　第1戦,,,1,11596
1,2009/07/15,-3,2,19:04,万博,Ｇ大阪,1,3,横浜FM,試合終了,準々決勝　第1戦,,,1,11597
2,2009/07/15,-3,3,19:30,埼玉,浦和,2,1,清水,試合終了,準々決勝　第1戦,,,1,11598
3,2009/07/15,-3,4,19:30,味スタ,Ｆ東京,5,1,名古屋,試合終了,準々決勝　第1戦,,,1,11599
0,2009/07/29,-3,1,19:00,等々力,川崎Ｆ,3,0,鹿島,試合終了,準々決勝　第2戦,,,2,11600
1,2009/07/29,-3,3,19:00,アウスタ,清水,3,0,浦和,試合終了,準々決勝　第2戦,,,2,11601
2,2009/07/29,-3,4,19:00,瑞穂陸,名古屋,2,1,Ｆ東京,試合終了,準々決勝　第2戦,,,2,11602
3,2009/07/29,-3,2,19:30,ニッパ球,横浜FM,1,2,Ｇ大阪,試合終了,準々決勝　第2戦,,,2,11603
0,2009/09/02,-2,1,19:00,等々力,川崎Ｆ,2,0,横浜FM,試合終了,準決勝　第1戦,,,1,11605
1,2009/09/02,-2,2,19:00,アウスタ,清水,2,2,Ｆ東京,試合終了,準決勝　第1戦,,,1,11604
0,2009/09/06,-2,2,18:00,味スタ,Ｆ東京,1,0,清水,試合終了,準決勝　第2戦,,,2,11606
1,2009/09/06,-2,1,18:00,日産ス,横浜FM,1,1,川崎Ｆ,試合終了,準決勝　第2戦,,,2,11607
0,2009/11/03,-1,1,14:09,国立,Ｆ東京,2,0,川崎Ｆ,試合終了,決勝,,,,11608
