,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,round,home_pk_score,away_pk_score,home_score_ex,away_score_ex,leg
8,1997/03/29,0,9,14:03,磐田,磐田,0,0,横浜Ｆ,試合終了,第6節第1日,,,,,
9,1997/03/29,0,10,15:02,博多球,福岡,2,2,京都,試合終了,第6節第1日,,,,,
0,1997/10/15,0,1,19:00,長良川,名古屋,4,0,市原,試合終了,準々決勝第1戦,,,,,1
1,1997/10/15,0,2,19:01,札幌,札幌,1,2,鹿島,試合終了,準々決勝第1戦,,,,,1
2,1997/10/15,0,3,19:02,三ツ沢,横浜Ｆ,0,1,柏,試合終了,準々決勝第1戦,,,,,1
3,1997/10/15,0,4,19:04,駒場,浦和,0,0,磐田,試合終了,準々決勝第1戦,,,,,1
0,1997/10/18,0,1,15:00,市原,市原,1,1,名古屋,試合終了,準々決勝第2戦,,,,,2
1,1997/10/18,0,2,15:02,カシマ,鹿島,7,0,札幌,試合終了,準々決勝第2戦,,,,,2
2,1997/10/18,0,3,15:03,磐田,磐田,3,2,浦和,試合終了,準々決勝第2戦,,,,,2
3,1997/10/18,0,4,19:00,柏,柏,0,3,横浜Ｆ,試合終了,準々決勝第2戦,,,,,2
0,1997/11/01,0,1,19:00,三ツ沢,横浜Ｆ,1,0,磐田,試合終了,準決勝第1戦,,,,,1
1,1997/11/01,0,2,19:04,カシマ,鹿島,1,0,名古屋,試合終了,準決勝第1戦,,,,,1
0,1997/11/08,0,1,16:03,瑞穂陸,名古屋,0,0,鹿島,試合終了,準決勝第2戦,,,,,2
1,1997/11/09,0,2,13:03,磐田,磐田,2,0,横浜Ｆ,試合終了,準決勝第2戦,,,1,0,2
0,1997/11/22,0,1,15:03,磐田,磐田,1,2,鹿島,試合終了,決勝戦第1戦,,,,,1
0,1997/11/29,0,1,15:04,カシマ,鹿島,5,1,磐田,試合終了,決勝戦第2戦,,,,,2
