,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status
0,2024-02-24,1,1,14:03,Ｋｓスタ,いわき,0,1,水戸,試合終了
1,2024-02-24,1,2,14:03,ニッパツ,山口,1,1,横浜FC,試合終了
2,2024-02-24,1,3,14:03,藤枝サ,長崎,0,0,藤枝,試合終了
3,2024-02-25,1,4,12:53,ニンスタ,秋田,0,1,愛媛,試合終了
4,2024-02-25,1,5,13:05,フクアリ,山形,3,2,千葉,試合終了
5,2024-02-25,1,6,13:04,Ｃスタ,栃木,0,3,岡山,試合終了
6,2024-02-25,1,7,13:03,えがおＳ,清水,2,1,熊本,試合終了
7,2024-02-25,1,8,14:03,正田スタ,鹿児島,1,1,群馬,試合終了
8,2024-02-25,1,9,14:03,鳴門大塚,甲府,5,1,徳島,試合終了
9,2024-02-25,1,10,14:05,レゾド,仙台,1,1,大分,試合終了
10,2024-03-02,2,1,13:03,トラスタ,仙台,2,1,長崎,試合終了
11,2024-03-02,2,2,14:03,Ｋｓスタ,甲府,2,1,水戸,試合終了
12,2024-03-02,2,3,14:03,フクアリ,藤枝,0,4,千葉,試合終了
13,2024-03-02,2,4,14:03,アイスタ,愛媛,0,2,清水,試合終了
14,2024-03-02,2,5,14:03,レゾド,横浜FC,0,0,大分,試合終了
15,2024-03-02,2,6,15:10,白波スタ,徳島,1,2,鹿児島,試合終了
16,2024-03-03,2,7,13:03,ハワスタ,岡山,1,1,いわき,試合終了
17,2024-03-03,2,8,13:02,みらスタ,秋田,0,2,山口,試合終了
18,2024-03-03,2,9,13:03,えがおＳ,群馬,1,1,熊本,試合終了
19,2024-03-03,2,10,14:03,カンセキ,山形,3,1,栃木,試合終了
20,2024-03-09,3,1,14:03,ハワスタ,鹿児島,1,3,いわき,試合終了
21,2024-03-09,3,2,14:03,ニッパツ,山形,0,2,横浜FC,試合終了
22,2024-03-09,3,3,14:03,ＪＩＴス,栃木,2,1,甲府,試合終了
23,2024-03-09,3,4,14:03,鳴門大塚,秋田,2,1,徳島,試合終了
24,2024-03-10,3,5,13:04,ユアスタ,水戸,0,1,仙台,試合終了
25,2024-03-10,3,6,14:03,藤枝サ,大分,1,0,藤枝,試合終了
26,2024-03-10,3,7,14:03,Ｃスタ,山口,0,1,岡山,試合終了
27,2024-03-10,3,8,14:03,トラスタ,清水,1,4,長崎,試合終了
28,2024-03-10,3,9,15:03,ニンスタ,熊本,3,2,愛媛,試合終了
29,2024-03-10,3,10,17:04,正田スタ,千葉,3,1,群馬,試合終了
30,2024-03-16,4,1,14:03,ソユスタ,仙台,0,0,秋田,試合終了
31,2024-03-16,4,2,14:03,ＮＤスタ,甲府,1,0,山形,試合終了
32,2024-03-16,4,3,14:03,Ｋｓスタ,徳島,2,1,水戸,試合終了
33,2024-03-16,4,4,14:03,カンセキ,横浜FC,0,1,栃木,試合終了
34,2024-03-16,4,5,14:03,正田スタ,愛媛,1,0,群馬,試合終了
35,2024-03-16,4,6,14:03,アイスタ,大分,0,2,清水,試合終了
36,2024-03-16,4,7,14:03,藤枝サ,岡山,1,0,藤枝,試合終了
37,2024-03-16,4,8,15:03,白波スタ,千葉,2,4,鹿児島,試合終了
38,2024-03-17,4,9,13:03,えがおＳ,いわき,6,0,熊本,試合終了
39,2024-03-17,4,10,13:18,みらスタ,長崎,1,0,山口,試合終了
40,2024-03-20,5,1,14:03,ユアスタ,熊本,0,0,仙台,試合終了
41,2024-03-20,5,2,14:03,ソユスタ,栃木,0,3,秋田,試合終了
42,2024-03-20,5,3,14:03,ＮＤスタ,藤枝,1,0,山形,試合終了
43,2024-03-20,5,4,14:03,フクアリ,清水,3,1,千葉,試合終了
44,2024-03-20,5,5,14:03,ニッパツ,群馬,0,1,横浜FC,試合終了
45,2024-03-20,5,6,14:03,ＪＩＴス,いわき,1,1,甲府,試合終了
46,2024-03-20,5,7,14:03,Ｃスタ,水戸,0,1,岡山,試合終了
47,2024-03-20,5,8,14:03,レゾド,鹿児島,0,3,大分,試合終了
48,2024-03-20,5,9,15:03,ニンスタ,長崎,2,1,愛媛,試合終了
49,2024-03-20,5,10,15:54,鳴門大塚,山口,2,1,徳島,試合終了
50,2024-03-24,6,1,14:03,ユアスタ,徳島,0,0,仙台,試合終了
51,2024-03-24,6,2,14:03,ハワスタ,山形,0,0,いわき,試合終了
52,2024-03-24,6,3,14:03,Ｋｓスタ,千葉,0,0,水戸,試合終了
53,2024-03-24,6,4,14:03,カンセキ,大分,1,2,栃木,試合終了
54,2024-03-24,6,5,14:03,アイスタ,秋田,0,1,清水,試合終了
55,2024-03-24,6,6,14:03,藤枝サ,熊本,1,2,藤枝,試合終了
56,2024-03-24,6,7,14:03,みらスタ,愛媛,1,1,山口,試合終了
57,2024-03-24,6,8,14:03,トラスタ,甲府,1,1,長崎,試合終了
58,2024-03-24,6,9,14:03,白波スタ,横浜FC,4,0,鹿児島,試合終了
59,2024-03-24,6,10,17:03,正田スタ,岡山,2,1,群馬,試合終了
60,2024-03-30,7,1,13:03,ＪＩＴス,山口,2,0,甲府,試合終了
61,2024-03-30,7,2,14:03,ソユスタ,いわき,0,1,秋田,試合終了
62,2024-03-30,7,3,14:03,ＮＤスタ,清水,0,2,山形,試合終了
