,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,round,home_pk_score,away_pk_score,home_score_ex,away_score_ex,leg,match_number
0,1994/07/27,-4,1,18:59,カシマ,鹿島,1,2,浦和,試合終了,1回戦,,,,,,727
1,1994/07/27,-4,2,19:00,博多陸,柏,1,2,横浜M,試合終了,1回戦,,,,,,728
2,1994/07/27,-4,3,19:00,磐田,磐田,2,1,平塚,試合終了,1回戦,,,,,,730
3,1994/07/27,-4,4,19:00,万博,Ｇ大阪,2,1,広島,試合終了,1回戦,,,,,,726
4,1994/07/27,-4,5,19:03,瑞穂陸,名古屋,1,3,市原,試合終了,1回戦,,,,,,725
5,1994/07/27,-4,6,19:09,鴨池,横浜Ｆ,1,0,Ｃ大阪,試合終了,1回戦,,,,,,729
0,1994/07/30,-3,1,18:32,栃木,清水,1,3,横浜M,試合終了,2回戦,,,,,,731
1,1994/07/30,-3,2,18:59,鴨池,横浜Ｆ,0,2,磐田,試合終了,2回戦,,,,,,734
2,1994/07/30,-3,3,19:00,万博,Ｇ大阪,3,0,浦和,試合終了,2回戦,,,,,,733
3,1994/07/30,-3,4,19:01,等々力,Ｖ川崎,1,0,市原,試合終了,2回戦,,,1,0,,732
0,1994/08/03,-2,1,19:01,博多陸,横浜M,0,1,磐田,試合終了,準決勝,,,,,,736
1,1994/08/03,-2,2,19:02,瑞穂陸,Ｖ川崎,7,1,Ｇ大阪,試合終了,準決勝,,,,,,735
0,1994/08/06,-1,1,19:04,神戸ユ,Ｖ川崎,2,0,磐田,試合終了,決勝戦,,,,,,737
