,match_date,section_no,start_time,stadium,home_team,away_team,status,matchNumber,home_goal,away_goal,extraTime,match_index_in_section,group
0,2022-04-03,1,11:00,J-STEP,清水エスパルスユース,東福岡高校,試合終了,107,2,3,False,1,
1,2022-04-03,1,11:00,吉田人工,サンフレッチェ広島F.Cユース,ジュビロ磐田U-18,試合終了,108,1,3,False,2,
2,2022-04-03,1,11:00,佐賀陸,サガン鳥栖U-18,履正社高校,試合終了,109,3,0,False,3,
3,2022-04-03,1,12:00,大津球,大津高校,静岡学園高校,試合終了,110,0,4,False,4,
4,2022-04-03,1,13:00,トヨタＧ,名古屋グランパスU-18,セレッソ大阪U-18,試合終了,111,2,1,False,5,
5,2022-04-03,1,15:00,OFA万博B,ガンバ大阪ユース,ヴィッセル神戸U-18,試合終了,112,0,4,False,6,
6,2022-04-09,2,13:00,磐田ゆ球,ジュビロ磐田U-18,清水エスパルスユース,試合終了,207,2,1,False,1,
7,2022-07-17,2,18:00,ｾﾚｯｿ舞洲,セレッソ大阪U-18,ガンバ大阪ユース,試合終了,208,0,3,False,2,
8,2022-04-09,2,14:00,東福岡Ｇ,東福岡高校,名古屋グランパスU-18,試合終了,209,0,1,False,3,
9,2022-04-09,2,15:00,いぶきＣ,ヴィッセル神戸U-18,大津高校,試合終了,210,1,2,False,4,
10,2022-04-10,2,11:00,時栖富士,静岡学園高校,サガン鳥栖U-18,試合終了,211,2,0,False,5,
11,2022-04-10,2,11:00,履正社Ｇ,履正社高校,サンフレッチェ広島F.Cユース,試合終了,212,2,1,False,6,
12,2022-04-16,3,14:00,ｾﾚｯｿ舞洲,セレッソ大阪U-18,ヴィッセル神戸U-18,試合終了,307,5,2,False,1,
13,2022-08-27,3,18:00,OFA万博B,ガンバ大阪ユース,東福岡高校,,308,,,False,2,
14,2022-04-17,3,11:00,トヨタＧ,名古屋グランパスU-18,ジュビロ磐田U-18,試合終了,309,3,4,False,3,
15,2022-04-17,3,11:00,吉田人工,サンフレッチェ広島F.Cユース,静岡学園高校,試合終了,310,1,3,False,4,
16,2022-04-17,3,11:00,佐賀市天,サガン鳥栖U-18,大津高校,試合終了,311,3,0,False,5,
17,2022-04-17,3,13:00,アイスタ,清水エスパルスユース,履正社高校,試合終了,312,5,4,False,6,
18,2022-08-28,4,17:00,履正社Ｇ人,履正社高校,名古屋グランパスU-18,,407,,,False,1,
19,未定,4,未定,未定,ジュビロ磐田U-18,ガンバ大阪ユース,,408,,,False,2,
20,2022-04-23,4,15:00,いぶきＣ,ヴィッセル神戸U-18,サガン鳥栖U-18,試合終了,409,0,3,False,3,
21,2022-04-24,4,11:00,大津球,大津高校,サンフレッチェ広島F.Cユース,試合終了,410,1,1,False,4,
22,2022-04-24,4,13:00,時栖富士,静岡学園高校,清水エスパルスユース,試合終了,411,1,1,False,5,
23,2022-04-24,4,15:00,東福岡Ｇ,東福岡高校,セレッソ大阪U-18,試合終了,412,0,7,False,6,
24,2022-04-30,5,14:00,ｾﾚｯｿ舞洲,セレッソ大阪U-18,ジュビロ磐田U-18,試合終了,507,3,2,False,1,
25,2022-04-30,5,15:00,OFA万博B,ガンバ大阪ユース,履正社高校,試合終了,508,2,5,False,2,
26,2022-05-01,5,11:00,吉田人工,サンフレッチェ広島F.Cユース,サガン鳥栖U-18,試合終了,509,1,4,False,3,
27,未定,5,未定,未定,東福岡高校,ヴィッセル神戸U-18,,510,,,False,4,
28,2022-05-01,5,13:00,アイスタ,清水エスパルスユース,大津高校,試合終了,511,4,0,False,5,
29,2022-05-01,5,13:00,トヨタＧ,名古屋グランパスU-18,静岡学園高校,試合終了,512,3,1,False,6,
30,未定,6,未定,未定,ジュビロ磐田U-18,東福岡高校,,607,,,False,1,
31,2022-05-07,6,13:00,履正社Ｇ,履正社高校,セレッソ大阪U-18,試合終了,608,2,2,False,2,
32,2022-05-07,6,15:00,いぶきＣ,ヴィッセル神戸U-18,サンフレッチェ広島F.Cユース,試合終了,609,3,1,False,3,
33,2022-05-08,6,11:00,佐賀市天,サガン鳥栖U-18,清水エスパルスユース,試合終了,610,2,0,False,4,
34,2022-05-08,6,13:00,時栖富士,静岡学園高校,ガンバ大阪ユース,試合終了,611,3,0,False,5,
35,未定,6,未定,未定,大津高校,名古屋グランパスU-18,,612,,,False,6,
36,2022-07-18,7,16:00,三保Ｇ,清水エスパルスユース,サンフレッチェ広島F.Cユース,試合終了,707,2,1,False,1,
37,2022-05-14,7,14:00,ｾﾚｯｿ舞洲,セレッソ大阪U-18,静岡学園高校,試合終了,708,1,3,False,2,
38,2022-08-20,7,18:00,OFA万博B,ガンバ大阪ユース,大津高校,,709,,,False,3,
39,未定,7,未定,未定,名古屋グランパスU-18,サガン鳥栖U-18,,710,,,False,4,
40,2022-05-15,7,11:00,東福岡Ｇ,東福岡高校,履正社高校,試合終了,711,2,1,False,5,
41,2022-05-15,7,14:00,ヤマハ,ジュビロ磐田U-18,ヴィッセル神戸U-18,試合終了,712,3,1,False,6,
42,2022-05-21,8,13:00,履正社Ｇ,履正社高校,ジュビロ磐田U-18,試合終了,807,1,2,False,1,
43,2022-05-21,8,15:00,いぶきＣ,ヴィッセル神戸U-18,清水エスパルスユース,試合終了,808,2,0,False,2,
44,未定,8,未定,未定,静岡学園高校,東福岡高校,,809,,,False,3,
45,2022-05-22,8,11:00,吉田人工,サンフレッチェ広島F.Cユース,名古屋グランパスU-18,試合終了,810,4,1,False,4,
46,2022-05-22,8,11:00,佐賀市人,サガン鳥栖U-18,ガンバ大阪ユース,試合終了,811,5,1,False,5,
47,未定,8,未定,未定,大津高校,セレッソ大阪U-18,,812,,,False,6,
48,2022-05-28,9,14:00,ｾﾚｯｿ舞洲,セレッソ大阪U-18,サガン鳥栖U-18,試合終了,907,3,1,False,1,
49,2022-05-29,9,17:00,OFA万博B,ガンバ大阪ユース,サンフレッチェ広島F.Cユース,試合終了,908,0,0,False,2,
50,2022-06-12,9,13:00,東福岡Ｇ,東福岡高校,大津高校,試合終了,909,1,0,False,3,
51,2022-06-18,9,11:00,磐田ゆ球,ジュビロ磐田U-18,静岡学園高校,試合終了,910,2,1,False,4,
52,2022-06-18,9,11:00,履正社Ｇ,履正社高校,ヴィッセル神戸U-18,試合終了,911,1,1,False,5,
53,2022-06-19,9,16:00,トヨタＧ,名古屋グランパスU-18,清水エスパルスユース,試合終了,912,1,1,False,6,
54,2022-06-26,10,11:00,佐賀市天,サガン鳥栖U-18,東福岡高校,試合終了,1007,3,0,False,1,
55,2022-06-26,10,11:00,大津球,大津高校,ジュビロ磐田U-18,試合終了,1008,3,4,False,2,
56,2022-06-26,10,13:00,アイスタ,清水エスパルスユース,ガンバ大阪ユース,試合終了,1009,2,2,False,3,
57,2022-06-26,10,13:00,時栖富士,静岡学園高校,履正社高校,試合終了,1010,3,2,False,4,
58,2022-06-26,10,16:00,トヨタＧ,名古屋グランパスU-18,ヴィッセル神戸U-18,試合終了,1011,0,2,False,5,
59,2022-06-26,10,16:00,吉田人工,サンフレッチェ広島F.Cユース,セレッソ大阪U-18,試合終了,1012,2,2,False,6,
60,2022-07-02,11,10:00,J-G堺 S5,履正社高校,大津高校,試合終了,1107,3,1,False,1,
61,2022-07-02,11,17:00,ｾﾚｯｿ舞洲,セレッソ大阪U-18,清水エスパルスユース,試合終了,1108,7,1,False,2,
62,2022-07-02,11,17:00,いぶきＣ,ヴィッセル神戸U-18,静岡学園高校,試合終了,1109,1,0,False,3,
63,2022-07-03,11,10:00,磐田ゆ球,ジュビロ磐田U-18,サガン鳥栖U-18,試合終了,1110,1,2,False,4,
64,2022-07-03,11,11:00,東福岡Ｇ,東福岡高校,サンフレッチェ広島F.Cユース,試合終了,1111,1,2,False,5,
65,2022-07-03,11,18:00,OFA万博B,ガンバ大阪ユース,名古屋グランパスU-18,試合終了,1112,1,0,False,6,
66,2022-07-09,12,17:00,いぶきＣ,ヴィッセル神戸U-18,ガンバ大阪ユース,試合終了,1207,1,0,False,1,
67,2022-07-10,12,10:00,履正社Ｇ,履正社高校,サガン鳥栖U-18,試合終了,1208,1,2,False,2,
68,2022-07-10,12,11:00,愛鷹,静岡学園高校,大津高校,試合終了,1209,2,2,False,3,
69,2022-07-10,12,16:00,磐田ゆ球,ジュビロ磐田U-18,サンフレッチェ広島F.Cユース,試合終了,1210,1,2,False,4,
