,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status
67,2025/03/30,7,8,15:03,ヤマハ,磐田,1,0,千葉,試合終了
68,2025/03/30,7,9,15:03,ニンスタ,愛媛,0,1,大分,試合終了
69,2025/03/30,7,10,16:04,鳴門大塚,徳島,1,0,大宮,試合終了
70,2025/04/05,8,1,13:03,Ｑスタ,仙台,1,0,秋田,試合終了
71,2025/04/05,8,2,13:33,ＪＩＴス,甲府,1,0,いわき,試合終了
72,2025/04/05,8,3,14:03,プレド,札幌,1,0,徳島,試合終了
73,2025/04/05,8,4,14:03,ＮＤスタ,山形,0,0,磐田,試合終了
74,2025/04/05,8,5,14:04,ＮＡＣＫ,大宮,2,2,大分,試合終了
75,2025/04/05,8,6,14:03,フクアリ,千葉,2,1,水戸,試合終了
76,2025/04/05,8,7,14:03,みらスタ,山口,1,1,愛媛,試合終了
77,2025/04/05,8,8,14:03,駅スタ,鳥栖,1,0,藤枝,試合終了
78,2025/04/06,8,9,13:03,えがおＳ,熊本,0,0,富山,試合終了
79,2025/04/06,8,10,13:33,アシさと,今治,4,1,長崎,試合終了
80,2025/04/12,9,1,13:03,Ｑスタ,仙台,0,0,今治,試合終了
81,2025/04/12,9,2,14:03,ハワスタ,いわき,0,1,山形,試合終了
82,2025/04/12,9,3,14:03,Ｋｓスタ,水戸,3,1,札幌,試合終了
83,2025/04/13,9,4,14:03,ソユスタ,秋田,1,2,大宮,試合終了
84,2025/04/13,9,5,14:03,富山,富山,2,2,山口,試合終了
85,2025/04/13,9,6,14:03,藤枝サ,藤枝,2,3,千葉,試合終了
86,2025/04/13,9,7,14:05,ピースタ,長崎,0,2,鳥栖,試合終了
87,2025/04/13,9,8,14:03,クラド,大分,1,1,徳島,試合終了
88,2025/04/13,9,9,15:03,ヤマハ,磐田,1,1,熊本,試合終了
89,2025/04/13,9,10,16:03,ニンスタ,愛媛,0,0,甲府,試合終了
90,2025/04/19,10,1,14:03,ＮＤスタ,山形,2,3,愛媛,試合終了
91,2025/04/19,10,2,14:04,ＪＩＴス,甲府,1,1,長崎,試合終了
92,2025/04/19,10,3,14:03,駅スタ,鳥栖,2,2,山口,試合終了
93,2025/04/20,10,4,13:03,えがおＳ,熊本,0,1,仙台,試合終了
94,2025/04/20,10,5,14:03,プレド,札幌,2,1,藤枝,試合終了
95,2025/04/20,10,6,14:03,ソユスタ,秋田,2,1,磐田,試合終了
96,2025/04/20,10,7,14:03,フクアリ,千葉,1,0,大分,試合終了
97,2025/04/20,10,8,14:03,富山,富山,1,2,いわき,試合終了
98,2025/04/20,10,9,14:03,鳴門大塚,徳島,0,1,水戸,試合終了
99,2025/04/20,10,10,14:03,アシさと,今治,0,0,大宮,試合終了
100,2025/04/25,11,1,19:03,Ｑスタ,仙台,1,1,愛媛,試合終了
101,2025/04/25,11,2,19:03,Ｋｓスタ,水戸,0,0,甲府,試合終了
102,2025/04/25,11,3,19:03,ＮＡＣＫ,大宮,1,0,札幌,試合終了
103,2025/04/25,11,4,19:03,フクアリ,千葉,3,1,秋田,試合終了
104,2025/04/25,11,5,19:03,ヤマハ,磐田,0,3,大分,試合終了
105,2025/04/25,11,6,19:03,藤枝サ,藤枝,0,2,熊本,試合終了
106,2025/04/25,11,7,19:03,駅スタ,鳥栖,2,1,山形,試合終了
107,2025/04/25,11,8,19:03,ピースタ,長崎,3,4,いわき,試合終了
108,2025/04/26,11,9,14:03,みらスタ,山口,1,2,今治,試合終了
109,2025/04/26,11,10,14:03,鳴門大塚,徳島,1,0,富山,試合終了
110,2025/04/29,12,1,14:03,プレド,札幌,2,2,長崎,試合終了
111,2025/04/29,12,2,14:03,ソユスタ,秋田,0,2,徳島,試合終了
112,2025/04/29,12,3,14:03,ハワスタ,いわき,2,1,大宮,試合終了
113,2025/04/29,12,4,14:03,Ｋｓスタ,水戸,0,0,今治,試合終了
114,2025/04/29,12,5,14:03,ＪＩＴス,甲府,1,2,仙台,試合終了
115,2025/04/29,12,6,14:03,富山,富山,0,0,山形,試合終了
116,2025/04/29,12,7,14:03,えがおＳ,熊本,0,0,千葉,試合終了
117,2025/04/29,12,8,14:03,クラド,大分,1,0,鳥栖,試合終了
118,2025/04/29,12,9,15:03,ヤマハ,磐田,0,1,山口,試合終了
119,2025/04/29,12,10,15:03,ニンスタ,愛媛,2,4,藤枝,試合終了
120,2025/05/03,13,1,13:03,Ｑスタ,仙台,3,1,山口,試合終了
121,2025/05/03,13,2,13:05,ハワスタ,いわき,1,1,秋田,試合終了
122,2025/05/03,13,3,13:33,ＪＩＴス,甲府,0,2,徳島,試合終了
123,2025/05/03,13,4,14:03,ＮＤスタ,山形,0,1,札幌,試合終了
124,2025/05/03,13,5,14:03,ＮＡＣＫ,大宮,2,2,富山,試合終了
125,2025/05/03,13,6,14:03,藤枝サ,藤枝,0,2,水戸,試合終了
126,2025/05/03,13,7,14:03,アシさと,今治,3,3,磐田,試合終了
127,2025/05/03,13,8,14:03,駅スタ,鳥栖,1,1,千葉,試合終了
128,2025/05/03,13,9,14:03,クラド,大分,1,0,熊本,試合終了
129,2025/05/03,13,10,16:03,ピースタ,長崎,1,1,愛媛,試合終了
130,2025/05/06,14,1,13:03,Ｑスタ,仙台,2,1,藤枝,試合終了
131,2025/05/06,14,2,14:00,富山,富山,1,2,長崎,試合終了
132,2025/05/06,14,3,14:03,プレド,札幌,2,4,磐田,試合終了
133,2025/05/06,14,4,14:03,ＮＤスタ,山形,3,0,大分,試合終了
134,2025/05/06,14,5,14:03,みらスタ,山口,1,2,水戸,試合終了
135,2025/05/06,14,6,15:03,ソユスタ,秋田,0,1,甲府,試合終了
136,2025/05/06,14,7,15:03,ニンスタ,愛媛,1,1,いわき,試合終了
137,2025/05/06,14,8,15:03,えがおＳ,熊本,0,1,今治,試合終了
138,2025/05/06,14,9,15:53,鳴門大塚,徳島,0,1,鳥栖,試合終了
139,2025/05/06,14,10,16:06,国立,千葉,1,2,大宮,試合終了
140,2025/05/10,15,1,14:03,ＮＡＣＫ,大宮,3,0,仙台,試合終了
141,2025/05/11,15,2,13:03,ハワスタ,いわき,1,1,札幌,試合終了
142,2025/05/11,15,3,13:03,ヤマハ,磐田,1,0,藤枝,試合終了
143,2025/05/11,15,4,14:03,Ｋｓスタ,水戸,2,1,秋田,試合終了
144,2025/05/11,15,5,14:03,鳴門大塚,徳島,2,0,山口,試合終了
145,2025/05/11,15,6,14:03,アシさと,今治,0,1,千葉,試合終了
146,2025/05/11,15,7,14:03,駅スタ,鳥栖,0,0,甲府,試合終了
147,2025/05/11,15,8,14:03,ピースタ,長崎,1,1,山形,試合終了
148,2025/05/11,15,9,14:08,富山,富山,1,1,大分,試合終了
149,2025/05/11,15,10,15:03,えがおＳ,熊本,2,2,愛媛,試合終了
150,2025/05/17,16,1,13:34,ＪＩＴス,甲府,1,0,今治,試合終了
151,2025/05/17,16,2,14:03,プレド,札幌,2,1,富山,試合終了
152,2025/05/17,16,3,14:03,ソユスタ,秋田,1,2,鳥栖,試合終了
153,2025/05/17,16,4,14:03,Ｋｓスタ,水戸,2,1,熊本,試合終了
154,2025/05/17,16,5,14:03,フクアリ,千葉,0,0,仙台,試合終了
155,2025/05/17,16,6,14:03,ヤマハ,磐田,2,0,いわき,試合終了
156,2025/05/17,16,7,14:03,藤枝サ,藤枝,0,1,大宮,試合終了
157,2025/05/18,16,8,14:03,ＳＶ下関,山口,1,0,山形,試合終了
158,2025/05/18,16,9,14:03,クラド,大分,1,2,長崎,試合終了
159,2025/05/18,16,10,18:03,ニンスタ,愛媛,0,2,徳島,試合終了
160,2025/05/25,17,1,13:03,ハワスタ,いわき,1,2,仙台,試合終了
161,2025/05/25,17,2,14:03,ＮＤスタ,山形,0,4,甲府,試合終了
162,2025/05/25,17,3,14:03,みらスタ,山口,0,0,藤枝,試合終了
163,2025/05/25,17,4,14:04,鳴門大塚,徳島,1,1,磐田,試合終了
164,2025/05/25,17,5,14:03,駅スタ,鳥栖,2,1,札幌,試合終了
165,2025/05/25,17,6,14:03,ピースタ,長崎,1,0,千葉,試合終了
166,2025/05/25,17,7,16:03,えがおＳ,熊本,1,2,秋田,試合終了
167,2025/06/07,17,8,18:03,アシさと,今治,1,1,大分,試合終了
168,2025/06/08,17,9,14:03,ＮＡＣＫ,大宮,1,1,愛媛,試合終了
169,2025/06/08,17,10,14:03,富山,富山,0,1,水戸,試合終了
170,2025/05/31,18,1,14:03,Ｑスタ,仙台,1,1,札幌,試合終了
171,2025/05/31,18,2,14:03,ソユスタ,秋田,2,2,富山,試合終了
172,2025/05/31,18,3,14:03,Ｋｓスタ,水戸,3,0,長崎,試合終了
173,2025/05/31,18,4,14:03,ＮＡＣＫ,大宮,2,2,磐田,試合終了
174,2025/05/31,18,5,14:03,フクアリ,千葉,0,0,山口,試合終了
175,2025/05/31,18,6,14:03,藤枝サ,藤枝,2,1,山形,試合終了
176,2025/05/31,18,7,14:03,駅スタ,鳥栖,2,2,愛媛,試合終了
177,2025/05/31,18,8,18:10,アシさと,今治,0,1,徳島,試合終了
178,2025/05/31,18,9,19:03,クラド,大分,2,1,甲府,試合終了
179,2025/06/01,18,10,14:03,ハワスタ,いわき,5,1,熊本,試合終了
180,2025/06/14,19,1,18:03,Ｋｓスタ,水戸,1,0,鳥栖,試合終了
181,2025/06/15,19,2,14:03,プレド,札幌,2,2,今治,試合終了
182,2025/06/15,19,3,14:03,富山,富山,0,1,藤枝,試合終了
183,2025/06/15,19,4,14:03,みらスタ,山口,2,2,いわき,試合終了
184,2025/06/15,19,5,16:01,ＮＤスタ,山形,3,4,仙台,試合終了
185,2025/06/15,19,6,17:03,エコパ,磐田,4,0,愛媛,試合終了
186,2025/06/15,19,7,17:03,ピースタ,長崎,3,3,大宮,試合終了
187,2025/06/15,19,8,18:03,クラド,大分,1,2,秋田,試合終了
188,2025/06/15,19,9,18:33,ＪＩＴス,甲府,1,0,熊本,後半 23分速報中
189,2025/06/15,19,10,19:03,鳴門大塚,徳島,2,2,千葉,前半終了速報中
190,2025/06/21,20,1,16:00,ハワスタ,いわき,,,富山,ＶＳ
191,2025/06/21,20,2,18:00,ニンスタ,愛媛,,,山口,ＶＳ
192,2025/06/21,20,3,18:00,アシさと,今治,,,水戸,ＶＳ
193,2025/06/21,20,4,19:00,ＮＡＣＫ,大宮,,,鳥栖,ＶＳ
194,2025/06/21,20,5,19:00,フクアリ,千葉,,,磐田,ＶＳ
195,2025/06/21,20,6,19:00,藤枝サ,藤枝,,,札幌,ＶＳ
196,2025/06/21,20,7,19:00,鳴門大塚,徳島,,,大分,ＶＳ
197,2025/06/22,20,8,13:35,えがおＳ,熊本,,,長崎,ＶＳ
198,2025/06/22,20,9,14:00,ソユスタ,秋田,,,山形,ＶＳ
199,2025/06/22,20,10,18:00,ユアスタ,仙台,,,甲府,ＶＳ
200,2025/06/28,21,1,14:00,プレド,札幌,,,熊本,ＶＳ
201,2025/06/28,21,2,18:00,Ｋｓスタ,水戸,,,徳島,ＶＳ
202,2025/06/28,21,3,18:00,富山,富山,,,千葉,ＶＳ
203,2025/06/28,21,4,18:30,ＪＩＴス,甲府,,,愛媛,ＶＳ
204,2025/06/28,21,5,19:00,ＮＤスタ,山形,,,長崎,ＶＳ
205,2025/06/28,21,6,19:00,藤枝サ,藤枝,,,今治,ＶＳ
206,2025/06/28,21,7,19:00,みらスタ,山口,,,秋田,ＶＳ
207,2025/06/28,21,8,19:00,駅スタ,鳥栖,,,いわき,ＶＳ
208,2025/06/28,21,9,19:00,クラド,大分,,,大宮,ＶＳ
209,2025/06/28,21,10,19:30,ヤマハ,磐田,,,仙台,ＶＳ
210,2025/07/05,22,1,14:00,プレド,札幌,,,山口,ＶＳ
211,2025/07/05,22,2,18:00,ソユスタ,秋田,,,水戸,ＶＳ
212,2025/07/05,22,3,18:00,ピースタ,長崎,,,大分,ＶＳ
213,2025/07/05,22,4,19:00,ユアスタ,仙台,,,富山,ＶＳ
214,2025/07/05,22,5,19:00,ＮＡＣＫ,大宮,,,いわき,ＶＳ
215,2025/07/05,22,6,19:00,フクアリ,千葉,,,鳥栖,ＶＳ
216,2025/07/05,22,7,19:00,鳴門大塚,徳島,,,藤枝,ＶＳ
217,2025/07/05,22,8,19:00,アシさと,今治,,,甲府,ＶＳ
218,2025/07/06,22,9,18:00,えがおＳ,熊本,,,磐田,ＶＳ
219,2025/07/06,22,10,19:00,ニンスタ,愛媛,,,山形,ＶＳ
