,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,group,home_pk_score,away_pk_score
0,2025/10/25,1,1,13:03,新潟市陸上競技場,新潟L,2,2,浦和,試合終了,C,2,4
1,2025/10/25,1,2,14:03,NACK5スタジアム大宮,大宮,3,0,EL埼玉,試合終了,A,,
2,2025/10/25,1,3,14:03,パナソニック スタジアム 吹田,I神戸,1,3,広島,試合終了,A,,
3,2025/10/26,1,4,13:03,AGFフィールド,東京NB,0,0,千葉L,試合終了,B,4,5
4,2025/10/26,1,5,14:03,ヨドコウ桜スタジアム,Ｃ大阪,2,1,N相模原,試合終了,C,,
5,2025/10/27,1,6,12:03,長野Uスタジアム,AC長野,1,2,マイ仙台,試合終了,B,,
6,2025/11/30,2,1,13:03,味の素フィールド西が丘,東京NB,3,1,AC長野,試合終了,B,,
7,2025/11/30,2,2,14:03,ユアテックスタジアム仙台,マイ仙台,1,0,千葉L,試合終了,B,,
8,2025/11/30,2,3,14:03,浦和駒場スタジアム,浦和,3,2,N相模原,試合終了,C,,
9,2025/11/30,2,4,14:03,NACK5スタジアム大宮,大宮,2,2,I神戸,試合終了,A,12,13
10,2025/11/30,2,5,14:03,熊谷スポーツ文化公園陸上競技場,EL埼玉,1,2,広島,試合終了,A,,
11,2025/11/30,2,6,14:03,ヨドコウ桜スタジアム,Ｃ大阪,2,1,新潟L,試合終了,C,,
12,2026/02/28,3,1,13:03,フクダ電子アリーナ,千葉L,1,0,AC長野,試合終了,B,,
13,2026/02/28,3,2,13:03,相模原ギオンスタジアム,N相模原,2,1,Ｃ大阪,試合終了,C,,
14,2026/02/28,3,3,14:03,熊谷スポーツ文化公園陸上競技場,EL埼玉,3,1,I神戸,試合終了,A,,
15,2026/02/28,3,4,14:03,エディオンピースウイング広島,広島,1,1,大宮,試合終了,A,3,2
16,2026/03/01,3,5,14:03,浦和駒場スタジアム,浦和,1,3,新潟L,試合終了,C,,
17,2026/03/01,3,6,14:03,味の素フィールド西が丘,東京NB,1,0,マイ仙台,試合終了,B,,
18,2026/03/07,4,1,13:03,相模原ギオンスタジアム,N相模原,2,4,浦和,試合終了,C,,
19,2026/03/07,4,2,14:03,セイホクパーク石巻(石巻総合運動公園)石巻フットボール場,マイ仙台,0,0,東京NB,試合終了,B,3,1
20,2026/03/07,4,3,14:03,長野Uスタジアム,AC長野,0,1,千葉L,試合終了,B,,
21,2026/03/07,4,4,14:03,エディオンピースウイング広島,広島,3,1,EL埼玉,試合終了,A,,
22,2026/03/07,4,5,15:03,神戸総合運動公園ユニバー記念競技場,I神戸,1,4,大宮,試合終了,A,,
23,2026/03/08,4,6,13:04,デンカビッグスワンスタジアム,新潟L,0,1,Ｃ大阪,試合終了,C,,
24,2026/03/14,5,1,13:00,新潟市陸上競技場,新潟L,,,N相模原,ＶＳ,C,,
25,2026/03/14,5,2,14:00,ノエビアスタジアム神戸,I神戸,,,EL埼玉,ＶＳ,A,,
26,2026/03/15,5,3,13:00,NACK5スタジアム大宮,大宮,,,広島,ＶＳ,A,,
27,2026/03/15,5,4,13:00,フクダ電子アリーナ,千葉L,,,マイ仙台,ＶＳ,B,,
28,2026/03/15,5,5,14:00,浦和駒場スタジアム,浦和,,,Ｃ大阪,ＶＳ,C,,
29,2026/03/15,5,6,14:00,長野Uスタジアム,AC長野,,,東京NB,ＶＳ,B,,
30,2026/03/21,6,1,13:00,ユアテックスタジアム仙台,マイ仙台,,,AC長野,ＶＳ,B,,
31,2026/03/21,6,2,13:00,フクダ電子アリーナ,千葉L,,,東京NB,ＶＳ,B,,
32,2026/03/21,6,3,14:00,熊谷スポーツ文化公園陸上競技場,EL埼玉,,,大宮,ＶＳ,A,,
33,2026/03/21,6,4,14:00,ヨドコウ桜スタジアム,Ｃ大阪,,,浦和,ＶＳ,C,,
34,2026/03/21,6,5,14:00,エディオンピースウイング広島,広島,,,I神戸,ＶＳ,A,,
35,2026/03/22,6,6,14:00,相模原ギオンスタジアム,N相模原,,,新潟L,ＶＳ,C,,
