,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,broadcast,attendance
0,2002/03/02,1,1,15:00,東京,Ｆ東京,4,2,鹿島,ＴＢＳ（単）／東京メトロポリタンテレビ（録）,30651
1,2002/03/02,1,2,19:35,静岡,磐田,2,0,名古屋,ＮＨＫ総合,29763
2,2002/03/03,1,3,13:05,仙台,仙台,1,0,東京Ｖ,ＮＨＫ仙台／ＢＳ,17637
3,2002/03/03,1,4,15:00,市原,市原,2,1,京都,ＫＢＳ京都／スカイパーフェクＴＶ！／千葉テレビ（録）,6270
4,2002/03/03,1,5,15:01,横浜国,横浜FM,1,0,浦和,ＴＢＳ（単）,36060
5,2002/03/03,1,6,15:03,日本平,清水,1,0,神戸,静岡放送／ＢＳ－ｉ,15070
6,2002/03/03,1,7,15:04,広島ビ,広島,5,1,札幌,ＮＨＫ広島／Ｊスカイスポーツ,11299
7,2002/03/03,1,8,16:04,万博,Ｇ大阪,1,0,柏,ＢＳ,10126
0,2002/03/09,2,1,13:00,高知陸,札幌,0,1,仙台,札幌テレビ／スカイパーフェクＴＶ！／高知放送（録）,7236
1,2002/03/09,2,2,14:03,カシマ,鹿島,0,1,清水,ＮＨＫ総合,23675
2,2002/03/09,2,3,14:03,豊田ス,名古屋,0,1,横浜FM,Ｊスカイスポーツ／名古屋テレビ（録）,18144
3,2002/03/09,2,4,16:04,神戸ユ,神戸,0,1,市原,ＢＳ,10071
4,2002/03/09,2,5,19:03,柏,柏,2,1,広島,ＢＳ－ｉ,9042
5,2002/03/09,2,6,19:05,埼玉,浦和,0,1,Ｆ東京,ＢＳ／テレビ埼玉（録）,33018
6,2002/03/10,2,7,15:04,東京,東京Ｖ,2,3,磐田,ＢＳ－ｉ／日本テレビ（録）,23152
7,2002/03/10,2,8,15:34,西京極,京都,0,2,Ｇ大阪,ＢＳ／ＫＢＳ京都（録）,7694
0,2002/03/16,3,1,14:04,仙台,仙台,5,2,柏,ＮＨＫ仙台／Ｊスカイスポーツ,17308
1,2002/03/16,3,2,14:04,国立,市原,0,2,鹿島,ＢＳ,15379
2,2002/03/16,3,3,14:04,日本平,清水,2,1,浦和,テレビ静岡／テレビ埼玉（録）／ＢＳ－ｉ（録）,14380
3,2002/03/16,3,4,14:05,瑞穂陸,名古屋,1,0,東京Ｖ,中部日本放送／スカイパーフェクＴＶ！,7231
4,2002/03/16,3,5,16:05,広島ビ,広島,2,1,京都,スカイパーフェクＴＶ！／ＫＢＳ京都（録）,6481
5,2002/03/16,3,6,19:04,東京,Ｆ東京,1,1,横浜FM,ＢＳ,26217
6,2002/03/17,3,7,15:03,磐田,磐田,4,0,札幌,静岡放送／北海道放送／ＢＳ－ｉ,13268
7,2002/03/17,3,8,15:34,万博,Ｇ大阪,1,3,神戸,ＢＳ,9875
0,2002/03/31,4,1,13:04,日本平,清水,2,1,Ｆ東京,テレビ静岡／スカイパーフェクＴＶ！／東京メトロポリタンテレビ（録）,14111
1,2002/03/31,4,2,14:03,万博,Ｇ大阪,2,2,浦和,Ｊスカイスポーツ,7838
2,2002/03/31,4,3,14:04,仙台,仙台,2,1,神戸,ＢＳ,19115
