,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,group,home_pk_score,away_pk_score,round
0,2026/04/12,98,1,14:03,YANMAR HANASAKA STADIUM,Ｃ大阪,1,5,大宮,試合終了,,,,準決勝
1,2026/04/12,98,2,14:03,エディオンピースウイング広島,広島,3,2,東京NB,試合終了,,,,準決勝
2,2026/04/18,98,3,18:03,味の素フィールド西が丘,東京NB,3,1,広島,試合終了,,,,準決勝
3,2026/04/19,98,4,13:03,NACK5スタジアム大宮,大宮,1,3,Ｃ大阪,試合終了,,,,準決勝
4,2026/04/29,99,1,13:05,Uvanceとどろきスタジアム by Fujitsu,大宮,2,2,東京NB,試合終了,,1,3,決勝
