,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,round,home_pk_score,away_pk_score,home_score_ex,away_score_ex,leg,match_number
0,2014/03/19,1,1,19:00,味スタ,Ｆ東京,3,1,鹿島,試合終了,第1節,,,,,,15626
1,2014/03/19,1,2,19:03,万博,Ｇ大阪,2,0,神戸,試合終了,第1節,,,,,,15628
2,2014/03/19,1,3,19:04,アイスタ,清水,4,0,仙台,試合終了,第1節,,,,,,15627
3,2014/03/19,1,4,19:01,鳴門大塚,徳島,1,3,新潟,試合終了,第1節,,,,,,15649
4,2014/03/19,1,5,19:04,柏,柏,2,1,浦和,試合終了,第1節,,,,,,15647
5,2014/03/19,1,6,19:04,瑞穂陸,名古屋,0,1,甲府,試合終了,第1節,,,,,,15648
0,2014/04/02,2,1,19:00,カシマ,鹿島,3,1,鳥栖,試合終了,第2節,,,,,,15630
1,2014/04/02,2,2,19:03,ユアスタ,仙台,1,1,Ｆ東京,試合終了,第2節,,,,,,15629
2,2014/04/02,2,3,19:04,アイスタ,清水,1,0,Ｇ大阪,試合終了,第2節,,,,,,15631
3,2014/04/02,2,4,19:00,デンカＳ,新潟,3,3,名古屋,試合終了,第2節,,,,,,15651
4,2014/04/02,2,5,19:03,中銀スタ,甲府,1,1,柏,試合終了,第2節,,,,,,15650
5,2014/04/02,2,6,19:31,埼玉,浦和,2,1,大宮,試合終了,第2節,,,,,,15652
0,2014/04/16,3,1,19:00,ベアスタ,鳥栖,0,2,Ｇ大阪,試合終了,第3節,,,,,,15634
1,2014/04/16,3,2,19:04,ユアスタ,仙台,1,2,鹿島,試合終了,第3節,,,,,,15632
2,2014/04/16,3,3,19:04,ノエスタ,神戸,0,3,Ｆ東京,試合終了,第3節,,,,,,15633
3,2014/04/16,3,4,19:00,デンカＳ,新潟,1,0,甲府,試合終了,第3節,,,,,,15654
4,2014/04/16,3,5,19:02,ＮＡＣＫ,大宮,1,1,柏,試合終了,第3節,,,,,,15653
5,2014/04/16,3,6,19:30,埼玉,浦和,4,3,徳島,試合終了,第3節,,,,,,15655
0,2014/05/21,4,1,19:00,味スタ,Ｆ東京,2,3,清水,試合終了,第4節,,,,,,15635
1,2014/05/21,4,2,19:03,万博,Ｇ大阪,2,1,鹿島,試合終了,第4節,,,,,,15636
2,2014/05/21,4,3,19:04,ノエスタ,神戸,3,2,鳥栖,試合終了,第4節,,,,,,15637
3,2014/05/21,4,4,19:01,鳴門大塚,徳島,1,4,甲府,試合終了,第4節,,,,,,15658
4,2014/05/21,4,5,19:02,ＮＡＣＫ,大宮,0,2,名古屋,試合終了,第4節,,,,,,15656
5,2014/05/21,4,6,19:04,柏,柏,3,0,新潟,試合終了,第4節,,,,,,15657
0,2014/05/24,5,1,14:04,アイスタ,清水,1,2,神戸,試合終了,第5節,,,,,,15638
1,2014/05/24,5,2,15:00,佐賀,鳥栖,2,0,仙台,試合終了,第5節,,,,,,15639
2,2014/05/24,5,3,16:04,万博,Ｇ大阪,3,1,Ｆ東京,試合終了,第5節,,,,,,15640
3,2014/05/24,5,4,14:01,デンカＳ,新潟,0,1,浦和,試合終了,第5節,,,,,,15660
4,2014/05/24,5,5,14:03,中銀スタ,甲府,3,0,大宮,試合終了,第5節,,,,,,15659
5,2014/05/24,5,6,15:04,豊田ス,名古屋,2,1,徳島,試合終了,第5節,,,,,,15661
