,group,match_date,start_time,section_no,home_team,home_goal,away_goal,match_status,away_team,stadium,match_index_in_section
74,E,2022-04-19,00:00:00,4,アルファイサリー,,,試合前,未定,未定,1
75,F,2022-04-24,00:00:00,4,セーラーズ,,,試合前,山東泰山,未定,1
76,G,2022-04-24,00:00:00,4,全南,,,試合前,メルボルンシティ,未定,1
77,H,2022-04-25,00:00:00,4,ホアンアインザライ,,,試合前,全北現代,未定,1
78,I,2022-04-24,00:00:00,4,広州FC,,,試合前,蔚山,未定,1
79,J,2022-04-25,00:00:00,4,傑志,,,試合前,上海海港,未定,1
80,A,2022-04-23,00:00:00,5,アルラーヤン,,,試合前,イスティクロル,未定,0
81,B,2022-04-22,00:00:00,5,アルシャバブ,,,試合前,ムンバイシティ,未定,0
82,C,2022-04-22,00:00:00,5,アルアハリ,,,試合前,アハル,未定,0
83,D,2022-04-22,00:00:00,5,セパハン,,,試合前,パフタコール,未定,0
84,E,2022-04-23,00:00:00,5,アルファイサリー,,,試合前,アルワフダート,未定,0
85,F,2022-04-27,00:00:00,5,大邱,,,試合前,山東泰山,未定,0
86,G,2022-04-27,00:00:00,5,全南,,,試合前,ユナイテッドシティ,未定,0
87,H,2022-04-28,00:00:00,5,横浜FM,,,試合前,ホアンアインザライ,未定,0
88,I,2022-04-27,00:00:00,5,蔚山,,,試合前,川崎F,未定,0
89,J,2022-04-28,00:00:00,5,チェンライU,,,試合前,傑志,未定,0
90,A,2022-04-23,00:00:00,5,未定,,,試合前,アルヒラル,未定,1
91,B,2022-04-22,00:00:00,5,エアフォース,,,試合前,アルジャジーラ,未定,1
92,C,2022-04-22,00:00:00,5,アルガラファ,,,試合前,フーラード,未定,1
93,D,2022-04-22,00:00:00,5,未定,,,試合前,アルドゥハイル,未定,1
94,E,2022-04-23,00:00:00,5,未定,,,試合前,アルサッド,未定,1
95,F,2022-04-27,00:00:00,5,浦和,,,試合前,セーラーズ,未定,1
96,G,2022-04-27,00:00:00,5,メルボルンシティ,,,試合前,パトゥムユナイテッド,未定,1
97,H,2022-04-28,00:00:00,5,シドニーFC,,,試合前,全北現代,未定,1
98,I,2022-04-27,00:00:00,5,広州FC,,,試合前,JDT,未定,1
99,J,2022-04-28,00:00:00,5,神戸,,,試合前,上海海港,未定,1
100,A,2022-04-27,00:00:00,6,アルヒラル,,,試合前,アルラーヤン,未定,0
101,B,2022-04-26,00:00:00,6,アルジャジーラ,,,試合前,アルシャバブ,未定,0
102,C,2022-04-26,00:00:00,6,フーラード,,,試合前,アルアハリ,未定,0
103,D,2022-04-26,00:00:00,6,パフタコール,,,試合前,未定,未定,0
104,E,2022-04-27,00:00:00,6,アルワフダート,,,試合前,未定,未定,0
105,F,2022-04-30,00:00:00,6,山東泰山,,,試合前,浦和,未定,0
106,G,2022-04-30,00:00:00,6,パトゥムユナイテッド,,,試合前,全南,未定,0
107,H,2022-05-01,00:00:00,6,全北現代,,,試合前,横浜FM,未定,0
108,I,2022-04-30,00:00:00,6,川崎F,,,試合前,広州FC,未定,0
109,J,2022-05-01,00:00:00,6,傑志,,,試合前,神戸,未定,0
110,A,2022-04-27,00:00:00,6,イスティクロル,,,試合前,未定,未定,1
111,B,2022-04-26,00:00:00,6,ムンバイシティ,,,試合前,エアフォース,未定,1
112,C,2022-04-26,00:00:00,6,アハル,,,試合前,アルガラファ,未定,1
113,D,2022-04-26,00:00:00,6,アルドゥハイル,,,試合前,セパハン,未定,1
114,E,2022-04-27,00:00:00,6,アルサッド,,,試合前,アルファイサリー,未定,1
115,F,2022-04-30,00:00:00,6,セーラーズ,,,試合前,大邱,未定,1
116,G,2022-04-30,00:00:00,6,ユナイテッドシティ,,,試合前,メルボルンシティ,未定,1
117,H,2022-05-01,00:00:00,6,ホアンアインザライ,,,試合前,シドニーFC,未定,1
118,I,2022-04-30,00:00:00,6,JDT,,,試合前,蔚山,未定,1
119,J,2022-05-01,00:00:00,6,上海海港,,,試合前,チェンライU,未定,1
