,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status
0,2023/11/11,1,1,14:03,熊谷スポーツ文化公園陸上競技場,EL埼玉,1,3,マイ仙台,試合終了
1,2023/11/11,1,2,14:03,相模原ギオンスタジアム,N相模原,0,1,大宮V,試合終了
2,2023/11/11,1,3,15:03,ノエビアスタジアム神戸,I神戸,1,0,新潟L,試合終了
3,2023/11/12,1,4,12:03,ヨドコウ桜スタジアム,Ｃ大阪,1,0,千葉L,試合終了
4,2023/11/12,1,5,14:03,味の素フィールド西が丘,東京NB,3,1,AC長野,試合終了
5,2023/11/18,2,1,12:12,ユアテックスタジアム仙台,マイ仙台,0,3,I神戸,試合終了
6,2023/11/18,2,2,13:03,ゼットエーオリプリスタジアム,千葉L,1,3,東京NB,試合終了
7,2023/11/18,2,3,14:03,浦和駒場スタジアム,浦和,2,1,EL埼玉,試合終了
8,2023/11/18,2,4,14:03,NACK5スタジアム大宮,大宮V,1,0,Ｃ大阪,試合終了
9,2023/11/18,2,5,14:03,長野Uスタジアム,AC長野,1,0,S広島R,試合終了
10,2023/11/19,2,6,13:03,新潟市陸上競技場,新潟L,2,0,N相模原,試合終了
11,2023/11/23,3,1,13:03,新潟市陸上競技場,新潟L,2,1,マイ仙台,試合終了
12,2023/11/23,3,2,14:03,味の素フィールド西が丘,東京NB,2,2,浦和,試合終了
13,2023/11/23,3,3,14:03,相模原ギオンスタジアム,N相模原,0,2,千葉L,試合終了
14,2023/11/23,3,4,14:03,ヨドコウ桜スタジアム,Ｃ大阪,0,1,AC長野,試合終了
15,2023/11/23,3,5,14:03,サンフレッチェビレッジ 広島第一球技場,S広島R,0,2,EL埼玉,試合終了
16,2023/11/26,4,1,13:03,ユアテックスタジアム仙台,マイ仙台,0,5,東京NB,試合終了
17,2023/11/26,4,2,14:03,浦和駒場スタジアム,浦和,2,0,千葉L,試合終了
18,2023/11/26,4,3,14:03,NACK5スタジアム大宮,大宮V,1,2,S広島R,試合終了
19,2023/11/26,4,4,15:04,熊谷スポーツ文化公園陸上競技場,EL埼玉,0,1,Ｃ大阪,試合終了
20,2023/11/26,4,5,16:03,ノエビアスタジアム神戸,I神戸,2,0,N相模原,試合終了
21,2023/11/26,4,6,17:03,長野Uスタジアム,AC長野,0,0,新潟L,試合終了
22,2023/12/09,5,1,13:03,ゼットエーオリプリスタジアム,千葉L,1,1,S広島R,試合終了
23,2023/12/09,5,2,13:04,ユアテックスタジアム仙台,マイ仙台,1,2,大宮V,試合終了
24,2023/12/09,5,3,14:03,長野Uスタジアム,AC長野,1,1,I神戸,試合終了
25,2023/12/09,5,4,14:03,ヤンマースタジアム長居,Ｃ大阪,3,3,N相模原,試合終了
26,2023/12/10,5,5,13:03,デンカビッグスワンスタジアム,新潟L,2,0,浦和,試合終了
27,2023/12/10,5,6,14:03,味の素フィールド西が丘,東京NB,0,0,EL埼玉,試合終了
28,2023/12/13,3,6,16:03,ノエビアスタジアム神戸,I神戸,1,1,大宮V,試合終了
29,2023/12/20,1,6,14:03,サンフレッチェビレッジ 広島第一球技場,S広島R,1,2,浦和,試合終了
30,2023/12/23,6,1,14:03,NACK5スタジアム大宮,大宮V,1,2,新潟L,試合終了
31,2023/12/23,6,2,14:03,熊谷スポーツ文化公園陸上競技場,EL埼玉,0,1,千葉L,試合終了
32,2023/12/23,6,3,14:03,相模原ギオンスタジアム,N相模原,0,2,マイ仙台,試合終了
33,2023/12/23,6,4,14:04,ノエビアスタジアム神戸,I神戸,3,1,Ｃ大阪,試合終了
34,2023/12/24,6,5,14:03,浦和駒場スタジアム,浦和,3,1,AC長野,試合終了
35,2023/12/24,6,6,14:03,サンフレッチェビレッジ 広島第一球技場,S広島R,2,2,東京NB,試合終了
36,2023/12/30,7,1,14:03,熊谷スポーツ文化公園陸上競技場,EL埼玉,1,0,AC長野,試合終了
37,2023/12/30,7,2,14:03,ヨドコウ桜スタジアム,Ｃ大阪,1,0,新潟L,試合終了
38,2024/01/06,7,3,14:03,サンフレッチェビレッジ 広島第一球技場,S広島R,2,1,N相模原,試合終了
39,2024/01/07,7,4,13:03,ゼットエーオリプリスタジアム,千葉L,1,0,マイ仙台,試合終了
40,2024/01/07,7,5,14:03,浦和駒場スタジアム,浦和,3,1,大宮V,試合終了
41,2024/01/08,7,6,14:04,味の素フィールド西が丘,東京NB,0,1,I神戸,試合終了
42,2024/03/02,8,1,14:08,ユアテックスタジアム仙台,マイ仙台,2,1,Ｃ大阪,試合終了
43,2024/03/03,8,2,12:03,浦和駒場スタジアム,浦和,1,1,I神戸,試合終了
44,2024/03/03,8,3,14:03,NACK5スタジアム大宮,大宮V,0,2,EL埼玉,試合終了
45,2024/03/03,8,4,14:03,相模原ギオンスタジアム,N相模原,0,2,東京NB,試合終了
46,2024/03/03,8,5,14:03,長野Uスタジアム,AC長野,2,1,千葉L,試合終了
47,2024/03/03,8,6,14:03,エディオンピースウイング広島,S広島R,1,2,新潟L,試合終了
48,2024/03/09,9,1,13:03,ユアテックスタジアム仙台,マイ仙台,1,1,AC長野,試合終了
49,2024/03/09,9,2,13:03,フクダ電子アリーナ,千葉L,1,1,大宮V,試合終了
50,2024/03/09,9,3,16:03,ノエビアスタジアム神戸,I神戸,1,0,S広島R,試合終了
51,2024/03/10,9,4,13:04,デンカビッグスワンスタジアム,新潟L,1,0,東京NB,試合終了
52,2024/03/10,9,5,14:03,熊谷スポーツ文化公園陸上競技場,EL埼玉,2,1,N相模原,試合終了
53,2024/03/10,9,6,14:03,ヨドコウ桜スタジアム,Ｃ大阪,0,4,浦和,試合終了
54,2024/03/16,10,1,13:03,新潟市陸上競技場,新潟L,1,0,EL埼玉,試合終了
55,2024/03/16,10,2,13:05,味の素フィールド西が丘,東京NB,1,1,Ｃ大阪,試合終了
56,2024/03/16,10,3,14:03,相模原ギオンスタジアム,N相模原,0,5,浦和,試合終了
57,2024/03/16,10,4,14:03,長野Uスタジアム,AC長野,1,2,大宮V,試合終了
58,2024/03/16,10,5,14:03,エディオンピースウイング広島,S広島R,2,2,マイ仙台,試合終了
59,2024/03/16,10,6,19:03,ノエビアスタジアム神戸,I神戸,2,0,千葉L,試合終了
60,2024/03/20,11,1,13:03,NACK5スタジアム大宮,大宮V,0,1,東京NB,試合終了
61,2024/03/20,11,2,13:03,相模原ギオンスタジアム,N相模原,1,1,AC長野,試合終了
62,2024/03/20,11,3,14:03,浦和駒場スタジアム,浦和,2,0,マイ仙台,試合終了
63,2024/03/20,11,4,14:03,熊谷スポーツ文化公園陸上競技場,EL埼玉,0,3,I神戸,試合終了
64,2024/03/20,11,5,14:03,ヨドコウ桜スタジアム,Ｃ大阪,0,2,S広島R,試合終了
65,2024/03/20,11,6,18:03,フクダ電子アリーナ,千葉L,0,0,新潟L,試合終了
66,2024/03/23,12,1,14:03,ユアテックスタジアム仙台,マイ仙台,2,1,EL埼玉,試合終了
67,2024/03/24,12,2,13:03,新潟市陸上競技場,新潟L,1,0,Ｃ大阪,試合終了
68,2024/03/24,12,3,14:03,NACK5スタジアム大宮,大宮V,1,0,N相模原,試合終了
69,2024/03/24,12,4,14:03,フクダ電子アリーナ,千葉L,1,2,浦和,試合終了
70,2024/03/24,12,5,14:03,味の素フィールド西が丘,東京NB,2,1,S広島R,試合終了
71,2024/03/24,12,6,16:03,ノエビアスタジアム神戸,I神戸,3,0,AC長野,試合終了
72,2024/03/27,20,1,14:03,浦和駒場スタジアム,浦和,2,0,新潟L,試合終了
73,2024/03/30,13,1,15:03,味の素フィールド西が丘,東京NB,3,0,マイ仙台,試合終了
74,2024/03/30,13,2,17:33,相模原ギオンスタジアム,N相模原,0,1,新潟L,試合終了
75,2024/03/31,13,3,14:03,熊谷スポーツ文化公園陸上競技場,EL埼玉,2,1,大宮V,試合終了
76,2024/03/31,13,4,14:03,長野Uスタジアム,AC長野,3,5,浦和,試合終了
77,2024/03/31,13,5,14:03,ヨドコウ桜スタジアム,Ｃ大阪,1,2,I神戸,試合終了
78,2024/03/31,13,6,14:03,エディオンピースウイング広島,S広島R,1,1,千葉L,試合終了
79,2024/04/14,14,1,13:03,フクダ電子アリーナ,千葉L,2,0,AC長野,試合終了
80,2024/04/14,14,2,13:03,新潟市陸上競技場,新潟L,0,1,大宮V,試合終了
81,2024/04/14,14,3,14:03,味の素フィールド西が丘,マイ仙台,1,2,S広島R,試合終了
82,2024/04/14,14,4,14:03,浦和駒場スタジアム,浦和,2,0,N相模原,試合終了
83,2024/04/14,14,5,14:03,平和堂HATOスタジアム,Ｃ大阪,0,1,EL埼玉,試合終了
84,2024/04/14,14,6,16:03,ノエビアスタジアム神戸,I神戸,0,0,東京NB,試合終了
85,2024/04/18,15,1,17:03,味の素フィールド西が丘,東京NB,3,1,N相模原,試合終了
86,2024/04/18,15,2,18:03,NACK5スタジアム大宮,大宮V,0,4,浦和,試合終了
87,2024/04/18,15,3,18:03,熊谷スポーツ文化公園陸上競技場,EL埼玉,1,2,新潟L,試合終了
88,2024/04/18,15,4,19:03,フクダ電子アリーナ,千葉L,0,2,Ｃ大阪,試合終了
89,2024/04/18,15,5,19:03,長野Uスタジアム,AC長野,2,2,マイ仙台,試合終了
90,2024/04/18,15,6,19:03,エディオンピースウイング広島,S広島R,2,0,I神戸,試合終了
91,2024/04/21,16,1,12:33,ヨドコウ桜スタジアム,Ｃ大阪,1,1,東京NB,試合終了
92,2024/04/21,16,2,13:03,ユアテックスタジアム仙台,マイ仙台,0,3,浦和,試合終了
93,2024/04/21,16,3,13:03,新潟市陸上競技場,新潟L,4,1,AC長野,試合終了
94,2024/04/21,16,4,14:03,熊谷スポーツ文化公園陸上競技場,EL埼玉,2,1,S広島R,試合終了
95,2024/04/21,16,5,14:03,相模原ギオンスタジアム,N相模原,0,3,I神戸,試合終了
96,2024/04/21,16,6,15:03,NACK5スタジアム大宮,大宮V,0,0,千葉L,試合終了
97,2024/04/27,17,1,14:03,浦和駒場スタジアム,浦和,2,0,S広島R,試合終了
98,2024/04/27,17,2,14:03,味の素フィールド西が丘,東京NB,7,0,大宮V,試合終了
99,2024/04/28,17,3,13:03,デンカビッグスワンスタジアム,新潟L,2,1,千葉L,試合終了
100,2024/04/28,17,4,14:03,長野Uスタジアム,AC長野,1,1,EL埼玉,試合終了
101,2024/04/28,17,5,15:03,ノエビアスタジアム神戸,I神戸,4,1,マイ仙台,試合終了
102,2024/04/28,17,6,17:03,レモンガススタジアム平塚,N相模原,2,1,Ｃ大阪,試合終了
103,2024/05/02,18,1,12:03,ノエビアスタジアム神戸,I神戸,3,0,EL埼玉,試合終了
104,2024/05/02,18,2,13:03,ゼットエーオリプリスタジアム,千葉L,1,1,N相模原,試合終了
105,2024/05/02,18,3,17:03,味の素フィールド西が丘,東京NB,2,1,新潟L,試合終了
106,2024/05/03,18,4,13:03,NACK5スタジアム大宮,大宮V,0,0,マイ仙台,試合終了
107,2024/05/03,18,5,13:03,エディオンピースウイング広島,S広島R,2,0,AC長野,試合終了
108,2024/05/03,18,6,14:03,浦和駒場スタジアム,浦和,2,0,Ｃ大阪,試合終了
109,2024/05/06,19,1,13:03,ユアテックスタジアム仙台,マイ仙台,0,0,千葉L,試合終了
110,2024/05/06,19,2,13:03,新潟市陸上競技場,新潟L,0,2,I神戸,試合終了
111,2024/05/06,19,3,14:03,熊谷スポーツ文化公園陸上競技場,EL埼玉,1,2,浦和,試合終了
112,2024/05/06,19,4,14:03,相模原ギオンスタジアム,N相模原,0,1,S広島R,試合終了
113,2024/05/06,19,5,15:00,長野Uスタジアム,AC長野,0,3,東京NB,試合終了
114,2024/05/06,19,6,15:33,ヨドコウ桜スタジアム,Ｃ大阪,2,1,大宮V,試合終了
115,2024/05/11,20,2,14:03,熊谷スポーツ文化公園陸上競技場,EL埼玉,1,2,東京NB,試合終了
116,2024/05/11,20,3,14:03,エディオンピースウイング広島,S広島R,0,2,大宮V,試合終了
117,2024/05/12,20,4,13:01,ユアテックスタジアム仙台,マイ仙台,1,1,N相模原,試合終了
118,2024/05/12,20,5,13:03,フクダ電子アリーナ,千葉L,2,1,I神戸,試合終了
119,2024/05/12,20,6,13:03,長野Uスタジアム,AC長野,1,2,Ｃ大阪,試合終了
120,2024/05/18,21,1,13:03,デンカビッグスワンスタジアム,新潟L,0,2,S広島R,試合終了
121,2024/05/18,21,2,14:03,味の素フィールド西が丘,東京NB,2,1,千葉L,試合終了
122,2024/05/18,21,3,17:03,ノエビアスタジアム神戸,I神戸,0,2,浦和,試合終了
123,2024/05/19,21,4,14:03,NACK5スタジアム大宮,大宮V,0,1,AC長野,試合終了
124,2024/05/19,21,5,14:03,相模原ギオンスタジアム,N相模原,2,1,EL埼玉,試合終了
125,2024/05/19,21,6,14:03,ヨドコウ桜スタジアム,Ｃ大阪,1,2,マイ仙台,試合終了
126,2024/05/25,22,1,14:03,ユアテックスタジアム仙台,マイ仙台,1,3,新潟L,試合終了
127,2024/05/25,22,2,14:03,浦和駒場スタジアム,浦和,3,3,東京NB,試合終了
128,2024/05/25,22,3,14:03,NACK5スタジアム大宮,大宮V,0,2,I神戸,試合終了
