,match_date,section_no,start_time,stadium,home_team,away_team,status,match_number,round,home_goal,away_goal,home_pk_score,away_pk_score,match_index_in_section,home_score_ex,away_score_ex,group
0,2025/05/24,-7,15:00,ピカスタ,讃岐,高知,試合終了,1,１回戦,2,2,4,5,1,1,1,
1,2025/05/25,-7,13:00,福井テクノ,福井ユナイテッドＦＣ,Honda FC,試合終了,2,１回戦,1,0,,,11,,,
2,2025/05/25,-7,13:00,Ｅピース,福山シティFC,FC徳島,試合終了,3,１回戦,2,1,,,12,,,
3,2025/05/24,-7,13:00,めぐみB,仙台大学,東洋大学,試合終了,4,１回戦,2,4,,,2,,,
4,2025/05/25,-7,13:00,とうスタ,福島,東京国際大学,試合終了,5,１回戦,9,1,,,13,,,
5,2025/05/24,-7,13:00,Ｋｓスタ,水戸,相模原,試合終了,6,１回戦,0,1,,,3,,,
6,2025/05/25,-7,13:00,プラスタ,ラインメール青森,BTOP北海道,試合終了,7,１回戦,5,0,,,14,,,
7,2025/05/25,-7,13:00,三交鈴鹿,ヴィアティン三重,山梨学院大学PEGASUS,試合終了,8,１回戦,1,0,,,15,,,
8,2025/05/25,-7,13:00,アシさと,今治,鹿児島,試合終了,9,１回戦,0,2,,,16,,,
9,2025/05/25,-7,13:00,ｱｰｽ群馬ｻ,ザスパ群馬,法政大学,試合終了,10,１回戦,1,0,,,17,,,
10,2025/05/25,-7,14:00,ＮＡＣＫ,大宮,筑波大学,試合終了,11,１回戦,0,1,,,18,,,
11,2025/05/25,-7,13:00,沖縄県陸,沖縄SV,ヴェルスパ大分,試合終了,12,１回戦,4,1,,,19,,,
12,2025/05/25,-7,13:00,出雲浜山,ベルガロッソいわみ,北九州,試合終了,13,１回戦,0,1,,,20,,,
13,2025/05/24,-7,13:00,SAGAスタ,Brew SAGA,イロンデル熊本FC,試合終了,14,１回戦,2,1,,,4,,,
14,2025/05/25,-7,13:00,SV下関,FCバレイン下関,環太平洋大学ＦＣ,試合終了,15,１回戦,2,1,,,21,1,0,
15,2025/05/24,-7,13:00,新日本球,岐阜,富山新庄クラブ,試合終了,16,１回戦,3,1,,,5,,,
16,2025/05/25,-7,13:00,サンアル,松本,FC大阪,試合終了,17,１回戦,2,1,,,22,1,0,
17,2025/05/25,-7,13:00,ゴースタ,金沢,中京大学,試合終了,18,１回戦,6,0,,,23,,,
18,2025/05/25,-7,13:00,クラド,大分,レベニロッソNC,試合終了,19,１回戦,2,0,,,24,,,
19,2025/05/25,-7,13:00,紀三井寺,アルテリーヴォ和歌山,FC BASARA HYOGO,試合終了,20,１回戦,4,3,,,25,,,
20,2025/05/24,-7,13:00,たけびし,京都産業大学,守山侍2000,試合終了,21,１回戦,3,1,,,6,,,
21,2025/05/25,-7,13:00,高岡,富山,順天堂大学,試合終了,22,１回戦,2,1,,,26,,,
22,2025/05/24,-7,13:00,ロートＦ,奈良クラブ,新潟医療福祉大学,試合終了,23,１回戦,3,1,,,7,2,0,
23,2025/05/25,-7,13:00,いわスタ,盛岡,ノースアジア大学,試合終了,24,１回戦,6,0,,,27,,,
24,2025/05/24,-7,13:00,栃木グ,栃木,大山サッカークラブ,試合終了,25,１回戦,5,0,,,8,,,
25,2025/05/24,-7,13:00,ニンスタ,愛媛,三菱重工長崎SC,試合終了,26,１回戦,1,0,,,9,,,
26,2025/05/24,-7,13:00,いちご,ヴェロスクロノス都農,ガイナーレ鳥取,試合終了,27,１回戦,2,1,,,10,,,
27,2025/06/11,-6,19:00,ノエスタ,神戸,高知,試合終了,28,２回戦,4,1,,,1,,,
28,2025/06/11,-6,19:00,ＪＩＴス,甲府,福井ユナイテッドＦＣ,試合終了,29,２回戦,2,1,,,2,,,
