,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,broadcast,attendance
0,2020/06/27,1,1,15:03,いわスタ,岩手,0,4,秋田,ＤＡＺＮ／テレビ岩手,0
1,2020/06/27,1,2,15:03,とうスタ,福島,2,0,八戸,ＤＡＺＮ,0
2,2020/06/27,1,3,16:03,愛鷹,沼津,2,1,藤枝,ＤＡＺＮ,0
3,2020/06/27,1,4,17:03,ギオンス,相模原,0,0,YS横浜,ＤＡＺＮ,0
4,2020/06/27,1,5,18:03,ヤンマー,Ｃ大23,0,1,鳥取,ＤＡＺＮ,0
5,2020/06/27,1,6,18:03,長良川,岐阜,0,0,今治,ＤＡＺＮ／岐阜放送,0
6,2020/06/27,1,7,18:03,えがおＳ,熊本,3,2,鹿児島,ＤＡＺＮ,0
7,2020/06/28,1,8,18:33,富山,富山,1,1,長野,ＤＡＺＮ,0
8,2020/06/28,1,9,19:03,ピカスタ,讃岐,2,3,Ｇ大23,ＤＡＺＮ,0
0,2020/07/04,2,1,15:03,ソユスタ,秋田,2,0,福島,ＤＡＺＮ／秋田テレビ,0
1,2020/07/04,2,2,16:03,夢スタ,今治,0,1,熊本,ＤＡＺＮ／ＮＨＫ松山,0
2,2020/07/04,2,3,17:03,藤枝サ,藤枝,2,3,相模原,ＤＡＺＮ,0
3,2020/07/05,2,4,13:03,プラスタ,八戸,2,0,岩手,ＤＡＺＮ／青森テレビ／岩手めんこいテレビ,0
4,2020/07/05,2,5,17:03,ニッパツ,YS横浜,3,4,富山,ＤＡＺＮ,0
5,2020/07/05,2,6,17:03,長野Ｕ,長野,3,1,沼津,ＤＡＺＮ,0
6,2020/07/05,2,7,18:03,パナスタ,Ｇ大23,0,0,Ｃ大23,ＤＡＺＮ,0
7,2020/07/05,2,8,19:03,Ａｘｉｓ,鳥取,2,3,岐阜,ＤＡＺＮ,0
8,2020/07/05,2,9,19:03,白波スタ,鹿児島,1,0,讃岐,ＤＡＺＮ,0
0,2020/07/11,3,1,13:03,プラスタ,八戸,0,2,秋田,ＤＡＺＮ,444
1,2020/07/11,3,2,15:03,とうスタ,福島,1,1,岩手,ＤＡＺＮ,407
2,2020/07/11,3,3,16:03,夢スタ,今治,1,1,鹿児島,ＤＡＺＮ,1116
3,2020/07/11,3,4,17:03,藤枝サ,藤枝,5,2,YS横浜,ＤＡＺＮ,462
4,2020/07/11,3,5,17:03,ギオンス,相模原,0,0,長野,ＤＡＺＮ,801
5,2020/07/11,3,6,18:03,長良川,岐阜,1,1,讃岐,ＤＡＺＮ,1680
6,2020/07/11,3,7,18:33,富山,富山,0,1,沼津,ＤＡＺＮ,1257
7,2020/07/11,3,8,19:03,えがおＳ,熊本,5,3,Ｃ大23,ＤＡＺＮ,1181
8,2020/07/12,3,9,18:03,パナスタ,Ｇ大23,1,3,鳥取,ＤＡＺＮ,632
0,2020/07/15,4,1,15:03,北上,岩手,1,3,藤枝,ＤＡＺＮ,101
1,2020/07/15,4,2,16:04,愛鷹,沼津,0,0,相模原,ＤＡＺＮ,426
2,2020/07/15,4,3,19:02,富山,富山,0,1,秋田,ＤＡＺＮ,715
3,2020/07/15,4,4,19:03,えがおＳ,熊本,1,0,Ｇ大23,ＤＡＺＮ,1098
4,2020/07/15,4,5,19:03,ヤンマー,Ｃ大23,2,0,岐阜,ＤＡＺＮ,418
5,2020/07/15,4,6,19:03,長野Ｕ,長野,2,1,福島,ＤＡＺＮ,1277
6,2020/07/15,4,7,19:03,ニッパツ,YS横浜,1,2,八戸,ＤＡＺＮ,290
7,2020/07/15,4,8,19:03,白波スタ,鹿児島,1,2,鳥取,ＤＡＺＮ／南日本放送,830
8,2020/07/15,4,9,19:04,ピカスタ,讃岐,0,3,今治,ＤＡＺＮ,908
0,2020/07/18,5,1,17:03,ギオンス,相模原,2,1,八戸,ＤＡＺＮ,568
1,2020/07/19,5,2,15:03,とうスタ,福島,1,1,藤枝,ＤＡＺＮ,412
2,2020/07/19,5,3,15:03,北上,岩手,1,4,富山,ＤＡＺＮ,292
3,2020/07/19,5,4,16:03,夢スタ,今治,1,0,Ｃ大23,ＤＡＺＮ／南海放送（録）,1212
4,2020/07/19,5,5,17:03,ニッパツ,YS横浜,2,1,沼津,ＤＡＺＮ,624
5,2020/07/19,5,6,18:03,長良川,岐阜,1,0,熊本,ＤＡＺＮ,2073
6,2020/07/19,5,7,18:03,パナスタ,Ｇ大23,2,4,鹿児島,ＤＡＺＮ,421
7,2020/07/19,5,8,18:03,ソユスタ,秋田,1,0,長野,ＤＡＺＮ,1089
8,2020/07/19,5,9,19:03,Ａｘｉｓ,鳥取,1,0,讃岐,ＤＡＺＮ,765
0,2020/07/25,6,1,13:03,プラスタ,八戸,0,1,沼津,ＤＡＺＮ,673
1,2020/07/25,6,2,15:03,とうスタ,福島,2,2,富山,ＤＡＺＮ,456
2,2020/07/25,6,3,17:03,ギオンス,相模原,0,1,岩手,ＤＡＺＮ,657
3,2020/07/25,6,4,17:03,藤枝サ,藤枝,0,2,秋田,ＤＡＺＮ,615
4,2020/07/25,6,5,18:03,長野Ｕ,長野,4,1,YS横浜,ＤＡＺＮ,1567
5,2020/07/25,6,6,18:03,ピカスタ,讃岐,1,2,熊本,ＤＡＺＮ,823
6,2020/07/25,6,7,18:03,ヤンマー,Ｃ大23,0,5,鹿児島,ＤＡＺＮ,770
7,2020/07/25,6,8,19:03,Ａｘｉｓ,鳥取,2,1,今治,ＤＡＺＮ,905
8,2020/07/26,6,9,18:03,長良川,岐阜,3,0,Ｇ大23,ＤＡＺＮ,1421
0,2020/07/29,7,1,15:03,プラスタ,八戸,2,2,長野,ＤＡＺＮ,427
1,2020/07/29,7,2,16:03,愛鷹,沼津,1,2,岩手,ＤＡＺＮ,418
2,2020/07/29,7,3,18:33,ソユスタ,秋田,3,1,相模原,ＤＡＺＮ,865
3,2020/07/29,7,4,19:00,えがおＳ,熊本,1,1,鳥取,ＤＡＺＮ／熊本放送,1194
