,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,round,home_pk_score,away_pk_score,home_score_ex,away_score_ex,leg,match_number
0,2017/03/15,1,1,19:03,柏,柏,1,0,清水,試合終了,第1節第1日,,,,,,20136
1,2017/03/15,1,2,19:03,ヤマハ,磐田,0,2,札幌,試合終了,第1節第1日,,,,,,20138
2,2017/03/15,1,3,19:04,味スタ,FC東京,6,0,仙台,試合終了,第1節第1日,,,,,,20137
3,2017/03/15,1,4,19:03,金鳥スタ,Ｃ大阪,2,0,横浜FM,試合終了,第1節第1日,,,,,,20115
4,2017/03/15,1,5,19:03,ベアスタ,鳥栖,2,2,新潟,試合終了,第1節第1日,,,,,,20117
5,2017/03/15,1,6,19:04,Ｅスタ,広島,0,0,甲府,試合終了,第1節第1日,,,,,,20116
0,2017/04/12,2,1,19:03,ユアスタ,仙台,2,0,磐田,試合終了,第2節第1日,,,,,,20140
1,2017/04/12,2,2,19:03,アイスタ,清水,0,1,札幌,試合終了,第2節第1日,,,,,,20143
2,2017/04/12,2,3,19:04,ＮＡＣＫ,大宮,0,0,柏,試合終了,第2節第1日,,,,,,20141
3,2017/04/12,2,4,19:03,デンカＳ,新潟,0,1,広島,試合終了,第2節第1日,,,,,,20119
4,2017/04/12,2,5,19:04,中銀スタ,甲府,0,0,Ｃ大阪,試合終了,第2節第1日,,,,,,20118
5,2017/04/12,2,6,19:30,ニッパツ,横浜FM,0,2,神戸,試合終了,第2節第1日,,,,,,20120
0,2017/04/26,3,1,19:03,ユアスタ,仙台,3,1,清水,試合終了,第3節第1日,,,,,,20145
1,2017/04/26,3,2,19:03,ヤマハ,磐田,3,1,FC東京,試合終了,第3節第1日,,,,,,20146
2,2017/04/26,3,3,19:03,札幌ド,札幌,1,1,大宮,試合終了,第3節第1日,,,,,,20144
3,2017/04/26,3,4,19:03,ノエスタ,神戸,4,1,広島,試合終了,第3節第1日,,,,,,20121
4,2017/04/26,3,5,19:04,ベアスタ,鳥栖,4,4,Ｃ大阪,試合終了,第3節第1日,,,,,,20122
