,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,round,home_pk_score,away_pk_score,leg,match_number
0,2003/03/08,1,1,14:30,鴨池,磐田,2,0,浦和,試合終了,第1節,,,,6965
1,2003/03/08,1,2,15:00,味スタ,東京Ｖ,0,1,神戸,試合終了,第1節,,,,6966
2,2003/03/08,1,3,15:00,柏,柏,1,1,仙台,試合終了,第1節,,,,6977
3,2003/03/08,1,4,15:01,横浜国,横浜FM,1,0,Ｆ東京,試合終了,第1節,,,,6978
4,2003/03/08,1,5,15:01,万博,Ｇ大阪,1,0,Ｃ大阪,試合終了,第1節,,,,6989
5,2003/03/08,1,6,14:02,西京極,京都,3,2,大分,試合終了,第1節,,,,6995
0,2003/03/15,2,1,14:00,神戸ユ,神戸,4,2,磐田,試合終了,第2節,,,,6967
1,2003/03/15,2,2,15:00,駒場,浦和,0,1,東京Ｖ,試合終了,第2節,,,,6968
2,2003/03/15,2,3,13:03,駒沢,Ｆ東京,2,2,横浜FM,試合終了,第2節,,,,6979
3,2003/03/15,2,4,13:34,仙台,仙台,4,1,柏,試合終了,第2節,,,,6980
4,2003/03/15,2,5,15:02,市原,市原,1,2,Ｃ大阪,試合終了,第2節,,,,6990
5,2003/03/15,2,6,14:01,大分ス,大分,0,1,名古屋,試合終了,第2節,,,,6996
0,2003/04/09,3,1,19:00,神戸ユ,神戸,1,2,浦和,試合終了,第3節,,,,6970
1,2003/04/09,3,2,19:03,磐田,磐田,4,0,東京Ｖ,試合終了,第3節,,,,6969
2,2003/04/09,3,3,19:02,柏の葉,柏,0,3,横浜FM,試合終了,第3節,,,,6981
3,2003/04/09,3,4,19:03,国立,Ｆ東京,4,1,仙台,試合終了,第3節,,,,6982
4,2003/04/09,3,5,19:00,長居,Ｃ大阪,0,0,市原,試合終了,第3節,,,,6991
5,2003/04/09,3,6,19:00,瑞穂陸,名古屋,0,0,京都,試合終了,第3節,,,,6997
0,2003/04/23,4,1,19:00,神戸ウイ,神戸,2,2,東京Ｖ,試合終了,第4節,,,,6972
1,2003/04/23,4,2,19:02,駒場,浦和,0,0,磐田,試合終了,第4節,,,,6971
2,2003/04/23,4,3,19:00,国立,Ｆ東京,4,0,柏,試合終了,第4節,,,,6983
3,2003/04/23,4,4,19:00,横浜国,横浜FM,0,2,仙台,試合終了,第4節,,,,6984
4,2003/04/23,4,5,19:01,長居,Ｃ大阪,2,2,Ｇ大阪,試合終了,第4節,,,,6992
5,2003/04/23,4,6,19:01,大分ス,大分,2,2,京都,試合終了,第4節,,,,6998
0,2003/07/02,5,1,19:00,磐田,磐田,3,1,神戸,試合終了,第5節,,,,6974
1,2003/07/02,5,2,19:03,味スタ,東京Ｖ,1,1,浦和,試合終了,第5節,,,,6973
2,2003/07/02,5,3,19:00,仙台,仙台,0,3,横浜FM,試合終了,第5節,,,,6985
3,2003/07/02,5,4,19:00,柏,柏,0,0,Ｆ東京,試合終了,第5節,,,,6986
4,2003/07/02,5,5,19:01,万博,Ｇ大阪,4,2,市原,試合終了,第5節,,,,6993
5,2003/07/02,5,6,19:00,瑞穂陸,名古屋,1,1,大分,試合終了,第5節,,,,6999
0,2003/07/16,6,1,19:01,国立,東京Ｖ,3,2,磐田,試合終了,第6節,,,,6976
1,2003/07/16,6,2,19:02,駒場,浦和,1,0,神戸,試合終了,第6節,,,,6975
2,2003/07/16,6,3,19:00,仙台,仙台,1,2,Ｆ東京,試合終了,第6節,,,,6987
3,2003/07/16,6,4,19:03,横浜国,横浜FM,1,1,柏,試合終了,第6節,,,,6988
4,2003/07/16,6,5,19:01,市原,市原,2,1,Ｇ大阪,試合終了,第6節,,,,6994
5,2003/07/16,6,6,19:00,西京極,京都,0,1,名古屋,試合終了,第6節,,,,7000
0,2003/08/13,-3,1,19:00,カシマ,鹿島,5,1,名古屋,試合終了,準々決勝　第1戦,,,1,7002
1,2003/08/13,-3,2,19:01,草薙陸,清水,1,1,Ｇ大阪,試合終了,準々決勝　第1戦,,,1,7004
2,2003/08/13,-3,3,19:02,横浜国,横浜FM,0,1,磐田,試合終了,準々決勝　第1戦,,,1,7001
3,2003/08/13,-3,4,19:04,駒場,浦和,2,2,Ｆ東京,試合終了,準々決勝　第1戦,,,1,7003
0,2003/08/27,-3,3,19:00,磐田,磐田,3,0,横浜FM,試合終了,準々決勝　第2戦,,,2,7005
1,2003/08/27,-3,2,19:02,万博,Ｇ大阪,2,3,清水,試合終了,準々決勝　第2戦,,,2,7008
2,2003/08/27,-3,1,19:03,瑞穂陸,名古屋,0,1,鹿島,試合終了,準々決勝　第2戦,,,2,7006
3,2003/08/27,-3,4,19:04,味スタ,Ｆ東京,0,2,浦和,試合終了,準々決勝　第2戦,,,2,7007
0,2003/10/01,-2,1,19:00,カシマ,鹿島,0,1,磐田,試合終了,準決勝　第1戦,,,1,7009
1,2003/10/01,-2,2,19:04,日本平,清水,1,0,浦和,試合終了,準決勝　第1戦,,,1,7010
0,2003/10/08,-2,1,19:00,磐田,磐田,0,2,鹿島,試合終了,準決勝　第2戦,,,2,7011
1,2003/10/08,-2,2,19:04,駒場,浦和,6,1,清水,試合終了,準決勝　第2戦,,,2,7012
0,2003/11/03,-1,1,14:09,国立,鹿島,0,4,浦和,試合終了,決勝,,,,7013
