,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,group
0,2024-09-16,1,0,01:00:00,ハッザーア・ビン・ザーイド・スタジアム (アル・アイン),アル・アイン,1,1,アル・サッド,試合終了,WEST
1,2024-09-17,1,0,19:00:00,光州ワールドカップ競技場 (光州),光州FC,7,3,横浜F・マリノス,試合終了,EAST
2,2024-09-16,1,1,01:00:00,アル＝マディーナ国際スタジアム (バグダード),アル・ショルタ,1,1,アル・ナスル,試合終了,WEST
3,2024-09-16,1,2,03:00:00,シャーレ・コッズ・スタジアム (シャーレ・コッズ),エステグラル,3,0,アル・ガラファ,試合終了,WEST
4,2024-09-17,1,2,21:00:00,ブリーラム・スタジアム (ブリーラム),ブリーラム・ユナイテッド,0,0,ヴィッセル神戸,試合終了,EAST
5,2024-09-16,1,3,03:00:00,プリンス・アブドゥッラー・アル・ファイサル・スタジアム (ジッダ),アル・アハリ,1,0,ペルセポリス,試合終了,WEST
6,2024-09-17,1,3,21:00:00,上海体育場 (上海),上海申花,4,1,浦項スティーラース,試合終了,EAST
7,2024-09-17,1,4,23:00:00,JARスタジアム (タシュケント),パフタコール,0,1,アル・ワスル,試合終了,WEST
8,2024-09-18,1,4,19:00:00,蔚山文殊サッカー競技場 (蔚山),蔚山HD,0,1,川崎フロンターレ,試合終了,EAST
9,2024-09-17,1,5,01:00:00,アフメド・ビン＝アリー・スタジアム (ライヤーン),アル・ラーヤン,1,3,アル・ヒラル,試合終了,WEST
10,2024-09-18,1,5,21:00:00,浦東足球場 (上海),上海海港,2,2,ジョホール・ダルル・タクジム,試合終了,EAST
11,2024-09-30,2,0,01:00:00,ジャシム・ビン・ハマド・スタジアム (ドーハ),アル・サッド,2,0,エステグラル,試合終了,WEST
12,2024-10-01,2,0,17:00:00,セントラルコースト・スタジアム (ゴスフォード),セントラル・コースト・マリナーズ,1,2,ブリーラム・ユナイテッド,試合終了,EAST
13,2024-09-30,2,1,01:00:00,シャーレ・コッズ・スタジアム (シャーレ・コッズ),ペルセポリス,1,1,パフタコール,試合終了,WEST
14,2024-10-01,2,1,19:00:00,等々力陸上競技場 (川崎),川崎フロンターレ,0,1,光州FC,試合終了,EAST
15,2024-09-30,2,2,01:00:00,ザビール・スタジアム (ドバイ),アル・ワスル,0,2,アル・アハリ,試合終了,WEST
16,2024-10-01,2,2,19:00:00,浦項スティールヤード (浦項),浦項スティーラース,3,0,上海海港,試合終了,EAST
17,2024-09-30,2,3,03:00:00,キングサウード大学スタジアム (リヤド),アル・ナスル,2,1,アル・ラーヤン,試合終了,WEST
18,2024-10-01,2,3,21:00:00,スルタン・イブラヒム・スタジアム (ジョホールバル),ジョホール・ダルル・タクジム,3,0,上海申花,試合終了,EAST
19,2024-10-01,2,4,03:00:00,アル・バイト・スタジアム (アル＝ハウル),アル・ガラファ,4,2,アル・アイン,試合終了,WEST
20,2024-10-01,2,5,03:00:00,プリンス・ファイサル・ビン・ファハド・スタジアム (リヤド),アル・ヒラル,5,0,アル・ショルタ,試合終了,WEST
21,2024-10-02,2,5,19:00:00,横浜国際総合競技場 (横浜),横浜F・マリノス,4,0,蔚山HD,試合終了,EAST
22,2024-10-21,3,0,01:00:00,カルバラー国際スタジアム (カルバラー),アル・ショルタ,0,0,パフタコール,試合終了,WEST
23,2024-10-22,3,0,19:00:00,龍仁ミルスタジアム (龍仁),光州FC,3,1,ジョホール・ダルル・タクジム,試合終了,EAST
24,2024-10-21,3,1,01:00:00,ジャシム・ビン・ハマド・スタジアム (ドーハ),アル・サッド,1,0,ペルセポリス,試合終了,WEST
25,2024-10-22,3,1,19:00:00,浦東足球場 (上海),上海海港,3,2,セントラル・コースト・マリナーズ,試合終了,EAST
26,2024-10-21,3,2,01:00:00,ハッザーア・ビン・ザーイド・スタジアム (アル・アイン),アル・アイン,4,5,アル・ヒラル,試合終了,WEST
27,2024-10-21,3,3,03:00:00,アフメド・ビン＝アリー・スタジアム (ライヤーン),アル・ラーヤン,1,2,アル・アハリ,試合終了,WEST
28,2024-10-22,3,3,21:00:00,ブリーラム・スタジアム (ブリーラム),ブリーラム・ユナイテッド,1,0,浦項スティーラース,試合終了,EAST
29,2024-10-22,3,4,01:00:00,シャーレ・コッズ・スタジアム (シャーレ・コッズ),エステグラル,0,1,アル・ナスル,試合終了,WEST
30,2024-10-23,3,4,19:00:00,蔚山総合運動場 (蔚山),蔚山HD,0,2,ヴィッセル神戸,試合終了,EAST
31,2024-10-22,3,5,01:00:00,アル・バイト・スタジアム (アル＝ハウル),アル・ガラファ,1,2,アル・ワスル,試合終了,WEST
32,2024-10-23,3,5,21:00:00,上海体育場 (上海),上海申花,2,0,川崎フロンターレ,試合終了,EAST
33,2024-11-04,4,0,23:00:00,ザビール・スタジアム (ドバイ),アル・ワスル,1,1,アル・サッド,試合終了,WEST
34,2024-11-05,4,0,17:00:00,セントラルコースト・スタジアム (ゴスフォード),セントラル・コースト・マリナーズ,2,2,上海申花,試合終了,EAST
35,2024-11-04,4,1,01:00:00,キング・アブドゥッラー・スポーツシティ (ジッダ),アル・アハリ,5,1,アル・ショルタ,試合終了,WEST
36,2024-11-05,4,1,19:00:00,等々力陸上競技場 (川崎),川崎フロンターレ,3,1,上海海港,試合終了,EAST
37,2024-11-04,4,2,01:00:00,アール・マクトゥーム・スタジアム (ドバイ（アラブ首長国連邦）),ペルセポリス,1,1,アル・ガラファ,試合終了,WEST
38,2024-11-05,4,2,19:00:00,神戸市御崎公園球技場 (神戸),ヴィッセル神戸,2,0,光州FC,試合終了,EAST
39,2024-11-04,4,3,03:00:00,キングダム・アリーナ (リヤド),アル・ヒラル,3,0,エステグラル,試合終了,WEST
40,2024-11-05,4,3,21:00:00,スルタン・イブラヒム・スタジアム (ジョホールバル),ジョホール・ダルル・タクジム,3,0,蔚山HD,試合終了,EAST
41,2024-11-05,4,4,23:00:00,JARスタジアム (タシュケント),パフタコール,0,1,アル・ラーヤン,試合終了,WEST
42,2024-11-05,4,5,03:00:00,キングサウード大学スタジアム (リヤド),アル・ナスル,5,1,アル・アイン,試合終了,WEST
43,2024-11-06,4,5,19:00:00,横浜国際総合競技場 (横浜),横浜F・マリノス,5,0,ブリーラム・ユナイテッド,試合終了,EAST
44,2024-11-25,5,0,23:00:00,ハッザーア・ビン・ザーイド・スタジアム (アル・アイン),アル・アイン,1,2,アル・アハリ,試合終了,WEST
45,2024-11-26,5,0,19:00:00,神戸市御崎公園球技場 (神戸),ヴィッセル神戸,3,2,セントラル・コースト・マリナーズ,試合終了,EAST
46,2024-11-25,5,1,01:00:00,アール・ラーシド・スタジアム (ドバイ（アラブ首長国連邦）),エステグラル,0,0,パフタコール,試合終了,WEST
47,2024-11-26,5,1,19:00:00,蔚山文殊サッカー競技場 (蔚山),蔚山HD,1,3,上海海港,試合終了,EAST
48,2024-11-25,5,2,01:00:00,アル・バイト・スタジアム (アル＝ハウル),アル・ガラファ,1,3,アル・ナスル,試合終了,WEST
49,2024-11-25,5,3,03:00:00,アフメド・ビン＝アリー・スタジアム (ライヤーン),アル・ラーヤン,1,1,ペルセポリス,試合終了,WEST
50,2024-11-26,5,3,21:00:00,ブリーラム・スタジアム (ブリーラム),ブリーラム・ユナイテッド,0,3,川崎フロンターレ,試合終了,EAST
51,2024-11-26,5,4,01:00:00,カルバラー国際スタジアム (カルバラー),アル・ショルタ,1,3,アル・ワスル,試合終了,WEST
52,2024-11-27,5,4,19:00:00,光州ワールドカップ競技場 (光州),光州FC,1,0,上海申花,試合終了,EAST
53,2024-11-26,5,5,01:00:00,ジャシム・ビン・ハマド・スタジアム (ドーハ),アル・サッド,1,1,アル・ヒラル,試合終了,WEST
54,2024-11-27,5,5,19:00:00,横浜国際総合競技場 (横浜),横浜F・マリノス,2,0,浦項スティーラース,試合終了,EAST
55,2024-12-02,6,0,23:00:00,ハマド・ビン・ハリーファ・スタジアム (ドーハ（カタール）),ペルセポリス,2,1,アル・ショルタ,試合終了,WEST
56,2024-12-03,6,0,17:00:00,セントラルコースト・スタジアム (ゴスフォード),セントラル・コースト・マリナーズ,0,4,横浜F・マリノス,試合終了,EAST
57,2024-12-02,6,1,01:00:00,キング・アブドゥッラー・スポーツシティ (ジッダ),アル・アハリ,2,2,エステグラル,試合終了,WEST
58,2024-12-03,6,1,19:00:00,浦項スティールヤード (浦項),浦項スティーラース,3,1,ヴィッセル神戸,試合終了,EAST
59,2024-12-02,6,2,01:00:00,ザビール・スタジアム (ドバイ),アル・ワスル,1,1,アル・ラーヤン,試合終了,WEST
60,2024-12-03,6,2,21:00:00,スルタン・イブラヒム・スタジアム (ジョホールバル),ジョホール・ダルル・タクジム,0,0,ブリーラム・ユナイテッド,試合終了,EAST
61,2024-12-02,6,3,03:00:00,キングサウード大学スタジアム (リヤド),アル・ナスル,1,2,アル・サッド,試合終了,WEST
62,2024-12-03,6,3,21:00:00,浦東足球場 (上海),上海海港,1,1,光州FC,試合終了,EAST
63,2024-12-03,6,4,23:00:00,JARスタジアム (タシュケント),パフタコール,1,1,アル・アイン,試合終了,WEST
64,2024-12-03,6,5,03:00:00,キングダム・アリーナ (リヤド),アル・ヒラル,3,0,アル・ガラファ,試合終了,WEST
65,2024-12-04,6,5,21:00:00,上海体育場 (上海),上海申花,1,2,蔚山HD,試合終了,EAST
66,2025-02-03,7,0,23:00:00,ハッザーア・ビン・ザーイド・スタジアム (アル・アイン),アル・アイン,1,2,アル・ラーヤン,試合終了,WEST
67,2025-02-11,7,0,17:00:00,セントラルコースト・スタジアム (ゴスフォード),セントラル・コースト・マリナーズ,1,2,ジョホール・ダルル・タクジム,試合終了,EAST
68,2025-02-03,7,1,01:00:00,アザディ・スタジアム (テヘラン),エステグラル,1,1,アル・ショルタ,試合終了,WEST
69,2025-02-11,7,1,19:00:00,神戸市御崎公園球技場 (神戸),ヴィッセル神戸,4,0,上海海港,試合終了,EAST
70,2025-02-03,7,2,01:00:00,ジャシム・ビン・ハマド・スタジアム (ドーハ),アル・サッド,1,3,アル・アハリ,試合終了,WEST
71,2025-02-11,7,2,19:00:00,浦項スティールヤード (浦項),浦項スティーラース,0,4,川崎フロンターレ,試合終了,EAST
72,2025-02-03,7,3,03:00:00,キングサウード大学スタジアム (リヤド),アル・ナスル,4,0,アル・ワスル,試合終了,WEST
73,2025-02-04,7,4,01:00:00,サーニー・ビン・ジャーシム・スタジアム (ライヤーン),アル・ガラファ,1,0,パフタコール,試合終了,WEST
74,2025-02-12,7,4,19:00:00,横浜国際総合競技場 (横浜),横浜F・マリノス,1,0,上海申花,試合終了,EAST
75,2025-02-04,7,5,03:00:00,キングダム・アリーナ (リヤド),アル・ヒラル,4,1,ペルセポリス,試合終了,WEST
76,2025-02-12,7,5,21:00:00,ブリーラム・スタジアム (ブリーラム),ブリーラム・ユナイテッド,2,1,蔚山HD,試合終了,EAST
77,2025-02-17,8,0,23:00:00,JARスタジアム (タシュケント),パフタコール,2,1,アル・サッド,試合終了,WEST
78,2025-02-18,8,0,19:00:00,光州ワールドカップ競技場 (光州),光州FC,2,2,ブリーラム・ユナイテッド,試合終了,EAST
79,2025-02-17,8,1,01:00:00,アル・ザウラー・スタジアム (バグダード),アル・ショルタ,2,0,アル・アイン,試合終了,WEST
80,2025-02-18,8,1,19:00:00,等々力陸上競技場 (川崎),川崎フロンターレ,2,0,セントラル・コースト・マリナーズ,試合終了,EAST
81,2025-02-17,8,2,01:00:00,アザディ・スタジアム (テヘラン),ペルセポリス,0,0,アル・ナスル,試合終了,WEST
82,2025-02-18,8,2,21:00:00,上海体育場 (上海),上海申花,4,2,ヴィッセル神戸,試合終了,EAST
83,2025-02-17,8,3,03:00:00,キング・アブドゥッラー・スポーツシティ (ジッダ),アル・アハリ,4,2,アル・ガラファ,試合終了,WEST
84,2025-02-18,8,3,21:00:00,スルタン・イブラヒム・スタジアム (ジョホールバル),ジョホール・ダルル・タクジム,5,2,浦項スティーラース,試合終了,EAST
85,2025-02-18,8,4,01:00:00,アフメド・ビン＝アリー・スタジアム (ライヤーン),アル・ラーヤン,0,2,エステグラル,試合終了,WEST
86,2025-02-18,8,5,01:00:00,ザビール・スタジアム (ドバイ),アル・ワスル,0,2,アル・ヒラル,試合終了,WEST
87,2025-02-19,8,5,21:00:00,浦東足球場 (上海),上海海港,0,2,横浜F・マリノス,試合終了,EAST
