,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,round,home_pk_score,away_pk_score,home_score_ex,away_score_ex,leg,match_number
0,2015/03/18,1,1,19:04,ベアスタ,鳥栖,2,1,松本,試合終了,第1節,,,,,,16757
1,2015/03/18,1,2,19:04,味スタ,FC東京,2,1,新潟,試合終了,第1節,,,,,,16755
2,2015/03/18,1,3,19:04,ＢＭＷス,湘南,1,0,甲府,試合終了,第1節,,,,,,16756
3,2015/03/18,1,4,19:03,等々力,川崎Ｆ,1,3,名古屋,試合終了,第1節,,,,,,16783
4,2015/03/18,1,5,19:04,ＮＤスタ,山形,3,1,清水,試合終了,第1節,,,,,,16782
5,2015/03/18,1,6,19:35,ユアスタ,仙台,1,0,横浜FM,試合終了,第1節,,,,,,16784
0,2015/03/28,2,1,14:00,デンカＳ,新潟,0,0,広島,試合終了,第2節,,,,,,16759
1,2015/03/28,2,2,17:03,ベアスタ,鳥栖,0,0,湘南,試合終了,第2節,,,,,,16761
2,2015/03/28,2,3,17:03,松本,松本,1,1,FC東京,試合終了,第2節,,,,,,16760
3,2015/03/28,2,4,14:03,ニッパツ,横浜FM,2,0,清水,試合終了,第2節,,,,,,16785
4,2015/03/28,2,5,14:04,瑞穂陸,名古屋,3,2,仙台,試合終了,第2節,,,,,,16786
5,2015/03/28,2,6,17:04,ノエスタ,神戸,3,1,山形,試合終了,第2節,,,,,,16787
0,2015/04/08,3,1,19:03,デンカＳ,新潟,1,0,鳥栖,試合終了,第3節,,,,,,16764
1,2015/04/08,3,2,19:04,Ｅスタ,広島,2,2,湘南,試合終了,第3節,,,,,,16765
2,2015/04/08,3,3,19:04,中銀スタ,甲府,1,3,松本,試合終了,第3節,,,,,,16763
3,2015/04/08,3,4,19:04,アイスタ,清水,0,2,川崎Ｆ,試合終了,第3節,,,,,,16789
4,2015/04/08,3,5,19:04,ＮＤスタ,山形,3,3,名古屋,試合終了,第3節,,,,,,16788
5,2015/04/08,3,6,19:34,ユアスタ,仙台,0,0,神戸,試合終了,第3節,,,,,,16790
0,2015/04/22,4,1,19:03,松本,松本,2,4,広島,試合終了,第4節,,,,,,16769
1,2015/04/22,4,2,19:04,味スタ,FC東京,2,0,鳥栖,試合終了,第4節,,,,,,16767
2,2015/04/22,4,3,19:04,中銀スタ,甲府,2,2,新潟,試合終了,第4節,,,,,,16768
3,2015/04/22,4,4,19:04,ノエスタ,神戸,0,0,川崎Ｆ,試合終了,第4節,,,,,,16793
4,2015/04/22,4,5,19:04,パロ瑞穂,名古屋,1,0,横浜FM,試合終了,第4節,,,,,,16792
5,2015/04/22,4,6,19:04,アイスタ,清水,2,1,仙台,試合終了,第4節,,,,,,16791
0,2015/05/20,5,1,19:04,味スタ,FC東京,2,1,甲府,試合終了,第5節,,,,,,16770
1,2015/05/20,5,2,19:04,ＢＭＷス,湘南,2,1,松本,試合終了,第5節,,,,,,16771
2,2015/05/20,5,3,19:04,ベアスタ,鳥栖,1,0,広島,試合終了,第5節,,,,,,16773
3,2015/05/20,5,4,19:03,等々力,川崎Ｆ,1,1,山形,試合終了,第5節,,,,,,16794
4,2015/05/20,5,5,19:04,アイスタ,清水,1,2,名古屋,試合終了,第5節,,,,,,16795
5,2015/05/20,5,6,19:33,ニッパツ,横浜FM,2,3,神戸,試合終了,第5節,,,,,,16796
0,2015/05/27,6,1,19:03,デンカＳ,新潟,2,0,湘南,試合終了,第6節,,,,,,16776
1,2015/05/27,6,2,19:04,Ｅスタ,広島,1,1,FC東京,試合終了,第6節,,,,,,16777
2,2015/05/27,6,3,19:04,中銀スタ,甲府,0,0,鳥栖,試合終了,第6節,,,,,,16774
3,2015/05/27,6,4,19:04,ノエスタ,神戸,1,2,清水,試合終了,第6節,,,,,,16797
4,2015/05/27,6,5,19:33,ユアスタ,仙台,1,2,山形,試合終了,第6節,,,,,,16798
5,2015/05/27,6,6,19:34,ニッパツ,横浜FM,1,2,川崎Ｆ,試合終了,第6節,,,,,,16799
0,2015/06/03,7,1,19:03,松本,松本,0,3,新潟,試合終了,第7節,,,,,,16779
1,2015/06/03,7,2,19:04,ＢＭＷス,湘南,0,0,FC東京,試合終了,第7節,,,,,,16778
2,2015/06/03,7,3,19:04,Ｅスタ,広島,2,0,甲府,試合終了,第7節,,,,,,16780
3,2015/06/03,7,4,19:04,等々力,川崎Ｆ,1,1,仙台,試合終了,第7節,,,,,,16801
4,2015/06/03,7,5,19:04,パロ瑞穂,名古屋,0,4,神戸,試合終了,第7節,,,,,,16802
5,2015/06/03,7,6,19:04,ＮＤスタ,山形,0,2,横浜FM,試合終了,第7節,,,,,,16800
0,2015/09/02,-3,1,19:00,柏,柏,0,2,神戸,試合終了,準々決勝　第1戦,,,,,1,17813
1,2015/09/02,-3,2,19:00,万博,Ｇ大阪,1,1,名古屋,試合終了,準々決勝　第1戦,,,,,1,17816
2,2015/09/02,-3,3,19:03,デンカＳ,新潟,5,0,浦和,試合終了,準々決勝　第1戦,,,,,1,17815
3,2015/09/02,-3,4,19:04,味スタ,FC東京,2,2,鹿島,試合終了,準々決勝　第1戦,,,,,1,17814
0,2015/09/06,-3,4,18:34,カシマ,鹿島,3,0,FC東京,試合終了,準々決勝　第2戦,,,,,2,17817
1,2015/09/06,-3,3,19:05,埼玉,浦和,3,0,新潟,試合終了,準々決勝　第2戦,,,,,2,17818
2,2015/09/06,-3,2,19:34,パロ瑞穂,名古屋,2,2,Ｇ大阪,試合終了,準々決勝　第2戦,9,10,1,1,2,17819
3,2015/09/06,-3,1,20:04,神戸ユ,神戸,2,3,柏,試合終了,準々決勝　第2戦,,,,,2,17820
0,2015/10/07,-2,1,19:03,デンカＳ,新潟,2,1,Ｇ大阪,試合終了,準決勝　第1戦,,,,,1,17846
1,2015/10/07,-2,2,19:04,神戸ユ,神戸,1,2,鹿島,試合終了,準決勝　第1戦,,,,,1,17847
0,2015/10/11,-2,2,14:04,カシマ,鹿島,4,1,神戸,試合終了,準決勝　第2戦,,,,,2,17848
1,2015/10/11,-2,1,14:04,万博,Ｇ大阪,2,0,新潟,試合終了,準決勝　第2戦,,,,,2,17849
0,2015/10/31,-1,1,13:10,埼玉,鹿島,3,0,Ｇ大阪,試合終了,決勝,,,,,,17852
