,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,round,home_pk_score,away_pk_score,home_score_ex,away_score_ex,leg,match_number
0,2001/04/04,-5,1,19:00,仙台,仙台,1,2,福岡,試合終了,1回戦第1戦,,,,,1,5648
1,2001/04/04,-5,2,19:00,栃木,水戸,0,1,横浜FM,試合終了,1回戦第1戦,,,,,1,5647
2,2001/04/04,-5,3,19:00,平塚,湘南,0,1,柏,試合終了,1回戦第1戦,,,,,1,5640
3,2001/04/04,-5,4,19:00,磐田,磐田,2,2,Ｃ大阪,試合終了,1回戦第1戦,,,,,1,5645
4,2001/04/04,-5,5,19:00,西京極,京都,0,2,Ｇ大阪,試合終了,1回戦第1戦,,,,,1,5642
5,2001/04/04,-5,6,19:00,大分陸,大分,2,0,札幌,試合終了,1回戦第1戦,,,,,1,5644
6,2001/04/04,-5,7,19:01,大宮,大宮,1,1,市原,試合終了,1回戦第1戦,,,,,1,5643
7,2001/04/04,-5,8,19:01,新潟陸,新潟,0,2,広島,試合終了,1回戦第1戦,,,,,1,5651
8,2001/04/04,-5,9,19:01,鳥栖,鳥栖,1,3,神戸,試合終了,1回戦第1戦,,,,,1,5649
9,2001/04/04,-5,10,19:03,東京,Ｆ東京,5,0,甲府,試合終了,1回戦第1戦,,,,,1,5650
10,2001/04/04,-5,11,19:04,山形県,山形,2,0,浦和,試合終了,1回戦第1戦,,,,,1,5641
11,2001/04/04,-5,12,19:05,三ツ沢,横浜FC,1,1,東京Ｖ,試合終了,1回戦第1戦,,,,,1,5646
0,2001/04/18,-5,6,13:00,室蘭,札幌,2,1,大分,試合終了,1回戦第2戦,,,,,2,5656
1,2001/04/18,-5,7,19:00,市原,市原,1,0,大宮,試合終了,1回戦第2戦,,,,,2,5655
2,2001/04/18,-5,12,19:00,東京,東京Ｖ,0,2,横浜FC,試合終了,1回戦第2戦,,,,,2,5658
3,2001/04/18,-5,2,19:00,三ツ沢,横浜FM,3,1,水戸,試合終了,1回戦第2戦,,,,,2,5659
4,2001/04/18,-5,10,19:00,小瀬,甲府,0,1,Ｆ東京,試合終了,1回戦第2戦,,,,,2,5662
5,2001/04/18,-5,4,19:00,長居,Ｃ大阪,1,2,磐田,試合終了,1回戦第2戦,,,,,2,5657
6,2001/04/18,-5,9,19:00,神戸ユ,神戸,4,0,鳥栖,試合終了,1回戦第2戦,,,,,2,5661
