,match_date,section_no,start_time,stadium,home_team,away_team,status,match_number,round,home_goal,away_goal,home_pk_score,away_pk_score,match_index_in_section,home_score_ex,away_score_ex,group
0,2016/08/27,-7,18:00,とりスタ,ガイナーレ鳥取,ファジアーノ岡山ネクスト,試合終了,1,１回戦,5,0,,,1,,,
1,2016/08/28,-7,18:00,ヤマハ,磐田,ＦＣ岐阜SECOND,試合終了,2,１回戦,7,0,,,27,,,
2,2016/08/27,-7,18:00,町田,町田,神奈川大学,試合終了,3,１回戦,0,1,,,2,,,
3,2016/08/27,-7,17:00,栃木グ,栃木ウーヴァＦＣ,山梨学院大学オリオンズ,試合終了,4,１回戦,1,1,3,4,3,,,
4,2016/08/27,-7,18:00,鳴門大塚,徳島,ＦＣ徳島セレステ,試合終了,5,１回戦,6,0,,,4,,,
5,2016/08/27,-7,17:00,本城,北九州,福岡大学,試合終了,6,１回戦,1,0,,,5,,,
6,2016/08/27,-7,17:00,南長野,ＡＣ長野パルセイロ,北陸大学,試合終了,7,１回戦,5,0,,,6,,,
7,2016/08/27,-7,18:30,トラスタ,長崎,高知ユナイテッドＳＣ,試合終了,8,１回戦,2,1,,,7,,,
8,2016/08/28,-7,18:00,ニッパツ,横浜FC,山形大学,試合終了,9,１回戦,5,0,,,28,,,
9,2016/08/27,-7,18:00,大銀ド,大分,ＭＤ長崎,試合終了,10,１回戦,3,0,,,8,,,
10,2016/08/27,-7,19:00,アイスタ,清水,関西大学,試合終了,11,１回戦,2,1,,,9,,,
11,2016/08/27,-7,18:00,Ｋsスタ,水戸,東京国際大学,試合終了,12,１回戦,1,0,,,10,,,
12,2016/08/27,-7,17:00,富山,富山,新潟医療福祉大学,試合終了,13,１回戦,1,0,,,11,,,
13,2016/08/27,-7,13:00,札幌厚別,札幌,筑波大学,試合終了,14,１回戦,3,0,,,12,,,
14,2016/08/27,-7,15:00,松江陸,松江シティＦＣ,岡山,試合終了,15,１回戦,1,4,,,13,,,
15,2016/08/27,-7,16:00,名古屋港,東海学園大学,鈴鹿アンリミテッドFC,試合終了,16,１回戦,1,2,,,14,0,0,
16,2016/08/27,-7,18:00,NDスタ,山形,アルテリーヴォ和歌山,試合終了,17,１回戦,2,1,,,15,0,0,
17,2016/08/27,-7,15:00,群馬サ,ザスパクサツ群馬,ソニー仙台ＦＣ,試合終了,18,１回戦,1,0,,,16,,,
18,2016/08/27,-7,13:00,東近江,ＭＩＯびわこ滋賀,関西学院大学,試合終了,19,１回戦,1,3,,,17,,,
19,2016/08/28,-7,16:00,レベスタ,福岡,鹿児島ユナイテッドＦＣ,試合終了,20,１回戦,7,2,,,29,,,
20,2016/08/27,-7,18:00,維新公園,山口,東海大学熊本,試合終了,21,１回戦,4,0,,,18,,,
21,2016/08/27,-7,15:00,とうスタ,福島ユナイテッドＦＣ,ザスパ草津チャレンジャーズ,試合終了,22,１回戦,4,1,,,19,,,
22,2016/08/28,-7,19:00,うまスタ,熊本,ＦＣ.ＴＯＳＵ,試合終了,23,１回戦,2,1,,,30,,,
23,2016/08/27,-7,18:00,味フィ西,東京Ｖ,ＶＯＮＤＳ市原FC,試合終了,24,１回戦,2,1,,,20,,,
24,2016/08/27,-7,13:00,鴻ノ池,奈良クラブ,京都産業大学,試合終了,25,１回戦,2,0,,,21,,,
25,2016/08/28,-7,16:00,ピカスタ,讃岐,今治,試合終了,26,１回戦,1,0,,,31,,,
26,2016/08/27,-7,16:00,広島一球,ＳＲＣ広島,愛媛,試合終了,27,１回戦,0,4,,,22,,,
27,2016/08/28,-7,13:00,岩手陸,グルージャ盛岡,早稲田大学,試合終了,28,１回戦,4,0,,,32,,,
28,2016/08/28,-7,18:00,松本,松本山雅ＦＣ,徳山大学,試合終了,29,１回戦,6,0,,,33,,,
29,2016/08/27,-7,13:00,長良川球,ＦＣ岐阜,Ｈｏｎｄａ ＦＣ,試合終了,30,１回戦,1,2,,,23,0,0,
30,2016/08/27,-7,13:00,A-スタ,秋田,ヴァンラーレ八戸,試合終了,31,１回戦,2,0,,,24,,,
31,2016/08/27,-7,18:00,フクアリ,千葉,北海道教育大学岩見沢校,試合終了,32,１回戦,5,0,,,25,,,
32,2016/08/28,-7,16:00,石川西部,金沢,サウルコス福井,試合終了,33,１回戦,4,1,,,34,,,
33,2016/08/27,-7,19:30,沖縄県陸,ＦＣ琉球,ホンダロックＳＣ,試合終了,34,１回戦,1,0,,,26,,,
34,2016/08/28,-7,19:00,金鳥スタ,Ｃ大阪,アルヴェリオ高松,試合終了,35,１回戦,10,0,,,35,,,
35,2016/08/28,-7,18:00,西京極,京都サンガF.C.,バンディオンセ加古川,試合終了,36,１回戦,4,0,,,36,,,
