,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,round,home_pk_score,away_pk_score,leg,match_number
0,2005/03/19,1,1,13:00,神戸ウイ,神戸,1,2,浦和,試合終了,第1節,,,,8340
1,2005/03/19,1,2,15:01,埼玉,大宮,2,0,新潟,試合終了,第1節,,,,8341
2,2005/03/19,1,3,14:00,万博,Ｇ大阪,4,2,広島,試合終了,第1節,,,,8352
3,2005/03/19,1,4,15:00,味スタ,東京Ｖ,4,4,川崎Ｆ,試合終了,第1節,,,,8353
4,2005/03/19,1,5,15:01,柏,柏,3,1,Ｆ東京,試合終了,第1節,,,,8364
5,2005/03/19,1,6,15:04,大分ス,大分,1,3,千葉,試合終了,第1節,,,,8365
6,2005/03/19,1,7,14:04,日本平,清水,1,1,鹿島,試合終了,第1節,,,,8376
7,2005/03/19,1,8,15:00,瑞穂陸,名古屋,1,2,Ｃ大阪,試合終了,第1節,,,,8377
0,2005/03/26,2,1,14:00,新潟ス,新潟,1,0,神戸,試合終了,第2節,,,,8342
1,2005/03/26,2,2,16:05,駒場,浦和,2,1,大宮,試合終了,第2節,,,,8343
2,2005/03/26,2,3,13:35,等々力,川崎Ｆ,2,2,Ｇ大阪,試合終了,第2節,,,,8354
3,2005/03/26,2,4,14:00,広島ス,広島,0,1,東京Ｖ,試合終了,第2節,,,,8355
4,2005/03/26,2,5,14:02,味スタ,Ｆ東京,0,0,大分,試合終了,第2節,,,,8366
5,2005/03/26,2,6,15:01,市原,千葉,1,2,柏,試合終了,第2節,,,,8367
6,2005/03/26,2,7,15:00,カシマ,鹿島,2,1,名古屋,試合終了,第2節,,,,8378
7,2005/03/26,2,8,15:00,長居,Ｃ大阪,0,2,清水,試合終了,第2節,,,,8379
0,2005/05/21,3,1,14:05,埼玉,浦和,2,1,新潟,試合終了,第3節,,,,8344
1,2005/05/21,3,2,15:00,神戸ウイ,神戸,0,1,大宮,試合終了,第3節,,,,8345
2,2005/05/21,3,3,14:00,万博,Ｇ大阪,5,3,東京Ｖ,試合終了,第3節,,,,8356
3,2005/05/21,3,4,15:00,広島ス,広島,1,4,川崎Ｆ,試合終了,第3節,,,,8357
4,2005/05/21,3,5,15:00,柏,柏,0,1,大分,試合終了,第3節,,,,8368
5,2005/05/21,3,6,15:03,味スタ,Ｆ東京,0,1,千葉,試合終了,第3節,,,,8369
6,2005/05/21,3,7,15:00,カシマ,鹿島,1,3,Ｃ大阪,試合終了,第3節,,,,8380
7,2005/05/21,3,8,19:30,瑞穂陸,名古屋,0,3,清水,試合終了,第3節,,,,8381
0,2005/05/28,4,1,15:00,新潟ス,新潟,1,1,大宮,試合終了,第4節,,,,8346
1,2005/05/28,4,2,16:04,駒場,浦和,1,0,神戸,試合終了,第4節,,,,8347
2,2005/05/28,4,3,14:00,万博,Ｇ大阪,3,2,川崎Ｆ,試合終了,第4節,,,,8358
3,2005/05/28,4,4,19:03,国立,東京Ｖ,2,2,広島,試合終了,第4節,,,,8359
4,2005/05/28,4,5,15:00,大分ス,大分,0,2,Ｆ東京,試合終了,第4節,,,,8371
5,2005/05/28,4,6,15:01,柏,柏,1,5,千葉,試合終了,第4節,,,,8370
6,2005/05/28,4,7,13:34,瑞穂陸,名古屋,1,0,鹿島,試合終了,第4節,,,,8382
7,2005/05/28,4,8,15:00,日本平,清水,3,2,Ｃ大阪,試合終了,第4節,,,,8383
0,2005/06/04,5,1,15:00,埼玉,大宮,1,3,浦和,試合終了,第5節,,,,8348
1,2005/06/04,5,2,15:01,神戸ウイ,神戸,0,1,新潟,試合終了,第5節,,,,8349
2,2005/06/04,5,3,15:00,広島ス,広島,2,1,Ｇ大阪,試合終了,第5節,,,,8360
3,2005/06/04,5,4,18:04,等々力,川崎Ｆ,1,1,東京Ｖ,試合終了,第5節,,,,8361
4,2005/06/04,5,5,15:02,市原,千葉,1,1,大分,試合終了,第5節,,,,8372
5,2005/06/04,5,6,15:03,味スタ,Ｆ東京,0,0,柏,試合終了,第5節,,,,8373
6,2005/06/04,5,7,15:00,カシマ,鹿島,3,3,清水,試合終了,第5節,,,,8384
7,2005/06/04,5,8,15:00,長居,Ｃ大阪,1,1,名古屋,試合終了,第5節,,,,8385
0,2005/06/11,6,1,13:01,大宮,大宮,3,0,神戸,試合終了,第6節,,,,8350
1,2005/06/11,6,2,13:04,新潟ス,新潟,3,0,浦和,試合終了,第6節,,,,8351
2,2005/06/11,6,3,19:00,等々力,川崎Ｆ,3,1,広島,試合終了,第6節,,,,8363
3,2005/06/11,6,4,19:01,味スタ,東京Ｖ,1,2,Ｇ大阪,試合終了,第6節,,,,8362
4,2005/06/11,6,5,16:01,大分ス,大分,0,0,柏,試合終了,第6節,,,,8375
5,2005/06/11,6,6,16:04,市原,千葉,3,2,Ｆ東京,試合終了,第6節,,,,8374
6,2005/06/11,6,7,15:00,日本平,清水,0,1,名古屋,試合終了,第6節,,,,8386
7,2005/06/11,6,8,15:00,長居,Ｃ大阪,2,0,鹿島,試合終了,第6節,,,,8387
0,2005/08/06,-3,1,18:30,国立,千葉,3,2,磐田,試合終了,準々決勝　第1戦,,,1,8388
1,2005/08/06,-3,2,19:00,日本平,清水,0,1,浦和,試合終了,準々決勝　第1戦,,,1,8390
2,2005/08/06,-3,3,19:00,長居,Ｃ大阪,0,3,Ｇ大阪,試合終了,準々決勝　第1戦,,,1,8391
3,2005/08/06,-3,4,19:05,熊谷陸,大宮,0,1,横浜FM,試合終了,準々決勝　第1戦,,,1,8389
