,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,round,home_pk_score,away_pk_score,home_score_ex,away_score_ex,leg,match_number
0,2019/03/06,1,1,19:03,トラスタ,長崎,2,1,湘南,試合終了,第1節第1日,,,,,,22563
1,2019/03/06,1,2,19:33,ニッパツ,横浜FM,1,1,札幌,試合終了,第1節第1日,,,,,,22564
2,2019/03/06,1,3,19:03,三協Ｆ柏,柏,2,1,FC東京,試合終了,第1節第1日,,,,,,22575
3,2019/03/06,1,4,19:33,駅スタ,鳥栖,1,3,仙台,試合終了,第1節第1日,,,,,,22576
4,2019/03/06,1,5,19:03,昭和電ド,大分,2,1,Ｃ大阪,試合終了,第1節第1日,,,,,,22588
5,2019/03/06,1,6,19:03,パロ瑞穂,名古屋,2,2,神戸,試合終了,第1節第1日,,,,,,22587
6,2019/03/06,1,7,19:03,ヤマハ,磐田,1,0,Ｇ大阪,試合終了,第1節第1日,,,,,,22600
7,2019/03/06,1,8,19:04,サンアル,松本,2,1,清水,試合終了,第1節第1日,,,,,,22599
0,2019/03/13,2,1,19:03,ＢＭＷス,湘南,2,0,横浜FM,試合終了,第2節第1日,,,,,,22566
1,2019/03/13,2,2,19:03,札幌ド,札幌,0,0,長崎,試合終了,第2節第1日,,,,,,22565
2,2019/03/13,2,3,19:03,ユアスタ,仙台,2,1,FC東京,試合終了,第2節第1日,,,,,,22577
3,2019/03/13,2,4,19:03,三協Ｆ柏,柏,0,1,鳥栖,試合終了,第2節第1日,,,,,,22578
4,2019/03/13,2,5,19:03,パロ瑞穂,名古屋,2,1,大分,試合終了,第2節第1日,,,,,,22589
5,2019/03/13,2,6,19:03,神戸ユ,神戸,0,0,Ｃ大阪,試合終了,第2節第1日,,,,,,22590
6,2019/03/13,2,7,19:03,パナスタ,Ｇ大阪,2,1,松本,試合終了,第2節第1日,,,,,,22602
7,2019/03/13,2,8,19:03,アイスタ,清水,1,0,磐田,試合終了,第2節第1日,,,,,,22601
0,2019/04/10,3,1,19:03,札幌ド,札幌,4,1,湘南,試合終了,第3節第1日,,,,,,22567
1,2019/04/10,3,2,19:33,ニッパツ,横浜FM,2,2,長崎,試合終了,第3節第1日,,,,,,22568
2,2019/04/10,3,3,19:03,ユアスタ,仙台,2,1,柏,試合終了,第3節第1日,,,,,,22579
3,2019/04/10,3,4,19:03,秩父宮,FC東京,1,0,鳥栖,試合終了,第3節第1日,,,,,,22580
4,2019/04/10,3,5,19:03,神戸ユ,神戸,2,0,大分,試合終了,第3節第1日,,,,,,22591
5,2019/04/10,3,6,19:33,ヤンマー,Ｃ大阪,3,0,名古屋,試合終了,第3節第1日,,,,,,22592
6,2019/04/10,3,7,19:03,アイスタ,清水,1,1,Ｇ大阪,試合終了,第3節第1日,,,,,,22604
7,2019/04/10,3,8,19:04,サンアル,松本,1,3,磐田,試合終了,第3節第1日,,,,,,22603
0,2019/04/24,4,1,19:03,トラスタ,長崎,3,6,札幌,試合終了,第4節第1日,,,,,,22569
1,2019/04/24,4,2,19:33,ニッパツ,横浜FM,1,0,湘南,試合終了,第4節第1日,,,,,,22570
2,2019/04/24,4,3,19:03,ＮＡＣＫ,FC東京,2,0,柏,試合終了,第4節第1日,,,,,,22582
3,2019/04/24,4,4,19:03,ユアスタ,仙台,1,1,鳥栖,試合終了,第4節第1日,,,,,,22581
4,2019/04/24,4,5,19:03,昭和電ド,大分,2,2,名古屋,試合終了,第4節第1日,,,,,,22593
5,2019/04/24,4,6,19:33,ヤンマー,Ｃ大阪,1,0,神戸,試合終了,第4節第1日,,,,,,22594
6,2019/04/24,4,7,19:03,アイスタ,清水,2,2,松本,試合終了,第4節第1日,,,,,,22605
7,2019/04/24,4,8,19:03,パナスタ,Ｇ大阪,4,1,磐田,試合終了,第4節第1日,,,,,,22606
0,2019/05/08,5,1,19:03,ＢＭＷス,湘南,1,0,長崎,試合終了,第5節第1日,,,,,,22572
1,2019/05/08,5,2,19:03,札幌厚別,札幌,0,4,横浜FM,試合終了,第5節第1日,,,,,,22571
2,2019/05/08,5,3,19:03,秩父宮,FC東京,0,0,仙台,試合終了,第5節第1日,,,,,,22583
3,2019/05/08,5,4,19:33,駅スタ,鳥栖,0,0,柏,試合終了,第5節第1日,,,,,,22584
4,2019/05/08,5,5,19:03,昭和電ド,大分,2,1,神戸,試合終了,第5節第1日,,,,,,22595
5,2019/05/08,5,6,19:33,パロ瑞穂,名古屋,2,2,Ｃ大阪,試合終了,第5節第1日,,,,,,22596
6,2019/05/08,5,7,19:03,ヤマハ,磐田,1,0,松本,試合終了,第5節第1日,,,,,,22607
7,2019/05/08,5,8,19:03,パナスタ,Ｇ大阪,3,1,清水,試合終了,第5節第1日,,,,,,22608
0,2019/05/22,6,1,19:03,トラスタ,長崎,3,1,横浜FM,試合終了,第6節第1日,,,,,,22574
1,2019/05/22,6,2,19:03,ＢＭＷス,湘南,2,2,札幌,試合終了,第6節第1日,,,,,,22573
2,2019/05/22,6,3,19:03,三協Ｆ柏,柏,1,1,仙台,試合終了,第6節第1日,,,,,,22586
3,2019/05/22,6,4,19:03,駅スタ,鳥栖,0,1,FC東京,試合終了,第6節第1日,,,,,,22585
4,2019/05/22,6,5,19:03,ノエスタ,神戸,1,3,名古屋,試合終了,第6節第1日,,,,,,22597
5,2019/05/22,6,6,19:03,ヤンマー,Ｃ大阪,2,0,大分,試合終了,第6節第1日,,,,,,22598
6,2019/05/22,6,7,19:03,ヤマハ,磐田,0,2,清水,試合終了,第6節第1日,,,,,,22610
7,2019/05/22,6,8,19:04,サンアル,松本,0,0,Ｇ大阪,試合終了,第6節第1日,,,,,,22609
0,2019/06/19,-4,1,19:03,ヤマハ,磐田,1,2,札幌,試合終了,プレーオフラウンド,,,,,1,22623
1,2019/06/19,-4,2,19:03,トラスタ,長崎,1,4,Ｇ大阪,試合終了,プレーオフラウンド,,,,,1,22626
2,2019/06/19,-4,3,19:03,味スタ,FC東京,1,0,Ｃ大阪,試合終了,プレーオフラウンド,,,,,1,22625
3,2019/06/19,-4,4,19:04,パロ瑞穂,名古屋,2,0,仙台,試合終了,プレーオフラウンド,,,,,1,22624
0,2019/06/26,-4,2,19:03,パナスタ,Ｇ大阪,0,2,長崎,試合終了,プレーオフラウンド,,,,,2,22630
1,2019/06/26,-4,3,19:03,ヤンマー,Ｃ大阪,1,1,FC東京,試合終了,プレーオフラウンド,,,,,2,22629
2,2019/06/26,-4,1,19:03,札幌厚別,札幌,2,1,磐田,試合終了,プレーオフラウンド,,,,,2,22627
3,2019/06/26,-4,4,19:03,ユアスタ,仙台,1,0,名古屋,試合終了,プレーオフラウンド,,,,,2,22628
0,2019/09/04,-3,1,19:03,等々力,川崎Ｆ,2,0,名古屋,試合終了,準々決勝,,,,,1,22639
1,2019/09/04,-3,2,19:03,札幌厚別,札幌,3,2,広島,試合終了,準々決勝,,,,,1,22636
2,2019/09/04,-3,3,19:33,パナスタ,Ｇ大阪,1,0,FC東京,試合終了,準々決勝,,,,,1,22637
3,2019/09/04,-3,4,19:33,埼玉,浦和,2,3,鹿島,試合終了,準々決勝,,,,,1,22638
0,2019/09/08,-3,3,16:33,ＮＡＣＫ,FC東京,2,1,Ｇ大阪,試合終了,準々決勝,,,,,2,22641
1,2019/09/08,-3,1,18:03,パロ瑞穂,名古屋,2,2,川崎Ｆ,試合終了,準々決勝,,,,,2,22643
2,2019/09/08,-3,4,18:33,カシマ,鹿島,2,2,浦和,試合終了,準々決勝,,,,,2,22642
3,2019/09/08,-3,2,19:03,Ｅスタ,広島,1,1,札幌,試合終了,準々決勝,,,,,2,22640
0,2019/10/09,-2,1,19:03,パナスタ,Ｇ大阪,2,1,札幌,試合終了,準決勝,,,,,1,22681
1,2019/10/09,-2,2,19:03,等々力,川崎Ｆ,3,1,鹿島,試合終了,準決勝,,,,,1,22680
0,2019/10/13,-2,1,13:00,札幌ド,札幌,1,0,Ｇ大阪,試合終了,準決勝,,,,,2,22682
1,2019/10/13,-2,2,19:03,カシマ,鹿島,0,0,川崎Ｆ,試合終了,準決勝,,,,,2,22683
0,2019/10/26,-1,1,13:10,埼玉,札幌,3,3,川崎Ｆ,試合終了,決勝,4,5,1,1,,22688
