,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,group
51,2025-11-24,5,1,00:00:00,ラシド,アル・アハリ,2,0,アル・ガラファ,試合終了,WEST
52,2025-11-25,5,2,19:00:00,浦東,上海海港,1,3,FCソウル,試合終了,EAST
53,2025-11-24,5,2,00:00:00,アブドゥラー・ビン・ハリファ,アル・ドゥハイル,4,2,アル・イテハド,試合終了,WEST
54,2025-11-25,5,3,21:15:00,鳳凰山,成都蓉城,1,1,広島,試合終了,EAST
55,2025-11-24,5,3,00:00:00,KASC,アル・アハリ・サウジ,0,1,シャールジャ,試合終了,WEST
56,2025-11-26,5,4,19:00:00,蔚山文殊,蔚山,0,0,ブリーラム,試合終了,EAST
57,2025-11-25,5,4,00:00:00,アル・ナヒヤーン,アル・ワフダ,3,1,アル・サッド,試合終了,WEST
58,2025-11-26,5,5,21:15:00,上海,上海申花,0,2,神戸,試合終了,EAST
59,2025-11-25,5,5,00:00:00,キングダム・アリーナ,アル・ヒラル,4,0,アル・ショルタ,試合終了,WEST
60,2025-12-09,6,0,19:00:00,御崎公園,神戸,2,2,成都蓉城,試合終了,EAST
61,2025-12-22,6,0,00:00:00,シャールジャ,シャールジャ,0,1,アル・ヒラル,試合終了,WEST
62,2025-12-09,6,1,19:00:00,町田,町田,3,1,蔚山,試合終了,EAST
63,2025-12-22,6,1,00:00:00,ヤーデガーレ・エマーム,トラークトゥール,2,1,アル・ドゥハイル,試合終了,WEST
64,2025-12-09,6,2,21:15:00,ブリーラム,ブリーラム,2,2,江原,試合終了,EAST
65,2025-12-22,6,2,00:00:00,アル・ザウラー,アル・ショルタ,0,5,アル・アハリ・サウジ,試合終了,WEST
66,2025-12-09,6,3,21:15:00,スルタン・イブラヒム,ジョホール,0,0,上海海港,試合終了,EAST
67,2025-12-22,6,3,00:00:00,サーニ・ビン・ジャシム,アル・ガラファ,1,0,アル・ワフダ,試合終了,WEST
68,2025-12-10,6,4,19:00:00,広島SS,広島,1,0,上海申花,試合終了,EAST
69,2025-12-23,6,4,00:00:00,ジャシム・ビン・ハマド,アル・サッド,4,2,アル・アハリ,試合終了,WEST
70,2025-12-10,6,5,19:00:00,ソウル,FCソウル,1,1,メルボルン・シティ,試合終了,EAST
71,2025-12-23,6,5,00:00:00,KASC,アル・イテハド,1,0,ナサフ,試合終了,WEST
72,2026-02-10,7,0,19:00:00,御崎公園,神戸,2,0,FCソウル,試合終了,EAST
73,2026-02-09,7,0,22:45:00,イスティクロル,ナサフ,1,1,アル・ショルタ,試合終了,WEST
74,2026-02-10,7,1,19:00:00,広島SS,広島,2,1,ジョホール,試合終了,EAST
75,2026-02-09,7,1,22:45:00,アル・ナヒヤーン,アル・ワフダ,0,0,アル・アハリ・サウジ,試合終了,WEST
76,2026-02-10,7,2,21:15:00,上海,上海申花,0,2,町田,試合終了,EAST
77,2026-02-09,7,2,00:00:00,ラシド,アル・アハリ,0,0,アル・ヒラル,試合終了,WEST
78,2026-02-10,7,3,21:15:00,鳳凰山,成都蓉城,0,1,ブリーラム,試合終了,EAST
79,2026-02-09,7,3,00:00:00,アブドゥラー・ビン・ハリファ,アル・ドゥハイル,1,1,シャールジャ,試合終了,WEST
80,2026-02-11,7,4,19:00:00,蔚山文殊,蔚山,1,2,メルボルン・シティ,試合終了,EAST
81,2026-02-10,7,4,00:00:00,ジャシム・ビン・ハマド,トラークトゥール,0,2,アル・サッド,試合終了,WEST
82,2026-02-11,7,5,19:00:00,春川,江原,0,0,上海海港,試合終了,EAST
83,2026-02-10,7,5,00:00:00,KASC,アル・イテハド,7,0,アル・ガラファ,試合終了,WEST
84,2026-02-17,8,0,19:00:00,町田,町田,3,2,成都蓉城,試合終了,EAST
85,2026-02-16,8,0,00:00:00,シャールジャ,シャールジャ,1,2,ナサフ,試合終了,WEST
86,2026-02-17,8,1,19:00:00,木洞,FCソウル,2,2,広島,試合終了,EAST
87,2026-02-16,8,1,00:00:00,プリンス・アブドゥラー・アル・ファイサル,アル・アハリ・サウジ,4,3,アル・アハリ,試合終了,WEST
88,2026-02-17,8,2,21:15:00,ブリーラム,ブリーラム,2,0,上海申花,試合終了,EAST
89,2026-02-16,8,2,00:00:00,キングダム・アリーナ,アル・ヒラル,2,1,アル・ワフダ,試合終了,WEST
90,2026-02-17,8,3,21:15:00,スルタン・イブラヒム,ジョホール,1,0,神戸,試合終了,EAST
91,2026-02-16,8,3,00:00:00,アル・ザウラー,アル・ショルタ,3,2,アル・ドゥハイル,試合終了,WEST
92,2026-02-18,8,4,19:00:00,浦東,上海海港,0,0,蔚山,試合終了,EAST
93,2026-02-17,8,4,00:00:00,ジャシム・ビン・ハマド,アル・サッド,1,4,アル・イテハド,試合終了,WEST
94,2026-02-18,8,5,19:00:00,メルボルン・レクタンギュラー,メルボルン・シティ,0,0,江原,試合終了,EAST
95,2026-02-17,8,5,00:00:00,サーニ・ビン・ジャシム,アル・ガラファ,0,2,トラークトゥール,試合終了,WEST
