,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,broadcast,attendance,home_pk,away_pk
0,1997/07/30,1,1,19:01,日本平,清水,3,1,横浜Ｆ,,8014,,
1,1997/07/30,1,2,19:01,長居,Ｃ大阪,3,1,神戸,,5897,,
2,1997/07/30,1,3,19:01,広島ビ,広島,1,0,名古屋,,4176,,
3,1997/07/30,1,4,19:01,博多球,福岡,1,3,鹿島,,16354,,
4,1997/07/30,1,5,19:04,三ツ沢,横浜M,1,4,磐田,,7864,,
5,1997/07/30,1,6,19:04,平塚,平塚,7,4,柏,,5113,,
6,1997/07/30,1,7,19:04,鳥取,京都,3,2,Ｇ大阪,,8263,,
7,1997/07/30,1,8,19:05,市原,市原,1,0,浦和,,3610,,
0,1997/08/02,2,1,18:30,市原,市原,3,1,Ｖ川崎,,6209,,
1,1997/08/02,2,2,18:30,神戸ユ,神戸,0,5,鹿島,,8978,,
2,1997/08/02,2,3,18:30,広島ビ,広島,1,3,磐田,,5613,,
3,1997/08/02,2,4,18:34,平塚,平塚,3,4,Ｇ大阪,,7174,,
4,1997/08/02,2,5,19:00,長居,Ｃ大阪,2,3,名古屋,,6160,,
5,1997/08/02,2,6,19:04,三ツ沢,横浜M,0,2,浦和,,13269,,
6,1997/08/02,2,7,19:04,日本平,清水,2,3,柏,,9422,,
7,1997/08/02,2,8,19:04,博多球,福岡,0,1,横浜Ｆ,,9477,,
0,1997/08/06,3,1,19:00,瑞穂陸,名古屋,3,0,神戸,,12854,,
1,1997/08/06,3,2,19:01,金沢,Ｇ大阪,3,4,横浜M,,12834,,
2,1997/08/06,3,3,19:03,磐田,磐田,2,1,福岡,,7181,,
3,1997/08/06,3,4,19:04,駒場,浦和,3,4,清水,,17890,,
4,1997/08/06,3,5,19:05,等々力,Ｖ川崎,1,2,平塚,,7415,,
5,1997/08/06,3,6,19:30,三ツ沢,横浜Ｆ,1,2,Ｃ大阪,,5138,,
6,1997/08/06,3,7,19:32,鴨池,京都,2,3,市原,,13776,,
7,1997/08/06,3,8,19:35,柏,柏,2,1,広島,,5887,,
0,1997/08/09,4,1,18:30,神戸ユ,神戸,2,3,横浜Ｆ,,3917,,
1,1997/08/09,4,2,18:33,平塚,平塚,2,1,京都,,7693,,
2,1997/08/09,4,3,18:33,広島ビ,広島,1,2,浦和,,6342,,
3,1997/08/09,4,4,19:00,日本平,清水,1,2,Ｇ大阪,,12067,,
4,1997/08/09,4,5,19:00,長居,Ｃ大阪,1,4,磐田,,7287,,
5,1997/08/09,4,6,19:01,博多球,福岡,1,1,柏,,6495,5,3
6,1997/08/09,4,7,19:04,カシマ,鹿島,7,0,名古屋,,16988,,
7,1997/08/09,4,8,19:04,山形県,横浜M,7,2,Ｖ川崎,,17222,,
0,1997/08/15,5,1,19:04,西京極,京都,1,4,横浜M,,13874,,
1,1997/08/16,5,2,18:31,市原,市原,0,0,平塚,,5511,5,6
2,1997/08/16,5,3,18:33,駒場,浦和,1,2,福岡,,18223,,
3,1997/08/16,5,4,19:02,柏,柏,0,1,Ｃ大阪,,8012,,
4,1997/08/16,5,5,19:04,等々力,Ｖ川崎,1,0,清水,,11070,,
5,1997/08/16,5,6,19:04,三ツ沢,横浜Ｆ,5,3,鹿島,,13498,,
6,1997/08/16,5,7,19:04,磐田,磐田,2,1,神戸,,12366,,
7,1997/08/16,5,8,19:04,万博,Ｇ大阪,3,0,広島,,6598,,
0,1997/08/20,6,1,19:00,瑞穂陸,名古屋,2,1,横浜Ｆ,,13330,,
1,1997/08/20,6,2,19:00,長居,Ｃ大阪,1,2,浦和,,7841,,
2,1997/08/20,6,3,19:02,広島ビ,広島,3,1,Ｖ川崎,,10504,,
3,1997/08/20,6,4,19:03,三ツ沢,横浜M,2,1,市原,,7646,,
4,1997/08/20,6,5,19:03,日本平,清水,1,0,京都,,9327,,
5,1997/08/20,6,6,19:04,カシマ,鹿島,2,0,磐田,,16678,,
6,1997/08/20,6,7,19:04,神戸ユ,神戸,2,4,柏,,4113,,
7,1997/08/20,6,8,19:04,水前寺,福岡,0,1,Ｇ大阪,,7452,,
0,1997/08/23,7,1,18:30,駒場,浦和,2,0,神戸,,18412,,
1,1997/08/23,7,2,18:31,市原,市原,0,3,清水,,4761,,
2,1997/08/23,7,3,18:34,平塚,平塚,1,3,横浜M,,10032,,
3,1997/08/23,7,4,19:00,等々力,Ｖ川崎,2,0,福岡,,6359,,
4,1997/08/23,7,5,19:03,磐田,磐田,1,3,名古屋,,13169,,
5,1997/08/23,7,6,19:04,西京極,京都,0,3,広島,,5340,,
6,1997/08/23,7,7,19:04,万博,Ｇ大阪,3,2,Ｃ大阪,,11893,,
7,1997/08/23,7,8,19:05,柏,柏,3,5,鹿島,,12067,,
0,1997/08/30,8,1,16:04,日本平,清水,3,1,平塚,,10346,,
1,1997/08/30,8,2,18:29,神戸ユ,神戸,0,4,Ｇ大阪,,10195,,
2,1997/08/30,8,3,18:30,カシマ,鹿島,1,0,浦和,,16752,,
3,1997/08/30,8,4,19:00,長居,Ｃ大阪,5,3,Ｖ川崎,,13043,,
4,1997/08/30,8,5,19:00,博多球,福岡,4,2,京都,,8509,,
5,1997/08/30,8,6,19:01,三ツ沢,横浜Ｆ,0,2,磐田,,8577,,
6,1997/08/30,8,7,19:03,瑞穂陸,名古屋,1,0,柏,,19473,,
7,1997/08/30,8,8,19:04,広島ビ,広島,3,0,市原,,6505,,
0,1997/09/03,9,1,19:00,市原,市原,2,1,福岡,,3085,,
1,1997/09/03,9,2,19:00,等々力,Ｖ川崎,2,0,神戸,,5087,,
2,1997/09/03,9,3,19:00,万博,Ｇ大阪,2,1,鹿島,,11047,,
3,1997/09/03,9,4,19:04,駒場,浦和,3,0,名古屋,,17305,,
4,1997/09/03,9,5,19:04,三ツ沢,横浜M,1,0,清水,,6638,,
5,1997/09/03,9,6,19:04,平塚,平塚,2,0,広島,,5271,,
6,1997/09/03,9,7,19:06,西京極,京都,1,1,Ｃ大阪,,4781,6,7
7,1997/09/03,9,8,19:32,柏,柏,0,2,横浜Ｆ,,5572,,
0,1997/09/06,10,1,15:05,カシマ,鹿島,5,0,Ｖ川崎,,16428,,
1,1997/09/06,10,2,18:30,広島ビ,広島,2,3,横浜M,,5071,,
2,1997/09/06,10,3,19:00,長居,Ｃ大阪,1,0,市原,,4492,,
3,1997/09/06,10,4,19:00,博多球,福岡,1,2,平塚,,6318,,
4,1997/09/06,10,5,19:03,瑞穂陸,名古屋,0,1,Ｇ大阪,,17362,,
5,1997/09/06,10,6,19:04,三ツ沢,横浜Ｆ,1,3,浦和,,10846,,
6,1997/09/06,10,7,19:04,神戸ユ,神戸,4,2,京都,,3429,,
7,1997/09/06,10,8,19:05,磐田,磐田,2,1,柏,,10118,,
0,1997/09/10,11,1,19:00,柏,柏,1,2,市原,,5034,,
1,1997/09/10,11,2,19:00,瑞穂陸,名古屋,2,1,清水,,13026,,
2,1997/09/10,11,3,19:00,万博,Ｇ大阪,2,1,Ｖ川崎,,10471,,
3,1997/09/10,11,4,19:02,磐田,磐田,3,1,平塚,,7540,,
4,1997/09/10,11,5,19:03,駒場,浦和,4,1,京都,,16732,,
5,1997/09/10,11,6,19:04,カシマ,鹿島,2,1,広島,,15743,,
6,1997/09/10,11,7,19:04,神戸ユ,神戸,4,3,福岡,,2568,,
7,1997/09/10,11,8,19:34,三ツ沢,横浜Ｆ,2,3,横浜M,,8273,,
0,1997/09/13,12,1,13:32,札幌,Ｖ川崎,2,0,名古屋,,8077,,
1,1997/09/13,12,2,14:04,平塚,平塚,5,4,Ｃ大阪,,5471,,
2,1997/09/13,12,3,15:04,日本平,清水,1,0,広島,,8360,,
3,1997/09/13,12,4,16:00,万博,Ｇ大阪,2,1,横浜Ｆ,,10067,,
4,1997/09/13,12,5,18:05,福井,市原,3,4,神戸,,4184,,
5,1997/09/13,12,6,19:04,駒場,浦和,0,1,磐田,,18783,,
6,1997/09/13,12,7,19:04,三ツ沢,横浜M,4,1,福岡,,6752,,
7,1997/09/13,12,8,19:04,西京極,京都,3,2,鹿島,,8148,,
0,1997/09/20,13,1,14:04,平塚,平塚,2,5,鹿島,,7499,,
1,1997/09/20,13,2,15:01,三ツ沢,横浜M,2,1,神戸,,5558,,
2,1997/09/20,13,3,15:03,西京極,京都,1,2,横浜Ｆ,,4522,,
3,1997/09/20,13,4,15:04,万博,Ｇ大阪,1,2,柏,,7427,,
4,1997/09/20,13,5,16:04,国立,市原,1,2,名古屋,,10459,,
5,1997/09/20,13,6,16:04,日本平,清水,2,0,Ｃ大阪,,7339,,
6,1997/09/20,13,7,16:05,広島ビ,広島,1,3,福岡,,6210,,
7,1997/09/20,13,8,19:05,新潟,Ｖ川崎,1,6,磐田,,11230,,
0,1997/09/24,14,1,19:00,カシマ,鹿島,2,1,市原,,15176,,
1,1997/09/24,14,2,19:00,長居,Ｃ大阪,2,3,横浜M,,8028,,
2,1997/09/24,14,3,19:00,神戸ユ,神戸,0,1,平塚,,5178,,
3,1997/09/24,14,4,19:01,柏,柏,3,0,浦和,,7892,,
4,1997/09/24,14,5,19:01,長良川,名古屋,1,2,京都,,6266,,
5,1997/09/24,14,6,19:01,博多球,福岡,0,1,清水,,5653,,
6,1997/09/24,14,7,19:04,磐田,磐田,1,0,Ｇ大阪,,10542,,
7,1997/09/24,14,8,19:05,国立,横浜Ｆ,0,1,Ｖ川崎,,20119,,
0,1997/09/27,15,1,15:03,磐田,磐田,2,1,京都,,10034,,
1,1997/09/27,15,2,15:03,長良川,名古屋,2,1,平塚,,9117,,
2,1997/09/27,15,3,15:04,柏,柏,2,1,Ｖ川崎,,10959,,
3,1997/09/27,15,4,15:04,神戸ユ,神戸,0,3,清水,,10281,,
4,1997/09/27,15,5,15:05,カシマ,鹿島,2,1,横浜M,,16379,,
5,1997/09/27,15,6,17:04,大分,Ｃ大阪,3,1,広島,,4553,,
6,1997/09/27,15,7,19:01,鴨池,横浜Ｆ,1,2,市原,,7565,,
7,1997/09/27,15,8,19:03,国立,浦和,1,4,Ｇ大阪,,37565,,
0,1997/10/01,16,1,19:00,日本平,清水,2,0,鹿島,,11418,,
1,1997/10/01,16,2,19:00,広島ビ,広島,2,0,神戸,,5396,,
2,1997/10/01,16,3,19:01,博多球,福岡,0,2,Ｃ大阪,,8681,,
3,1997/10/01,16,4,19:03,国立,Ｖ川崎,1,2,浦和,,20161,,
4,1997/10/01,16,5,19:03,平塚,平塚,0,0,横浜Ｆ,,5905,4,5
5,1997/10/01,16,6,19:04,市原,市原,0,5,磐田,,4712,,
6,1997/10/01,16,7,19:04,三ツ沢,横浜M,1,2,名古屋,,7312,,
7,1997/10/01,16,8,19:04,西京極,京都,0,1,柏,,6019,,
0,1997/10/04,17,1,15:00,カシマ,鹿島,1,2,Ｃ大阪,,15404,,
1,1997/10/04,17,2,15:00,三ツ沢,横浜Ｆ,2,1,広島,,4601,,
2,1997/10/04,17,3,15:00,万博,Ｇ大阪,4,3,市原,,6844,,
3,1997/10/04,17,4,15:02,等々力,Ｖ川崎,2,1,京都,,6047,,
4,1997/10/04,17,5,15:03,駒場,浦和,1,0,平塚,,16690,,
5,1997/10/04,17,6,15:03,瑞穂陸,名古屋,2,0,福岡,,11625,,
6,1997/10/04,17,7,15:04,柏,柏,2,3,横浜M,,8968,,
7,1997/10/04,17,8,15:04,磐田,磐田,2,0,清水,,17117,,
