,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team
76,2021-06-13,11,7,14:03,ピカスタ,福島,2,1,讃岐
77,2021-06-19,12,1,17:03,いわスタ,沼津,2,3,岩手
78,2021-06-19,12,2,19:03,白波スタ,八戸,0,0,鹿児島
79,2021-06-20,12,3,13:03,ニッパツ,藤枝,3,4,YS横浜
80,2021-06-20,12,4,14:03,長野Ｕ,富山,0,4,長野
81,2021-06-20,12,5,15:03,ユニスタ,讃岐,2,2,宮崎
82,2021-06-20,12,6,16:03,夢スタ,岐阜,0,3,今治
83,2021-06-20,12,7,19:33,えがおＳ,鳥取,1,1,熊本
84,2021-06-26,13,1,17:03,いわスタ,YS横浜,2,0,岩手
85,2021-06-26,13,2,17:03,藤枝サ,宮崎,1,2,藤枝
86,2021-06-26,13,3,18:03,富山,今治,1,1,富山
87,2021-06-26,13,4,18:03,ピカスタ,熊本,2,1,讃岐
88,2021-06-26,13,5,19:03,Ａｘｉｓ,福島,1,0,鳥取
89,2021-06-27,13,6,16:03,愛鷹,長野,1,0,沼津
90,2021-06-27,13,7,19:03,長良川,鹿児島,0,1,岐阜
91,2021-07-03,14,1,16:03,夢スタ,鹿児島,2,1,今治
92,2021-07-03,14,2,18:03,富山,岩手,0,1,富山
93,2021-07-03,14,3,19:03,Ａｘｉｓ,沼津,4,1,鳥取
94,2021-07-04,14,4,13:03,プラスタ,藤枝,0,1,八戸
95,2021-07-04,14,5,15:03,ニッパツ,讃岐,2,1,YS横浜
96,2021-07-04,14,6,15:03,ユニスタ,福島,2,3,宮崎
97,2021-07-04,14,7,19:03,長野Ｕ,岐阜,1,2,長野
98,2021-07-10,15,1,17:03,藤枝サ,鳥取,2,0,藤枝
99,2021-07-10,15,2,19:03,プラスタ,讃岐,1,1,八戸
100,2021-07-10,15,3,19:03,白波スタ,富山,2,2,鹿児島
101,2021-07-11,15,4,15:03,あいづ,今治,1,4,福島
102,2021-07-11,15,5,16:03,愛鷹,宮崎,1,1,沼津
103,2021-07-11,15,6,19:03,長野Ｕ,YS横浜,2,2,長野
104,2021-07-11,15,7,19:03,えがおＳ,岩手,1,1,熊本
105,2021-08-28,16,1,17:00,いわスタ,八戸,,,岩手
106,2021-08-28,16,2,18:00,長良川,福島,,,岐阜
107,2021-08-28,16,3,18:00,ピカスタ,鹿児島,,,讃岐
108,2021-08-28,16,4,18:30,富山,藤枝,,,富山
109,2021-08-28,16,5,19:00,Ａｘｉｓ,熊本,,,鳥取
110,2021-08-29,16,6,15:00,ユニスタ,長野,,,宮崎
111,2021-08-29,16,7,16:00,夢スタ,沼津,,,今治
112,2021-09-04,17,1,15:00,ニッパツ,岐阜,,,YS横浜
113,2021-09-04,17,2,17:00,藤枝サ,讃岐,,,藤枝
114,2021-09-04,17,3,19:00,プラスタ,宮崎,,,八戸
115,2021-09-05,17,4,15:00,とうスタ,鳥取,,,福島
116,2021-09-05,17,5,16:00,愛鷹,富山,,,沼津
117,2021-09-05,17,6,17:00,えがおＳ,今治,,,熊本
118,2021-09-05,17,7,18:00,長野Ｕ,岩手,,,長野
119,2021-09-11,18,1,16:00,長良川,鳥取,,,岐阜
120,2021-09-11,18,2,18:00,富山,長野,,,富山
121,2021-09-11,18,3,19:00,白波スタ,岩手,,,鹿児島
122,2021-09-12,18,4,15:00,とうスタ,沼津,,,福島
123,2021-09-12,18,5,15:00,ピカスタ,八戸,,,讃岐
124,2021-09-12,18,6,15:00,ユニスタ,YS横浜,,,宮崎
125,2021-09-12,18,7,15:30,夢スタ,藤枝,,,今治
126,2021-09-18,19,1,13:00,ニッパツ,今治,,,YS横浜
127,2021-09-18,19,2,19:00,プラスタ,富山,,,八戸
128,2021-09-18,19,3,19:00,Ａｘｉｓ,鹿児島,,,鳥取
129,2021-09-19,19,4,13:00,藤枝サ,福島,,,藤枝
130,2021-09-19,19,5,15:00,愛鷹,讃岐,,,沼津
131,2021-09-19,19,6,17:00,いわスタ,宮崎,,,岩手
132,2021-09-19,19,7,18:00,長野Ｕ,熊本,,,長野
133,2021-09-25,20,1,19:00,プラスタ,長野,,,八戸
134,2021-09-25,20,2,19:00,白波スタ,岐阜,,,鹿児島
135,2021-09-26,20,3,13:00,富山,鳥取,,,富山
136,2021-09-26,20,4,13:00,ユニスタ,沼津,,,宮崎
137,2021-09-26,20,5,14:00,ピカスタ,YS横浜,,,讃岐
138,2021-09-26,20,6,14:00,えがおＳ,福島,,,熊本
139,2021-09-26,20,7,15:00,夢スタ,岩手,,,今治
140,2021-10-02,21,1,15:00,長良川,今治,,,岐阜
141,2021-10-02,21,2,19:00,白波スタ,YS横浜,,,鹿児島
142,2021-10-03,21,3,13:00,とうスタ,富山,,,福島
143,2021-10-03,21,4,13:00,愛鷹,八戸,,,沼津
144,2021-10-03,21,5,13:00,チュスタ,宮崎,,,鳥取
145,2021-10-03,21,6,15:00,長野Ｕ,讃岐,,,長野
146,2021-10-03,21,7,19:00,えがおＳ,藤枝,,,熊本
147,2021-10-09,22,1,13:00,ニッパツ,長野,,,YS横浜
148,2021-10-09,22,2,17:00,いわスタ,鳥取,,,岩手
149,2021-10-10,22,3,13:00,プラスタ,熊本,,,八戸
150,2021-10-10,22,4,13:00,とうスタ,鹿児島,,,福島
151,2021-10-10,22,5,13:00,夢スタ,宮崎,,,今治
152,2021-10-10,22,6,14:00,藤枝サ,沼津,,,藤枝
153,2021-10-10,22,7,14:00,ピカスタ,岐阜,,,讃岐
154,2021-10-16,23,1,13:00,愛鷹,熊本,,,沼津
155,2021-10-17,23,2,13:00,プラスタ,福島,,,八戸
156,2021-10-17,23,3,13:00,富山,讃岐,,,富山
157,2021-10-17,23,4,13:00,Ａｘｉｓ,YS横浜,,,鳥取
158,2021-10-17,23,5,13:00,ユニスタ,鹿児島,,,宮崎
159,2021-10-17,23,6,14:00,長野Ｕ,藤枝,,,長野
160,2021-10-17,23,7,16:00,長良川,岩手,,,岐阜
161,2021-10-23,24,1,13:00,藤枝サ,岩手,,,藤枝
162,2021-10-23,24,2,15:00,白波スタ,沼津,,,鹿児島
163,2021-10-24,24,3,13:00,Ｊスタ,宮崎,,,福島
164,2021-10-24,24,4,13:00,ニッパツ,八戸,,,YS横浜
165,2021-10-24,24,5,13:00,夢スタ,富山,,,今治
166,2021-10-24,24,6,14:00,長良川,長野,,,岐阜
167,2021-10-24,24,7,14:00,えがおＳ,讃岐,,,熊本
168,2021-10-30,25,1,13:00,いわスタ,福島,,,岩手
169,2021-10-30,25,2,13:00,富山,YS横浜,,,富山
170,2021-10-31,25,3,13:00,長野Ｕ,鳥取,,,長野
171,2021-10-31,25,4,13:00,愛鷹,岐阜,,,沼津
172,2021-10-31,25,5,13:00,ユニスタ,藤枝,,,宮崎
173,2021-10-31,25,6,14:00,ピカスタ,今治,,,讃岐
174,2021-10-31,25,7,14:00,白波スタ,熊本,,,鹿児島
175,2021-11-07,26,1,13:00,プラスタ,鹿児島,,,八戸
176,2021-11-07,26,2,13:00,北上,熊本,,,岩手
177,2021-11-07,26,3,13:00,ニッパツ,沼津,,,YS横浜
178,2021-11-07,26,4,13:00,Ａｘｉｓ,藤枝,,,鳥取
179,2021-11-07,26,5,13:00,夢スタ,福島,,,今治
180,2021-11-07,26,6,14:00,長良川,富山,,,岐阜
181,2021-11-07,26,7,14:00,ピカスタ,宮崎,,,讃岐
182,2021-11-14,27,1,13:00,Ｊスタ,長野,,,福島
183,2021-11-14,27,2,13:00,藤枝サ,八戸,,,藤枝
184,2021-11-14,27,3,13:00,愛鷹,鳥取,,,沼津
185,2021-11-14,27,4,13:00,白波スタ,今治,,,鹿児島
