,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team
0,2021-04-14,18,1,18:03,ヤンマー,徳島,2,1,Ｃ大阪
1,2021-04-14,18,2,19:03,駅スタ,Ｇ大阪,1,0,鳥栖
2,2021-06-19,18,3,13:03,ベススタ,神戸,2,1,福岡
3,2021-06-19,18,4,14:03,札幌厚別,大分,0,2,札幌
4,2021-06-19,18,5,18:01,ニッパツ,FC東京,1,0,横浜FC
5,2021-06-19,18,6,19:03,Ｅスタ,柏,0,1,広島
6,2021-06-20,18,7,17:03,カシマ,仙台,1,1,鹿島
7,2021-06-20,18,8,19:04,埼玉,湘南,3,0,浦和
8,2021-07-17,18,9,18:33,アイスタ,川崎Ｆ,2,0,清水
9,2021-08-12,18,10,19:00,ニッパツ,名古屋,,,横浜FM
10,2021-05-12,20,1,18:03,パナスタ,広島,2,1,Ｇ大阪
11,2021-05-12,20,2,19:03,等々力,仙台,2,2,川崎Ｆ
12,2021-06-27,20,3,18:03,ニッパツ,清水,1,1,横浜FC
13,2021-06-27,20,4,18:03,鳴門大塚,横浜FM,1,0,徳島
14,2021-06-27,20,5,18:33,カシマ,札幌,0,4,鹿島
15,2021-06-27,20,6,19:01,埼玉,福岡,0,2,浦和
16,2021-06-27,20,7,19:03,味スタ,大分,0,3,FC東京
17,2021-06-27,20,8,19:03,レモンＳ,柏,4,2,湘南
18,2021-07-17,20,9,19:03,ヨドコウ,神戸,1,1,Ｃ大阪
19,2021-07-17,20,10,19:03,駅スタ,名古屋,1,3,鳥栖
20,2021-05-12,21,1,19:03,豊田ス,鹿島,2,0,名古屋
21,2021-06-02,21,2,19:03,ニッパツ,川崎Ｆ,2,0,横浜FC
22,2021-07-03,21,3,18:03,ノエスタ,湘南,1,3,神戸
23,2021-07-03,21,4,19:03,ユアスタ,浦和,0,0,仙台
24,2021-07-03,21,5,19:01,三協Ｆ柏,横浜FM,2,1,柏
25,2021-07-03,21,6,19:03,Ｅスタ,鳥栖,1,1,広島
26,2021-07-04,21,7,13:08,札幌厚別,徳島,0,1,札幌
27,2021-07-04,21,8,18:03,アイスタ,大分,0,1,清水
28,2021-07-17,21,9,18:34,ベススタ,Ｇ大阪,1,0,福岡
29,2021-07-21,21,10,19:00,ヨドコウ,FC東京,,,Ｃ大阪
30,2021-02-26,1,1,18:04,等々力,横浜FM,0,2,川崎Ｆ
31,2021-02-28,1,10,13:05,ベススタ,名古屋,2,1,福岡
32,2021-02-27,1,2,14:00,札幌ド,横浜FC,1,5,札幌
33,2021-02-27,1,3,14:00,埼玉,FC東京,1,1,浦和
34,2021-02-27,1,4,14:03,Ｅスタ,仙台,1,1,広島
35,2021-02-27,1,5,14:03,昭和電ド,徳島,1,1,大分
36,2021-02-27,1,6,15:03,カシマ,清水,3,1,鹿島
37,2021-02-27,1,7,15:03,レモンＳ,鳥栖,1,0,湘南
38,2021-02-27,1,8,16:03,ヤンマー,柏,0,2,Ｃ大阪
39,2021-02-27,1,9,17:03,ノエスタ,Ｇ大阪,0,1,神戸
40,2021-04-16,10,1,19:03,札幌ド,横浜FM,3,1,札幌
41,2021-04-18,10,10,17:03,パナスタ,清水,0,0,Ｇ大阪
42,2021-04-17,10,2,14:03,ニッパツ,仙台,2,2,横浜FC
43,2021-04-17,10,3,14:03,鳴門大塚,鹿島,1,0,徳島
44,2021-04-17,10,4,14:03,ベススタ,FC東京,0,1,福岡
45,2021-04-17,10,5,14:01,昭和電ド,柏,1,0,大分
46,2021-04-17,10,6,15:03,レモンＳ,神戸,0,0,湘南
47,2021-04-18,10,7,14:03,等々力,広島,1,1,川崎Ｆ
48,2021-04-18,10,8,15:03,豊田ス,鳥栖,2,1,名古屋
49,2021-04-18,10,9,15:03,ヤンマー,浦和,0,1,Ｃ大阪
50,2021-03-03,11,1,18:03,等々力,Ｃ大阪,2,3,川崎Ｆ
51,2021-04-25,11,10,16:03,埼玉,大分,2,3,浦和
52,2021-04-22,11,2,19:33,豊田ス,Ｇ大阪,0,2,名古屋
53,2021-04-24,11,3,13:03,札幌厚別,仙台,1,2,札幌
54,2021-04-24,11,4,14:03,味スタ,鳥栖,2,1,FC東京
55,2021-04-24,11,5,14:01,日産ス,横浜FC,0,5,横浜FM
56,2021-04-24,11,6,14:03,Ｅスタ,福岡,2,1,広島
57,2021-04-24,11,7,16:03,三協Ｆ柏,徳島,1,5,柏
58,2021-04-24,11,8,17:03,カシマ,神戸,1,1,鹿島
59,2021-04-25,11,9,14:03,アイスタ,湘南,1,1,清水
60,2021-05-01,12,1,14:03,ユアスタ,柏,0,1,仙台
61,2021-05-04,12,10,15:03,等々力,名古屋,2,3,川崎Ｆ
62,2021-05-01,12,2,14:03,味スタ,横浜FM,3,0,FC東京
63,2021-05-01,12,3,14:01,ベススタ,浦和,0,2,福岡
64,2021-05-01,12,4,15:03,ノエスタ,広島,0,3,神戸
65,2021-05-01,12,5,16:03,駅スタ,徳島,0,2,鳥栖
66,2021-05-01,12,6,17:33,ニッパツ,鹿島,3,0,横浜FC
67,2021-05-02,12,7,14:03,昭和電ド,清水,0,1,大分
68,2021-05-02,12,8,15:03,レモンＳ,札幌,0,0,湘南
69,2021-05-02,12,9,15:03,ヤンマー,Ｇ大阪,1,1,Ｃ大阪
70,2021-05-08,13,1,14:03,駅スタ,広島,0,0,鳥栖
71,2021-05-09,13,10,17:01,カシマ,FC東京,0,3,鹿島
72,2021-05-08,13,2,15:03,豊田ス,Ｃ大阪,0,1,名古屋
73,2021-05-08,13,3,18:03,パナスタ,川崎Ｆ,2,0,Ｇ大阪
