,年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
0,1997,ＹＮＣ 予選Ａグループ,第１節第１日,03/08(土),14:00,市原,4-0,B仙台,市原,5004,
1,1997,ＹＮＣ 予選Ａグループ,第１節第１日,03/08(土),16:04,清水,0-0,平塚,日本平,11039,
2,1997,ＹＮＣ 予選Ｂグループ,第１節第１日,03/08(土),15:01,Ｇ大阪,3-3,札幌,万博,10514,
3,1997,ＹＮＣ 予選Ｂグループ,第１節第１日,03/08(土),15:03,Ｖ川崎,1-1,横浜M,国立,23491,
4,1997,ＹＮＣ 予選Ｃグループ,第１節第１日,03/08(土),15:00,鳥栖,0-0,浦和,鳥栖,7021,
5,1997,ＹＮＣ 予選Ｃグループ,第１節第１日,03/08(土),15:04,鹿島,2-4,Ｃ大阪,カシマ,14749,
6,1997,ＹＮＣ 予選Ｄグループ,第１節第１日,03/08(土),15:00,柏,5-1,神戸,柏,6215,
7,1997,ＹＮＣ 予選Ｄグループ,第１節第１日,03/08(土),15:03,名古屋,2-1,広島,長良川,6333,
8,1997,ＹＮＣ 予選Ｅグループ,第１節第１日,03/08(土),15:00,横浜Ｆ,1-2,磐田,三ツ沢,9035,
9,1997,ＹＮＣ 予選Ｅグループ,第１節第１日,03/08(土),15:03,京都,1-0,福岡,西京極,3581,
10,1997,サテライトリーグ Ａグループ,第１節第１日,03/09(日),14:00,鹿島,1-1,柏,鹿島Ｇ,683,
11,1997,サテライトリーグ Ａグループ,第１節第１日,03/09(日),14:00,浦和,3-1,Ｖ川崎,大宮,2324,
12,1997,サテライトリーグ Ｂグループ,第１節第１日,03/09(日),14:00,平塚,1-1,名古屋,大神Ｇ,450,
13,1997,サテライトリーグ Ｂグループ,第１節第１日,03/09(日),14:02,横浜Ｆ,0-0,磐田,戸塚Ｇ,200,
14,1997,サテライトリーグ Ｂグループ,第１節第１日,03/09(日),14:03,清水,6-5,横浜M,蛇塚Ｇ,283,
15,1997,サテライトリーグ Ｃグループ,第１節第１日,03/09(日),12:00,Ｃ大阪,4-3,京都,鴻ノ池,280,
16,1997,サテライトリーグ Ｃグループ,第１節第１日,03/09(日),14:00,神戸,2-1,福岡,いぶき旧,300,
17,1997,サテライトリーグ Ｃグループ,第１節第１日,03/09(日),14:01,Ｇ大阪,1-1,広島,鴻ノ池,280,
18,1997,ＹＮＣ 予選Ａグループ,第２節第１日,03/15(土),14:01,B仙台,0-2,清水,宮城陸上,3270,
19,1997,ＹＮＣ 予選Ａグループ,第２節第１日,03/15(土),15:00,平塚,1-2,市原,平塚,6118,
20,1997,ＹＮＣ 予選Ｂグループ,第２節第１日,03/15(土),15:00,横浜M,3-4,Ｇ大阪,三ツ沢,6309,
21,1997,ＹＮＣ 予選Ｂグループ,第２節第１日,03/15(土),16:02,札幌,2-2,Ｖ川崎,長崎,4823,
22,1997,ＹＮＣ 予選Ｃグループ,第２節第１日,03/15(土),15:00,Ｃ大阪,2-0,鳥栖,長居,7298,
23,1997,ＹＮＣ 予選Ｃグループ,第２節第１日,03/15(土),15:01,浦和,1-1,鹿島,駒場,18165,
24,1997,ＹＮＣ 予選Ｄグループ,第２節第１日,03/15(土),15:02,神戸,1-1,名古屋,神戸ユ,7761,
25,1997,ＹＮＣ 予選Ｄグループ,第２節第１日,03/15(土),15:06,広島,0-2,柏,広島ビ,5629,
26,1997,ＹＮＣ 予選Ｅグループ,第２節第１日,03/15(土),14:03,磐田,2-1,京都,磐田,7058,
27,1997,ＹＮＣ 予選Ｅグループ,第２節第１日,03/15(土),15:01,福岡,1-1,横浜Ｆ,博多球,5633,
28,1997,サテライトリーグ Ａグループ,第２節第１日,03/16(日),14:00,Ｖ川崎,1-0,鹿島,等々力,247,
29,1997,サテライトリーグ Ａグループ,第２節第１日,03/16(日),14:02,市原,2-1,浦和,舞浜Ｇ,100,
30,1997,サテライトリーグ Ｂグループ,第２節第１日,03/16(日),14:02,横浜Ｆ,3-2,平塚,戸塚Ｇ,100,
31,1997,サテライトリーグ Ｂグループ,第２節第１日,03/16(日),14:15,名古屋,1-0,清水,一宮,2135,
32,1997,サテライトリーグ Ｂグループ,第２節第１日,03/16(日),14:59,磐田,2-0,横浜M,磐田,817,
33,1997,サテライトリーグ Ｃグループ,第２節第１日,03/16(日),14:00,神戸,2-1,Ｇ大阪,神戸ユ補,310,
34,1997,サテライトリーグ Ｃグループ,第２節第１日,03/16(日),14:00,福岡,5-3,京都,雁の巣,250,
35,1997,サテライトリーグ Ｃグループ,第２節第１日,03/16(日),14:59,広島,3-1,Ｃ大阪,広島ス,237,
36,1997,ＹＮＣ 予選Ａグループ,第３節第１日,03/19(水),19:00,平塚,6-0,B仙台,平塚,5310,
37,1997,ＹＮＣ 予選Ａグループ,第３節第１日,03/19(水),19:04,清水,2-0,市原,日本平,6014,
38,1997,ＹＮＣ 予選Ｂグループ,第３節第１日,03/19(水),19:00,Ｖ川崎,1-2,Ｇ大阪,等々力,6915,
39,1997,ＹＮＣ 予選Ｂグループ,第３節第１日,03/19(水),19:01,横浜M,1-3,札幌,三ツ沢,5121,
40,1997,ＹＮＣ 予選Ｃグループ,第３節第１日,03/19(水),19:01,鹿島,5-0,鳥栖,カシマ,9344,
41,1997,ＹＮＣ 予選Ｃグループ,第３節第１日,03/19(水),19:03,Ｃ大阪,1-1,浦和,長居,5087,
42,1997,ＹＮＣ 予選Ｄグループ,第３節第１日,03/19(水),19:00,広島,1-0,神戸,広島ビ,4124,
43,1997,ＹＮＣ 予選Ｄグループ,第３節第１日,03/19(水),19:01,名古屋,1-1,柏,瑞穂陸,14303,
44,1997,ＹＮＣ 予選Ｅグループ,第３節第１日,03/19(水),19:00,福岡,1-1,磐田,博多球,4166,
45,1997,ＹＮＣ 予選Ｅグループ,第３節第１日,03/19(水),19:04,京都,0-1,横浜Ｆ,西京極,3563,
46,1997,ＹＮＣ 予選Ａグループ,第４節第１日,03/22(土),14:01,市原,3-1,平塚,市原,2881,
47,1997,ＹＮＣ 予選Ａグループ,第４節第１日,03/22(土),15:04,清水,1-1,B仙台,日本平,8043,
48,1997,ＹＮＣ 予選Ｂグループ,第４節第１日,03/22(土),15:00,Ｖ川崎,2-2,札幌,等々力,6940,
49,1997,ＹＮＣ 予選Ｂグループ,第４節第１日,03/22(土),15:00,Ｇ大阪,1-2,横浜M,万博,14446,
50,1997,ＹＮＣ 予選Ｃグループ,第４節第１日,03/22(土),15:00,鳥栖,0-0,Ｃ大阪,鳥栖,4079,
51,1997,ＹＮＣ 予選Ｃグループ,第４節第１日,03/22(土),15:02,鹿島,0-0,浦和,カシマ,14322,
52,1997,ＹＮＣ 予選Ｄグループ,第４節第１日,03/22(土),15:00,柏,3-0,広島,柏,5772,
53,1997,ＹＮＣ 予選Ｄグループ,第４節第１日,03/22(土),15:04,名古屋,3-0,神戸,瑞穂陸,14209,
54,1997,ＹＮＣ 予選Ｅグループ,第４節第１日,03/22(土),15:01,横浜Ｆ,1-0,福岡,三ツ沢,5044,
55,1997,ＹＮＣ 予選Ｅグループ,第４節第１日,03/22(土),15:03,京都,1-3,磐田,西京極,4342,
56,1997,サテライトリーグ Ａグループ,第３節第１日,03/23(日),14:00,柏,5-1,Ｖ川崎,柏,1018,
57,1997,サテライトリーグ Ａグループ,第３節第１日,03/23(日),14:01,鹿島,0-1,市原,鹿島Ｇ,302,
58,1997,サテライトリーグ Ｂグループ,第３節第１日,03/23(日),14:00,平塚,0-2,磐田,平塚,350,
59,1997,サテライトリーグ Ｂグループ,第３節第１日,03/23(日),14:01,横浜M,3-2,名古屋,ＮＫＫ,252,
60,1997,サテライトリーグ Ｂグループ,第３節第１日,03/23(日),14:04,清水,1-2,横浜Ｆ,裾野,423,
61,1997,サテライトリーグ Ｃグループ,第３節第１日,03/23(日),12:00,Ｃ大阪,5-1,神戸,吹田,410,
62,1997,サテライトリーグ Ｃグループ,第３節第１日,03/23(日),14:00,京都,0-3,広島,八日市Ｇ,106,
63,1997,サテライトリーグ Ｃグループ,第３節第１日,03/23(日),14:04,Ｇ大阪,0-3,福岡,吹田,430,
64,1997,ＹＮＣ 予選Ａグループ,第５節第１日,03/26(水),14:00,B仙台,3-4,平塚,宮城陸上,3921,
65,1997,ＹＮＣ 予選Ａグループ,第５節第１日,03/26(水),18:31,市原,3-0,清水,市原,3775,
66,1997,ＹＮＣ 予選Ｂグループ,第５節第１日,03/26(水),19:00,札幌,1-2,横浜M,長良川,2913,
67,1997,ＹＮＣ 予選Ｂグループ,第５節第１日,03/26(水),19:00,Ｇ大阪,0-1,Ｖ川崎,万博,14791,
68,1997,ＹＮＣ 予選Ｃグループ,第５節第１日,03/26(水),19:01,鳥栖,1-4,鹿島,鳥栖,5202,
69,1997,ＹＮＣ 予選Ｃグループ,第５節第１日,03/26(水),19:03,浦和,3-1,Ｃ大阪,駒場,17550,
70,1997,ＹＮＣ 予選Ｄグループ,第５節第１日,03/26(水),19:00,柏,1-1,名古屋,柏,7695,
71,1997,ＹＮＣ 予選Ｄグループ,第５節第１日,03/26(水),19:00,神戸,2-2,広島,神戸ユ,2275,
72,1997,ＹＮＣ 予選Ｅグループ,第５節第１日,03/26(水),19:02,横浜Ｆ,1-0,京都,三ツ沢,4573,
73,1997,ＹＮＣ 予選Ｅグループ,第５節第１日,03/26(水),19:04,磐田,4-2,福岡,磐田,7141,
74,1997,ＹＮＣ 予選Ａグループ,第６節第１日,03/29(土),14:00,B仙台,1-3,市原,宮城陸上,3554,
75,1997,ＹＮＣ 予選Ａグループ,第６節第１日,03/29(土),15:00,平塚,2-2,清水,平塚,6585,
76,1997,ＹＮＣ 予選Ｂグループ,第６節第１日,03/29(土),15:00,札幌,1-0,Ｇ大阪,水前寺,2881,
77,1997,ＹＮＣ 予選Ｂグループ,第６節第１日,03/29(土),15:01,横浜M,1-2,Ｖ川崎,三ツ沢,12175,
78,1997,ＹＮＣ 予選Ｃグループ,第６節第１日,03/29(土),15:00,浦和,4-0,鳥栖,駒場,16987,
79,1997,ＹＮＣ 予選Ｃグループ,第６節第１日,03/29(土),15:00,Ｃ大阪,3-4,鹿島,長居,6331,
