,年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送,match_card_id
0,2024,ＦＵＪＩＦＩＬＭ　ＳＵＰＥＲ　ＣＵＰ,,02/17(土),13:35,神戸,0-1,川崎Ｆ,国立,52142.0,日本テレビ系全国ネットにて生中継／ＴＶｅｒでライブ配信,30211
1,2024,Ｊ１,第１節第１日,02/23(金・祝),14:06,広島,2-0,浦和,Ｅピース,27545.0,ＤＡＺＮ／ＮＨＫ総合,30430
2,2024,Ｊ１,第１節第１日,02/23(金・祝),18:03,名古屋,0-3,鹿島,豊田ス,36933.0,ＤＡＺＮ,30431
3,2024,Ｊ１,第１節第２日,02/24(土),13:03,磐田,0-2,神戸,ヤマハ,14778.0,ＤＡＺＮ／静岡放送,30432
4,2024,Ｊ１,第１節第２日,02/24(土),14:04,福岡,0-0,札幌,ベススタ,9445.0,ＤＡＺＮ／ＮＨＫ福岡／ＮＨＫ札幌,30433
5,2024,Ｊ１,第１節第２日,02/24(土),14:05,鳥栖,1-2,新潟,駅スタ,9610.0,ＤＡＺＮ／ＮＨＫ新潟／サガテレビ,30434
6,2024,Ｊ１,第１節第２日,02/24(土),15:03,町田,1-1,Ｇ大阪,Ｇスタ,13506.0,ＤＡＺＮ,30435
7,2024,Ｊ１,第１節第２日,02/24(土),15:03,Ｃ大阪,2-2,FC東京,ヨドコウ,20705.0,ＤＡＺＮ,30437
8,2024,Ｊ１,第１節第２日,02/24(土),15:04,湘南,1-2,川崎Ｆ,レモンＳ,12987.0,ＤＡＺＮ,30436
9,2024,Ｊ２,第１節第１日,02/24(土),14:03,藤枝,0-0,長崎,藤枝サ,7243.0,ＤＡＺＮ,30051
10,2024,Ｊ２,第１節第１日,02/24(土),14:03,水戸,1-0,いわき,Ｋｓスタ,5577.0,ＤＡＺＮ,30049
11,2024,Ｊ２,第１節第１日,02/24(土),14:03,横浜FC,1-1,山口,ニッパツ,7176.0,ＤＡＺＮ／ＮＨＫ山口,30050
12,2024,Ｊ３,第１節第１日,02/24(土),14:03,奈良,1-2,琉球,ロートＦ,2007.0,ＤＡＺＮ／ＮＨＫ奈良,29670
13,2024,Ｊ３,第１節第１日,02/24(土),14:03,大宮,4-1,八戸,ＮＡＣＫ,7183.0,ＤＡＺＮ／Ｌｅｍｉｎｏ／テレ玉,29669
14,2024,Ｊ３,第１節第１日,02/24(土),14:04,北九州,0-1,相模原,ミクスタ,4253.0,ＤＡＺＮ,29671
15,2024,Ｊ３,第１節第１日,02/24(土),15:03,岐阜,4-1,福島,長良川,7814.0,ＤＡＺＮ／Ｌｅｍｉｎｏ／ＣＣＮ,29672
16,2024,Ｊ１,第１節第３日,02/25(日),14:03,柏,1-1,京都,三協Ｆ柏,10478.0,ＤＡＺＮ,30438
17,2024,Ｊ１,第１節第３日,02/25(日),14:04,東京Ｖ,1-2,横浜FM,国立,53026.0,ＤＡＺＮ／ＢＳ松竹東急,30439
18,2024,Ｊ２,第１節第２日,02/25(日),12:53,愛媛,1-0,秋田,ニンスタ,5193.0,ＤＡＺＮ／テレビ愛媛,30052
19,2024,Ｊ２,第１節第２日,02/25(日),13:03,熊本,1-2,清水,えがおＳ,8059.0,ＤＡＺＮ／静岡第一テレビ,30054
20,2024,Ｊ２,第１節第２日,02/25(日),13:04,岡山,3-0,栃木,Ｃスタ,11431.0,ＤＡＺＮ／ＮＨＫ岡山,30053
21,2024,Ｊ２,第１節第２日,02/25(日),13:05,千葉,2-3,山形,フクアリ,11544.0,ＤＡＺＮ／ＮＨＫ山形,30056
22,2024,Ｊ２,第１節第２日,02/25(日),14:03,群馬,1-1,鹿児島,正田スタ,4056.0,ＤＡＺＮ／群馬テレビ,30055
23,2024,Ｊ２,第１節第２日,02/25(日),14:03,徳島,1-5,甲府,鳴門大塚,8009.0,ＤＡＺＮ／ＮＨＫ徳島／ＮＨＫ甲府,30057
24,2024,Ｊ２,第１節第２日,02/25(日),14:05,大分,1-1,仙台,レゾド,16075.0,ＤＡＺＮ／ＮＨＫ大分／ＮＨＫ仙台,30058
25,2024,Ｊ３,第１節第２日,02/25(日),13:05,今治,1-0,鳥取,里山Ｓ,4005.0,ＤＡＺＮ／ＮＨＫ鳥取／愛媛朝日テレビ（録）,29673
26,2024,Ｊ３,第１節第２日,02/25(日),14:03,宮崎,1-2,松本,いちご,1576.0,ＤＡＺＮ,29677
27,2024,Ｊ３,第１節第２日,02/25(日),14:03,沼津,3-0,金沢,愛鷹,2206.0,ＤＡＺＮ,29675
28,2024,Ｊ３,第１節第２日,02/25(日),14:03,YS横浜,1-1,富山,ニッパツ,1177.0,ＤＡＺＮ,29674
29,2024,Ｊ３,第１節第２日,02/25(日),14:03,讃岐,1-1,岩手,ピカスタ,2220.0,ＤＡＺＮ／Ｌｅｍｉｎｏ,29676
30,2024,Ｊ３,第１節第２日,02/25(日),19:03,FC大阪,2-1,長野,花園,1822.0,ＤＡＺＮ,29678
31,2024,Ｊ１,第２節第１日,03/01(金),19:03,横浜FM,0-1,福岡,日産ス,19487.0,ＤＡＺＮ,30441
32,2024,Ｊ１,第２節第１日,03/01(金),19:04,川崎Ｆ,4-5,磐田,Ｕ等々力,20316.0,ＤＡＺＮ,30440
33,2024,Ｊ１,第２節第２日,03/02(土),13:03,神戸,0-1,柏,ノエスタ,23107.0,ＤＡＺＮ／ＮＨＫ　ＢＳ,30442
34,2024,Ｊ１,第２節第２日,03/02(土),14:03,名古屋,0-1,町田,豊田ス,30415.0,ＤＡＺＮ／ＮＨＫ名古屋／ＮＨＫ岐阜／ＮＨＫ津,30443
35,2024,Ｊ１,第２節第２日,03/02(土),14:03,京都,1-2,湘南,サンガＳ,11885.0,ＤＡＺＮ／ＫＢＳ京都（録）,30444
36,2024,Ｊ１,第２節第２日,03/02(土),14:04,鳥栖,4-0,札幌,駅スタ,7346.0,ＤＡＺＮ,30445
37,2024,Ｊ１,第２節第２日,03/02(土),15:03,鹿島,1-1,Ｃ大阪,カシマ,24664.0,ＤＡＺＮ,30446
38,2024,Ｊ１,第２節第２日,03/02(土),15:03,Ｇ大阪,1-0,新潟,パナスタ,28669.0,ＤＡＺＮ,30448
39,2024,Ｊ１,第２節第２日,03/02(土),15:04,FC東京,1-1,広島,味スタ,32274.0,ＤＡＺＮ,30447
40,2024,Ｊ２,第２節第１日,03/02(土),13:03,長崎,1-2,仙台,トラスタ,10472.0,ＤＡＺＮ,30059
41,2024,Ｊ２,第２節第１日,03/02(土),14:03,千葉,4-0,藤枝,フクアリ,8847.0,ＤＡＺＮ,30061
42,2024,Ｊ２,第２節第１日,03/02(土),14:03,大分,0-0,横浜FC,レゾド,7413.0,ＤＡＺＮ,30063
43,2024,Ｊ２,第２節第１日,03/02(土),14:03,水戸,1-2,甲府,Ｋｓスタ,3328.0,ＤＡＺＮ,30060
44,2024,Ｊ２,第２節第１日,03/02(土),14:03,清水,2-0,愛媛,アイスタ,15758.0,ＤＡＺＮ／テレビ静岡,30062
45,2024,Ｊ２,第２節第１日,03/02(土),15:10,鹿児島,2-1,徳島,白波スタ,7034.0,ＤＡＺＮ／ＮＨＫ鹿児島／ＮＨＫ徳島,30064
46,2024,Ｊ３,第２節第１日,03/02(土),14:03,大宮,1-0,岐阜,ＮＡＣＫ,6014.0,ＤＡＺＮ,29679
47,2024,Ｊ３,第２節第１日,03/02(土),14:03,相模原,1-0,八戸,ギオンス,4216.0,ＤＡＺＮ／Ｌｅｍｉｎｏ,29680
48,2024,Ｊ３,第２節第１日,03/02(土),14:03,宮崎,1-2,福島,いちご,797.0,ＤＡＺＮ／Ｌｅｍｉｎｏ,29684
49,2024,Ｊ３,第２節第１日,03/02(土),14:03,北九州,1-1,岩手,ミクスタ,2564.0,ＤＡＺＮ／Ｌｅｍｉｎｏ,29683
50,2024,Ｊ３,第２節第１日,03/02(土),14:03,沼津,4-0,鳥取,愛鷹,1315.0,ＤＡＺＮ,29681
51,2024,Ｊ３,第２節第１日,03/02(土),14:03,讃岐,0-0,富山,ピカスタ,1621.0,ＤＡＺＮ,29682
52,2024,Ｊ３,第２節第１日,03/02(土),16:03,琉球,2-2,松本,タピスタ,4957.0,ＤＡＺＮ,29685
53,2024,Ｊ１,第２節第３日,03/03(日),16:04,浦和,1-1,東京Ｖ,埼玉,50863.0,ＤＡＺＮ／テレ玉,30449
54,2024,Ｊ２,第２節第２日,03/03(日),13:02,山口,2-0,秋田,みらスタ,8906.0,ＤＡＺＮ／ＮＨＫ山口,30066
55,2024,Ｊ２,第２節第２日,03/03(日),13:03,いわき,1-1,岡山,ハワスタ,4241.0,ＤＡＺＮ／ＮＨＫ福島／ＮＨＫ岡山,30065
56,2024,Ｊ２,第２節第２日,03/03(日),13:03,熊本,1-1,群馬,えがおＳ,4633.0,ＤＡＺＮ,30067
57,2024,Ｊ２,第２節第２日,03/03(日),14:03,栃木,1-3,山形,カンセキ,8592.0,ＤＡＺＮ／とちぎテレビ（録）,30068
58,2024,Ｊ３,第２節第２日,03/03(日),14:03,奈良,1-1,長野,ロートＦ,1711.0,ＤＡＺＮ,29688
59,2024,Ｊ３,第２節第２日,03/03(日),14:03,YS横浜,0-2,FC大阪,ニッパツ,1151.0,ＤＡＺＮ,29686
60,2024,Ｊ３,第２節第２日,03/03(日),14:04,金沢,1-3,今治,ゴースタ,3352.0,ＤＡＺＮ,29687
