,年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
0,2011,ＦＵＪＩ　ＸＥＲＯＸ　ＳＵＰＥＲ　ＣＵＰ,,02/26(土),13:37,名古屋,1-1(PK3-1),鹿島,日産ス,35963,日本テレビ系列全国ネットにて生中継
1,2011,Ｊ１,第１節第１日,03/05(土),14:02,名古屋,1-1,横浜FM,豊田ス,27153,スカパー／ｅ２／スカパー光／ＮＨＫ総合
2,2011,Ｊ１,第１節第１日,03/05(土),14:02,Ｇ大阪,2-1,Ｃ大阪,万博,20055,スカパー／ｅ２／スカパー光（Ｊ　ｓｐｏｒｔｓ　Ｐｌｕｓ）／ＮＨＫ大阪（近畿ブロック）
3,2011,Ｊ１,第１節第１日,03/05(土),14:03,甲府,0-1,磐田,中銀スタ,15040,スカパー／ｅ２／スカパー光／ＮＨＫ甲府／ＮＨＫ静岡／ひかりＴＶ
4,2011,Ｊ１,第１節第１日,03/05(土),14:04,広島,0-0,仙台,広島ビ,18709,スカパー／ｅ２／スカパー光／ＮＨＫ広島／ＮＨＫ仙台
5,2011,Ｊ１,第１節第１日,03/05(土),14:04,福岡,0-3,新潟,レベスタ,10254,スカパー／ｅ２／スカパー光／テレビ西日本（録）
6,2011,Ｊ１,第１節第１日,03/05(土),15:04,川崎Ｆ,2-0,山形,等々力,18673,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）／ＢＳ－ＴＢＳ
7,2011,Ｊ１,第１節第１日,03/05(土),19:04,柏,3-0,清水,柏,10390,スカパー／ｅ２／スカパー光／ＢＳ／ひかりＴＶ
8,2011,Ｊ２,第１節第１日,03/05(土),14:02,愛媛,2-0,札幌,ニンスタ,6230,スカパー／ｅ２／スカパー光／ＮＨＫ松山／ＮＨＫ札幌
9,2011,Ｊ２,第１節第１日,03/05(土),14:05,Ｆ東京,1-0,鳥栖,味スタ,21408,スカパー／ｅ２／スカパー光／ＴＯＫＹＯ　ＭＸ／ひかりＴＶ
