,年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送,match_card_id
0,2006,ゼロックススーパーカップ,,02/25(土),13:37,Ｇ大阪,1-3,浦和,国立,35674,日本テレビ,9913
1,2006,Ｊ１,第１節第１日,03/04(土),16:04,Ｇ大阪,1-1,浦和,万博,20916,ＮＨＫ総合／Ｊ　ＳＰＯＲＴＳ（録）,9190
2,2006,Ｊ２,第１節第１日,03/04(土),14:04,柏,1-1,湘南,柏,9094,スカイパーフェクＴＶ！／千葉テレビ（録）,9497
3,2006,Ｊ２,第１節第１日,03/04(土),14:04,東京Ｖ,4-1,徳島,国立,7587,スカイパーフェクＴＶ！／日本テレビ（録）／四国放送（録）,9498
4,2006,Ｊ２,第１節第１日,03/04(土),14:04,神戸,0-3,草津,神戸ウイ,7030,スカイパーフェクＴＶ！／ＮＨＫ神戸（録）,9499
5,2006,Ｊ２,第１節第１日,03/04(土),14:04,愛媛,1-0,横浜FC,愛媛陸,10922,ＮＨＫ松山／スカイパーフェクＴＶ！,9500
6,2006,Ｊ２,第１節第１日,03/04(土),14:04,鳥栖,0-1,札幌,鳥栖,15572,スカイパーフェクＴＶ！,9501
7,2006,Ｊ２,第１節第１日,03/04(土),14:05,水戸,1-1,山形,笠松,6174,ＮＨＫ水戸＊／スカイパーフェクＴＶ！／ＮＨＫ山形（録）,9496
8,2006,Ｊ１,第１節第２日,03/05(日),13:00,甲府,0-2,清水,小瀬,14277,山梨放送／テレビ静岡（録）／Ｊ　ＳＰＯＲＴＳ（録）,9191
9,2006,Ｊ１,第１節第２日,03/05(日),13:35,Ｆ東京,2-0,大分,味スタ,22531,ＢＳ－ｉ／ＭＸテレビ（録）／Ｊ　ＳＰＯＲＴＳ（録）,9192
10,2006,Ｊ１,第１節第２日,03/05(日),14:04,磐田,1-1,福岡,静岡,28564,Ｊ　ＳＰＯＲＴＳ,9193
11,2006,Ｊ１,第１節第２日,03/05(日),14:04,名古屋,3-2,Ｃ大阪,瑞穂陸,17199,スカイパーフェクＴＶ！／ＮＨＫ名古屋（録）／ＮＨＫ大阪（録）／Ｊ　ＳＰＯＲＴＳ（録）,9194
12,2006,Ｊ１,第１節第２日,03/05(日),15:00,川崎Ｆ,6-0,新潟,等々力,17444,Ｊ　ＳＰＯＲＴＳ（録）,9196
13,2006,Ｊ１,第１節第２日,03/05(日),15:03,大宮,4-2,千葉,埼玉,13085,テレビ埼玉／ＢＳ（録）／Ｊ　ＳＰＯＲＴＳ（録）,9195
14,2006,Ｊ１,第１節第２日,03/05(日),15:06,広島,3-4,鹿島,広島ビ,17564,ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）,9197
15,2006,Ｊ１,第１節第２日,03/05(日),15:35,横浜FM,4-1,京都,日産ス,23607,ＢＳ－ｉ／ＫＢＳ京都（録）／Ｊ　ＳＰＯＲＴＳ（録）,9198
16,2006,Ｊ１,第２節第１日,03/11(土),14:04,浦和,3-1,磐田,埼玉,56512,ＴＢＳ（単）／静岡放送／テレビ埼玉（録）／Ｊ　ＳＰＯＲＴＳ（録）,9199
