,年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送,match_card_id
0,2014,ＦＵＪＩ　ＸＥＲＯＸ　ＳＵＰＥＲ　ＣＵＰ,,02/22(土),13:36,広島,2-0,横浜FM,国立,41273,日本テレビ系全国ネットにて生中継,15704
1,2014,Ｊ１,第１節第１日,03/01(土),14:04,Ｃ大阪,0-1,広島,ヤンマー,37079,スカパー！／スカパー！プレミアムサービス／ＮＨＫ総合,15671
2,2014,Ｊ１,第１節第１日,03/01(土),14:04,名古屋,2-3,清水,豊田ス,21657,スカパー！／スカパー！プレミアムサービス／ＮＨＫ名古屋／ＮＨＫ静岡,15670
3,2014,Ｊ１,第１節第１日,03/01(土),14:05,鳥栖,5-0,徳島,ベアスタ,14296,スカパー！／スカパー！プレミアムサービス／ＮＨＫ徳島／ＮＨＫ佐賀,15672
4,2014,Ｊ１,第１節第１日,03/01(土),14:05,甲府,0-4,鹿島,国立,13809,スカパー！／スカパー！プレミアムサービス／ＮＨＫ甲府／ＮＨＫ水戸,15669
5,2014,Ｊ１,第１節第１日,03/01(土),14:05,仙台,1-2,新潟,ユアスタ,15852,スカパー！／スカパー！プレミアムサービス／ＮＨＫ仙台／ＮＨＫ新潟,15668
6,2014,Ｊ１,第１節第１日,03/01(土),15:03,柏,1-1,Ｆ東京,柏,14623,スカパー！／スカパー！プレミアムサービス,15673
7,2014,Ｊ１,第１節第１日,03/01(土),19:04,Ｇ大阪,0-1,浦和,万博,18438,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１,15674
8,2014,Ｊ１,第１節第２日,03/02(日),13:04,横浜FM,2-0,大宮,日産ス,23166,スカパー！／スカパー！プレミアムサービス,15675
9,2014,Ｊ１,第１節第２日,03/02(日),16:03,川崎Ｆ,2-2,神戸,等々力,14011,スカパー！／スカパー！プレミアムサービス,15676
10,2014,Ｊ２,第１節第１日,03/02(日),13:04,東京Ｖ,1-3,松本,味スタ,12658,スカパー！／スカパー！プレミアムサービス,15975
11,2014,Ｊ２,第１節第１日,03/02(日),13:05,岐阜,3-1,讃岐,長良川,11069,スカパー！／スカパー！プレミアムサービス／岐阜放送（録）,15976
12,2014,Ｊ２,第１節第１日,03/02(日),14:03,磐田,0-1,札幌,ヤマハ,11730,スカパー！／スカパー！プレミアムサービス／静岡放送,15977
13,2014,Ｊ２,第１節第１日,03/02(日),15:03,横浜FC,0-0,愛媛,ニッパ球,3684,スカパー！／スカパー！プレミアムサービス,15979
14,2014,Ｊ２,第１節第１日,03/02(日),15:04,水戸,2-1,大分,Ｋｓスタ,4280,スカパー！／スカパー！プレミアムサービス／ＮＨＫ水戸／ＮＨＫ大分,15978
15,2014,Ｊ２,第１節第１日,03/02(日),15:04,岡山,0-0,富山,カンスタ,9577,スカパー！／スカパー！プレミアムサービス／ＮＨＫ岡山／ＮＨＫ富山,15980
16,2014,Ｊ２,第１節第１日,03/02(日),15:05,北九州,1-3,京都,本城,3355,スカパー！／スカパー！プレミアムサービス／ＮＨＫ北九州／ＮＨＫ京都,15981
17,2014,Ｊ２,第１節第１日,03/02(日),15:05,熊本,2-1,福岡,うまスタ,9679,スカパー！／スカパー！プレミアムサービス／ＮＨＫ熊本／ＮＨＫ福岡,15982
18,2014,Ｊ２,第１節第１日,03/02(日),16:03,千葉,0-2,栃木,フクアリ,8395,スカパー！／スカパー！プレミアムサービス,15983
19,2014,Ｊ２,第１節第１日,03/02(日),16:04,長崎,2-0,群馬,長崎県立,5248,スカパー！／スカパー！プレミアムサービス／ＮＨＫ長崎,15985
20,2014,Ｊ２,第１節第１日,03/02(日),16:04,湘南,1-0,山形,ＢＭＷス,7234,スカパー！／スカパー！プレミアムサービス,15984
21,2014,Ｊ１,第２節第１日,03/08(土),12:34,広島,2-1,川崎Ｆ,Ｅスタ,16176,スカパー！／スカパー！プレミアムサービス,15677
22,2014,Ｊ１,第２節第１日,03/08(土),13:02,新潟,0-2,Ｇ大阪,デンカＳ,22931,スカパー！／スカパー！プレミアムサービス／新潟総合テレビ,15678
23,2014,Ｊ１,第２節第１日,03/08(土),14:06,徳島,0-2,Ｃ大阪,鳴門大塚,12202,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１,15679
24,2014,Ｊ１,第２節第１日,03/08(土),15:03,Ｆ東京,1-1,甲府,味スタ,22398,スカパー！／スカパー！プレミアムサービス／ＴＯＫＹＯ　ＭＸ（録）,15681
25,2014,Ｊ１,第２節第１日,03/08(土),15:04,大宮,1-2,名古屋,ＮＡＣＫ,9980,スカパー！／スカパー！プレミアムサービス／テレ玉,15680
26,2014,Ｊ１,第２節第１日,03/08(土),15:04,清水,0-1,横浜FM,アイスタ,17877,スカパー！／スカパー！プレミアムサービス／テレビ静岡,15682
27,2014,Ｊ１,第２節第１日,03/08(土),15:05,神戸,1-1,柏,ノエスタ,13143,スカパー！／スカパー！プレミアムサービス,15683
28,2014,Ｊ１,第２節第１日,03/08(土),16:04,浦和,0-1,鳥栖,埼玉,42850,スカパー！／スカパー！プレミアムサービス,15684
29,2014,Ｊ１,第２節第１日,03/08(土),19:04,鹿島,2-0,仙台,カシマ,15033,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１,15685
30,2014,Ｊ２,第２節第１日,03/09(日),13:03,札幌,1-1,山形,札幌ド,16064,スカパー！／スカパー！プレミアムサービス,15986
31,2014,Ｊ２,第２節第１日,03/09(日),13:03,長崎,0-3,湘南,長崎県立,4294,スカパー！／スカパー！プレミアムサービス,15990
32,2014,Ｊ２,第２節第１日,03/09(日),13:03,讃岐,1-4,磐田,丸亀,10421,スカパー！／スカパー！プレミアムサービス,15989
33,2014,Ｊ２,第２節第１日,03/09(日),13:03,栃木,1-1,横浜FC,栃木グ,6907,スカパー！／スカパー！プレミアムサービス／とちぎテレビ（録）,15987
34,2014,Ｊ２,第２節第１日,03/09(日),13:04,群馬,1-0,東京Ｖ,正田スタ,3855,スカパー！／スカパー！プレミアムサービス／群馬テレビ,15988
35,2014,Ｊ２,第２節第１日,03/09(日),14:04,愛媛,0-2,水戸,ニンスタ,4327,スカパー！／スカパー！プレミアムサービス,15991
36,2014,Ｊ２,第２節第１日,03/09(日),16:03,大分,1-0,北九州,大銀ド,8843,スカパー！／スカパー！プレミアムサービス,15995
37,2014,Ｊ２,第２節第１日,03/09(日),16:04,岐阜,3-0,富山,長良川,7879,スカパー！／スカパー！プレミアムサービス,15992
38,2014,Ｊ２,第２節第１日,03/09(日),16:04,福岡,1-0,京都,レベスタ,5499,スカパー！／スカパー！プレミアムサービス,15993
39,2014,Ｊ２,第２節第１日,03/09(日),16:04,熊本,0-1,松本,うまスタ,5521,スカパー！／スカパー！プレミアムサービス,15994
40,2014,Ｊ２,第２節第１日,03/09(日),17:03,千葉,1-0,岡山,フクアリ,7412,スカパー！／スカパー！プレミアムサービス,15996
41,2014,Ｊ３,第１節第１日,03/09(日),13:00,相模原,0-4,金沢,ギオンス,2873,,16439
42,2014,Ｊ３,第１節第１日,03/09(日),13:00,長野,1-0,福島,味フィ西,4312,,16442
43,2014,Ｊ３,第１節第１日,03/09(日),13:00,YS横浜,1-1,秋田,ニッパ球,1477,,16438
44,2014,Ｊ３,第１節第１日,03/09(日),13:00,町田,3-0,藤枝,町田,4569,,16437
45,2014,Ｊ３,第１節第１日,03/09(日),13:01,鳥取,0-0,盛岡,とりスタ,3962,,16440
46,2014,Ｊ３,第１節第１日,03/09(日),15:11,琉球,3-0,J-22,沖縄県陸,1517,スカパー！プレミアムサービス,16441
47,2014,Ｊ１,第３節第１日,03/15(土),13:04,横浜FM,3-0,徳島,ニッパ球,11088,スカパー！／スカパー！プレミアムサービス,15686
48,2014,Ｊ１,第３節第１日,03/15(土),14:03,甲府,1-1,新潟,中銀スタ,9106,スカパー！／スカパー！プレミアムサービス,15687
49,2014,Ｊ１,第３節第１日,03/15(土),14:04,広島,0-2,浦和,Ｅスタ,24734,スカパー！／スカパー！プレミアムサービス,15688
50,2014,Ｊ１,第３節第１日,03/15(土),15:03,川崎Ｆ,3-4,大宮,等々力,13498,スカパー！／スカパー！プレミアムサービス,15690
51,2014,Ｊ１,第３節第１日,03/15(土),15:03,柏,0-1,名古屋,柏,9265,スカパー！／スカパー！プレミアムサービス,15689
52,2014,Ｊ１,第３節第１日,03/15(土),15:04,鳥栖,0-3,鹿島,ベアスタ,13013,スカパー！／スカパー！プレミアムサービス,15692
53,2014,Ｊ１,第３節第１日,03/15(土),15:04,Ｃ大阪,4-1,清水,ヤンマー,20323,スカパー！／スカパー！プレミアムサービス,15691
54,2014,Ｊ１,第３節第１日,03/15(土),17:04,仙台,0-0,Ｇ大阪,ユアスタ,13380,スカパー！／スカパー！プレミアムサービス,15693
55,2014,Ｊ１,第３節第１日,03/15(土),19:04,神戸,2-1,Ｆ東京,ノエスタ,10089,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１,15694
56,2014,Ｊ２,第３節第１日,03/16(日),13:03,大分,1-0,讃岐,大銀ド,7053,スカパー！／スカパー！プレミアムサービス／ＮＨＫ大分,16001
57,2014,Ｊ２,第３節第１日,03/16(日),13:03,松本,0-0,長崎,松本,14048,スカパー！／スカパー！プレミアムサービス／信越放送,15998
