,年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
0,2009,ＦＵＪＩ　ＸＥＲＯＸ　ＳＵＰＥＲ　ＣＵＰ,,02/28(土),13:35,鹿島,3-0,Ｇ大阪,国立,36880,日本テレビ系列にて全国生中継
1,2009,Ｊ１,第１節第１日,03/07(土),13:04,Ｆ東京,1-4,新潟,味スタ,27568,スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャンＨＤ
2,2009,Ｊ１,第１節第１日,03/07(土),13:05,横浜FM,2-4,広島,日産ス,23601,スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャン
3,2009,Ｊ１,第１節第１日,03/07(土),14:03,名古屋,3-2,大分,豊田ス,25395,スカパースカチャン／ｅ２スカチャン／ＮＨＫ名古屋／ＮＨＫ大分
4,2009,Ｊ１,第１節第１日,03/07(土),15:03,千葉,0-3,Ｇ大阪,フクアリ,17916,スカパースカチャン／ｅ２スカチャン／ＢＳ
5,2009,Ｊ１,第１節第１日,03/07(土),16:03,川崎Ｆ,1-1,柏,等々力,17841,スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャン
6,2009,Ｊ１,第１節第１日,03/07(土),16:03,磐田,2-6,山形,ヤマハ,12141,スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャンＨＤ
7,2009,Ｊ１,第１節第１日,03/07(土),16:04,鹿島,2-0,浦和,カシマ,37878,スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャン／ＮＨＫ総合
8,2009,Ｊ２,第１節第１日,03/07(土),13:03,福岡,0-0,富山,レベスタ,9102,スカパースカチャン／ｅ２スカチャン
9,2009,Ｊ２,第１節第１日,03/07(土),14:04,徳島,0-0,東京Ｖ,鳴門大塚,9334,スカパースカチャン／ｅ２スカチャン／ＮＨＫ徳島
10,2009,Ｊ１,第１節第２日,03/08(日),13:00,大宮,0-0,清水,ＮＡＣＫ,11542,スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャンＨＤ／テレ玉（録）
11,2009,Ｊ１,第１節第２日,03/08(日),14:04,京都,1-0,神戸,西京極,16919,スカパー・ｅ２（ＴＢＳチャンネル）／ＢＳ－ｉ／ＫＢＳ京都（録）
12,2009,Ｊ２,第１節第２日,03/08(日),13:03,栃木,0-1,岐阜,栃木グ,5523,スカパースカチャン／ｅ２スカチャン／とちぎテレビ（録）
13,2009,Ｊ２,第１節第２日,03/08(日),13:06,熊本,1-2,草津,熊本,7013,スカパースカチャン／ｅ２スカチャン／ＮＨＫ熊本
14,2009,Ｊ２,第１節第２日,03/08(日),13:09,岡山,0-0,甲府,岡山,10525,スカパースカチャン／ｅ２スカチャン／ＮＨＫ岡山／ＮＨＫ甲府
15,2009,Ｊ２,第１節第２日,03/08(日),13:30,愛媛,3-1,水戸,ニンスタ,4018,スカパースカチャン／ｅ２スカチャン／ＮＨＫ松山
16,2009,Ｊ２,第１節第２日,03/08(日),14:03,札幌,0-1,仙台,札幌ド,21908,スカパースカチャン／ｅ２スカチャン／ＮＨＫ札幌／ＮＨＫ仙台
17,2009,Ｊ２,第１節第２日,03/08(日),16:03,湘南,2-1,横浜FC,平塚,8221,スカパースカチャン／ｅ２スカチャン／ｔｖｋ（録）
18,2009,Ｊ２,第１節第２日,03/08(日),16:05,Ｃ大阪,4-1,鳥栖,長居,8234,スカパースカチャン／ｅ２スカチャン
19,2009,サテライトリーグ Ａグループ,第１日,03/08(日),13:00,柏,3-0,東京Ｖ,柏,1122,
20,2009,サテライトリーグ Ｆグループ,第１日,03/09(月),13:59,Ｃ大阪,0-0,岡山,南津守,150,
21,2009,Ｊ１,第２節第１日,03/14(土),13:04,大分,1-0,京都,九石ド,16841,スカパー・ｅ２（Ｊ　ｓｐｏｒｔｓ　Ｐｌｕｓ）
22,2009,Ｊ１,第２節第１日,03/14(土),14:02,浦和,3-1,Ｆ東京,埼玉,50802,スカパー・ｅ２（ＴＢＳチャンネル）／ＴＢＳ（単）／テレ玉（録）
23,2009,Ｊ１,第２節第１日,03/14(土),14:04,神戸,2-1,川崎Ｆ,ホムスタ,15195,スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャン／ＢＳ／毎日放送（録）
24,2009,Ｊ１,第２節第１日,03/14(土),15:04,柏,1-1,千葉,柏,8723,スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャンＨＤ
25,2009,Ｊ１,第２節第１日,03/14(土),15:04,清水,0-0,横浜FM,アウスタ,19172,スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャン／テレビ静岡
26,2009,Ｊ１,第２節第１日,03/14(土),16:00,Ｇ大阪,4-1,磐田,万博,16128,スカパー・ｅ２（Ｊ　ｓｐｏｒｔｓ　Ｐｌｕｓ）／ＮＨＫ大阪
27,2009,Ｊ１,第２節第１日,03/14(土),16:04,山形,0-0,名古屋,ＮＤスタ,12370,スカパースカチャン／ｅ２スカチャン／ＮＨＫ総合
28,2009,Ｊ２,第２節第１日,03/14(土),13:04,水戸,1-0,徳島,笠松,2057,スカパースカチャン／ｅ２スカチャン／ＮＨＫ水戸＊
29,2009,Ｊ２,第２節第１日,03/14(土),14:03,横浜FC,1-2,熊本,ニッパ球,5431,スカパースカチャン／ｅ２スカチャン
30,2009,Ｊ１,第２節第２日,03/15(日),14:03,新潟,2-1,鹿島,東北電ス,37808,スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャンＨＤ
31,2009,Ｊ１,第２節第２日,03/15(日),14:05,広島,2-3,大宮,広島ビ,20312,スカパー・ｅ２（ＴＢＳチャンネル）／ＢＳ－ｉ／ＮＨＫ広島
32,2009,Ｊ２,第２節第２日,03/15(日),13:03,栃木,0-1,湘南,栃木グ,5093,スカパースカチャン／ｅ２スカチャン／とちぎテレビ（録）
33,2009,Ｊ２,第２節第２日,03/15(日),13:04,富山,1-2,愛媛,富山,5214,スカパースカチャン／ｅ２スカチャン／ＮＨＫ富山
34,2009,Ｊ２,第２節第２日,03/15(日),13:04,岐阜,0-1,甲府,長良川,6803,スカパースカチャン／ｅ２スカチャン／ＮＨＫ岐阜
35,2009,Ｊ２,第２節第２日,03/15(日),13:04,鳥栖,1-2,札幌,ベアスタ,6572,スカパースカチャン／ｅ２スカチャン／ＮＨＫ佐賀
36,2009,Ｊ２,第２節第２日,03/15(日),16:03,東京Ｖ,1-2,Ｃ大阪,味スタ,9378,スカパースカチャン／ｅ２スカチャン／日本テレビ（録）
37,2009,Ｊ２,第２節第２日,03/15(日),16:03,岡山,0-0,仙台,岡山,6455,スカパースカチャン／ｅ２スカチャン
38,2009,Ｊ２,第２節第２日,03/15(日),16:04,草津,3-2,福岡,正田スタ,4782,スカパースカチャン／ｅ２スカチャン／群馬テレビ（録）
39,2009,サテライトリーグ Ｃグループ,第１日,03/15(日),14:59,千葉,1-2,Ｆ東京,市原,581,
40,2009,サテライトリーグ Ｄグループ,第１日,03/15(日),14:01,横浜FM,2-1,清水,ＭＭ２１,1069,
41,2009,サテライトリーグ Ｅグループ,第１日,03/15(日),14:01,徳島,1-2,神戸,板野,610,
42,2009,サテライトリーグ Ｆグループ,第２日,03/16(月),14:00,広島,1-3,岡山,吉田,60,
