,年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
0,1998,ゼロックススーパーカップ,第１節第１日,03/14(土),14:52,磐田,1-2,鹿島,国立,35208,
1,1998,Ｊ１ １ｓｔ,第１節第１日,03/21(土・祝),12:03,名古屋,2-3,神戸,瑞穂陸,19181,
2,1998,Ｊ１ １ｓｔ,第１節第１日,03/21(土・祝),14:06,平塚,4-1,Ｖ川崎,平塚,13254,
3,1998,Ｊ１ １ｓｔ,第１節第１日,03/21(土・祝),15:00,鹿島,4-2,福岡,カシマ,15306,
4,1998,Ｊ１ １ｓｔ,第１節第１日,03/21(土・祝),15:03,柏,0-1,広島,柏,8412,
5,1998,Ｊ１ １ｓｔ,第１節第１日,03/21(土・祝),15:04,清水,4-1,札幌,日本平,12436,
6,1998,Ｊ１ １ｓｔ,第１節第１日,03/21(土・祝),16:03,磐田,2-0,京都,磐田,15574,
7,1998,Ｊ１ １ｓｔ,第１節第１日,03/21(土・祝),19:03,横浜M,1-2,横浜Ｆ,横浜国,52083,
8,1998,Ｊ１ １ｓｔ,第１節第１日,03/21(土・祝),19:03,Ｇ大阪,1-2,Ｃ大阪,万博,15193,
9,1998,Ｊ１ １ｓｔ,第１節第１日,03/21(土・祝),19:04,浦和,3-2,市原,駒場,19828,
10,1998,サテライトリーグ Ｂグループ,第１節第１日,03/22(日),14:00,川崎Ｆ,1-2,清水,蛇塚Ｇ,173,
11,1998,サテライトリーグ Ｃグループ,第１節第１日,03/22(日),13:59,福岡,2-0,Ｃ大阪,雁の巣,253,
12,1998,サテライトリーグ Ｃグループ,第１節第１日,03/22(日),14:00,京都,3-1,広島,東城陽Ｇ,324,
13,1998,サテライトリーグ Ｃグループ,第１節第１日,03/22(日),14:00,神戸,2-1,Ｇ大阪,いぶき旧,150,
14,1998,Ｊ１ １ｓｔ,第２節第１日,03/25(水),19:02,札幌,1-3,鹿島,仙台,14682,
15,1998,Ｊ１ １ｓｔ,第２節第１日,03/25(水),19:03,市原,1-2,名古屋,市原,6048,
