,年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
0,1993,Ｊ１ サントリー,第１節第１日,05/15(土),19:29,Ｖ川崎,1-2,横浜M,国立,59626,
1,1993,Ｊ１ サントリー,第１節第２日,05/16(日),13:05,横浜Ｆ,3-2,清水,三ツ沢,14126,
2,1993,Ｊ１ サントリー,第１節第２日,05/16(日),13:59,広島,2-1,市原,広島ス,11875,
3,1993,Ｊ１ サントリー,第１節第２日,05/16(日),16:00,鹿島,5-0,名古屋,カシマ,10898,
4,1993,Ｊ１ サントリー,第１節第２日,05/16(日),19:04,Ｇ大阪,1-0,浦和,万博,19580,
5,1993,Ｊ１ サントリー,第２節第１日,05/19(水),18:58,清水,1-0,広島,日本平,9183,
6,1993,Ｊ１ サントリー,第２節第１日,05/19(水),19:00,浦和,0-3,名古屋,駒場,9259,
7,1993,Ｊ１ サントリー,第２節第１日,05/19(水),19:00,横浜M,1-0,Ｇ大阪,三ツ沢,10332,
8,1993,Ｊ１ サントリー,第２節第１日,05/19(水),19:01,鹿島,3-2,横浜Ｆ,カシマ,9403,
9,1993,Ｊ１ サントリー,第２節第１日,05/19(水),19:02,市原,2-1,Ｖ川崎,国立,46959,
10,1993,Ｊ１ サントリー,第３節第１日,05/22(土),15:02,名古屋,1-1(PK4-3),横浜M,瑞穂球,11267,
11,1993,Ｊ１ サントリー,第３節第１日,05/22(土),18:31,広島,1-2,Ｖ川崎,広島ビ,36863,
12,1993,Ｊ１ サントリー,第３節第１日,05/22(土),18:35,横浜Ｆ,3-1,浦和,三ツ沢,7469,
13,1993,Ｊ１ サントリー,第３節第１日,05/22(土),19:00,清水,2-1,鹿島,草薙陸,14713,
14,1993,Ｊ１ サントリー,第３節第１日,05/22(土),19:01,Ｇ大阪,0-3,市原,万博,15993,
15,1993,サテライトリーグ,第１節第１日,05/22(土),14:00,横浜Ｆ,0-1,市原,海老名,446,
16,1993,サテライトリーグ,第１節第１日,05/22(土),15:00,平塚,0-1,名古屋,平塚,367,
17,1993,サテライトリーグ,第１節第２日,05/23(日),14:00,柏,1-2,鹿島,柏,3150,
18,1993,サテライトリーグ,第１節第２日,05/23(日),14:00,Ｖ川崎,2-0,清水,町田,582,
19,1993,サテライトリーグ,第１節第２日,05/23(日),14:00,磐田,1-0,浦和,磐田,669,
20,1993,サテライトリーグ,第１節第２日,05/23(日),14:00,広島,0-0(PK1-3),横浜M,広域１,283,
21,1993,Ｊ１ サントリー,第４節第１日,05/26(水),18:59,Ｇ大阪,1-1(PK6-7),清水,万博,16707,
22,1993,Ｊ１ サントリー,第４節第１日,05/26(水),18:59,広島,1-0,横浜M,広島ス,12858,
23,1993,Ｊ１ サントリー,第４節第１日,05/26(水),19:01,名古屋,1-2,横浜Ｆ,瑞穂球,12544,
24,1993,Ｊ１ サントリー,第４節第１日,05/26(水),19:02,市原,1-0,浦和,国立,45033,
25,1993,Ｊ１ サントリー,第４節第１日,05/26(水),19:02,Ｖ川崎,1-0,鹿島,等々力,9816,
26,1993,Ｊ１ サントリー,第５節第１日,05/29(土),14:01,横浜M,0-5,市原,三ツ沢,11152,
27,1993,Ｊ１ サントリー,第５節第１日,05/29(土),15:02,横浜Ｆ,1-2,広島,鴨池,15141,
28,1993,Ｊ１ サントリー,第５節第１日,05/29(土),16:57,鹿島,4-0,Ｇ大阪,カシマ,14058,
29,1993,Ｊ１ サントリー,第５節第１日,05/29(土),18:59,清水,0-0(PK5-6),名古屋,国立,50475,
30,1993,Ｊ１ サントリー,第５節第１日,05/29(土),19:04,浦和,1-1(PK4-2),Ｖ川崎,駒場,9690,
31,1993,サテライトリーグ,第２節第１日,05/29(土),14:00,横浜M,2-1,横浜Ｆ,柏,116,
32,1993,サテライトリーグ,第２節第１日,05/29(土),14:00,Ｇ大阪,0-2,広島,西京極,377,
33,1993,サテライトリーグ,第２節第２日,05/30(日),13:00,鹿島,3-0,平塚,住金Ｇ,339,
