,年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送,match_card_id
0,2004,ゼロックススーパーカップ,,03/06(土),13:33,横浜FM,1-1(PK2-4),磐田,国立,30158.0,日本テレビ,8336
1,2004,Ｊ１ １ｓｔ,第１節第１日,03/13(土),14:01,横浜FM,1-1,浦和,横浜国,51052.0,ＴＢＳ（単）／Ｊ　ＳＰＯＲＴＳ（録）,7728
2,2004,Ｊ１ １ｓｔ,第１節第１日,03/13(土),15:00,柏,2-1,大分,柏,8063.0,千葉テレビ（録）／Ｊ　ＳＰＯＲＴＳ（録）,7730
3,2004,Ｊ１ １ｓｔ,第１節第１日,03/13(土),15:04,鹿島,1-1,Ｇ大阪,カシマ,24314.0,ＢＳ－ｉ（録）／Ｊ　ＳＰＯＲＴＳ（録）,7729
4,2004,Ｊ１ １ｓｔ,第１節第１日,03/13(土),15:35,Ｆ東京,1-0,新潟,味スタ,35880.0,ＮＨＫ新潟／ＢＳ／ＭＸテレビ（録）／Ｊ　ＳＰＯＲＴＳ（録）,7731
5,2004,Ｊ１ １ｓｔ,第１節第１日,03/13(土),16:03,神戸,2-1,市原,神戸ウイ,29835.0,スカイパーフェクＴＶ！／ＮＨＫ神戸（録）／Ｊ　ＳＰＯＲＴＳ（録）,7733
6,2004,Ｊ１ １ｓｔ,第１節第１日,03/13(土),16:04,Ｃ大阪,1-2,名古屋,長居,18542.0,Ｊ　ＳＰＯＲＴＳ,7732
7,2004,Ｊ１ １ｓｔ,第１節第１日,03/13(土),16:05,広島,1-1,清水,広島ビ,19072.0,ＮＨＫ広島／ＢＳ－ｉ／Ｊ　ＳＰＯＲＴＳ（録）,7734
8,2004,Ｊ１ １ｓｔ,第１節第１日,03/13(土),19:04,磐田,2-0,東京Ｖ,ヤマハ,15088.0,ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）,7735
9,2004,Ｊ２,第１節第１日,03/13(土),14:04,札幌,2-2,甲府,札幌ド,18308.0,ＮＨＫ札幌／スカイパーフェクＴＶ！,7970
10,2004,Ｊ２,第１節第１日,03/13(土),14:04,水戸,0-0,湘南,笠松,9155.0,スカイパーフェクＴＶ！,7971
11,2004,Ｊ２,第１節第１日,03/13(土),14:04,川崎Ｆ,3-2,鳥栖,等々力,9014.0,スカイパーフェクＴＶ！,7972
12,2004,Ｊ２,第１節第１日,03/13(土),14:04,横浜FC,4-0,仙台,三ツ沢,7788.0,Ｊ　ＳＰＯＲＴＳ／ＮＨＫ仙台（録）,7973
13,2004,Ｊ２,第１節第１日,03/13(土),14:04,京都,2-3,大宮,西京極,8539.0,スカイパーフェクＴＶ！／ＫＢＳ京都（録）,7974
14,2004,Ｊ２,第１節第１日,03/13(土),14:04,福岡,1-1,山形,博多球,12881.0,スカイパーフェクＴＶ！／Ｊ　ＳＰＯＲＴＳ（録）,7975
15,2004,サテライトリーグ Ａグループ,第１日,03/14(日),15:01,東京Ｖ,0-2,鹿島,ヴェルＧ,350.0,,
16,2004,サテライトリーグ Ｃグループ,第１日,03/14(日),14:01,磐田,1-1,湘南,ヤマハ,764.0,,
17,2004,Ｊ１ １ｓｔ,第２節第１日,03/20(土・祝),14:00,清水,1-2,鹿島,日本平,12215.0,テレビ静岡／Ｊ　ＳＰＯＲＴＳ,7736
18,2004,Ｊ１ １ｓｔ,第２節第１日,03/20(土・祝),15:04,名古屋,1-3,磐田,豊田ス,32406.0,名古屋テレビ／スカイパーフェクＴＶ！／Ｊ　ＳＰＯＲＴＳ（録）,7737
19,2004,Ｊ１ １ｓｔ,第２節第１日,03/20(土・祝),15:34,Ｇ大阪,1-0,広島,万博,11250.0,ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）,7738
20,2004,Ｊ１ １ｓｔ,第２節第１日,03/20(土・祝),16:04,大分,2-1,Ｆ東京,大分ス,19730.0,Ｊ　ＳＰＯＲＴＳ／ＭＸテレビ（録）,7740
21,2004,Ｊ１ １ｓｔ,第２節第１日,03/20(土・祝),16:05,新潟,0-0,神戸,新潟ス,40029.0,新潟放送／ＢＳ－ｉ／Ｊ　ＳＰＯＲＴＳ（録）,7739
22,2004,Ｊ１ １ｓｔ,第２節第１日,03/20(土・祝),19:05,市原,3-0,横浜FM,市原,6813.0,ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）,7741
23,2004,Ｊ２,第２節第１日,03/20(土・祝),14:00,山形,2-2,水戸,山形県,6159.0,スカイパーフェクＴＶ！（録）,7977
24,2004,Ｊ２,第２節第１日,03/20(土・祝),14:01,湘南,1-1,横浜FC,平塚,4759.0,Ｊ　ＳＰＯＲＴＳ（録）,7979
25,2004,Ｊ２,第２節第１日,03/20(土・祝),14:04,大宮,0-0,札幌,埼玉,8009.0,スカイパーフェクＴＶ！,7978
26,2004,Ｊ２,第２節第１日,03/20(土・祝),14:04,甲府,1-2,川崎Ｆ,松本,6632.0,スカイパーフェクＴＶ！／Ｊ　ＳＰＯＲＴＳ（録）,7980
27,2004,Ｊ２,第２節第１日,03/20(土・祝),14:05,仙台,0-5,京都,仙台,18589.0,ＮＨＫ仙台／スカイパーフェクＴＶ！／ＫＢＳ京都（録）,7976
28,2004,Ｊ１ １ｓｔ,第２節第２日,03/21(日),14:04,東京Ｖ,0-1,柏,味スタ,15867.0,ＢＳ－ｉ／日本テレビ（録）／Ｊ　ＳＰＯＲＴＳ（録）,7742
29,2004,Ｊ１ １ｓｔ,第２節第２日,03/21(日),15:35,浦和,4-2,Ｃ大阪,埼玉,43067.0,ＢＳ／テレビ埼玉（録）／Ｊ　ＳＰＯＲＴＳ（録）,7743
30,2004,Ｊ２,第２節第２日,03/21(日),13:01,鳥栖,0-3,福岡,鳥栖,8860.0,スカイパーフェクＴＶ！（録）,7981
31,2004,サテライトリーグ Ａグループ,第２日,03/21(日),14:00,鹿島,0-1,横浜FM,カシマ,1005.0,,
32,2004,サテライトリーグ Ｂグループ,第１日,03/21(日),15:02,仙台,1-2,新潟,仙台,3200.0,,
33,2004,サテライトリーグ Ｃグループ,第２日,03/21(日),14:03,湘南,2-1,名古屋,平塚,467.0,,
34,2004,サテライトリーグ Ｄグループ,第１日,03/21(日),14:04,Ｇ大阪,0-1,広島,ガンバＧ,278.0,,
35,2004,ＹＮＣ 予選Ａグループ,第１節,03/27(土),14:04,広島,0-0,横浜FM,広島ス,6404.0,テレビ新広島／フジテレビ７３９（録）,7665
36,2004,ＹＮＣ 予選Ａグループ,第１節,03/27(土),15:01,Ｃ大阪,1-1,東京Ｖ,長居,6657.0,,7666
37,2004,ＹＮＣ 予選Ｂグループ,第１節,03/27(土),14:00,磐田,0-0,新潟,ヤマハ,9616.0,,7677
38,2004,ＹＮＣ 予選Ｂグループ,第１節,03/27(土),14:00,Ｇ大阪,1-3,名古屋,万博,4449.0,,7678
39,2004,ＹＮＣ 予選Ｃグループ,第１節,03/27(土),15:00,浦和,2-3,大分,駒場,18543.0,フジテレビ７３９／テレビ埼玉（録）,7689
40,2004,ＹＮＣ 予選Ｃグループ,第１節,03/27(土),15:02,市原,4-0,清水,市原,4901.0,,7690
41,2004,ＹＮＣ 予選Ｄグループ,第１節,03/27(土),14:00,神戸,1-0,柏,神戸ウイ,12327.0,,7701
