,年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送,match_card_id
0,2008,ゼロックススーパーカップ,,03/01(土),13:35,鹿島,2-2(PK3-4),広島,国立,27245,日本テレビ系列にて全国生中継／ＣＳ日テレＧ＋で録画放送,11550
1,2008,Ｊ１,第１節第１日,03/08(土),13:02,Ｇ大阪,0-0,千葉,万博,18093,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！ＨＶ）,10803
2,2008,Ｊ１,第１節第１日,03/08(土),14:04,Ｆ東京,1-1,神戸,味スタ,24390,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＴＯＫＹＯ　ＭＸ,10804
3,2008,Ｊ１,第１節第１日,03/08(土),14:04,名古屋,1-1,京都,豊田ス,26102,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＢＳ／ＮＨＫ名古屋,10806
4,2008,Ｊ１,第１節第１日,03/08(土),14:05,横浜FM,1-0,浦和,日産ス,61246,スカパー！・ｅ２（ＴＢＳチャンネル）／ＴＢＳ（単）,10805
5,2008,Ｊ１,第１節第１日,03/08(土),15:04,清水,1-2,大分,日本平,19054,スカパー！・ｅ２（Ｊ　ｓｐｏｒｔｓ　Ｐｌｕｓ）／静岡放送,10807
6,2008,Ｊ１,第１節第１日,03/08(土),16:03,鹿島,4-0,札幌,カシマ,28152,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！ＨＶ）,10808
7,2008,Ｊ２,第１節第１日,03/08(土),13:03,湘南,1-0,仙台,平塚,8724,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）,11109
8,2008,Ｊ２,第１節第１日,03/08(土),14:04,愛媛,2-1,熊本,ニンスタ,5122,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ松山,11110
9,2008,Ｊ２,第１節第１日,03/08(土),14:05,鳥栖,1-0,山形,ベアスタ,7057,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ佐賀／ＮＨＫ山形,11111
10,2008,Ｊ１,第１節第２日,03/09(日),14:04,柏,2-0,磐田,柏,11210,スカパー！・ｅ２（ＴＢＳチャンネル）／ＢＳ－ｉ,10809
11,2008,Ｊ１,第１節第２日,03/09(日),14:04,川崎Ｆ,1-1,東京Ｖ,等々力,21020,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＮＨＫ総合,10810
12,2008,Ｊ１,第１節第２日,03/09(日),16:00,大宮,2-0,新潟,ＮＡＣＫ,12505,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／テレ玉（録）,10811
13,2008,Ｊ２,第１節第２日,03/09(日),13:04,草津,0-2,広島,群馬陸,6974,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／群馬テレビ,11113
14,2008,Ｊ２,第１節第２日,03/09(日),13:05,水戸,0-2,Ｃ大阪,笠松,5437,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ水戸＊,11112
15,2008,Ｊ２,第１節第２日,03/09(日),14:03,甲府,1-1,岐阜,小瀬,13211,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＮＨＫ甲府／ＮＨＫ岐阜（東海３県）,11114
16,2008,Ｊ２,第１節第２日,03/09(日),14:06,徳島,0-2,横浜FC,鳴門大塚,6150,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＮＨＫ徳島,11115
17,2008,サテライトリーグ Ａグループ,第１日,03/09(日),15:02,千葉,2-0,湘南,姉崎,308,,
18,2008,サテライトリーグ Ｃグループ,第１日,03/09(日),14:00,Ｆ東京,1-0,浦和,夢の島,1629,,
19,2008,サテライトリーグ Ｅグループ,第１日,03/09(日),14:00,京都,1-1,神戸,東城陽Ｇ,241,,
20,2008,Ｊ１,第２節第１日,03/15(土),13:05,大分,2-0,柏,九石ド,18263,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）,10812
21,2008,Ｊ１,第２節第１日,03/15(土),14:04,浦和,0-2,名古屋,埼玉,54482,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＮＨＫ総合,10813
22,2008,Ｊ１,第２節第１日,03/15(土),15:00,神戸,4-1,川崎Ｆ,ホムスタ,16066,スカパー！・ｅ２（Ｊ　ｓｐｏｒｔｓ　Ｐｌｕｓ）,10815
23,2008,Ｊ１,第２節第１日,03/15(土),15:04,磐田,3-0,Ｇ大阪,エコパ,25560,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＢＳ／静岡放送,10814
24,2008,Ｊ１,第２節第１日,03/15(土),16:03,新潟,2-3,Ｆ東京,東北電ス,35083,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）,10817
25,2008,Ｊ１,第２節第１日,03/15(土),16:05,札幌,1-2,横浜FM,札幌ド,25225,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！ＨＶ）／北海道放送,10816
26,2008,Ｊ１,第２節第１日,03/15(土),17:03,千葉,1-2,清水,フクアリ,14566,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）,10818
27,2008,Ｊ２,第２節第１日,03/15(土),13:04,Ｃ大阪,1-3,山形,長居,6937,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）,11116
28,2008,Ｊ２,第２節第１日,03/15(土),15:03,熊本,2-1,草津,熊本,5960,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／熊本放送,11117
29,2008,Ｊ１,第２節第２日,03/16(日),13:34,京都,2-1,大宮,西京極,14982,スカパー！・ｅ２（ＴＢＳチャンネル）／ＢＳ－ｉ／ＫＢＳ京都（録）,10819
30,2008,Ｊ１,第２節第２日,03/16(日),16:03,東京Ｖ,0-2,鹿島,味スタ,18934,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！ＨＶ）／日本テレビ（録）,10820
31,2008,Ｊ２,第２節第２日,03/16(日),13:03,岐阜,0-1,仙台,長良川,5023,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／岐阜放送,11118
32,2008,Ｊ２,第２節第２日,03/16(日),13:04,福岡,2-1,水戸,レベスタ,15157,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）,11119
33,2008,Ｊ２,第２節第２日,03/16(日),14:03,甲府,0-0,徳島,小瀬,9687,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／山梨放送,11120
34,2008,Ｊ２,第２節第２日,03/16(日),14:04,広島,3-0,愛媛,広島ビ,17250,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＮＨＫ広島,11121
35,2008,Ｊ２,第２節第２日,03/16(日),16:04,横浜FC,3-2,湘南,ニッパ球,6287,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）,11122
