,年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
0,2020,ＦＵＪＩ　ＸＥＲＯＸ　ＳＵＰＥＲ　ＣＵＰ,,02/08(土),13:35,横浜FM,3-3(PK2-3),神戸,埼玉,51397.0,日本テレビ系全国ネットにて生中継
1,2020,ＹＬＣ グループステージＡグループ,第１節第１日,02/16(日),14:03,名古屋,1-0,鹿島,パロ瑞穂,9364.0,スカチャン６
2,2020,ＹＬＣ グループステージＡグループ,第１節第１日,02/16(日),14:03,川崎Ｆ,5-1,清水,等々力,17057.0,フジテレビＮＥＸＴ／スカチャン４
3,2020,ＹＬＣ グループステージＢグループ,第１節第１日,02/16(日),14:03,浦和,5-2,仙台,埼玉,19589.0,フジテレビＴＷＯ／スカチャン５
4,2020,ＹＬＣ グループステージＢグループ,第１節第１日,02/16(日),15:03,Ｃ大阪,4-1,松本,ヤンマー,6679.0,スカチャン７
5,2020,ＹＬＣ グループステージＣグループ,第１節第１日,02/16(日),14:03,鳥栖,0-3,札幌,駅スタ,8063.0,スカチャン１
6,2020,ＹＬＣ グループステージＣグループ,第１節第１日,02/16(日),14:03,横浜FC,0-2,広島,ニッパツ,4287.0,スカサカ！
7,2020,ＹＬＣ グループステージＤグループ,第１節第１日,02/16(日),15:03,湘南,1-0,大分,ＢＭＷス,6217.0,スカチャン１３
8,2020,ＹＬＣ グループステージＤグループ,第１節第１日,02/16(日),15:03,Ｇ大阪,0-1,柏,パナスタ,13114.0,スカチャン８
9,2020,Ｊ１,第１節第１日,02/21(金),19:03,湘南,2-3,浦和,ＢＭＷス,13071.0,ＤＡＺＮ
10,2020,Ｊ１,第１節第２日,02/22(土),14:03,仙台,1-1,名古屋,ユアスタ,13968.0,ＤＡＺＮ／ＮＨＫ仙台
11,2020,Ｊ１,第１節第２日,02/22(土),15:03,Ｃ大阪,1-0,大分,ヤンマー,15535.0,ＤＡＺＮ
12,2020,Ｊ１,第１節第２日,02/22(土),15:03,柏,4-2,札幌,三協Ｆ柏,12468.0,ＤＡＺＮ
13,2020,Ｊ１,第１節第２日,02/22(土),15:03,川崎Ｆ,0-0,鳥栖,等々力,21117.0,ＤＡＺＮ／ＮＨＫ佐賀
14,2020,Ｊ１,第１節第３日,02/23(日・祝),13:03,清水,1-3,FC東京,アイスタ,17549.0,ＤＡＺＮ／静岡放送
15,2020,Ｊ１,第１節第３日,02/23(日・祝),14:03,広島,3-0,鹿島,Ｅスタ,18713.0,ＤＡＺＮ
16,2020,Ｊ１,第１節第３日,02/23(日・祝),14:03,横浜FM,1-2,Ｇ大阪,日産ス,34521.0,ＤＡＺＮ／ＮＨＫ総合
17,2020,Ｊ１,第１節第３日,02/23(日・祝),16:03,神戸,1-1,横浜FC,ノエスタ,25059.0,ＤＡＺＮ
