,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,broadcast,attendance
1,2001/05/06,8,2,14:00,瑞穂陸,名古屋,0,2,神戸,スカイパーフェクＴＶ！（録）,21265
2,2001/05/06,8,3,14:04,磐田,磐田,2,0,Ｇ大阪,ＢＳ,15869
3,2001/05/06,8,4,14:05,横浜国,横浜FM,0,2,柏,テレビ朝日（単）,24657
4,2001/05/06,8,5,15:04,市原,市原,1,3,広島,千葉テレビ（録）／スカイパーフェクＴＶ！,8015
5,2001/05/06,8,6,15:05,長居,Ｃ大阪,3,0,福岡,ＢＳ－ｉ,10622
6,2001/05/06,8,7,16:04,国立,鹿島,3,4,清水,ＢＳ,19740
7,2001/05/06,8,8,19:04,駒場,浦和,4,2,東京Ｖ,ＢＳ／テレビ埼玉,18759
0,2001/05/12,9,1,14:06,札幌厚別,札幌,2,1,鹿島,ＢＳ／北海道テレビ,19920
1,2001/05/12,9,2,15:01,東京,東京Ｖ,1,2,市原,日本テレビ（録）,12366
2,2001/05/12,9,3,15:02,万博,Ｇ大阪,2,3,名古屋,毎日放送（録）／スカイパーフェクＴＶ！（録）,21285
3,2001/05/12,9,4,15:03,静岡,清水,1,0,磐田,ＴＢＳ（単）,52959
4,2001/05/12,9,5,15:03,神戸ユ,神戸,1,2,浦和,Ｊスカイスポーツ,16392
5,2001/05/12,9,6,16:04,広島ス,広島,3,2,Ｃ大阪,ＢＳ－ｉ,6874
6,2001/05/12,9,7,16:04,博多球,福岡,1,0,横浜FM,ＢＳ／九州朝日放送（録）,16402
7,2001/05/12,9,8,19:04,柏,柏,0,2,Ｆ東京,ＢＳ,12291
0,2001/05/19,10,1,15:04,磐田,磐田,2,1,札幌,静岡放送／Ｊスカイスポーツ,12979
1,2001/05/19,10,2,15:05,広島ス,広島,3,2,東京Ｖ,ＢＳ（録）／中国放送,7061
2,2001/05/19,10,3,16:00,市原,市原,4,1,神戸,千葉テレビ／スカイパーフェクＴＶ！（録）,5923
