,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,broadcast,attendance
0,03/10,1,1,13:01,大分陸,大分,1,2,大宮,大分朝日放送／テレビ埼玉（録）／スカイパーフェクＴＶ！,4864
1,03/10,1,2,13:59,ひたちな,水戸,0,1,仙台,スカイパーフェクＴＶ！（録）,3035
2,03/10,1,3,13:59,等々力,川崎Ｆ,3,1,甲府,Ｊスカイスポーツ（録）,3945
3,03/10,1,4,14:03,平塚,湘南,1,0,横浜FC,Ｊスカイスポーツ,6009
4,03/10,1,5,15:00,西京極,京都,2,2,山形,ＫＢＳ京都（録）／スカイパーフェクＴＶ！（録）,2857
5,03/11,1,6,13:03,鳥栖,鳥栖,1,1,新潟,Ｊスカイスポーツ,3403
0,03/17,2,1,15:03,三ツ沢,横浜FC,2,1,仙台,Ｊスカイスポーツ,7174
1,03/17,2,2,15:04,西京極,京都,1,0,新潟,ＫＢＳ京都（録）／スカイパーフェクＴＶ！,1820
2,03/17,2,3,15:06,小瀬,甲府,0,3,湘南,ＮＨＫ甲府（録）／スカイパーフェクＴＶ！（録）,3704
3,03/17,2,4,18:33,栃木,水戸,1,2,大分,スカイパーフェクＴＶ！,1153
4,03/17,2,5,19:00,鳥栖,鳥栖,0,1,川崎Ｆ,Ｊスカイスポーツ（録）,2714
5,03/20,2,6,14:03,大宮,大宮,1,2,山形,テレビ埼玉（録）／Ｊスカイスポーツ,5756
0,03/24,3,1,12:59,新潟陸,新潟,1,1,山形,Ｊスカイスポーツ（録）,5546
1,03/24,3,2,14:00,平塚,湘南,1,0,鳥栖,スカイパーフェクＴＶ！（録）,3820
2,03/24,3,3,14:01,大宮,大宮,3,0,水戸,Ｊスカイスポーツ（録）,3242
3,03/24,3,4,14:03,等々力,川崎Ｆ,2,4,京都,ＫＢＳ京都（録）／Ｊスカイスポーツ,5443
4,03/25,3,5,13:05,仙台,仙台,3,0,甲府,スカイパーフェクＴＶ！,12786
5,03/25,3,6,16:03,大分陸,大分,3,1,横浜FC,スカイパーフェクＴＶ！,3413
0,03/31,4,1,14:01,山形県,山形,3,0,水戸,山形テレビ／スカイパーフェクＴＶ！,3286
1,03/31,4,2,15:00,新潟陸,新潟,1,0,川崎Ｆ,Ｊスカイスポーツ（録）,2712
2,03/31,4,3,15:00,西京極,京都,2,1,湘南,ＫＢＳ京都（録）／Ｊスカイスポーツ（録）,2782
3,03/31,4,4,15:01,小瀬,甲府,1,3,大分,Ｊスカイスポーツ（録）,1579
4,03/31,4,5,15:03,三ツ沢,横浜FC,1,1,大宮,スカイパーフェクＴＶ！（録）,2018
5,03/31,4,6,19:03,鳥栖,鳥栖,1,4,仙台,スカイパーフェクＴＶ！,2454
0,04/07,5,1,13:03,大分陸,大分,2,0,鳥栖,スカイパーフェクＴＶ！,3876
1,04/07,5,2,16:00,平塚,湘南,3,2,新潟,Ｊスカイスポーツ（録）,3681
2,04/07,5,3,16:03,大宮,大宮,3,1,甲府,スカイパーフェクＴＶ！,2354
3,04/08,5,4,13:30,仙台,仙台,3,2,京都,ミヤギテレビ（録）／Ｊスカイスポーツ（録）,12469
4,04/08,5,5,14:03,栃木,水戸,2,3,横浜FC,Ｊスカイスポーツ,1533
5,04/08,5,6,14:03,等々力,川崎Ｆ,1,0,山形,スカイパーフェクＴＶ！,5633
0,04/13,6,1,19:04,西京極,京都,2,1,大分,ＫＢＳ京都／スカイパーフェクＴＶ！,2700
1,04/14,6,2,13:00,小瀬,甲府,3,1,水戸,山梨放送／Ｊスカイスポーツ（録）,2597
2,04/14,6,3,13:00,新潟陸,新潟,0,1,仙台,Ｊスカイスポーツ（録）,3165
3,04/14,6,4,13:02,鶴岡,山形,2,1,横浜FC,山形放送／Ｊスカイスポーツ,3414
4,04/14,6,5,14:02,等々力,川崎Ｆ,1,2,湘南,スカイパーフェクＴＶ！,4674
5,04/14,6,6,19:04,鳥栖,鳥栖,1,2,大宮,サガテレビ（録）／スカイパーフェクＴＶ！,2193
0,04/21,7,1,15:03,三ツ沢,横浜FC,2,1,甲府,Ｊスカイスポーツ,2398
1,04/21,7,2,16:00,平塚,湘南,3,2,山形,スカイパーフェクＴＶ！（録）,3160
2,04/21,7,3,16:03,大宮,大宮,0,2,京都,ＫＢＳ京都（録）／Ｊスカイスポーツ,2511
3,04/21,7,4,18:03,大分陸,大分,0,2,新潟,スカイパーフェクＴＶ！,2641
4,04/21,7,5,18:30,栃木,水戸,3,3,鳥栖,スカイパーフェクＴＶ！（録）,872
5,04/22,7,6,13:04,仙台,仙台,4,2,川崎Ｆ,ＴＢＣ東北放送／Ｊスカイスポーツ,11754
0,04/28,8,1,14:00,山形県,山形,1,0,甲府,Ｊスカイスポーツ（録）,2406
1,04/28,8,2,14:00,等々力,川崎Ｆ,1,2,大分,Ｊスカイスポーツ（録）,7570
2,04/28,8,3,14:03,新潟陸,新潟,2,2,大宮,ＮＨＫ新潟／スカイパーフェクＴＶ！,4217
3,04/28,8,4,19:00,平塚,湘南,2,3,仙台,スカイパーフェクＴＶ！（録）,6540
4,04/28,8,5,19:03,鳥栖,鳥栖,0,1,横浜FC,スカイパーフェクＴＶ！,2928
5,04/28,8,6,19:04,西京極,京都,1,1,水戸,ＫＢＳ京都／Ｊスカイスポーツ,3671
0,05/03,9,1,13:00,小瀬,甲府,2,0,鳥栖,山梨放送（録）／Ｊスカイスポーツ（録）,3921
1,05/03,9,2,13:03,大分陸,大分,1,0,湘南,スカイパーフェクＴＶ！,5131
2,05/03,9,3,14:00,ひたちな,水戸,0,2,新潟,スカイパーフェクＴＶ！（録）,2089
3,05/03,9,4,14:00,大宮,大宮,1,0,川崎Ｆ,Ｊスカイスポーツ（録）,3142
4,05/03,9,5,14:02,仙台,仙台,2,2,山形,東日本放送／スカイパーフェクＴＶ！（録）,15196
5,05/03,9,6,15:03,三ツ沢,横浜FC,3,1,京都,ＫＢＳ京都（録）／Ｊスカイスポーツ,3160
0,05/06,10,1,13:02,新潟陸,新潟,2,1,横浜FC,スカイパーフェクＴＶ！（録）,4792
1,05/06,10,2,13:03,仙台,仙台,2,1,大分,仙台放送／Ｊスカイスポーツ（録）,18974
2,05/06,10,3,13:59,等々力,川崎Ｆ,4,0,水戸,スカイパーフェクＴＶ！（録）,3636
3,05/06,10,4,13:59,平塚,湘南,3,3,大宮,Ｊスカイスポーツ（録）,4950
4,05/06,10,5,14:01,山形県,山形,0,0,鳥栖,山形テレビ／Ｊスカイスポーツ（録）,3945
5,05/06,10,6,15:04,西京極,京都,4,0,甲府,ＫＢＳ京都（録）／スカイパーフェクＴＶ！,5043
0,05/12,11,1,13:01,小瀬,甲府,0,2,新潟,スカイパーフェクＴＶ！（録）,2948
1,05/12,11,2,14:00,ひたちな,水戸,0,1,湘南,Ｊスカイスポーツ（録）,1364
2,05/12,11,3,14:00,大宮,大宮,2,0,仙台,Ｊスカイスポーツ（録）,5255
3,05/12,11,4,15:04,横浜国,横浜FC,0,6,川崎Ｆ,スカイパーフェクＴＶ！,6941
4,05/12,11,5,18:03,大分陸,大分,0,1,山形,スカイパーフェクＴＶ！,4031
5,05/13,11,6,13:04,鳥栖,鳥栖,1,3,京都,ＮＨＫ佐賀／ＫＢＳ京都（録）／Ｊスカイスポーツ,3109
0,05/19,12,1,15:01,山形県,山形,1,2,大宮,Ｊスカイスポーツ（録）,1883
1,05/19,12,2,15:02,仙台,仙台,3,0,横浜FC,Ｊスカイスポーツ,10476
2,05/19,12,3,16:00,等々力,川崎Ｆ,6,1,鳥栖,スカイパーフェクＴＶ！（録）,3470
3,05/19,12,4,16:00,平塚,湘南,4,1,甲府,Ｊスカイスポーツ（録）,3862
4,05/19,12,5,16:03,新潟ス,新潟,3,4,京都,ＫＢＳ京都（録）／スカイパーフェクＴＶ！,31964
5,05/19,12,6,18:00,大分陸,大分,1,0,水戸,スカイパーフェクＴＶ！（録）,3841
