,年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送,match_card_id
0,2007,ゼロックススーパーカップ,,02/24(土),13:35,浦和,0-4,Ｇ大阪,国立,35307,日本テレビ系全国ネット,10730
1,2007,Ｊ１,第１節第１日,03/03(土),14:03,Ｆ東京,2-4,広島,味スタ,25257,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＴＯＫＹＯ　ＭＸ（録）,9985
2,2007,Ｊ１,第１節第１日,03/03(土),14:05,横浜FM,1-0,甲府,日産ス,24466,スカパー！・ｅ２（ＴＢＳチャンネル）／ＢＳ－ｉ,9986
3,2007,Ｊ１,第１節第１日,03/03(土),14:05,大分,1-1,新潟,九石ド,20039,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＮＨＫ大分／ＮＨＫ新潟,9987
4,2007,Ｊ１,第１節第１日,03/03(土),15:00,川崎Ｆ,1-0,鹿島,等々力,20295,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！ＨＶ）,9988
5,2007,Ｊ１,第１節第１日,03/03(土),15:03,清水,1-0,神戸,日本平,18333,スカパー！・ｅ２（Ｊ　ｓｐｏｒｔｓ　Ｐｌｕｓ）／静岡放送,9989
6,2007,Ｊ１,第１節第１日,03/03(土),16:03,浦和,2-1,横浜FC,埼玉,57188,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ総合／テレ玉（録）,9990
7,2007,Ｊ１,第１節第１日,03/03(土),19:04,Ｇ大阪,1-0,大宮,万博,18355,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＢＳ,9991
8,2007,Ｊ２,第１節第１日,03/03(土),13:04,湘南,1-2,仙台,平塚,7842,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ仙台,10291
9,2007,Ｊ２,第１節第１日,03/03(土),14:04,徳島,2-1,愛媛,鳴門,6566,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ徳島／ＮＨＫ松山,10292
10,2007,Ｊ２,第１節第１日,03/03(土),16:05,京都,2-0,札幌,西京極,7788,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＫＢＳ京都（録）,10293
11,2007,Ｊ１,第１節第２日,03/04(日),16:00,柏,4-0,磐田,柏,10960,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！ＨＶ）,9992
12,2007,Ｊ１,第１節第２日,03/04(日),16:04,名古屋,2-0,千葉,瑞穂陸,18410,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＮＨＫ名古屋,9993
13,2007,Ｊ２,第１節第２日,03/04(日),13:03,東京Ｖ,5-0,草津,国立,10275,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／日本テレビ（録）,10294
14,2007,Ｊ２,第１節第２日,03/04(日),14:04,水戸,0-1,山形,笠松,6543,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ水戸＊／ＮＨＫ山形,10295
15,2007,Ｊ２,第１節第２日,03/04(日),15:03,鳥栖,0-5,福岡,鳥栖,14124,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＮＨＫ佐賀／ＮＨＫ福岡,10296
16,2007,サテライトリーグ Ａグループ,第１日,03/04(日),14:02,鹿島,2-0,札幌,鹿島Ｇ,563,,
