,年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
0,2015,ＦＵＪＩ　ＸＥＲＯＸ　ＳＵＰＥＲ　ＣＵＰ,,02/28(土),13:35,Ｇ大阪,2-0,浦和,日産ス,47666,日本テレビ系全国ネットにて生中継
1,2015,Ｊ１ １ｓｔ,第１節第１日,03/07(土),14:04,名古屋,3-3,松本,豊田ス,33558,スカパー！／スカパー！プレミアムサービス／ＮＨＫ名古屋／ＮＨＫ長野／ＮＨＫ岐阜／ＮＨＫ津
2,2015,Ｊ１ １ｓｔ,第１節第１日,03/07(土),14:04,Ｇ大阪,2-2,FC東京,万博,18332,スカパー！／スカパー！プレミアムサービス／ＮＨＫ総合
3,2015,Ｊ１ １ｓｔ,第１節第１日,03/07(土),14:04,広島,2-0,甲府,Ｅスタ,14671,スカパー！／スカパー！プレミアムサービス／ＮＨＫ広島／ＮＨＫ甲府
4,2015,Ｊ１ １ｓｔ,第１節第１日,03/07(土),14:05,鳥栖,2-1,新潟,ベアスタ,11580,スカパー！／スカパー！プレミアムサービス／ＮＨＫ佐賀／ＮＨＫ新潟
5,2015,Ｊ１ １ｓｔ,第１節第１日,03/07(土),14:05,仙台,2-0,山形,ユアスタ,19375,スカパー！／スカパー！プレミアムサービス／ＮＨＫ仙台／ＮＨＫ山形／ＮＨＫ青森／ＮＨＫ岩手／ＮＨＫ秋田／ＮＨＫ福島
6,2015,Ｊ１ １ｓｔ,第１節第１日,03/07(土),15:03,横浜FM,1-3,川崎Ｆ,日産ス,38123,スカパー！／スカパー！プレミアムサービス／ＢＳ－ＴＢＳ
7,2015,Ｊ１ １ｓｔ,第１節第１日,03/07(土),16:04,神戸,0-1,柏,ノエスタ,24027,スカパー！／スカパー！プレミアムサービス
8,2015,Ｊ１ １ｓｔ,第１節第１日,03/07(土),19:04,湘南,1-3,浦和,ＢＭＷス,14446,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１
9,2015,Ｊ１ １ｓｔ,第１節第２日,03/08(日),13:04,清水,3-1,鹿島,アイスタ,19736,スカパー！／スカパー！プレミアムサービス／テレビ静岡
10,2015,Ｊ２,第１節第１日,03/08(日),13:03,磐田,3-1,北九州,ヤマハ,10438,スカパー！／スカパー！プレミアムサービス／静岡放送
11,2015,Ｊ２,第１節第１日,03/08(日),13:03,長崎,0-1,千葉,長崎県立,5404,スカパー！／スカパー！プレミアムサービス
12,2015,Ｊ２,第１節第１日,03/08(日),13:04,水戸,0-0,熊本,笠松,4787,スカパー！／スカパー！プレミアムサービス
13,2015,Ｊ２,第１節第１日,03/08(日),13:04,群馬,0-1,横浜FC,正田スタ,11198,スカパー！／スカパー！プレミアムサービス／群馬テレビ
14,2015,Ｊ２,第１節第１日,03/08(日),13:05,福岡,1-3,京都,レベスタ,13804,スカパー！／スカパー！プレミアムサービス／福岡放送（録）
15,2015,Ｊ２,第１節第１日,03/08(日),14:03,岡山,3-0,岐阜,Ｃスタ,10995,スカパー！／スカパー！プレミアムサービス
16,2015,Ｊ２,第１節第１日,03/08(日),14:04,大宮,1-0,金沢,ＮＡＣＫ,8635,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１／テレ玉
