,年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送,match_card_id
0,1999,ゼロックススーパーカップ,,02/27(土),14:52,鹿島,2-1,清水,国立,28520,日本テレビ（生）,5005
1,1999,Ｊ１ １ｓｔ,第１節第１日,03/06(土),14:03,名古屋,1-0,福岡,瑞穂陸,18543,名古屋テレビ／ＢＳ（生）,4512
2,1999,Ｊ１ １ｓｔ,第１節第１日,03/06(土),15:03,浦和,2-1,Ｇ大阪,駒場,18639,テレビ埼玉／Ｊ－ＳＰＯＲＴＳ,4513
3,1999,Ｊ１ １ｓｔ,第１節第１日,03/06(土),15:03,Ｃ大阪,2-1,広島,長居,6697,ディレクＴＶ（録）,4514
4,1999,Ｊ１ １ｓｔ,第１節第１日,03/06(土),16:03,磐田,3-1,神戸,磐田,13349,静岡放送,4518
5,1999,Ｊ１ １ｓｔ,第１節第１日,03/06(土),16:04,鹿島,4-0,市原,国立,19531,ＢＳ（録）／ディレクＴＶ,4515
6,1999,Ｊ１ １ｓｔ,第１節第１日,03/06(土),16:04,清水,3-1,Ｖ川崎,日本平,11169,テレビ静岡／スカイパーフェクＴＶ（録）,4517
7,1999,Ｊ１ １ｓｔ,第１節第１日,03/06(土),16:07,横浜FM,2-0,平塚,横浜国,36214,ＢＳ（生）,4516
8,1999,Ｊ１ １ｓｔ,第１節第１日,03/06(土),19:04,柏,1-0,京都,柏,9018,ＢＳ（生）,4519
9,1999,サテライトリーグ Ｂグループ,第１日,03/07(日),14:02,Ｖ川崎,2-2,磐田,よみうり,352,,
10,1999,サテライトリーグ Ｂグループ,第１日,03/07(日),15:00,清水,1-1,横浜FM,草薙陸,175,,
11,1999,サテライトリーグ Ｃグループ,第１日,03/07(日),14:00,Ｇ大阪,4-0,Ｃ大阪,田辺Ｇ,41,,
12,1999,サテライトリーグ Ｃグループ,第１日,03/07(日),15:01,福岡,0-1,広島,雁の巣,110,,
13,1999,Ｊ１ １ｓｔ,第２節第１日,03/13(土),14:03,Ｇ大阪,3-2,名古屋,万博,17807,ＮＨＫ総合,4520
14,1999,Ｊ１ １ｓｔ,第２節第１日,03/13(土),15:02,Ｖ川崎,2-0,Ｃ大阪,等々力,6045,日本テレビ（録）／ディレクＴＶ（録）,4521
15,1999,Ｊ１ １ｓｔ,第２節第１日,03/13(土),15:02,福岡,1-4,柏,博多球,8800,Ｊ－ＳＰＯＲＴＳ,4524
16,1999,Ｊ１ １ｓｔ,第２節第１日,03/13(土),15:03,京都,1-3,横浜FM,西京極,8496,ＫＢＳ京都（録）／スカイパーフェクＴＶ（録）,4522
17,1999,Ｊ１ １ｓｔ,第２節第１日,03/13(土),15:03,神戸,1-2,鹿島,神戸ユ,7516,ディレクＴＶ,4523
18,1999,Ｊ１ １ｓｔ,第２節第１日,03/13(土),16:04,平塚,0-1,清水,平塚,6253,ＢＳ（生）,4525
19,1999,Ｊ１ １ｓｔ,第２節第１日,03/13(土),16:05,広島,0-1,磐田,広島ビ,17263,テレビ新広島,4526
20,1999,Ｊ１ １ｓｔ,第２節第１日,03/13(土),19:04,市原,0-0,浦和,市原,8057,ＢＳ（生）,4527
21,1999,Ｊ２,第１節第１日,03/14(日),12:59,甲府,1-2,大宮,韮崎中央,2027,,4757
22,1999,Ｊ２,第１節第１日,03/14(日),13:00,Ｆ東京,2-0,鳥栖,西が丘,3685,東京メトロポリタンテレビ（録）,4755
23,1999,Ｊ２,第１節第１日,03/14(日),13:00,川崎Ｆ,0-1,新潟,等々力,4469,,4756
24,1999,Ｊ２,第１節第１日,03/14(日),13:01,大分,1-0,札幌,大分,3741,大分放送,4758
25,1999,Ｊ２,第１節第１日,03/14(日),13:04,仙台,2-3,山形,仙台,10315,ＮＨＫ仙台（生）,4754
26,1999,サテライトリーグ Ａグループ,第１日,03/14(日),14:01,鹿島,0-2,浦和,鹿島Ｇ,1076,,
27,1999,サテライトリーグ Ｃグループ,第２日,03/14(日),13:58,Ｃ大阪,1-2,広島,瀬田Ｇ,48,,
28,1999,サテライトリーグ Ｃグループ,第２日,03/14(日),14:00,京都,5-2,Ｇ大阪,東城陽Ｇ,216,,
29,1999,Ｊ１ １ｓｔ,第３節第１日,03/20(土),15:03,名古屋,0-0,市原,瑞穂陸,11523,スカイパーフェクＴＶ（録）,4529
30,1999,Ｊ１ １ｓｔ,第３節第１日,03/20(土),15:03,Ｇ大阪,3-2,福岡,万博,3253,ディレクＴＶ,4530
31,1999,Ｊ１ １ｓｔ,第３節第１日,03/20(土),15:03,Ｃ大阪,1-2,平塚,長居,3964,Ｊ－ＳＰＯＲＴＳ,4531
32,1999,Ｊ１ １ｓｔ,第３節第１日,03/20(土),15:04,清水,1-0,京都,日本平,8237,テレビ静岡／ディレクＴＶ（録）,4528
33,1999,Ｊ１ １ｓｔ,第３節第１日,03/20(土),16:00,鹿島,1-0,広島,国立,9478,ＢＳ（録）,4532
34,1999,Ｊ１ １ｓｔ,第３節第１日,03/20(土),16:03,磐田,3-0,Ｖ川崎,磐田,9078,静岡放送／ＢＳ（生）,4533
35,1999,Ｊ１ １ｓｔ,第３節第１日,03/20(土),18:33,浦和,0-0,神戸,駒場,15291,テレビ埼玉,4534
36,1999,Ｊ１ １ｓｔ,第３節第１日,03/20(土),19:04,横浜FM,0-1,柏,横浜国,12456,ＢＳ（生）,4535
37,1999,Ｊ２,第２節第１日,03/20(土),13:01,新潟,1-0,山形,新潟,2514,テレビ新潟,4759
38,1999,Ｊ２,第２節第２日,03/21(日・祝),12:59,鳥栖,4-0,甲府,鳥栖,2707,,4761
39,1999,Ｊ２,第２節第２日,03/21(日・祝),13:00,仙台,1-2,Ｆ東京,仙台,4890,,4760
40,1999,Ｊ２,第２節第２日,03/21(日・祝),13:00,大分,1-0,川崎Ｆ,大分,1925,,4762
41,1999,Ｊ２,第２節第２日,03/21(日・祝),14:03,大宮,1-2,札幌,大宮,5609,テレビ埼玉（録）,4763
42,1999,サテライトリーグ Ｂグループ,第２日,03/21(日・祝),14:01,名古屋,0-2,Ｖ川崎,一宮,841,,
43,1999,サテライトリーグ Ｃグループ,第３日,03/21(日・祝),14:00,京都,2-1,Ｃ大阪,東城陽Ｇ,127,,
44,1999,サテライトリーグ Ｃグループ,第３日,03/21(日・祝),14:00,Ｇ大阪,2-4,広島,田辺Ｇ,38,,
