,年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送,match_card_id
0,2012,ＦＵＪＩ　ＸＥＲＯＸ　ＳＵＰＥＲ　ＣＵＰ,,03/03(土),13:36,柏,2-1,Ｆ東京,国立,35453,日本テレビ系全国ネットにて生中継,14776
1,2012,Ｊ２,第１節第１日,03/04(日),13:05,水戸,2-1,横浜FC,Ｋｓスタ,5817,スカパー／ｅ２（スカイ・Ａ　ｓｐｏｒｔｓ＋）／スカパー光,14300
2,2012,Ｊ２,第１節第１日,03/04(日),13:05,東京Ｖ,2-0,松本,味スタ,12432,スカパー／ｅ２／スカパー光,14301
3,2012,Ｊ２,第１節第１日,03/04(日),15:04,甲府,2-1,栃木,中銀スタ,10169,スカパー／ｅ２／スカパー光／ＮＨＫ甲府,14302
4,2012,Ｊ２,第１節第１日,03/04(日),15:04,岐阜,2-2,鳥取,長良川,3321,スカパー／ｅ２（録）／スカパー光／ＮＨＫ岐阜／ＮＨＫ鳥取,14303
5,2012,Ｊ２,第１節第１日,03/04(日),15:04,岡山,1-1,富山,カンスタ,6981,スカパー／ｅ２／スカパー光／ＮＨＫ岡山／ＮＨＫ富山,14304
6,2012,Ｊ２,第１節第１日,03/04(日),15:05,福岡,2-1,熊本,レベスタ,7379,スカパー／ｅ２／スカパー光／ＮＨＫ福岡／ＮＨＫ熊本,14305
7,2012,Ｊ２,第１節第１日,03/04(日),15:05,大分,2-3,草津,大銀ド,9379,スカパー／ｅ２／スカパー光／ＮＨＫ大分,14306
8,2012,Ｊ２,第１節第１日,03/04(日),15:34,千葉,2-0,山形,フクアリ,11479,スカパー／ｅ２／スカパー光,14307
9,2012,Ｊ２,第１節第１日,03/04(日),16:05,愛媛,2-0,町田,ニンスタ,3926,スカパー／ｅ２（録）／スカパー光／ＮＨＫ松山,14308
10,2012,Ｊ２,第１節第１日,03/04(日),17:34,湘南,2-1,京都,ＢＭＷス,9065,スカパー／ｅ２／スカパー光,14309
11,2012,Ｊ２,第１節第１日,03/04(日),17:34,北九州,1-2,徳島,本城,3160,スカパー／ｅ２／スカパー光,14310
12,2012,Ｊ１,第１節第１日,03/10(土),14:04,札幌,0-0,磐田,札幌ド,25353,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）／ＮＨＫ札幌,13998
13,2012,Ｊ１,第１節第１日,03/10(土),14:04,仙台,1-0,鹿島,ユアスタ,18250,スカパー／ｅ２／スカパー光／ＮＨＫ総合,13994
14,2012,Ｊ１,第１節第１日,03/10(土),14:04,名古屋,1-0,清水,豊田ス,24316,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）／ＮＨＫ名古屋,13995
