,group,match_date,start_time,section_no,home_team,home_goal,away_goal,match_status,away_team,stadium,match_index_in_section
55,F,2021-07-02,23:00:00,3,パトゥムユナイテッド,2,0,試合終了,ベトテル,パトゥムターニー,1
56,G,2021-06-28,23:00:00,3,浦項,4,1,試合終了,JDT,ラジャマンガラ,1
57,H,2021-07-02,01:00:00,3,チェンライU,1,1,試合終了,G大阪,ブニョドコル,1
58,I,2021-07-02,23:00:00,3,大邱,5,0,試合終了,北京FC,ブニョドコル,1
59,J,2021-06-30,23:00:00,3,広州FC,0,1,試合終了,傑志,ブリーラム,1
60,A,2021-04-25,04:00:00,4,イスティクロル,4,1,試合終了,アルヒラル,プリンスファイサルビンファハド,0
61,B,2021-04-24,00:00:00,4,トラクター,1,0,試合終了,エアフォース,シャールジャ,0
62,C,2021-04-25,02:45:00,4,アルアハリ,2,1,試合終了,アルショルタ,KASC,0
63,D,2021-04-24,03:00:00,4,アルワフダート,0,2,試合終了,アルサッド,プリンスファイサルビンファハド,0
64,E,2021-04-23,23:30:00,4,アルラーヤン,0,1,試合終了,アルワフダ,PJN,0
65,F,2021-07-05,19:00:00,4,蔚山,2,1,試合終了,カヤFC,パトゥムターニー,0
66,G,2021-07-01,19:00:00,4,JDT,0,2,試合終了,浦項,ラジャマンガラ,0
67,H,2021-07-04,23:00:00,4,タンピネス,0,4,試合終了,全北現代,ブニョドコル,0
68,I,2021-07-05,23:00:00,4,ユナイテッドシティ,0,2,試合終了,川崎F,ロコモティフ,0
69,J,2021-07-03,19:00:00,4,ポートFC,0,3,試合終了,C大阪,ブリーラム,0
70,A,2021-04-25,04:00:00,4,アルアハリ,3,1,試合終了,AGMK,キングファハド,1
71,B,2021-04-24,03:00:00,4,パフタコール,1,1,試合終了,シャールジャFC,シャールジャ,1
72,C,2021-04-25,05:15:00,4,エステグラル,2,2,試合終了,アルドゥハイル,KASC,1
73,D,2021-04-24,03:00:00,4,アルナスル,2,0,試合終了,フーラード,キングサウード,1
74,E,2021-04-24,02:00:00,4,ゴア,0,4,試合終了,ペルセポリス,PJN,1
75,F,2021-07-05,23:00:00,4,ベトテル,1,3,試合終了,パトゥムユナイテッド,パトゥムターニー,1
76,G,2021-07-01,23:00:00,4,名古屋,3,0,試合終了,ラーチャブリー,ラジャマンガラ,1
