,年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
0,2019,ＦＵＪＩ　ＸＥＲＯＸ　ＳＵＰＥＲ　ＣＵＰ,,02/16(土),13:35,川崎Ｆ,1-0,浦和,埼玉,52587,日本テレビ系全国ネットにて生中継
1,2019,Ｊ１,第１節第１日,02/22(金),19:33,Ｃ大阪,1-0,神戸,ヤンマー,42221,ＤＡＺＮ
2,2019,Ｊ１,第１節第２日,02/23(土),14:03,鳥栖,0-4,名古屋,駅スタ,18382,ＤＡＺＮ／ＮＨＫ佐賀
3,2019,Ｊ１,第１節第２日,02/23(土),14:03,広島,1-1,清水,Ｅスタ,14084,ＤＡＺＮ
4,2019,Ｊ１,第１節第２日,02/23(土),14:03,川崎Ｆ,0-0,FC東京,等々力,23113,ＤＡＺＮ／ＮＨＫ総合
5,2019,Ｊ１,第１節第２日,02/23(土),14:04,仙台,0-0,浦和,ユアスタ,18567,ＤＡＺＮ／ＮＨＫ仙台
6,2019,Ｊ１,第１節第２日,02/23(土),15:03,鹿島,1-2,大分,カシマ,19463,ＤＡＺＮ／ＮＨＫ大分
7,2019,Ｊ１,第１節第２日,02/23(土),15:04,磐田,1-1,松本,ヤマハ,14469,ＤＡＺＮ
8,2019,Ｊ１,第１節第２日,02/23(土),15:04,Ｇ大阪,2-3,横浜FM,パナスタ,27064,ＤＡＺＮ
9,2019,Ｊ１,第１節第２日,02/23(土),16:03,湘南,2-0,札幌,ＢＭＷス,13249,ＤＡＺＮ
10,2019,Ｊ２,第１節第１日,02/24(日),13:03,鹿児島,4-3,徳島,白波スタ,7483,ＤＡＺＮ／鹿児島テレビ
11,2019,Ｊ２,第１節第１日,02/24(日),14:03,岡山,0-1,水戸,Ｃスタ,9256,ＤＡＺＮ
12,2019,Ｊ２,第１節第１日,02/24(日),14:03,京都,0-0,新潟,西京極,14069,ＤＡＺＮ／ＫＢＳ京都（録）
13,2019,Ｊ２,第１節第１日,02/24(日),14:03,大宮,0-0,甲府,ＮＡＣＫ,12090,ＤＡＺＮ／テレ玉
14,2019,Ｊ２,第１節第１日,02/24(日),14:03,栃木,0-0,金沢,栃木グ,5863,ＤＡＺＮ／とちぎテレビ（録）
15,2019,Ｊ２,第１節第１日,02/24(日),14:03,岐阜,2-0,山形,長良川,8878,ＤＡＺＮ／岐阜放送
16,2019,Ｊ２,第１節第１日,02/24(日),14:03,長崎,1-0,横浜FC,トラスタ,11924,ＤＡＺＮ
17,2019,Ｊ２,第１節第１日,02/24(日),14:04,町田,1-0,東京Ｖ,町田,8814,ＤＡＺＮ
18,2019,Ｊ２,第１節第１日,02/24(日),16:03,琉球,3-1,福岡,タピスタ,7385,ＤＡＺＮ
19,2019,Ｊ２,第１節第１日,02/24(日),16:03,愛媛,0-0,千葉,ニンスタ,6212,ＤＡＺＮ／南海放送（録）
20,2019,Ｊ２,第１節第１日,02/24(日),16:03,山口,1-2,柏,みらスタ,8440,ＤＡＺＮ
21,2019,Ｊ１,第２節第１日,03/01(金),19:03,川崎Ｆ,1-1,鹿島,等々力,23927,ＤＡＺＮ
22,2019,Ｊ１,第２節第１日,03/01(金),19:03,広島,0-0,磐田,Ｅスタ,7741,ＤＡＺＮ
23,2019,Ｊ１,第２節第２日,03/02(土),13:03,横浜FM,2-1,仙台,日産ス,22751,ＤＡＺＮ
24,2019,Ｊ１,第２節第２日,03/02(土),14:03,清水,2-4,Ｇ大阪,アイスタ,16710,ＤＡＺＮ／テレビ静岡
25,2019,Ｊ１,第２節第２日,03/02(土),14:03,名古屋,2-0,Ｃ大阪,パロ瑞穂,19861,ＤＡＺＮ／ＮＨＫ名古屋
26,2019,Ｊ１,第２節第２日,03/02(土),15:03,神戸,1-0,鳥栖,ノエスタ,25172,ＤＡＺＮ／ＮＨＫ　ＢＳ１
27,2019,Ｊ１,第２節第２日,03/02(土),16:03,湘南,2-3,FC東京,ＢＭＷス,12878,ＤＡＺＮ
28,2019,Ｊ１,第２節第２日,03/02(土),16:04,浦和,0-2,札幌,埼玉,41109,ＤＡＺＮ／テレ玉
29,2019,Ｊ１,第２節第２日,03/02(土),16:05,大分,0-1,松本,昭和電ド,13329,ＤＡＺＮ
30,2019,Ｊ２,第２節第１日,03/02(土),13:03,山口,2-5,甲府,みらスタ,4001,ＤＡＺＮ／山口朝日放送
31,2019,Ｊ２,第２節第１日,03/02(土),14:03,京都,2-1,鹿児島,西京極,4923,ＤＡＺＮ
32,2019,Ｊ２,第２節第１日,03/02(土),14:03,大宮,3-4,琉球,ＮＡＣＫ,7867,ＤＡＺＮ
33,2019,Ｊ２,第２節第１日,03/02(土),15:03,柏,1-0,町田,三協Ｆ柏,10134,ＤＡＺＮ
34,2019,Ｊ２,第２節第１日,03/02(土),15:12,福岡,0-0,長崎,博多陸,12028,ＤＡＺＮ／ＮＨＫ福岡／ＮＨＫ長崎
35,2019,Ｊ２,第２節第２日,03/03(日),14:03,千葉,1-4,新潟,フクアリ,12441,ＤＡＺＮ
36,2019,Ｊ２,第２節第２日,03/03(日),14:03,横浜FC,0-2,山形,ニッパツ,3787,ＤＡＺＮ
37,2019,Ｊ２,第２節第２日,03/03(日),14:03,岡山,2-1,金沢,Ｃスタ,5298,ＤＡＺＮ
38,2019,Ｊ２,第２節第２日,03/03(日),14:03,水戸,3-0,栃木,Ｋｓスタ,5939,ＤＡＺＮ
39,2019,Ｊ２,第２節第２日,03/03(日),14:03,徳島,1-0,岐阜,鳴門大塚,7898,ＤＡＺＮ
40,2019,Ｊ２,第２節第２日,03/03(日),15:03,愛媛,1-0,東京Ｖ,ニンスタ,2540,ＤＡＺＮ／南海放送（録）
41,2019,ＹＬＣ グループステージＡグループ,第１節第１日,03/06(水),19:03,長崎,2-1,湘南,トラスタ,3019,スカパー！
42,2019,ＹＬＣ グループステージＡグループ,第１節第１日,03/06(水),19:33,横浜FM,1-1,札幌,ニッパツ,6531,フジテレビＮＥＸＴ／スカパー！
43,2019,ＹＬＣ グループステージＢグループ,第１節第１日,03/06(水),19:03,柏,2-1,FC東京,三協Ｆ柏,4521,スカパー！
44,2019,ＹＬＣ グループステージＢグループ,第１節第１日,03/06(水),19:33,鳥栖,1-3,仙台,駅スタ,5436,スカパー！
45,2019,ＹＬＣ グループステージＣグループ,第１節第１日,03/06(水),19:03,大分,2-1,Ｃ大阪,昭和電ド,5320,スカパー！
46,2019,ＹＬＣ グループステージＣグループ,第１節第１日,03/06(水),19:03,名古屋,2-2,神戸,パロ瑞穂,13570,フジテレビＯＮＥ／スカパー！
47,2019,ＹＬＣ グループステージＤグループ,第１節第１日,03/06(水),19:03,磐田,1-0,Ｇ大阪,ヤマハ,7100,スカパー！
48,2019,ＹＬＣ グループステージＤグループ,第１節第１日,03/06(水),19:04,松本,2-1,清水,サンアル,8048,スカパー！
49,2019,Ｊ１,第３節第１日,03/09(土),14:03,札幌,5-2,清水,札幌ド,22692,ＤＡＺＮ／ＮＨＫ札幌
50,2019,Ｊ１,第３節第１日,03/09(土),14:04,松本,0-1,浦和,サンアル,18922,ＤＡＺＮ／ＮＨＫ長野
51,2019,Ｊ１,第３節第１日,03/09(土),15:03,Ｇ大阪,2-3,名古屋,パナスタ,26865,ＤＡＺＮ
52,2019,Ｊ１,第３節第１日,03/09(土),15:04,磐田,1-2,大分,ヤマハ,12345,ＤＡＺＮ
53,2019,Ｊ１,第３節第１日,03/09(土),16:03,Ｃ大阪,0-1,広島,ヤンマー,12044,ＤＡＺＮ
54,2019,Ｊ１,第３節第１日,03/09(土),16:03,鹿島,1-0,湘南,カシマ,16659,ＤＡＺＮ
