,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,broadcast,attendance,home_pk,away_pk
0,1993/05/15,1,1,19:29,国立,Ｖ川崎,1,2,横浜M,,59626,,
1,1993/05/16,1,2,13:05,三ツ沢,横浜Ｆ,3,2,清水,,14126,,
2,1993/05/16,1,3,13:59,広島ス,広島,2,1,市原,,11875,,
3,1993/05/16,1,4,16:00,カシマ,鹿島,5,0,名古屋,,10898,,
4,1993/05/16,1,5,19:04,万博,Ｇ大阪,1,0,浦和,,19580,,
0,1993/05/19,2,1,18:58,日本平,清水,1,0,広島,,9183,,
1,1993/05/19,2,2,19:00,駒場,浦和,0,3,名古屋,,9259,,
2,1993/05/19,2,3,19:00,三ツ沢,横浜M,1,0,Ｇ大阪,,10332,,
3,1993/05/19,2,4,19:01,カシマ,鹿島,3,2,横浜Ｆ,,9403,,
4,1993/05/19,2,5,19:02,国立,市原,2,1,Ｖ川崎,,46959,,
0,1993/05/22,3,1,15:02,瑞穂球,名古屋,1,1,横浜M,,11267,4,3
1,1993/05/22,3,2,18:31,広島ビ,広島,1,2,Ｖ川崎,,36863,,
2,1993/05/22,3,3,18:35,三ツ沢,横浜Ｆ,3,1,浦和,,7469,,
3,1993/05/22,3,4,19:00,草薙陸,清水,2,1,鹿島,,14713,,
4,1993/05/22,3,5,19:01,万博,Ｇ大阪,0,3,市原,,15993,,
0,1993/05/26,4,1,18:59,万博,Ｇ大阪,1,1,清水,,16707,6,7
1,1993/05/26,4,2,18:59,広島ス,広島,1,0,横浜M,,12858,,
2,1993/05/26,4,3,19:01,瑞穂球,名古屋,1,2,横浜Ｆ,,12544,,
3,1993/05/26,4,4,19:02,国立,市原,1,0,浦和,,45033,,
4,1993/05/26,4,5,19:02,等々力,Ｖ川崎,1,0,鹿島,,9816,,
0,1993/05/29,5,1,14:01,三ツ沢,横浜M,0,5,市原,,11152,,
1,1993/05/29,5,2,15:02,鴨池,横浜Ｆ,1,2,広島,,15141,,
2,1993/05/29,5,3,16:57,カシマ,鹿島,4,0,Ｇ大阪,,14058,,
3,1993/05/29,5,4,18:59,国立,清水,0,0,名古屋,,50475,5,6
4,1993/05/29,5,5,19:04,駒場,浦和,1,1,Ｖ川崎,,9690,4,2
0,1993/06/02,6,1,16:02,草薙陸,清水,2,4,Ｖ川崎,,18113,,
1,1993/06/02,6,2,19:00,カシマ,鹿島,2,1,市原,,15194,,
2,1993/06/02,6,3,19:00,瑞穂球,名古屋,1,4,広島,,11466,,
3,1993/06/02,6,4,19:02,駒場,浦和,0,1,横浜M,,9088,,
4,1993/06/02,6,5,19:03,三ツ沢,横浜Ｆ,0,1,Ｇ大阪,,9725,,
0,1993/06/05,7,1,15:03,国立,Ｖ川崎,1,1,横浜Ｆ,,54995,5,4
1,1993/06/05,7,2,18:30,博多陸,横浜M,0,2,鹿島,,28595,,
2,1993/06/05,7,3,18:30,神戸ユ,Ｇ大阪,3,1,名古屋,,38304,,
3,1993/06/05,7,4,18:31,市原,市原,1,2,清水,,9427,,
4,1993/06/05,7,5,18:32,広島ス,広島,1,0,浦和,,14605,,
0,1993/06/09,8,1,19:00,日本平,清水,1,2,横浜M,,9464,,
1,1993/06/09,8,2,19:00,万博,Ｇ大阪,1,1,広島,,19351,3,4
2,1993/06/09,8,3,19:03,カシマ,鹿島,3,1,浦和,,15050,,
3,1993/06/09,8,4,19:04,国立,名古屋,3,1,Ｖ川崎,,56335,,
4,1993/06/09,8,5,19:05,三ツ沢,横浜Ｆ,1,0,市原,,13663,,
0,1993/06/12,9,1,12:35,札幌,市原,3,1,名古屋,,20947,,
1,1993/06/12,9,2,15:02,等々力,Ｖ川崎,1,0,Ｇ大阪,,10058,,
2,1993/06/12,9,3,18:31,三ツ沢,横浜M,3,2,横浜Ｆ,,11734,,
3,1993/06/12,9,4,18:33,愛媛陸,広島,0,1,鹿島,,25131,,
4,1993/06/12,9,5,18:34,駒場,浦和,2,1,清水,,9590,,
0,1993/06/16,10,1,18:59,万博,Ｇ大阪,2,1,横浜M,,19247,,
1,1993/06/16,10,2,19:00,瑞穂球,名古屋,3,1,浦和,,12227,,
2,1993/06/16,10,3,19:01,広島ス,広島,0,3,清水,,13923,,
3,1993/06/16,10,4,19:02,等々力,Ｖ川崎,2,1,市原,,10054,,
4,1993/06/16,10,5,19:02,三ツ沢,横浜Ｆ,2,0,鹿島,,14886,,
0,1993/06/19,11,1,15:31,駒場,浦和,1,3,Ｇ大阪,,8953,,
1,1993/06/19,11,2,17:02,市原,市原,1,0,広島,,9042,,
2,1993/06/19,11,3,19:01,日本平,清水,1,0,横浜Ｆ,,8726,,
3,1993/06/19,11,4,19:02,瑞穂球,名古屋,0,4,鹿島,,10898,,
4,1993/06/19,11,5,19:04,国立,横浜M,2,0,Ｖ川崎,,53376,,
0,1993/06/23,12,1,18:59,三ツ沢,横浜M,3,2,広島,,11863,,
1,1993/06/23,12,2,19:01,草薙陸,清水,3,2,Ｇ大阪,,15703,,
2,1993/06/23,12,3,19:03,駒場,浦和,2,3,市原,,8514,,
3,1993/06/23,12,4,19:03,水前寺,横浜Ｆ,1,2,名古屋,,15328,,
4,1993/06/23,12,5,19:06,カシマ,鹿島,3,2,Ｖ川崎,,15777,,
0,1993/06/26,13,1,15:04,長良川,名古屋,3,1,清水,,29102,,
1,1993/06/26,13,2,16:59,万博,Ｇ大阪,2,4,鹿島,,20318,,
2,1993/06/26,13,3,18:34,市原,市原,1,3,横浜M,,10116,,
3,1993/06/26,13,4,18:34,広島ス,広島,1,2,横浜Ｆ,,13680,,
4,1993/06/26,13,5,19:03,等々力,Ｖ川崎,1,0,浦和,,10078,,
0,1993/06/30,14,1,19:00,三ツ沢,横浜M,5,1,浦和,,12110,,
1,1993/06/30,14,2,19:00,万博,Ｇ大阪,2,1,横浜Ｆ,,16506,,
2,1993/06/30,14,3,19:01,広島ス,広島,2,0,名古屋,,9709,,
3,1993/06/30,14,4,19:02,等々力,Ｖ川崎,1,1,清水,,10067,4,2
4,1993/06/30,14,5,19:04,栃木,市原,0,2,鹿島,,17990,,
0,1993/07/03,15,1,15:03,カシマ,鹿島,3,1,横浜M,,14976,,
1,1993/07/03,15,2,18:30,鈴鹿,名古屋,2,3,Ｇ大阪,,12167,,
2,1993/07/03,15,3,18:31,駒場,浦和,1,0,広島,,9013,,
3,1993/07/03,15,4,18:59,日本平,清水,4,1,市原,,9290,,
4,1993/07/03,15,5,19:05,長崎,横浜Ｆ,0,0,Ｖ川崎,,14552,1,3
0,1993/07/07,16,1,19:01,市原,市原,1,0,横浜Ｆ,,8941,,
1,1993/07/07,16,2,19:02,等々力,Ｖ川崎,5,0,名古屋,,10225,,
2,1993/07/07,16,3,19:02,三ツ沢,横浜M,3,1,清水,,12199,,
3,1993/07/07,16,4,19:03,広島ス,広島,4,3,Ｇ大阪,,12731,,
4,1993/07/07,16,5,19:04,駒場,浦和,0,2,鹿島,,9325,,
0,1993/07/10,17,1,16:03,万博,Ｇ大阪,2,3,Ｖ川崎,,21447,,
1,1993/07/10,17,2,18:32,カシマ,鹿島,1,2,広島,,15055,,
2,1993/07/10,17,3,18:34,長良川,名古屋,0,1,市原,,26370,,
3,1993/07/10,17,4,18:35,三ツ沢,横浜Ｆ,1,0,横浜M,,13943,,
4,1993/07/10,17,5,18:59,日本平,清水,0,0,浦和,,9448,6,5
0,1993/07/14,18,1,19:01,駒場,浦和,0,2,横浜Ｆ,,8905,,
1,1993/07/14,18,2,19:01,市原,市原,0,1,Ｇ大阪,,9113,,
2,1993/07/14,18,3,19:01,三ツ沢,横浜M,1,0,名古屋,,12280,,
3,1993/07/14,18,4,19:03,カシマ,鹿島,1,2,清水,,14673,,
4,1993/07/14,18,5,19:04,等々力,Ｖ川崎,2,0,広島,,10100,,
