,年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送,match_card_id
0,1995,ゼロックススーパーカップ,第１節第１日,03/11(土),14:03,平塚,2-2(PK2-4),Ｖ川崎,国立,53167,,1997
1,1995,Ｊ１ サントリー,第１節第１日,03/18(土),15:02,Ｇ大阪,3-1,名古屋,万博,14007,,1197
2,1995,Ｊ１ サントリー,第１節第１日,03/18(土),15:03,市原,1-0,磐田,市原,13637,,1194
3,1995,Ｊ１ サントリー,第１節第１日,03/18(土),15:03,横浜Ｆ,1-0,浦和,三ツ沢,12236,,1195
4,1995,Ｊ１ サントリー,第１節第１日,03/18(土),15:03,清水,3-2,柏,草薙陸,18017,,1196
5,1995,Ｊ１ サントリー,第１節第１日,03/18(土),15:04,鹿島,3-4,横浜M,カシマ,15584,,1193
6,1995,Ｊ１ サントリー,第１節第１日,03/18(土),15:04,広島,0-1,Ｃ大阪,広島ビ,14175,,1198
7,1995,Ｊ１ サントリー,第１節第１日,03/18(土),19:05,Ｖ川崎,0-0(PK7-6),平塚,国立,48103,,1199
8,1995,Ｊ１ サントリー,第２節第１日,03/22(水),18:59,磐田,2-1,Ｇ大阪,磐田,16078,,1204
9,1995,Ｊ１ サントリー,第２節第１日,03/22(水),19:01,広島,5-0,清水,広島ス,7421,,1206
10,1995,Ｊ１ サントリー,第２節第１日,03/22(水),19:03,浦和,1-0,市原,大宮,9704,,1201
11,1995,Ｊ１ サントリー,第２節第１日,03/22(水),19:03,横浜M,6-2,Ｖ川崎,三ツ沢,13033,,1202
12,1995,Ｊ１ サントリー,第２節第１日,03/22(水),19:04,柏,0-1,鹿島,国立,42994,,1200
13,1995,Ｊ１ サントリー,第２節第１日,03/22(水),19:04,平塚,0-3,横浜Ｆ,平塚,13305,,1203
14,1995,Ｊ１ サントリー,第２節第１日,03/22(水),19:04,Ｃ大阪,2-2(PK4-3),名古屋,長居２,9239,,1205
15,1995,Ｊ１ サントリー,第３節第１日,03/25(土),14:59,Ｇ大阪,2-0,浦和,万博,13356,,1212
16,1995,Ｊ１ サントリー,第３節第１日,03/25(土),15:00,鹿島,2-0,広島,カシマ,15144,,1207
17,1995,Ｊ１ サントリー,第３節第１日,03/25(土),15:01,市原,2-3,平塚,市原,11895,,1208
18,1995,Ｊ１ サントリー,第３節第１日,03/25(土),15:03,横浜Ｆ,0-1,横浜M,国立,36039,,1209
19,1995,Ｊ１ サントリー,第３節第１日,03/25(土),15:03,名古屋,2-6,磐田,瑞穂陸,20660,,1211
20,1995,Ｊ１ サントリー,第３節第１日,03/25(土),16:02,清水,0-1,Ｃ大阪,草薙陸,16308,,1210
21,1995,Ｊ１ サントリー,第３節第１日,03/25(土),19:04,Ｖ川崎,0-1,柏,富山,22349,,1213
22,1995,Ｊ１ サントリー,第４節第１日,03/29(水),19:00,平塚,3-5,Ｇ大阪,平塚,11540,,1217
23,1995,Ｊ１ サントリー,第４節第１日,03/29(水),19:02,清水,4-2,鹿島,日本平,18118,,1218
24,1995,Ｊ１ サントリー,第４節第１日,03/29(水),19:02,Ｃ大阪,3-4,磐田,長居２,10993,,1219
25,1995,Ｊ１ サントリー,第４節第１日,03/29(水),19:03,柏,2-1,横浜Ｆ,柏,15114,,1214
26,1995,Ｊ１ サントリー,第４節第１日,03/29(水),19:03,横浜M,3-2,市原,三ツ沢,11978,,1216
27,1995,Ｊ１ サントリー,第４節第１日,03/29(水),19:04,浦和,0-0(PK9-10),名古屋,国立,44464,,1215
28,1995,Ｊ１ サントリー,第４節第１日,03/29(水),19:04,広島,2-0,Ｖ川崎,広島ビ,17333,,1220
29,1995,Ｊ１ サントリー,第５節第１日,04/01(土),14:00,横浜Ｆ,1-2,広島,水前寺,10481,,1221
30,1995,Ｊ１ サントリー,第５節第１日,04/01(土),14:02,磐田,2-0,浦和,磐田,17621,,1222
31,1995,Ｊ１ サントリー,第５節第１日,04/01(土),14:03,名古屋,0-1,平塚,瑞穂陸,20509,,1225
32,1995,Ｊ１ サントリー,第５節第１日,04/01(土),15:00,Ｇ大阪,4-0,横浜M,万博,17749,,1226
33,1995,Ｊ１ サントリー,第５節第１日,04/01(土),15:03,Ｖ川崎,0-1,清水,国立,50820,,1224
34,1995,Ｊ１ サントリー,第５節第１日,04/01(土),15:05,市原,1-0,柏,市原,14079,,1223
35,1995,Ｊ１ サントリー,第５節第１日,04/01(土),19:03,鹿島,2-0,Ｃ大阪,カシマ,15335,,1227
36,1995,サテライトリーグ,第１節第１日,04/02(日),13:00,Ｇ大阪,6-0,柏,鈴鹿,347,,
37,1995,サテライトリーグ,第１節第１日,04/02(日),13:02,鹿島,2-2(PK3-1),神戸,カシマ,2704,,
38,1995,サテライトリーグ,第１節第１日,04/02(日),13:59,広島,2-1,名古屋,広島ス,404,,
39,1995,サテライトリーグ,第１節第１日,04/02(日),14:01,清水,3-1,福岡,富士,2796,,
40,1995,サテライトリーグ,第１節第１日,04/02(日),14:01,京都,0-2,浦和,太陽が丘,1165,,
41,1995,サテライトリーグ,第１節第１日,04/02(日),14:02,市原,0-1,Ｃ大阪,市原,502,,
42,1995,サテライトリーグ,第１節第１日,04/02(日),14:02,横浜Ｆ,2-3,Ｖ川崎,群馬陸,5127,,
43,1995,サテライトリーグ,第１節第１日,04/02(日),14:02,平塚,3-4,横浜M,鏡石,1014,,
44,1995,Ｊ１ サントリー,第６節第１日,04/05(水),19:00,Ｇ大阪,0-3,広島,万博,11332,,1234
45,1995,Ｊ１ サントリー,第６節第１日,04/05(水),19:01,名古屋,1-4,柏,瑞穂陸,18819,,1233
46,1995,Ｊ１ サントリー,第６節第１日,04/05(水),19:02,浦和,0-1,平塚,大宮,9630,,1229
47,1995,Ｊ１ サントリー,第６節第１日,04/05(水),19:02,磐田,1-2,横浜M,磐田,17813,,1232
48,1995,Ｊ１ サントリー,第６節第１日,04/05(水),19:03,横浜Ｆ,0-1,鹿島,三ツ沢,13753,,1231
49,1995,Ｊ１ サントリー,第６節第１日,04/05(水),19:04,市原,3-1,清水,市原,13228,,1228
50,1995,Ｊ１ サントリー,第６節第１日,04/05(水),19:04,Ｖ川崎,0-1,Ｃ大阪,国立,44650,,1230
51,1995,Ｊ１ サントリー,第７節第１日,04/08(土),14:59,柏,2-4,Ｇ大阪,柏,14450,,1235
52,1995,Ｊ１ サントリー,第７節第１日,04/08(土),15:00,横浜M,2-0,名古屋,三ツ沢,13254,,1236
53,1995,Ｊ１ サントリー,第７節第１日,04/08(土),15:02,平塚,2-0,磐田,平塚,14630,,1237
